"username","rating","helpful","total","date","title","review"
"nothimme","2","824","1051","26 July 2018"," Just a shattered movie with no heart and identity
","This was such a good downgrade, it's unbelievable. The movie doesn't shelter a soul. You can't show feelings to it. It's ugly. There isn't much thought put into it. It's like not a part of the Trilogy: Forced and lame jokes, casual and uninspiring score, stereotyped and predictable plot, cheesy and generic writing, undeveloped villain, inappropriate atmosphere, wrong character development... I mean how does one go from this ''Tell me, do you bleed'' to this ''There's something definitely bleeding'' It's like a 'joke'. Who wrote this garbage? I mean why, what was your motive?<br/><br/>Apart from the garbage writing, the coloring sucked too. The whole movie was ugly as hell. After Superman's resurrection, the fight scene was completely miss edited. Why is the sun rising? Do you guys wanted it to make more colorful? Is because Superman takes his power from the sun? Because of this garbage coloring, the VFX and the CGI looked garbage.<br/><br/>Where is the villain? That villain shouldn't have wasted like that. He made a pretty good entrance, but the movie didn't capitalize on it afterwards. We didn't get to know him. He was in exile, Superman died so he has sent to earth to destroy it. Yeah, sure.<br/><br/>Fight scenes were a big downgrade too. Although there were some good shots, especially where Amazons and Steppenwolf fight, most of the fight scenes were just casual and emotionless.<br/><br/>Overall, this movie is just another ''Batman & Robin''. Back then, due to its darkness, they gave Batman nipple. Now, due to its darkness, they gave Batman ''Do you really talk to fish'', ''There is something definitely bleeding'' lines. The history repeating itself.<br/><br/>They gave $300,000,000 for this movie, but it doesn't look like that big of a movie, right? WB really did something. They've disposed of movie's original composers. They've re-edited and rewrote the whole movie. They've brought a new guy, who doesn't care about the characters or bother to know them, as a writer and director to make the movie look more like a Disney movie. And with that guy, they added a bunch of reshoots which doesn't add too much to the movie other than garbageness and a bad CGI mouth. This version of Justice League is just wrong, doesn't add up, doesn't lead anywhere. Every storyline that we started, every future we were building up to gone with this movie. It just depressing."
"TheMovieDiorama","6","89","121","25 February 2018"," Justice League is, unfortunately, plagued with post-production issues.
","Here we are. The Justice League. DC's greatest superheroes come together to save the world...and what is the first scene you ask? Henry Cavill's CGI'd shaved face. Ohhh dear...yup...we're in for quite a ride. So with Superman dead, Batman and Wonder Woman must arrange a team of gifted individuals to stop the world destroyer Steppenwolf from, you guessed it, destroying the world. Sighhhh...I kinda just want to hug this film and repeatedly whisper ""there, there...it'll all be alright."". Apprehensively, I went into this unmotivated and expecting the worst superhero film since Suicide Squad. Fortunately, this isn't that bad. But, it's not great either. The film's greatest achievement is the coalition of the Justice League members. Their interactions, mannerisms and even their physicality was pretty much on point. Aquaman, although absolutely useless in this, had the physical prowess of a beastly underwater warrior. The Flash was quirky and provided several comedic moments. Cyborg was essentially the technological logistics manager. Wonder Woman and Batman were the parents who lead their children into battle. Heck, she even refers to them as children! Yet it all worked so well. Remember, this is a comic book adaptation, so the humour and light hearted nature of its source material does show. The human CGI for the most part was actually executed well (far better than ""Thor Ragnarok"") and the slow motion scenes with The Flash were gorgeous to watch. Snyder is typically style over substance, which is apparent here. The story is so boringly uninspired that it defines the word ""lazy"". I cannot be dealing with another 'save the world' situation. I'm also becoming irritated with underused, bland and weak villains who are supposed to be absurdly powerful. Steppenwolf was wasted potential. Constant use of green screen, hit and miss script, rushed third act...just too many flaws I'm afraid. Was it too soon for a Justice League film considering no origins for Aquaman, The Flash and Cyborg yet? Personally, I think so."
"d-beckton","1","409","602","23 November 2017"," Warner Bros. should be ashamed of themselves.
","Everyone knows by now that due to unfortunate circumstances, Zack Snyder (Director) and his wife, Deborah Snyder (Producer) had to leave the project for personal reasons, which enticed to the studio (Warner Bros.) to bring in 'Avengers' director Joss Whedon and ''finish'' it. <br/><br/>Ultimately, the film seems to have been almost completely re-written and re-shot. I've read a fair amount from people claiming that the film is still around 80% Snyder's vision, I don't think so.<br/><br/>The films original composer (Junkie XL) was quickly dispatched and replaced by Danny Elfman (One could argue that a films score makes up 50% of the film, easily).<br/><br/>Danny Elfman's score is completely flat and heartless. There isn't a shred of emotion in a single note. It sounds out of place, is consistently uneven and the little homages to past themes seem to be thrown in and are used at completely the wrong times.<br/><br/>Almost every scene where Superman appears, he has a ridiculously expensive, computer generated botch job of a mouth to cover up a moustache that Henry Cavill wasn't allowed to shave off for the re- shoots, due to commitments to another film.<br/><br/>As I can recall, there was one scene for Superman where he didn't have the CGI mouth.<br/><br/>The tone and atmosphere of Snyder's style is almost completely lifted from the film, something I'm sure was tampered with in post- production.<br/><br/>It doesn't have any kind of atmosphere at all really, it just feels empty.<br/><br/>The actors are all fine and deliver worthy performances for the characters, it's not their fault that the film which is built around them is a complete disaster.<br/><br/>It just goes to show that the studio couldn't care in the slightest about delivering a serious and decent production. They had a release date and they forced themselves to stick to it, regardless of the outcome.<br/><br/>Most of the film feels completely rushed and cheap, which it shouldn't, given it had a budget of $300 million.<br/><br/>It's simply unacceptable for something of this capacity and scale to be the epitome of a mindless product from a bloodsucking and power driven cooperation.<br/><br/>Would it have been such a loss to put the project on hold until Zack and Deborah Snyder returned, or delay the film until everything was as good as could possibly be? Apparently yes.<br/><br/>There's been absolutely no respect for the source material, the vision of the original director or the target audience from Warner Bros..<br/><br/>Zack Snyder's complete version, I'm sure has its faults and flaws, but nothing can compare to this lacklustre effort.<br/><br/>This should have been the best superhero film ever made, but has been dropped and fallen straight to the bottom of the barrel.<br/><br/>I could go on and on, but I'll stop there."
"darkmoonuk","1","258","393","21 April 2018"," Incoherent cgi gibberish.
","Might as well watch the cut scenes from a video game, the cgi was poorly implemented. The villain absolutely pointless. Superman's Resurrection wasted, why not give him a few movies to find a villain worthy and build suspense?<br/><br/>Each of the characters in twisted to ape the Avengers in their roles, especially Flash/Spidey but with non of the depth.<br/><br/>Truly a pointless exercise and a wasted opportunity, spare yourself the disappointment. How it is an 8+ on here discredits IMDb<br/><br/>Such a shame. :(<br/><br/>p.s the CGI really is that bad . . ."
"Matrix_Becker","3","335","532","17 November 2017"," What is so expensive?
","I saw the Film last night and i have not an answer for what they need an budget of 300.000.000 USD. Ugly low-detail locations and semi effects. And this is the end of the world? Roland Emmerich would cry for this crap.<br/><br/>the rest of the film is very casual. not the best story so far and the villain is a big joke."
"jayden-carlson2","4","301","486","16 November 2017"," Never thought i'd like BVS more than this, but i do.
","In short:<br/><br/>>Many instances where the CGI and green screens are painfully obvious and stick out like a sore thumb.<br/><br/>>The editing is extremely rushed and abrupt in parts, with super important events such as Steppenwolf stealing the 3rd mother box being mentioned in cringey and obvious exposition by wonder woman, before cutting to a random event halfway around the world.<br/><br/>>The fight scenes in this film are extraordinarily underwhelming. In almost all the fights, barely any of the characters use their powers, with aqua man simply punching and getting thrown away, wonder woman using her sword instead of her OP abilities shown in her standalone movie, and cyborg literally doing nothing except putting his hands inside a glowing box. The end fight was extremely boring and anticlimactic, with the tension immediately disappearing when superman shows up and completely shuts down steppenwolf.<br/><br/>> The villain himself, Steppenwolf, is one of the worst parts of this film. He literally has only one power/ability, which is swinging his pathetic axe around. He is an all CGI uninspired and forgettable villain who isn't menacing in the least. The fight he puts up in the end is disgraceful, with him swinging his axe around a bit then getting completely trashed by superman.<br/><br/>Probably in the minority here, but BVS for me was a 7/10, and this is a 5/10."
"ezramandela","6","224","363","17 November 2017"," WHY Warner Brothers.....WHY?
","The film was okay. Definitely not bad. How I wish Warner Brothers experimented with more standalone films before they finally got to Justice League. As a big DC fan, I was a bit let down. 2hours was definitely not enough to put this film's story across. There were great plot points but everything just seemed to go by too quickly. Henry Cavill's CGI upper lip was very distracting, and his superman- even though I really liked him- but he was just too powerful for Steppenwolf, or maybe Steppenwolf was the one who was too weak for the story they were going for. For someone who wanted to destroy the world, I think he wasn't menacing enough. Ray Fisher was great as Cyborg, I liked Gal Gaddot as Wonder Woman, Mamoa as Aquaman, and even Miller as the flash. But I didn't like how the flash runs in this movie....his legs move in a weird way. Batfleck owned his role obviously. There were great moments in the film, especially when Superman returns and meets the team for the first time. Loved his reunion with Louise and his Mom, and I'm really looking forward to where this universe will go.<br/><br/>The first credits scene didn't do anything for me (I thought they'd both run instead of Superman flying).Many scenes in the trailer were not in the movie, and I feel like there was more to this film than what we get to see. The CGI also needed more polishing. It's definitely getting a lot more hate than it deserves. I really feel sorry for Zack Snyder...I know the backlash he gets from people will definitely affect his confidence as a director, especially for DCEU films and his vision of it. <br/><br/>I give this movie a 6.5/10. An argument can be made for 7/10. Anyone giving this movie more than a 7/10 is not being completely honest with themselves. I really looked forward to this movie, but the theatrical release hasn't done much for me. Definitely a forgettable movie."
"daftdwarf","5","376","637","16 November 2017"," Dull
","Justice League felt like going through a list of specifications with no identity whatsoever. It's not a bad movie per se, it's just extremely dull. Of course there's nothing new in the photo department but that's to be expected, it's kind of an identity for the whole DCEU. I don't like it but hey, that's an artistic choice I won't criticize here, at least it's coherent. But some flaws are more crippling than that. <br/><br/>Every single characterization was a bit off and some of them felt like they were forced, especially Barry Allen. Still, the actors do the best they can with the material so it's not unbearable. <br/><br/>Every situation (and even the chain of events) is so predictable (cliché even) that it gets you out of the movie. This level of ""nothing new"" is damaging to the story as it stops you from caring about anything. And it seems like the producers knew this cause they threw in the mandatory helpless family so that you could sense the danger a bit more. After all, it's just the end of the world, how could you care if there was no kid in immediate danger ? Oh wait... Still, even that falls flat as their scenes (and they're not the only ones) are filled with incoherent behaviors that were put there just so that the plot can go forward. <br/><br/>I attended a screening where the only bursts of joy (or emotions at all) occurred when a new character appeared. Kind of a ""fanboy effect"" that fills you with hope at the sight of one of your beloved comics characters. But the rest of the time, everyone was quite bored and numerous sighs were heard. In a sense, it reassured me as I understood I was not the only one who was disappointed in the movie.<br/><br/>*****The following paragraph might contain a minor SPOILER (depending on what you consider a spoiler)***** <br/><br/>Plus, something else bothered me. But I know everyone won't agree on this one cause it's kind of a speculation. All the points above still stand even if I'm wrong about it. So here it is : Justice League felt like it was a failed attempt to adapt the Avengers in the DCEU. And I'm not talking about the strangely similar theme. Nor am I referring to the tension inside the team before they reconcile that felt like a watered-down version of what we saw in the 2012 movie by Whedon. But the characters are bent so that they match their Marvel counterparts. The Flash takes the place of the slightly weaker and wisecracking Hawkeye, Aquaman clearly corresponds to Thor with his royal and out-of-place persona, Wonder Woman goes through the same soldier- leader dilemma as Cap did and even Batman is slightly changed so that he's closer to Tony Stark (making decisions that make absolutely no sense for the world's best detective that we all know and love). That's a shame cause DC characters are interesting and have a lot more to offer than a mere copy. <br/><br/>*****END OF POSSIBLE SPOILER*****<br/><br/>As of 11/16/2017, this movie has an 8.1 score here on IMDb. Now I'm not a hater and won't say it's the worst movie in history but more than 8 ? Seriously ? It barely does the job so it's a 5 out of 10 for me."
"Zingbot_9000","2","242","407","28 November 2017"," A better video game then movie
","Believe me I wanted to love this movie. I grew up on the Justice League. I love the Justice League. This movie was exactly how I would not do it. Let me begin my review.<br/><br/>CGI – I also love CGI. I think we've made some great movie magic with CGI. Here the CGI was so distractingly bad I could not stop wondering how could they do such a bad job with such a huge budget? Let me start with the bad guy – Steppenwolf. The Character looked like it was lifted right out of a video game. He did not look real at all. Honestly this movie looked like they took the Human Actors (plus half and half Superman – I'll get to that) and plopped them right into a video game. It looked like these actors all stood in a sound stage and punch and kicked and jumped. The CGI was so bad the movie lost all sense of realism. It did not help that the directors of this movie has no idea how to put more than 2 characters in a fight scene at any time. Again this took away from the realism also – how do our super heroes fight the alien villains in the middle of a city and not one bystander is in any of the scenes. The world is being destroyed but no one is watching or no one tries running away. Its funny because at one point in the middle of a big fight scene Lois Lane just shows up but no one else including Police or Military does. I sat there in total shock thinking how could some one make such garbage fake scenes. But the most laughable part of the CGI has to do with Superman. I sat there looking at him the whole movie thinking what is wrong with him, he looks off. So afterwards I read that Henry Cavill was filming another movie at the same time as this and in that other movie he was required to have a mustache and beard. So they filmed all his scenes with a beard and CGI'd them out. And it was a terrible job of CGIing the beard out. His face looked off and at points I wondered if it was even Henry playing Superman or a look alike. It was bad and for a movie this BIG it should have been so much better.<br/><br/>As for the other Heroes here are my thoughts, but first let me comment on something that bothers a lot of Justice League fans, why did they take all the color and make these movies so dark. This is a big factor on why Marvel makes much better movies than DC. Look at the costume of Batman (all black), Wonder Women/Aquaman/Superman colors dimmed to the point of their outfits are basically black also. Flash looked OK.<br/><br/>Batman – Ben Affleck seems to be sleep walking through this movie. He is boring boring boring. Enough said about him.<br/><br/>Aquaman – was Aquaman even in this movie? I recall Batman, Superman, Wonder Woman, Flash, and some cyborg guy, but was Aquaman in this movie? Cuz there was some dude that says Bro and Bruh with long hair and a bunch of tattoos. Jason Momoa was not Aquaman. Not only in persona/appearance, but Aquaman did not use his Aqua skills the entire movie. It was like the director has no idea how to pull this off. He was in the water at the beginning a little when he wasn't drinking his big beer and acting all tough like a pirate/surfer at some pub. But not once did Aquaman used his Aqua skills in this movie. In fact, both of the Justice League fight scenes there was no water around. I am not sure what was worse the CGI or Aquaman.<br/><br/>Flash – I hear some liked him but I could help wondering was Woody Allen not available at the time of filming? Because the guy who played Flash was trying to be Woody Allen the whole movie. Flash was supposedly the funny one – either him or Aquaman, but neither made me laugh once.<br/><br/>Cyborg – Actually Cybrog made me laugh when Steppenwolf pulled off his arms and legs. I laughed out loud at that one. Actually I never knew who cyborg was but from watching this movie he was a fish out of water just like Aquaman. Cyborg apparently deals with Cyber-crimes. Only problem Steppenwolf is from the past and doesn't use computers so Cyborg was useless.<br/><br/>Wonder Woman – The best thing about this movie. No complaints here other than her black Wonder Woman outfit.<br/><br/>Superman – touched on him earlier. I like Henry Cavill and like his Superman portrayal. He wasn't the best here as he wasn't give much to do. He had a couple heart felt scenes (with Lois and his Mom) and CGI withstanding he looks OK for Superman although he looked small in this one.<br/><br/>As for the plot, bad guy from the past wants to destroy the world. Typical but not executed very well.<br/><br/>After seeing this movie I could not help but wish they would blow this whole thing up and start over. They hint of the next movie and I just thought – too bad. DC needs to look at what Marvel is doing and copy, please copy. I also saw Thor's movie and that movie was 1000 times better. Take my advice and see Thor instead. A bad movie like this does not deserve to make the kind of movie it is making."
"luan-penna","Null","539","968","16 November 2017"," Just okay
","I grew up watching the Justice League animated series and I enjoyed every DCEU movie so far, so I was really excited to finally see these heroes together for the first time on the big screen. Unfortunately, the movie was a letdown. It's not bad by any means, but it was not as epic as it should have been. Here are my pros and cons:<br/><br/>Pros: <br/><br/>+ The acting is really good <br/><br/>+ Great chemistry between the League<br/><br/>+ Some good action scenes (Amazons vs Steppenwolf is one the best moments of the movie), even though the movie lacks any memorable action like the ones in Man of Steel, BvS or Wonder Woman <br/><br/>+ Superman is finally done right<br/><br/>+ There are some fun scenes<br/><br/>+ The Flash is great and you can't ignore Wonder Woman every time she's on screen. Aquaman and Cyborg were fine. Batman was fine as well (Ben Affleck didn't look very interested in this movie as he was in BvS) <br/><br/>+ The post credit scenes are great<br/><br/>Cons: <br/><br/><ul><li>The plot is weak (bad guy wants to destroy the world, just like The Avengers, Avengers: Age of Ultron, Man of Steel, Suicide Squad, X-Men: Apocalypse, etc). You can tell how it all ends, everything is very predictable </li></ul><br/><br/><ul><li>The villain is really awful. I didn't fear him for a second </li></ul><br/><br/><ul><li>Not a lot of surprises </li></ul><br/><br/><ul><li>The VFX is a letdown compared to Man of Steel and BvS (Superman's erased mustache is really distracting)</li></ul><br/><br/><ul><li>Very little character development </li></ul><br/><br/><ul><li>You can tell basically all the scenes added in reshoots</li></ul><br/><br/><ul><li>The jokes didn't work. Most of them are silly, not funny </li></ul><br/><br/><ul><li>Gal Gadot's acting is not very good in some scenes. It looks like she is as good as her directors. With Patty Jenkins (Wonder Woman's director), she was great. Here with Zack Snyder/Joss Whedon, not so much </li></ul><br/><br/><ul><li>Some of the dialogues are really bad (like the ones with Mera and Aquaman). Half of them are pure exposition </li></ul><br/><br/><ul><li>The movie lacks stakes or any sense of danger </li></ul><br/><br/><ul><li>The final battle is really generic </li></ul><br/><br/><ul><li>The movie is never really exciting. It's almost exciting, but never really really exciting.</li></ul><br/><br/>It's not a bad movie, but it's not great either. Unfortunately Justice League is just okay. You won't remember it in a year. I didn't love the movie, but based on the last post credit scene, I'm excited for where this universe can go next."
