"username","rating","helpful","total","date","title","review"
"Uriah43","5","13","13","20 October 2018"," A Bevy of Attractive Actresses
","This movie begins with a high school student named ""Torrence Shipman"" (Kirsten Dunst) being selected as the captain of the cheerleading team. Needless to say, this is a great honor. However, in this particular case the previous cheerleading teams have won the national championships for 5 years in a row and everybody expects this year's team to be no different. That being said, things start off rather badly when one of the cheerleaders is injured and put out of commission at the very first practice. Needless to say, finding a qualified replacement on such short notice is an extremely difficult task but, as luck would have it, just when things looked extremely bleak a new student by the name of ""Missy Pantone"" (Eliza Dushku) auditions and agrees to take the empty spot so that things can begin to proceed as normal. Unfortunately, just prior to their first competition Torrence learns that the cheers they have worked on for so long have been stolen from another school and to continue with them would severly impact their chances. Not only that, but the team who invented the cheers are extremely good and intend on proving themselves in the national championships as well. Now rather than reveal any more I will just say that this was an okay comedy for the most part with a few good laughs to be had here and there. Likewise, having a bevy of attractive actresses like Clare Kramer (as ""Courtney""), Nicole Bilderback (""Whitney""), Gabrielle Union (""Isis""), Tsianina Joelson (""Darcy"") and the aforementioned Kirsten Dunst certainly didn't hurt either. On the other hand, however, I must admit that some of the drama was a bit clichéd and the overall plot was rather predictable as well. All things being equal, I suppose it managed to pass the time well enough and for that reason I have rated it accordingly. Average."
"kljucec9","8","48","57","6 September 2000"," A Terrific Movie For Teens of All Ages
","I thoroughly enjoyed ""Bring It On"". The film's brisk pacing was  perfectly suited to its theme, thanks to director Peyton Reed, the writing smart, sharp, and consistently and authentically funny,(as well as, at times, genuinely thought-provoking)thanks to writer Jessica Bendinger, and the acting solid all around. I also liked ""Bring It On"" for what it didn't have-alot of tired, cliched boy-girl relationship stuff, and/or gratuitous sex/nudity. The opening dream/cheer sequence was a moment of sheer, brilliant comic/satiric movie magic, and later, when the professional choreographer shows up to help the Toros out, he almost steals the show. But what impressed me, perhaps, most of all about ""Bring It On"" was the wonderful chemistry between the two beautiful-and talented-young female leads, Kirsten Dunst and Eliza Dushku."
"Boyo-2","8","46","56","7 September 2000"," Quite enjoyable
","This movie was extremely enjoyable and I recommend it. The characters are not annoying for the most part, and I especially enjoyed seeing new faces Elisa Dushku (Missy) and Jesse Bradford (Cliff).  They have screen presence and should be in front of the camera for many years to come, especially Elisa, who is really very beautiful.  When you look at her, there's so much there, unlike most actresses whose faces do not say anything.  You can tell there is alot going on in her mind just by her face. <br/><br/>The screenplay is intelligent and very funny and aside from a slow stretch or two, I really liked the movie. It is not like ""Clueless"" or anything else, which of course is a good thing. <br/><br/>One of my favorite scenes is when Cliff and Torrance (Kirsten Dunst) are brushing their teeth.  Its probably a throw-away scene and there is no dialogue, but it was really great, for me at least."
"d_fienberg","Null","51","63","20 February 2001"," Energetic, Well-Scripted Fluff
","""Cheerleaders are dancers who have gone retarded,"" says Sparky, the modern dance-influenced choreographer who from $2000 dollars a pop teaches cheerleaders the mysteries of Fosse-inflected ""happy fingers."" Bring It On, which was a surprise hit in the fall of 2000, clearly believes that cheerleaders are far more  than hoofers gone to seed. Despite the frequent jokes at their expense in the film, Bring It On shows cheerleaders are spirited, athletic, graceful, and most importantly, relevant to the 21st Century. Colorfully shot, attractively cast, and snappily written, Bring It On is hardly a great movie, but it's perfectly appealing for most people and I'd guess that the millions of cheerleaders and former cheerleaders nationwide will get a lot more out of it.<br/><br/>The plot is simple. It's like Rocky. Or Varsity Blues. Or any other sports movie you've ever seen. New captain of the five time national cheerleading champions Toros, Torrance (Kirsten Dunst) is shocked when the new girl on the squad (Eliza Dushka), a gymnast, tells her that all of the routines that made the squad famous were stolen from an inner city school in East Compton, two hours up the coast. Determined to prove that they can do it themselves, the Toros go through a fairly short journey to self-empowerment. There's a pounding bass line, lots of teens in short skirts, some fun flipping, and a lesson about being true to yourself and believing in others.<br/><br/>The film also takes on any number of myths about cheerleaders. Are male cheerleaders all gay, or do they just like grabbing girls' rears? The answer, of course is a little from column A and a little from Column B. Are cheerleaders all airheads? Well, the issue of whether or not these girls go to class is done away with in two minutes at the beginning of the film. From that point on, education, books, and homework are never mentioned. Any occasional signs of intelligence are held up to ridicule, though these ""sweater puppets"" are all quick with a witty retort, so they must have something going on upstairs. And finally, is cheerleading a sport? Well, this film comes out firmly on the side of yes.<br/><br/>For all of its verve, Jessica Bendinger's script is too reductive for the movie to be taken very seriously. The white girls are obviously upper scale and spoiled. Naturally the white girls don't have any sass at first and naturally they borrow it from their African-American neighbors. The black girls are supposed to be poor. Not that that's really depicted in this day-glo colored world.<br/><br/>In fact, through the wonders of Hollywood Central casting, the squad from East Compton actually looked even more racially homogenous than the ""Buffys"" from San Diego. This is an inner city high school that has a cheerleading squad featuring a dozen girls with identical light complexions and straight hair. The racial assumptions at work here would be offensive if the movie placed any premium on reality. Instead, as directed by Peyton Reed, everything is colorful, glossy, and easy on the eyes. The intricate cheerleading routines are mostly shot from strange angles or awkward close-ups to make it impossible to tell if the cast is actually doing any of the cheering stunts at all.<br/><br/>When Kirsten Dunst makes good small movies (see The Virgin Suicides or Dick), nobody goes to them. So I suppose it's fitting that this movie was a smash. She's always an entertaining screen presence and for now she's still young enough that it isn't ridiculous for her to keep playing high school characters. How her career progresses as she matures remains to be seen. The rest of the cast seems like they were picked from the set of a WB series. Now since I kind of like a number of WB series, I don't mean this as an insult in any way. The Warner Brothers network has proven a good training ground for attractive young women to read catchy dialogue and everybody in Bring It On seems very skilled with the zingers. And as the aforementioned Sparky the choreographer, Ian Roberts is just hilarious and his scene is easily the funniest part of the movie.<br/><br/>In the end, Bring It On is fairly satisfying. It's also amusing to note the strange directions that this movie is able to stretch the limits of the PG-13 rating in terms of language and certain forms of implied sexuality. But that's neither here nor there. Bring it On gets a not-to-be-ashamed-of 6/10 from me."
"Chris_Docker","5","56","72","22 October 2000"," Flimsy stuff done rather well
","This is a movie where more talent than necessary has been invested in a film basically aimed at entertainment-seeking adolescents, people interested in dance routines, and a few older men who enjoy watching young girls jump about. It follows the fortunes of an award-winning cheerleader team and the hapless football team they support.<br/><br/>A film about cheer leading, something that is, as far as I know, a uniquely American phenomenon, sounds pretty cheesy. The remarkable thing is that the acting and dialogue raise it a bit above the minimum required and the cheer leading dance sequences are a revelation for anyone who thought it was just about waving arms in the air and shouting support for the football team.<br/><br/>Gabrielle Union (10 Things I Hate About You) and Kirsten Dunst (Drop Dead Gorgeous & Virgin Suicides) were both cheerleaders at school - did this help with the authenticity? The amazing routines are quite dazzling to watch - requiring a very high level of stamina, physical fitness, athletic ability and dance technique. The overhead panning brings them almost to the level some of the old song and dance movie scenes with synchronized dancing. Synchronized dance in itself is difficult stuff, but fast paced synchronized dancing (to a great soundtrack, by the way) involving major aerial throws, difficult jive moves and lots of personality thrown in, is quite an achievement.<br/><br/>The film never takes itself too seriously, from the football announcer who says at the end of the match, ""our next defeat is scheduled for next Tuesday"", to the out-takes while the credits roll, the attitude is firmly tongue in cheek.<br/><br/>The script includes plenty of teenage bitching reminiscent of Clueless (adolescents often seem to show their intellectual prowess at clever, and often vicious repartee, that is all par for the course), but the acting is convincing and even the awkward issues of race and homosexuality are handled well. One cannot but help congratulate them for making a good film out of such a flimsy premise."
"ivo-cobra8","10","18","21","16 October 2015"," Classic cheer for the best teen movie and an original film
","Bring It On (2000) is a underrated teen cheerleading movie with Kirsten Dunst and Eliza Dushku. It is my favorite high school teen comedy and I honestly don't care what anyone says about this film. A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships. I love this film. Torrance Shipman (Kirsten Dunst) was the most memorable and my favorite character from my all time favorite actress Kirsten Dunst. I went trough high school watching this film. I love sport comedy films, like were Major League (1989) and I love this team sport comedy film. It was followed by four direct-to-video sequels, none of which contain any of the original cast members. Bring It on is original true, the best, cheerleading comedy in the film series. <br/><br/>I love this film and I always will, it is my favorite film of all time. At least it is much better than they are teen comedy this days. Jessica Bendinger wanted to mix cheerleading and hip-hop, the two tastes that taste great together, it's like peanut butter and chocolate, which she did. The choreography very beautiful, the dance moves were pretty good and amazing. <br/><br/>Long before ""Pitch Perfect"" became a hit franchise and every group of women became our #squadgoals, there were the Toros and the Clovers. Fifteen years ago this month, Universal released ""Bring It On"" into theaters, a low budget, high-school comedy about rival cheerleading teams that spawned four spin off films, a stage musical, and helped pave the way for the Barden Bellas, the McKinley glee club and many more The plot of the film centers on Torrance Shipman (Kirsten Dunst), who inherits the position of captain on her high school's cheerleading squad and attempts to lead her team to a sixth national title. However, Torrance is informed by the newest team member, Missy Pantone (Eliza Dushku), that she is in possession of a stolen routine. When the originators of the work vow to win, Torrance and her squad must go to different lengths in order to create an original performance.<br/><br/>The Toro cheerleading squad has spirit, spunk, sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain, Torrance (Kirsten Dunst), the Toro's road to cheer glory stumbles when she discovers their perfectly choreographed routines were stolen from a hot hip-hop squad across town. Now the squad must scramble to find a new routine to compete in this year's competition.<br/><br/>I love this movie and I am not saying that as a blonde or a cheerleader! No offense : / This is the best Bring It On movie out of all of them. Kirsten Dunst in an amazing actress. This movie is funny, very cute, and the original Bring It On! <br/><br/>At Rancho Carne High School, cheerleading is everything to student Torrance (Kirsten Dunst), who aching to be named head cheerleader of school squad the Toros, continuing the aggressive pursuit of dominance started by graduating member, Big Red (Lindsay Slone). Requiring a new cheerleader to help fill a gap caused by an accident, the squad welcomes Missy (Eliza Dushku) to the team, though the new student isn't sure her cynical ways are a good fit, while her brother, Cliff (Jesse Bradford), welcomes the assimilation, attracted to Torrance and her indefatigable spirit. When she realizes routines established by Big Red are actually stolen from the East Compton Clovers, led by icy Isis (Gabrielle Union), Torrance loses confidence, requiring support from the splintered Toros and outside influences as she attempts to rebuild what was lost. <br/><br/>Director Peyton Reed and screenwriter Jessica Bendinger (who tried to reheat her formula for 2006's ""Stick It"") favor bigness when it comes to the antics contained in ""Bring It On."" Summoning blinding cheerleading spirit, the production turns the quest for trophies into a cartoon, complete with aggressive close-ups and screamed line readings, while the writing retains finger-snap timing and an interest in developing its own vocabulary (e.g. Torrance demanding that the Toros are not a ""cheerocracy""), always on the go in terms of characterization and plotting (a mid-movie detour with the Toros and a professional choreographer harboring an obsession with ""spirit fingers"" is amusing). <br/><br/>The rating I am giving is 10/10 for been Entertained sport film. The film isn't perfect, it has flaws. The Toros cheerleading squad should have win on the end of the film and they didn't. That move hurt the film. In all the sequels all cheerleading squad team won in this film they didn't. The film is good because of Kirsten Dunst. Believe it or not, it's been 15 years since everyone's favorite campy cheerleader movie, ​Bring It On​, debuted. Kirsten Dunst, aka captain Torrance Shipman, appeared on ​The Late Late Show With James Corden ​last night and talked about her first major lead role. ""None of us knew it would become a hit,"" she says. ""We were just a couple of young people in San Diego making a Universal film no one cared about.<br/><br/>10/10 Grade: A Studio: Beacon Communications Starring: Kirsten Dunst, Eliza Dushku, Jesse Bradford, Gabrielle Union, Clare Kramer Director: Peyton Reed Producers: Marc Abraham, Thomas Bliss Screenplay: Jessica Bendinger Rated: PG-13 Running Time: 1 Hr. 38 Mins. Budget: $10.000.000 Box Office: $68,379,000"
"great_sphinx_42","7","37","47","7 March 2001"," Cheer-Worthy
","Interestingly enough, one of the most tired and boring cliches in both film and high school has been the subject of two genuinely enjoyable, if fluffy, movies in less than a year. I speak of course, about cheerleaders and both 'Bring It On' and 'Sugar and Spice'. But while 'Sugar and Spice' was campy and surreal, 'Bring It On' is a self-consciously serious movie advancing the idea of the cheerleader as athlete. While this idea is an honest and accurate one, it's one that audiences will only take so far. Cheerleaders may indeed be finer athletes than those on the sports teams they cheer for- I'd believe it, although I've never been a cheerleader and only rarely watch them on ESPN. I do know, though, that 'sissy, girly' activities are very frequently more difficult than 'tough, manly' activities, but try telling the boys that- or a movie audience. No matter how many big-budget and/or 'true story' movies are made wherein football is a metaphor for life or boxing is an affirmation of the greatness of the human spirit, even the most fascinating stories about sports like gymnastics or figure skating are strictly television movie-of-the-week fodder. In this atmosphere, you cannot make a cheerleading movie serious. You have to make it a joke. The smart folks behind Bring It On, though, realized that if they could strike a certain balance they could fulfill expectations but also get their point across. So they filled their flick with cute, peppy girls like Kirsten Dunst- always a delight, and well-cast here as a golden girl with a conscience- and snappy, irreverent jokes. They have a PG-13 locker room scene and a bikini carwash. They also have broken bones and high stress- very real factors in the lives of competitive cheerleaders. The squad is co-ed, and we get to know two of these curious, maligned creatures commonly known as male cheerleaders. One of them *is* gay- and an extremely well-adjusted, likable and ""non-faggy"" one, at that. The other is straight, and as horny as any frat boy in Animal House. We also have a tough girl named Missy transferring from L.A., along with her cute brother Cliff and the news that the Toro squad's cheers are not ""100% original"", as they had believed. Unfortunately for Kirsten's character Torrance and her Rancho Carne Toros, their ex-captain stole all their prize-winning routines from an East Compton squad (which are perhaps overly rude, even given the circumstances), that will be going to Nationals for the first time. So what's a cheerleading squad to do, except experience various pratfalls on the way to coming up with their own routine and competing and learning something about valuing your own strengths? It's better than it sounds, surprisingly- and refreshingly- enough. As for macho posturing at sports movies, the fact that this was a sueprise hit and 'Sugar and Spice' was not might just be a sign that there are audiences too smart to believe that any movie about female athletes must automatically be completely silly. What a surprising- and refreshing- change."
"Pro Jury","10","30","38","22 March 2003"," A guilty pleasure!
","This film does not aspire to be more than it is.  Accepted for what it is, BRING IT ON is a perfect 10.<br/><br/>The quest here is the national cheerleader championships held each year in Orlando, Florida.  In real life, the young competitors are tiny, thin-legged kids with braces.  In BRING IT ON, all of the cheerleaders are fully developed amazingly nice looking So-Cal starlets.  The result is eye candy perfection!<br/><br/>BRING IT ON has the right mix of good-natured fun and old fashioned sex appeal.  A bikini car wash.  Pajama sleep-overs.  Cheerleader pom-poms every place!  Each actress's smile lights up the darkest of nights.  Pure American fun.<br/><br/>Speaking of fun, please don't miss the ending credits.  BRING IT ON is an instant modern day classic that stands up to repeated viewings.  Highly recommended for what it is."
"TheArgentWolf","10","5","5","3 May 2005"," A 'cheer'ful film!
","I love this film. The script, the plot line, the actors....They all gel together to make a brilliant movie.<br/><br/>By far, the best actresses in this film has to be Kirsten Dunst, Eliza Dushku, and Gabrielle Union. They really made the film what it was, and they were all perfect for the part.<br/><br/>My only criticism is that there was little need for the character of Cliff (Played by Jesse Bradford). It took the movie away from it's main point of cheer-leading. Though I liked the tension between him and Dunst, it wasn't really needed.<br/><br/>I never got a chance to see the sequel, but I'm sure that it isn't better than the original."
"jesus2dot0","10","34","49","13 September 2000"," Good (clean?) fun!
","I am not going to make any excuses. This was an excellent film for all ages. So many of the positive reviews I have seen prior to this one have had to make disclaimers (e.g. yes, it was childish...) but I will not do so. I am going to be confident in the intelligence of anyone reading this to understand that the quality of a film always has to be taken in the context it was meant to be viewed in. Bring It On is an excellent farce making fun of The Stereotypical Cheerleader. At the same time, the characters were very real, well played, and easy to empathize with. The movement (dance?) was lots of fun to watch. I also felt that the characters were much more realistic than many teenage characters are usually portrayed in film - more sarcastic and intelligently witty and sexual than usual. I think this is good, because many films give the impression that all teenagers are naive and childish, when in fact this is not necessarily the case. I must admit though that I couldn't help thinking that certain things had to happen the way they did for the sake of Political Correctness, and that is disappointing, but from the filmmakers perspective understandable. It was good to see a little bit of gay-friendliness in the film, which is rare to find in any films.<br/><br/>Overall, I thought it was a lot of fun and I left the film feeling good!"
