"username","rating","helpful","total","date","title","review"
"MR_Heraclius","10","52","58","5 February 2020"," Dumb and Dumber
","In my opinion the greatest comedy ever made! Daniels and Carrey work magic together in this film that more than 20 years later is finally considered a classic. When it first came out it was labeled as complete garbage and toilet humour. But to those people I say it is the best garbage and toilet humour you could ask for. What do you expect to see when the title of the film is ''Dumb and Dumber''. The quick back and forth between the two lead actors and not so subtle chirping often goes unnoticed because your'e laughing so hard from the previous scene.the jokes and dialogue are so good and Carey and Daniels deliver them with such authenticity. It's because of this reason that I am able to watch this movie countless times and still be entertained, as I listen to funny remarks that I missed on the previous 100 viewings. What's truly great about this film is that even people who say they hate it will always without fail crack a laugh or two when re-watching it. They just don't want to admit that they find this nonsense to be funny...but it is. More than 20 years later and I still have not seen a buddy comedy that comes close to matching it."
"cornhol675","10","322","400","1 February 2006"," Will most likely continue to be the funniest movie of all time.
","Dumb and Dumber is a stupid movie, but what some people don't understand is that is what it is supposed to be! It's about two completely pathetic, dumb, and hopeless guys who do nothing but make complete fools of themselves. Jim Carrey and Jeff Daniels give the greatest comedic performances and form the best duo that has ever graced a screen. Every scene, every sentence they speak, and every body movement is pure genius. The way that each of them deliver their lines makes this movie an all time classic that will never get old. I never understood how someone could not like this movie. The only explanation I could have is they think they are too ""intelligent"" for a ""dumb movie"" like this. What they don't even understand that it's not the jokes or gags that make this movie so great, it is all in the performances. To those of you who do not like this movie please give it another try and watch Jim Carrey and Jeff Daniels play the roles that they were meant to play."
"iggyivan","10","78","95","2 November 2006"," ""Dumb and Dumber"" is really ""Funny and Funnier""
","This movie goes from joke to joke constantly and never misses a beat. I could not stop laughing the first time I saw it, and the tenth time I saw it, and the hundredth time I saw it. This movie never gets old. There is not one single dull moment. The movie takes off and never lets up, not even enough to let you breathe. There is something absolutely mesmerizing and hilarious about Jim Carrey and Jeff Daniels' performances as the lovable idiots Lloyd Christmas( Jim Carrey) and Harry Dunne (Jeff Daniels).<br/><br/>The movie starts out in Providence, Rhode Island with two guys who are down on their luck. They've just lost their jobs, are late on the gas bill(again), and make the best of a bad situation by returning a briefcase they've recovered to its rightful owner, an attractive woman named Mary (Lauren Holly). And Lloyd(Carrey), has fallen madly in love with Mary after driving her to the airport. It just so happens that Mary lives all the way across the country, in Aspen, Colorado (or is it California?) Sure its crazy and stupid, but they've got nothing to lose, so they take off in their 84' sheepdog. And let's face it, if we were them, we'd go too.<br/><br/>Dumb and Dumber was not pretentious, the actors never made you feel like they were in on the joke. No, they played it with a straight face the whole way through, and that's really the best way to do comedy. Even when they aren't speaking, their body language alone is enough to elicit huge laughs. The reactions and facial expressions are perfect.<br/><br/>The film wasn't warmly received by a lot of critics, but only because they couldn't lower their snouts long enough to realize that this was not another movie about dumb guys, but really a film about earnest guys. And they are pathetically funny just being themselves. They play stupid games in the car to pass the time, and sing aloud to keep from getting bored, and have crazy dreams of one day opening up a worm store.<br/><br/>The movie plays out with a high spirit and feel good attitude that can't be matched. And the soundtrack is perfect; it really sets the tone and never feels out of place.<br/><br/>Really, truly, without a doubt, the best comedy ever made. I will treasure this movie forever, and even when I watch it the 101st time, I know it'll make me laugh... and laugh... and laugh till it hurts.<br/><br/>The film is well paced and has a spontaneous nature that lacks in most comedies. Behind all the stupidness, there is a real glow of brilliance. The fact is, more than all the goofiness and crazy antics, ""Dumb and Dumber"" is a film full of smarts, and that's what we end up admiring the most."
"pete_doyle7","10","132","167","6 March 2006"," That's a lovely accent you have. New Jersey?
","Best film ever... why;<br/><br/>Lloyd; That's a lovely accent you have. New Jersey? Lady at bus stop; Austria. Lloyd; Austria! Well, then. G'day mate! Let's put another shrimp on the barbie! <br/><br/>Harry; Yeah I called her up, she gave me a bunch of crap about me not listening to her, or something, I don't know, I wasn't really paying attention. <br/><br/>Harry; According to the map we've only gone 4 inches. <br/><br/>Mary; So you'll pick me up tonight at 7:45? Harry; Well I got a few things to take care of. So how about we make it quarter to 8? Mary; Stop it Harry: Okay. 7:45 <br/><br/>Need I say more... this film has it all comedy comedy comedy... that is all you need. I have heard people say that this film is just stupid, well they are right it is about 2 stupid guys doing a stupid thing in a stupid way and you just love them to bits for it... Okay it was not Forest Gump in the way Tom Hanks played the slow guy come good with what I would say was one of the best performances by any actor of all time but it was very funny. I almost swallowed my tongue, spat out my drink twice almost peed myself and watched it so many times I know the script even now 10 years on I still laugh it my friends eternal Harry and Lloyd..."
"MovieAddict2016","10","39","49","11 February 2006"," I laughed, I cried, and I think my IQ dropped. I love this movie!
","The Marx Brothers. Laurel and Hardy. Abbott and Costello. Jerry Lewis. Every generation has their dose of silliness. The 1990s had Jim Carrey. And along with him came the phenomenal hit ""Dumb and Dumber,"" a simple tale of two numb skulls who journey to Aspen in search of a woman and happiness.<br/><br/>Our tale begins when Lloyd (Jim Carrey) is escorting a young woman named Mary Swanson (the gorgeous Lauren Holly, who Carrey eventually married and then divorced) to an airport. He falls in love with her in the few minutes they share in the limousine, and after he has dropped her off, he watches her from the outside in his limo and sees her leave behind a black briefcase on the floor inside the airport. Rushing inside, he grabs the briefcase, only to find someone closing the gate to her plane. ""It's okay, I'm a limo driver!"" he yells to a ticket checker, rushing down the airport jet way and running straight off of it, falling onto the cement runway below.<br/><br/>After retreating to his apartment, he convinces his pal Harry (Jeff Daniels) to come with him to Aspen to return the briefcase to Mary. Harry, the smarter one (or is that dumb-less one?), at first hesitates, and then reluctantly agrees, and so they are off. Little do they know that the briefcase they carry is actually ransom money that Mary was trying to pay to get her husband returned to her. Now with hitment on their tail, Lloyd and Harry make it to Aspen only to wreak even more havoc.<br/><br/>Comedic timing is everything in a comedy like this. Carrey and Daniels have chemistry and timing. Check out the scene where they are at the National Preservation Society Gala, and stand at a bar in bright, tasteless suits. The way they stand, talk, and interact is as if they really are bosom-buddies, two idiots without a clue.<br/><br/>The film is directed by The Farrelly Brothers, Peter and Bobby. You may remember them as the men who brought us the hilarious ""There's Something About Mary."" But truth be told, ""Dumb and Dumber"" is even better than ""Mary."" Whereas ""Mary"" was a fun summer comedy with big laughs and tons of crude sex jokes, ""Dumb and Dumber"" is a true comedic gem, and carefully borders the line of tastelessness and taste, something ""Mary"" crosses over and never turns back to.<br/><br/>Is this movie ""dumb""? Yes, absolutely. Will it offend you? Perhaps if you're a snob. And I'm sure some film elitists will complain that there's nothing substantial or of artistic merit here.<br/><br/>I don't think it matters. This movie is meant to entertain and it does so wonderfully. In the past I've given negative ratings to films of the same genre that are just meant to be brain-less, silly fare (such as ""Me, Myself & Irene"") - the difference here is that ""Dumb and Dumber"" manages to come across as both likable and entertaining, while still managing to feature characters we can actually, in some crazy way, find ourselves liking.<br/><br/>In the end, this is just a very funny movie that is well-made and memorable - much more so than some of its other 1990s ""stupid-comedy"" counterparts."
"Pookyiscute","10","70","94","28 December 2005"," Funniest Farrley's Brother movie you will ever see...
","It's hard to find a Farrley's Brother which isn't funny, and this is even harder to classify as, 'not funny'...because it is the funniest!<br/><br/>Jim Carrey and Jeff Daniels team up as the not just odd, but strange, weird and mentally disabled couple. <br/><br/>After losing both of their jobs on the same day, Lloyd (Carrey), who retrieved a bag which a woman he drove to the airport leaves in the terminal, encourages his friend Harry to come with him to Aspen where the girl flew to. They think that the gas company is after them since they didn't pay their bill, but is actually the kidnappers of Mary (Holly)'s husband, who were supposed to pick up the money where she left it in the airport terminal.<br/><br/>From their start in Rhode Island, until they arrive in Aspen, the kidnappers follow Harry (Daniels)and Lloyd, along the road. The script is the most well-written comedy I think ever, because every thing that they do in the movie, leads to something new and funny that ends up happening to them later on.<br/><br/>Their are more than a few funny scenes, and the dialogue is always right-on.<br/><br/>I would recommend it to anyone who enjoys Farrley Brothers' movies, or anyone who likes Jim Carrey. It's a hilarious comedy and the two stars were perfectly casted, especially Jim Carrey, of course.<br/><br/>And now, an excerpt from the film, <br/><br/>""Skies, huh?"" ""That's right."" ""They yers?"" ""Yup."" ""Both of them?"""
"lambiepie-2","8","98","135","17 May 2003"," A movie that lives up to its title
","When this first came out in 1994, wild horses couldn't drag me to the theater to see it. Why? Preconceived notions. Thank goodness for Cable TV, or I never would have seen this film. I like it, it makes me laugh.<br/><br/>This is not a masterpiece. This is not an academy award winning film, not a film of strategic plots, this is as sophomoric as it gets  -- and that's fine with me. Sometimes, ya gotta escape. This'll do it.<br/><br/>The title says it all. Jeff Daniels and Jim Carrey are perfect for their roles, every time I watch this film uncut, I am laughing. I was always thinking, ""How dumb can you get?"" And in the next frame it gets dumber.<br/><br/>This is one of those films you just have fun with. Either you like this kind of humor or you don't. But the world is in such turmoil, this is a welcomed, stupid, silly, break that hits just the right spot. I find it ""stupid-funny"" beyond belief."
"chunkalunk3","10","226","330","1 June 2003"," Best comedy ever
","For all of you that say this movie is not funny, you must be crazy, this is the best comedy ever, with the best performances in the careers for daniels and jim carrey if you haven't seen this movie yet go out right now and movie i promise it wont dissapoint"
"Anonymous_Maxine","10","135","195","3 September 2000"," By far Jim Carrey's funniest movie, Dumb & Dumber delivers the best laughs to come to the silver screen in years.
","From beginning to end, Dumb & Dumber is sheer hilarity. There is not a slow moment in the adventures of Harry and LLoyd, two great but incredibly unintelligent friends who decide to move to Aspen, Colorado to get out of their dead-end lives in Providence, Rhode Island. Jim Carrey delivers a side-splitting performance as Lloyd, the lovestruck limo driver who first suggested the trip to Aspen (""We got no food, we got no jobs, our pets HEADS ARE FALLIN' OFF!!""), mostly so that he can find Mary Swanson (Lauren Holly), the woman he fell in love with after he drove her to the airport in Providence.<br/><br/>Lloyd's and Harry's adventures on their trip are absolutely hilarious to watch, especially their run-ins with the criminals who are chasing them, trying to get the briefcase that Harry and Lloyd do not know is full of ransom cash. One of the best things about this film is that it never strays too far from reality. There is never anything presented that could not possibly happen in real life. Also, the original and strikingly funny comedy that was written for the film is great! I can't remember ever laughing this hard at a movie.<br/><br/>Dumb & Dumber takes a good story, adds some tear-inducing comedy, some endlessly hilarious dialogue (""I guess they're right, old people, though slow and dangerous behind the wheel, can still serve a purpose. Don't you go dyin' on me!""), and needlessly good direction and molds one of the funniest films ever. Good for all ages, Dumb & Dumber is sheer unadulterated comedy and is destined to become a classic."
"El Celis","9","76","115","14 August 1998"," a barrel of laughs! (and more...)
","Destined to become a classic in its genre, DUMB & DUMBER reaches its objective of making people laugh off their seats, in a film that crowns Carrey as the modern Lewis & gives Daniels a great chance to show us his lighter side.     This is the kind of movie you want to see 100 times, with pranks & puns so silly you love to hate! high moments are Daniel`s bout with the toilet, the parakeet incident, and Jim Carrey`s love declaration to a schoolboy. If U R not silly and have no sense of humor, and basically are not alive , don`t watch this movie...otherwise, rent the video, order some pizza & beer and prepare for 1999: Dumb & Dumber (The early years)       Two fingers up"
