"username","rating","helpful","total","date","title","review"
"MassDistraction","6","185","223","14 February 2014"," If Wishes Were Fishes...
","In bringing together elements from Inglourious Basterds, Ocean's Eleven and Museum Hours, George Clooney certainly had plenty of opportunity for a rich and interesting story. War heroes who appreciate fine art played by the likes of Clooney, Matt Damon, Bill Murray and John Goodman (plus a few ""that guy""s), attempting to steal back priceless works of art from the Nazis, it sounds amazing.<br/><br/>So what went wrong? Well, to begin with, for a movie about a team, we're given very little time with them as a group. Almost immediately they pair off on their own little adventures. Instead of using these exploits to let us know a little more about the characters as individuals, we get the usual oddball pairings and some mildly amusing, but ultimately hollow, vignettes. Even when we lose some of our team, it really feels like nothing more than just something that happened on the trip, like ""oh, and I also saw a horse."" We have hardly any sense of them as a group and far less about them as people. The only character whose motivations we can understand is the one played by Cate Blanchett, but her limited chemistry with Matt Damon dooms what little redemptive quality her character had.<br/><br/>Also, and particularly troubling for a movie involving art, George Clooney's lens has little reverence for the work it shows. Though the film heavy-handedly ponders whether a piece of art is worth a human life, the camera never does. Even when a character lays down his life for a sculpture, it comes off less dramatic than inevitable. The film treats the works as being mostly historically significant and never finds that lover's gaze that tells the audience why.<br/><br/>What we're left with is a bag of spare parts. It's a popcorn movie with no setpieces. A war movie with no battles. A heist movie with no scheming. An art movie with no inspiration. Were they to have found some of Inglourious Basterds' bluster, Ocean's Eleven smarts or Museum Hour's insight, they may have found a formula that works, but that's not the movie we have here. I'll be damned if George Clooney doesn't look good in a moustache, though."
"CanuckGirl","4","167","209","7 February 2014"," Danny Ocean stars in ""Saving Private Art""
","If you want to see George Clooney play George Clooney, Matt Damon play Matt Damon, Bill Murray play Bill Murray, John Goodman play John Goodman, and Jean Dujardin play a clichéd Frenchmen (right down to the French beret and scarf)...in a incredibly mediocre film based on a compelling true story that's badly written and directed, go see ""The Monuments Men"". It's an ""Oceans 11"" team of art curators, historians and architects sent into France and Germany. Their mission? ""Saving Private Art"". The obstacles? Almost none, once they knew where to look. It was apparently the easiest art heist in history. The plus side? it's a stretch...but I did like Hugh Bonneville playing someone kinder and gentler than Lord Grantham in ""Downton Abbey""...and Cate Blanchett? She's always great, but she truly doesn't have much to do here, other than speak with a French accent and look irritated. Don't be fooled by the star-studded cast like I was. This movie is a waste of your money and time. All of these actors have made far superior films. And this story would have been better served by a more accomplished screenwriter and director."
"mikerapuano","6","287","371","9 February 2014"," Not nearly the worst film of 2014, but the most disappointing one so far.
","The Monuments Men is directed by George Clooney, staring himself, Matt Damon, Bill Murray, John Goodman, Jean Dujardin, Bob Balaban, Hugh Bonneville, and Cate Blanchett. It tells of a group of soldiers tasked to locate and preserve pieces of art that have been stolen by the Nazis during World War II.<br/><br/>It's no secret that The Monuments Men was one of everyone's most anticipated movies of 2013, and looked like a solid awards contender, until it was pushed to a February release date, purportedly due to the need for more time to be spent on the special effects.<br/><br/>The truth is, The Monuments Men could be, and really should be much more entertaining than it is. The best part of the film, and at the same time, its major problem, is the script. There are seemingly continuous laughs coming from quick one liners and witty character interactions, which keeps the audience somewhat engaged, although with such bleak subject matter, it's debatable that a movie dealing with the eradication of an entire culture's achievements should be as lighthearted as it is. But the flaw with the script is that it seems like the first act eats up almost all of it's running time. It's as if the film is missing large portions of the actual plot to make room for massive amounts of unnecessary exposition. Secondly, the film's characters are stale and one dimensional at best. I invite anyone who sees the film to wait an hour after finishing the movie, and try to remember even three of the character's names or what their role in the mission was. There isn't a moment in the entire film where it isn't simply John Goodman or Bill Murray dressed as World War II soldiers and not fleshed out characters. Albeit all of the actors are exceedingly fun to watch, I assume that just watching all of these actors talk together at a press conference would be just about as entertaining.<br/><br/>The Monuments Men isn't even close to the worst movie of 2014 by a long shot, even though it is only February, but it's arguably the most disappointing film of the year as of yet. I take no pleasure in saying this, but it's noble intentions fell utterly short due to awful pacing, and forgettable characters. I haven't read the book, but I have to think that it must be much better constructed and does this fantastic real life story more justice."
"GodofGSXR1977","3","149","189","9 February 2014"," If Disney Made A World War II Film
","This film is definitely not terrible but missed a big opportunity at making something memorable. And needless to say it unfortunately has a lot of problems that do it (and its intriguing story) a huge disservice. Before listing the problems I will note its positives: The acting, cast, direction and visuals are all good. OK...<br/><br/>And now the problems:<br/><br/>1) The quips and zingers every few minutes: Is this a sit-com or a drama about Nazis stealing art? It was hard enough to believe any of these characters are allowed to simply meander around Europe without strict supervision but even less believable that these men snap out witty one- liners back and forth after every few minutes. And the problem is that these one-liners are often during times of implied danger or tension, which gets broken immediately with the comedy relief.<br/><br/>2) The musical score/tone is absolutely bizarre and out-of-place in many areas: When taking on a subject as serious as WW2, it's not a great idea to constantly have happy-go-lucky comedy relief music going on in the background. It really is tonally all over the place and is out of place when considering the message trying to be sent about the importance of human art/culture, etc. Half the time I was expecting either a Broadway musical dance-line to jump out and start kicking their legs in front of the screen or at least see the Rocketeer fly past a Nazi blimp.<br/><br/>3) The one dimensional characters. We learn very little about the actual personalities of the main characters so there is little to invest in, especially between the characters and their relationships. It's hard to feel bad for characters who you don't know and are acting really stupid in very dangerous circumstances. I also felt there were many scenes missing from the film because we never see the main characters even bond or have much meaningful dialog within the first hour of the film, and are expected to cry for characters we do not know and expected to care about relationships we have not established.<br/><br/>4) The villains (are even worse:) The bad guys (Nazis of course) might as well have been twirling around their mustaches and laughing maniacally. Are we to believe that even the ""bad guys"" in a real historical situation did not have other emotions besides crazy and evil? And as if if the Nazis were not bad enough villains, the writers needed to include a sub-plot with the big bad Russians, who although helped us beat the Nazis, are apparently evil for wanting to take art for themselves, I guess.<br/><br/>5) Missed opportunities: Many scenes have a lot of potential to lead up to something interesting, intense, or memorable. They never deliver in any way, however. Every single moment where there is action,drama, or a threat of danger/death, it is resolved with some type of comic relief or very random exposition designed to move to the next scene as quickly as possible. Very sad to say because every scene starts out with promise, then fails.<br/><br/>6) The heroes/the Title: Not even sure about the accuracy of this film: But if true, the heroes are not even the Monuments Men, but the ONE German-speaking member (hired on a fluke) who figured out where the art was being hidden and the same guy also finds hidden Nazi gold. It should have been named after this one character, the other members are idiots. Any man who steps out of a vehicle in war-torn France to offer a cigarette to a horse, deserves to be shot.<br/><br/>7) The WW2 tropes cliché festival: Yet again another movie showing the ""greatest hits"" of WW2, relying on its audience to be a bunch of stupid simpletons who only respond to iconic images or names they know from grade school text books. ""OH, OMAHA BEACH! OH, BATTLE OF THE BULGE! OH, SCOWLING Hitler! OH PICASSO! THIS ALL MEANS SOMETHING!"" .. No, it's time to stop going for the low hanging fruit and bring something unique.<br/><br/>8) ""If it weren't for us you'd be speaking German"" ... This is an actual line from the movie, directed at a French woman from an American soldier. The problem is that only a few scenes before we see a German Nazi soldier speaking English to that very French woman. So apparently she would have been speaking neither German or French, she'd be speaking English so that the English-speaking audience wouldn't have to read subtitles. Ridiculous jingoistic quips would work fine in a more clever WW2 film, but definitely not this one.<br/><br/>9) Last but not least: George Clooney as Danny Ocean/Prince Charming/Hero Astronaut:<br/><br/>I cannot take him seriously in a WW2 film when he does the whole ""I'm not just a pretty face"" smooth talking nonsense. In an Ocean's 11 film, yes. He's a good actor, why did he choose to play it like this AGAIN? It's annoying and takes us out of the movie, especially when trying to believe him as a humble hero who cares about art and not just how cool he is."
"napierslogs","5","209","275","8 February 2014"," Telling an historical story comedically and missing a level of entertainment
","""The Monuments Men"" is a group of men (in real life around 350, and in this film 7) who are tasked with saving the historically and culturally significant monuments, fine arts and archives during World War II. They have to find and return that which the French hid and the Germans were finding and stealing and then hiding. And the film decided to tell this story comedically.<br/><br/>The film took a really long time to get going as they wanted it to be about the men that took on this task. But they changed their names and I also couldn't tell you a single characteristic of any of them. The men were paired off so they each had their own region to investigate, but none of that was interesting. The worst part was giving James Granger (Matt Damon) and Claire Simon (Cate Blanchett, representing the real- life heroine Rose Valland) a love story. They did have a reason for such nonsense, or how about just sticking with how it actually happened.<br/><br/>George Clooney has said the film is about 80% accurate, and that seems fair enough. But the problem isn't the historical inaccuracy; the problem is that the cheap humour diminishes the very people and story they're trying to empower. The humour was just a handful of lines wanting to kill Hitler and standing on a landmine. It just didn't make the film entertaining. The story could have done that but it didn't become interesting until they started discovering where the Germans hid the art. Coincidentally, the same point when the film started following the real story.<br/><br/>""The Monuments Men"" very clearly wanted to help remember an important part of history and spark a debate about the cost of war on soldiers, civilians, and history and society. The debate is raging on, but the film missed the level of entertainment by not trusting its audience to be interested in exactly what happened."
"PWNYCNY","Null","121","163","7 February 2014"," Bland movie telling an important story.
","The movie deserves an A for effort but misses the mark dramatically. The question is: why? The story is evocative and the cast is excellent. Where the movie goes wrong is how it presents the story. The movie attempts to inject a whimsical element in story which is out of context. There was nothing whimsical about the plan to save priceless artwork. Also, the story moves at a slow pace and inspires little if any excitement or drama. The discoveries of the hidden artwork has little dramatic impact, nor do the interpersonal relationships between the characters which in the movie are shallow. Even the attempt at romance comes off as tepid and half-hearted, as well as implausible. The idea of a young, handsome, married American officer, alone in Paris, having dinner in the apartment of an attractive, intelligent, single French woman who made him dinner and not staying for at least another drink is a stretch. True, he is married and his faithfulness is commendable, but still .... The movie does have some strong dramatic moments, but in general the story is bland. Yet despite the movie's drawbacks, it still manages to tell a story about an historical event of great importance and significance, and for that reason alone is worth watching."
"steven-k-beck","1","62","85","14 February 2014"," Very Disappointing Film
","This much anticipated film is a dud. Too bad, as it had the chance to tell one of the more fascinating stories of WWII. A plodding plot drove a dozen viewers from the theater well before the film's end and Mr. Clooney wasted what could have been, at the very least, an entertaining cast. The thinly developed characters - Bill Murray seemed to have no more than four or five lines - gave the actors nothing with which to work and the viewer next to no emotional connection. I was hoping for a somewhat serious take with a few dashes of Oceans 11/12 and Kelly's Heroes spliced in, but found only one of the more disappointing films of the last few years. And the movie's fixation on cigarettes was a bit over the top. Yes, smoking was a big part of a soldier's life in WWII, but making a smoke part of the supporting cast is a little much. Any interest in this film is probably best sated by waiting for its release on cable. Not recommended."
"Ricc0","3","10","11","11 January 2017"," A Total Disaster.
","Based on real events, this film was a disaster! I'm writing this review while the film is still rolling... well it took me 4 days (everyday watching a bit of it) to get to the last half an hour of this film and I cannot bear watching one more second. If I was watching it in a movie theater I'd surely walk away.<br/><br/>In the true story, a force of around 300 men chased a huge number of European art treasures to save them from the Nazis and rescue the heritage of the Western civilization. I guess that the number of men was enormously reduced in this film so that the viewer could relate and connect to the characters.. well probably I couldn't care less even if a bomb demolished them all. Some of the real events were altered to serve the dramatic portrayal and every time the film tried to look serious the scenes only seemed hilarious.<br/><br/>The WAR COMEDY film was not funny and the war action scenes were so badly executed that they seemed like rehearsals.. For a moment there I thought that the main characters did not care about what they were doing.. as if some of them were forced to do it.. and this goes even for Cate Blanchett! I don't know how the movie managed to make her look so bad.<br/><br/>I did not really expect something so serious, but at least a light movie that makes you laugh.. something like ""The Men Who Stare at Goats"". Yet, this movie failed at every level. I only gave it 3/10 because it is based on a true story that was historically quite important. Or else I consider it only slightly better than ""Battle of Los Angeles (2011)""."
"claudio_carvalho","4","18","22","10 November 2014"," Boring Story, Terrible Screenplay and Unconvincing Performances
","In 1943, the American Professor Frank Stokes (George Clooney) convinces President Roosevelt that the art stolen by the German should be retrieved and he recruits six art experts to form the Monuments Men's unit to travel to Europe with him to search the treasures. On the arrival, they split to several cities to guide the Allies to find the arts to return them to the owners.<br/><br/>I do not know how accurate ""The Monuments Men"" is but this movie has a boring story, terrible screenplay and unconvincing performances. The movie is neither a drama nor an action movie or comedy and has several main characters divided in subplots, some of them interesting and others pointless. In the end, ""The Monuments Men"" is a very disappointing film and sort of war propaganda. My vote is four.<br/><br/>Title (Brazil): ""Caçadores de Obras-Primas"" (""Masterpieces Hunters"")"
"danew13","4","15","18","15 May 2014"," Seems Like a Very Bad Made for TV Movie
","The main theme that seems to run through this film is a love for cigarettes, not historic accuracy. It certainly wasn't a love of art. Because as an art form itself, the film was bad, which is more amazing due to the large stellar cast.<br/><br/>The main problems with Mon. Men are a lousy script, filled with pointless time wasting padding and an attempt to recover art all over Europe in 90 minutes or so.<br/><br/>It begins in 1943 when Clooney is trying to convince the Roosevelt to form a unit to rescue looted art. He's using the bombing of Monte Cassino in Italy as an example of what could happen to object'art all over Europe. The problem here is, Monte Cassino wasn't bombed until 1944.<br/><br/>Then it takes an entire year for his unit to be formed and six months later in July 1944 they land in Normandy to being their 10 month quest, which is filled mainly with boring small talk and careless excursions around enemy territory as if the war was over.<br/><br/>Their final big haul of art comes on the heels of the Russians arriving. They have to leave immediately, which in fact takes 10 minutes of disbelief. <br/><br/>Seeing this film you get the feeling Clooney feels he can sell anything to the public."
