"username","rating","helpful","total","date","title","review"
"seeramuun5","7","133","143","28 September 2018"," best in serie
","WHY? It did not have to be romantic. The first end was more beautiful. Why did not it end? If it was so, I gave it 9 points. Apart from that, it was a pleasant film that was exciting. The show was clearly the best film. Entering new characters was also nice.<br/><br/>Serie Total Review: My favorite character was Rosalie. Most do not even know the character. Bella was a really absurd character. The writer did not really do this job. It is in Jacob.
Edward character was a simple, stereotypical lover character. There was no feature. It was unsuccessful.
Generally the characters sucked. I did not know any characters."
"icecaralee","10","171","186","3 September 2018"," great adaptation of the book
","People are weirdly bitter about this saga. It's a great adaptation of the book. The whole series of movies does a good job. Some of these reviews are from people who've not even seen the other films let alone read the books. These movies are for the book fans. They are cast perfectly; the acting is exactly what it should be, overdramatized and slightly disjointed but perfectly in tune with the awkward Bella, hot tempered Jacob and out of his element Edward. Even the poorly animated baby still goes with the book. It's not meant to look like a real baby. People are just taking these movies way to seriously for what they are; young adult fantasy movies made for fans of a book series."
"sbanner-58949","9","134","146","15 August 2018"," 100% improvement over the first Twilight.
","Even though I loved the movies, there were some really awkward moments in the first one. I'm glad that was cleared up. I only rated this 9 stars bc it's my least favorite of them all. I hate that Edward leaves. I've watched all of the Twilight movies at least 15 times a piece. When it comes to this one, I basically fast-forward through the entire middle/Jacob parts, and to the end when Edward comes back. Jacob (as an actor) doesn't show the same chemistry that Edward does with Bella, and it made me despise the middle 60 minutes. Lol"
"prahasta_samiaji","10","131","143","16 December 2012"," Truly epic finale!
","Breaking Dawn Part 2 is the best in the Twilight Saga series. Below is my personal list sorted from the best: (1) Breaking Dawn Part 2 (2) Eclipse (3) Twilight (4) New Moon (5) Breaking Dawn Part 1<br/><br/>Some remarkable things from my observation (spoiler alert!!! stop reading here if you don't want spoiler!): <br/><br/><ul><li>Great fighting scenes. Final fight against the Volturi is simply cool. There is tension development before the fight until the very end of the fight. The fight scenes themselves could have been better as not all vampire's special powers have been used in the battle for example Benjamin should have utilized more his power to control elements, Alec should have attacked from long distance to deprive the senses of the Cullen's &amp; allies, there should have been Felix vs Emmet. In other words, it would be perfect to see some strategies being deployed to win the battle (not just ""randomly"" attacking the opponents). </li></ul><br/><br/><ul><li>Epic Finale! Why epic finale? In the movie, the audiences are given fighting scenes and this is a must for action lovers (without this, I myself would have been disappointed). On the other hand, we also want to see happy ending. It is not happy ending to see Jasper died, Carlisle died, etc. And that is why they don't actually die :) ...This is truly the beauty of the ending but I know for sure that some people cannot see it that way (according to them, had the fight scenes been real it would have been perfect!). </li></ul><br/><br/><ul><li>Great plot development. Starting from Bella being a new vampire (learning to control herself from human blood, being the strongest in the house, learning to pretend to be human, etc). And then it continues to develop as Reneesme is reported as immortal child. The cullen's try to gather witnesses from other vampire clans and along the way the practice their special powers for the battle.</li></ul><br/><br/><ul><li>Vampire Bella looks beautiful in this movie. Last but not least, vampire Kate is awesome!</li></ul><br/><br/>I am planning to buy the DVD so that I can watch the movie again and again :)"
"aquaticsea","10","136","149","28 November 2012"," Out of all the series, this one was the best.
","I'm not a twilight fan, but I loved the ending to this movie. Out of all the series, this one was the best. <br/><br/>Bella is new and improved as a vampire after childbirth killed her mortality. And although her union with Edward was fully accepted amongst the vampire community, their new baby Renesmee (a composite name of Renee, Bella's mother, and Esme, Edward's ""mother"") wasn't so lucky. After a false accusation, the new family is in grave trouble with the powerful Volturi who only happen to be the largest vampire regime. Even still, the Cullen's are prepared to use their special gifts against anyone who threatens their family.<br/><br/>There are certain details of this film that one has to accept in order to appreciate it. First, aside from the vampires' requisite to drink blood, the Twilight saga movies focuses on the majestic viewpoint of vampires rather than their dark side. And, when assessing the situation in that way, it might make it easier to digest that teenage Bella was literally dying to be a vampire in order to be with Edward, unbeknownst to her parents and only has to loose her soul to do it. Furthermore, even with Bella and Edward being married, there's no way around the fact that Twilight glorifies teenage pregnancy.<br/><br/>If these details can be accepted or moved past for the sake of fiction, this film is awesome! I've seen the previous films in the Twilight saga and I thought they were captivating at times but I've never been impressed this much. For starters, it continues to evolve the intense Romeo and Juliet type romance, with a twist. However, the writing in Twilight Breaking Dawn Part 2 seems to be the best yet. I found myself laughing out loud. The storyline is more witty, interesting, cleverly done and the action scenes are completely unexpected.<br/><br/>Even the actors gave better performances. The highlight performances for me were from the beautiful Kristen Stewart, who plays Bella Swan. Not only did she give a believable performance as an incredibly strong vampire in such a tiny frame, but she made it funny and fascinating to watch. Also giving an always reputable performance was Michael Sheen, who plays Aro, one of the three leaders of the Volturi. There's something about his malicious depiction that is so grimy, yet you'll love to loath him! Robert Pattinson, who plays Edward, was funnier than I ever remember him being. Taylor Lautner, whose character is Jacob, gives another vigorous performance and the other wicked actor that amplifies inhumanity is Dakota Fanning.<br/><br/>I saw this movie surrounded by a packed theater of energetic Twilight fans. It was almost as equally entertaining to watch the film as it was to be amongst the energy of the crowd for Team Edward vs. Team Jacob. And especially all the boisterous fans who were anti- Volturi. Of course the second Jacob took off his shirt, girls in the audience went bananas. Aro and his crew got an equal amount of rowdy boos.<br/><br/>Regarding the topic of appropriateness for young impressionable teens, this film warrants at the least a conversation to your youngsters on issues like intense sexual content, violent murder and teen defiance.<br/><br/>Overall, if you've never seen any of the Twilight saga films, this is the one to see. If you're a fan already you will be blown away with how this final movie goes out with a blast. Go see Twilight Breaking Dawn Part 2; it's worthy! Surprisingly, one of my favorite films this year!"
"hollywitch71","8","119","130","27 November 2012"," Twilight Saga Finally Hits Its Stride-- In The Final Film.
","I was really psyched for this final film in the Twilight Saga. The first Breaking Dawn did a fine job of setting up the finale, though having read the books, I was a little curious as to how some elements would play on screen. (WARNING: Spoilers from here on out.) On the page, the final confrontation with the Volturi was only exciting on a psychological level, as it's essentially just a bunch of random vampires standing around in the snow. However, the film does action fans a solid by capturing the content of what Alice shows Aro will happen if he does not alter his plans. This in itself makes for a compelling, tight sequence that will leave fans of the books screaming ""NO! That didn't happen!"" Haha, turns out they're right, but it's some cool special effects porn nonetheless. A LOT of heads get twisted off, vamps and dire wolves (oops, wrong franchise– werewolves) display their unique fighting abilities in excess, and the very elements get drawn into the fray. It's an FX maven's dream.<br/><br/>However, there's a lot of movie between the moment newborn vampire Bella opens her now-red eyes and this big-budget (and entirely manufactured) confrontation, and it's a bit of a mixed bag. Where the film shines is in its depiction of Bella's adjustment to her new way of life, and Kristen Stewart has never appeared to be more comfortable in Bella's skin as she does now. I am not sure if this is the difference between Human Bella and Vampire Bella so much as Stewart at last having fun stuff to do on screen, which admittedly there's been little of in the past films. In the first film, Bella didn't do much, besides bite her lip a lot and nearly get (passively) killed a couple of times. In New Moon, she rode some motorcycles and tried to (passively) kill herself a couple of times. In Eclipse, she got to punch Jacob (Taylor Lautner) but spent most of the movie being protected from this and that, and in the first Breaking Dawn she got married, had a baby, and sorta died. But none of this looked particularly fun to play, in the way that portraying Bella as a vampire looks fun. Stewart looks to be actually enjoying herself, no matter what Bella is doing this time around. The lip-biting thing seems to be over, replaced by a real smile. Bella, in becoming a fantastical creature, has never seemed more realistic.<br/><br/>However, the film is not without its flaws. The passage-of-time voice-over Bella delivers feels painfully contrived, and the absence of Ashley Greene's Alice from most of the proceedings, though storyline- dictated, leaves a big hole in the Cullen family dynamic. (I could say the same for Jackson Rathbone as Jasper, but he has been criminally underused on screen throughout the series anyway. TEAM JASPER!) All the Volturi, with the exception of Dakota Fanning's Jane, and a few of the Cullens' vampire allies are overacted (though this is lamp-shaded somewhat when Jacob notes to Bella that the Transylvanian vampires are ""creepy"" and has a big laugh about it). But for all of this, the movie gets more right than it flubs. Bella's delight in her newfound abilities is a joy to watch, as she takes down mountain lions, beats Emmett (Kellan Lutz) at arm-wrestling, and flings werewolves around like stuffed toys. There are difficulties in how she adjusts to her condition– her craving for human blood, as seen when she and Edward (Robert Pattinson) accidentally encounter the mountain climber, frightens her; no less challenging is how she copes with keeping her father, Charlie, in her ""new"" life while being unable to tell him the whole story (as usual, Billy Burke's Charlie gets some funny lines), and the very natural rage she feels when she learns Jacob has imprinted on her baby daughter. Bella's motherhood feels believable despite her young age and her daughter's rapid growth. Mackenzie Foy is charming and ethereal as Renesmee, whose very existence, through a misunderstanding, elicits the wrath of the Volturi, and who has a special ability of her own. And of course, since at its core The Twilight Saga is Bella's and Edward's love story, there's some tastefully presented sex, handled less awkwardly than in the first Breaking Dawn. <br/><br/>Overall, the film was a satisfying ending for the franchise, which finally came into its own with this installment. It's been a long trip, but the series saved the best for last. And for those suffering a withdrawal from movies based upon the works of Stephenie Meyer, this spring we have the film version of The Host to look forward to. Completely different universe and characters, but the first trailer looks good. So cheer up, fans! The SeriouslyFluffy Final Grade: A-"
"kidzmail1","10","138","152","19 November 2012"," great movie
","I originally expected the movie to have some of the basics of the book except at the have a fight instead of then talking it out. But I was pleasantly surprised when is showed a Combination of the two. I also liked how it used some of the music that was in the first one it brought back a lot of good memories of watching the series and reading it. I liked how when bella showed her thoughts to Edward and it flashed back through out the movies how she fell in love with him. It honestly brought tears to my eyes. It reminded me of why I fell in love with twilight in the first place. During the fight I was pumped and ready for the volturi to get their ass kicked and it made me angry when they killed some of the Cullen's. But cool thing was with Alice when it all turned out to be a vision. I still think its sick and perverted that Jacob is like in love with renesmee even if its a wolf thing it is still creepy. I do liked how the credits not only showed the breaking dawn cast buy the whole series cast. The directing was great and the whole movie was beautiful to me. I would definitely go see it again. I cant wait to get it on DVD. I still don't like Kristen Stewart as a person or an actress. But overall the cast acting was pretty good."
"arshdeep-61438","10","143","158","5 November 2018"," Best movie ever
","I'm a guy and I watched this movie finally while I was randomly scrolling through channels on the TV.
I had read the books a long time back, and didn't think I could watch the movie as it would mean going through the heartbreak of seeing a series end.
But boy, these guys have presented it so beautifully!
10/10 from me, a fan of the books."
"spec-4","10","150","166","8 March 2013"," Oh, it's so hip to not like Twilight, aren't we cool?
","That's right, I gave the thing a 10 because I fully enjoyed it. Call me someone who enjoys movies - someone who enjoys leaving reality for a bit - someone who's well being doesn't depend on every thing coming together perfectly in a movie as I critique every stupid piece of dialog and scene. The only conclusion I can come to is that it's so fashionable to hate this movie that people not only feel the need to write review after review stroking each other's egos about how couth they are by not liking the movie at all, but seem to aspire to disliking it as if the mere thought that they might like it would get them banned from Mensa. Congratulations, you're all so cultured it makes the rest of us want to puke. The final scene was fantastic - what can I say. I heard one reviewer claim that the fact (spoiler ahead) it was a vision was a disappointment. WHAT!? I was so relieved that Carlisle was not dead!! Also another reviewer says something about the actors being emotionless. Hey! That's there characters! They're Vampires - that's the bit! Any way - if you take yourself too seriously, if you have a bug firmly lodged up your backside, and you're not secure enough with your masculinity in the first place then you probably won' enjoy any of theses movies. Better stick to trying to find more ways to looks manly like growing a goatee, shaving your head, and buying a pickup truck."
"kez0","10","139","154","16 November 2012"," Could Not Have Been a Better Ending
","Yes, I am giving this movie a 10/10, and not just because I am a fan. Here's the reason it deserved the ranking: <br/><br/>This movie was completely astounding as the end to a series of movies and books. As a Twihard, I was completely satisfied, and then some. <br/><br/>This movie, which is heads and tails above the others in the saga, had many laughs, romance, drama, heart racing action, and even some sweet nostalgia (I teared up at the end, realizing that this was the last Twilight movie I would see on the big screen). <br/><br/>The cast, which has been so criticized for the past movies, was incredible. You could tell that the actors really knew and understood their character and were very comfortable portraying them. Very little to no awkward pauses, dialogue was easy and not forced sounding, and no cringe-worthy lines. As I said before, the story was perfect. <br/><br/>The theater buff in me was also awed. The settings and landscapes shown were absolutely gorgeous. The costumes, although modern, fit the characters so well and aided in the story line. If you followed the other movies, you can tell how the clothing changed with the plot, thus adding to the story visually). Yes, some parts of the CGI and other computer animated elements were a bit cheesy (not as bad as I was expecting based off of some of the trailers), but overall they were very well done. Also, I picked up a lot of makeup tips because there were many closeups. <br/><br/>****SPOILER**** I saw the movie a couple of hours ago, and I am still shaking. For the one scene (and anyone who watched the movie will know which one I am talking about), was I the only one who almost needed to have my heart restarted?? ****END OF SPOILER****<br/><br/>This movie will NOT disappoint those who follow the Twilight Saga! Perfect ending to a history-making story!"
