"username","rating","helpful","total","date","title","review"
"TheKing87","10","1238","1731","17 March 2018"," Many people misunderstood this movie! There is a twist in the story!
","I was very skeptical about this movie from the very beginning, because I thought that this would probably be a dumb monster movie with a similar theme like ""Beauty and the Beast"". However, I was very surprised when I saw the movie and think that it was brilliant!<br/><br/>After reading the reviews on this site, it is my understanding that many people that saw this move completely misunderstood it, both the people that loved it and the ones who hated it. <br/><br/>The theme of the movie is not something similar to Beauty and the Beast for those who might think that! <br/><br/>There are several themes in this movie, but the overall theme is about minorities and how privileged people view those who are different. However to make this message more clear the movie is set in the 1960's, where minorities were generally marginalized. <br/><br/>The lead character Elisa Esposito is a mute woman, who was an orphaned child that was found in a river with wounds on her neck and communicates through sign language. She works in a government laboratory as a cleaning lady. Her friends are her co-worker Zelda, a black woman who serves as an interpreter for Elisa, and her next-door neighbor Giles, a closeted gay man. Elisa discovers a mysterious creature in the facility and begins to bond with it. The creature is a mute humanoid amphibian that was captured in a river in South America by Strickland, who is in charge of the project to study it.<br/><br/>Elisa is the main protagonist in this story, and together with Zelda and Giles, they represent a social minority. Women, handicapped people, black people and gay people are all amongst those that were outcast by society at the time. On the other hand, there is Strickland who is the main antagonist in the story and he represents the privileged people at the time. He is a white man in a privileged position, married with children, religious, and is hostile to those who are not like him. He treats the creature hostilely, beats and abuses it, and calls it a monster.<br/><br/>When Elisa learns that Strickland plans to vivisect the creature, she hatches a plan with the help of her friends to free the creature and keeping it in a bathtub at her apartment and planning to set it free in the ocean. Elisa and the creature bond romantically and it is revealed that the creature has healing powers.<br/><br/>When the day arrives to set the creature free, Strickland arrives and shoots Elisa and the creature. The creature heals itself and kills Strickland. The creature takes Elisa and jumps into the ocean where it heals her. When the creature applies his healing touch to the scars on her neck, she starts to breathe through gills.<br/><br/>Here is the TWIST: This scene reveals that Elisa was of the same kind as the creature all along. She just had a more human like form than the creature. There are different clues throughout the film. She was found as child next to a river like the creature. She was found with the ""scars"" on her neck and they turned out to be dormant gills as the creature healed her. She was mute like the creature. She loved being in water as shown in her morning habits. She was initially attracted to the creature whereas most people would fear it. She comes from a Spanish speaking country, as her last name is Spanish whereas the creature was found in a river in South America.<br/><br/>The creature itself and Elisa represent a minority, as they are alike. The fact that the creature is different yet human like, symbolizes how privileged people viewed minorities at the time. The point of the monster is simply to symbolize how we sometimes view other people that are different from us.<br/><br/>The message of the story is this: You view other people that are different from yourself as ""monsters"" if you don't try to understand them. However, if you try to understand people who are different from yourself, then you will see that we are basically all alike even though we look different.<br/><br/>I think this movie was brilliant and very clever. Guillermo Del Toro did a great job. It is definitely a movie worth watching.<br/><br/>This is my point of view and I hope that you found this helpful."
"malcolja","2","922","1546","1 January 2018"," Guillermo Del Toro does ""Amelie"" meets ""Creature from the Black Lagoon""
","Diabetics beware, you're in for a saccharine flavoured heap of mush.<br/><br/>The Shape of Water was directed/created by Guillermo Del Toro best known for creepy and violent films such as Pan's Labyrinth and more mainstream writings such as Hellboy and The Hobbit. For some reason he has had a dose of the lovestrucks and written a film that is basically Amelie meets Creature from the Black Lagoon. There are a couple of questionable violent scenes (torturing a dying man by dragging him around via a bullet wound to the cheek had a touch of the old GDT that we know and love) but the plot literally has no surprises whatsoever. I picked the minor twist about 10 minutes in, and spent the second half of the film waiting for it to be over. <br/><br/>I am sorry to say the only interesting part was the reveal (not literally) of the sea creature's penis via the main character's description which is frankly hilarious. <br/><br/>Octavia Spencer does a fantastic job of playing herself (Was this woman born middle aged?) but let's face it we love her anyway. I would love her to be my best friend, she's a hoot.<br/><br/>Michael Shannon (whom I remember from Take Shelter and Boardwalk Empire) plays a creepy bad guy in a way that makes me never want to have him around for Christmas lunch. Why does he always play someone sexually awkward? I pray we'll never find out. <br/><br/>I was most disappointed that unlike Pan's Labyrinth and some of the other films GDT has made it's not set in a fantastical different world. It's basically the 1950s cold war era in USA with no real pretense of being anything but. I was hoping for a magical realism, but other than the creature, there's no otherworldliness to it. <br/><br/>I am a solid romantic, but I found the plot so saccharine that it made me feel nauseous. There is also a sudden musical number that almost had me running for the aisle, and my sister desperate to see my husband's face (He's allergic to musicals generally). Apart from this light relief, I couldn't wait to get out of there.<br/><br/>I am pretty alone in this opinion, our party was split between 3 people who loved it, and my husband and I who hated it. Maybe if I hadn't seen other GDT films I would have liked it more. My husband also thought the trailer completely misrepresented what he expected from the film. So maybe we were in the wrong movie. But I think romance lovers won't like the art house element, and art house/GDT fans won't like this film. So I think commercially it will be hard to place."
"bigsmiles-28464","1","1055","1785","2 January 2018"," So disappointing.
","I was taught before criticism that you should first bring up the good points. Good points: Cinematography, good actors, great old movie clips and music, great sets, good costumes, and an extremely promising storyline. Unfortunately, this movie missed, when it really could have, and SHOULD have, hit. 
I think from now on I'll choose my movies based upon how they're doing at the box office, and not based on reviews. It seems to be a better indicator of what the public REALLY thinks about a film. 
We're at week 3 and (for such a seemingly magnificent film), The Shape of Water hasn't even broken even. A telling clue. Budget:$19,400,000 (estimated)
Opening Weekend USA: $166,564, 3 December 2017, Limited Release
Gross USA: $12,140,155, 28 December 2017<br/><br/>Personally, I found it contrived, unbelievable, and just plain stupid. Where to start? 
A cookie cutter ""Beauty and the Beast"" love story with too many holes. I never caught on to the burgeoning romance. Somehow it just fell flat for me. It was already a mediocre movie when they did that ridiculous black & white dance sequence, which was so far out of place, I lost all interest. The music and old film clips were great, but what were they thinking? Were they trying to cash in on some La La Land success? Or was it supposed be some allusion to Cinderella's ball? It would have made more sense as a dream sequence either where Hawkins had dozed off during a flick, or in the bathtub. 
Ew. Were the masturbation scenes really necessary? I can't see where they drove the plot. 
Are we supposed to believe a creature like that could or would run into a theatre, leaving a blood trail no less, without being seen by ANYONE? Then he just stands watching a film. (All the while knowing he was in danger from humans and he needed to get to water)? All this, and the projectionist doesn't notice? Where are the film patrons? How'd he get IN without being noticed by anyone? An unlocked door? What would be the purpose of having a box office if you're going to leave an access door unlocked? 
Are we supposed to believe that the creature, being so sick and weak that he must be released immediately, suddenly has superhuman strength after some strange (and inexplicable) resurrection event following his ""death""? 
And are we supposed to believe that you could pull a full grown man via a bullet hole in his cheek? (You'd rip right through.)
Are we supposed to believe that the best friend wouldn't have freaked out about the coitus? In her eyes, wasn't it more an animal. At the very least, one would expect her to broach the subject of pregnancy. 
How did those two remain standing in the bathroom? The force of the water would have carried them out. If it was pressing that much on the door, the window should have blown. 
Why didn't Richard Jenkins appear to grieve at all regarding his cat?
And why? Oh WHY? Couldn't they just release him directly into the ocean immediately, rather than wait for the locks to fill. I mean the water was RIGHT THERE. They could have made a bath in the back of the van, and just got him to the coast. 
On and on I could go, but I'm done with my rant. <br/><br/>Save your money. If you want dumbed down fantasy get the Hallmark channel. At least you know you're getting purely pleasant drivel, instead of wasting your money and being grossly disappointed."
"mike-c-b","2","17","22","8 April 2020"," A mute girl puts up with fake/narcissistic people. No other content.
","It's artistic if you take still shots, but as a movie there is nothing there.<br/><br/>A relatively normal, intelligent, mute girl basically lives her life putting up with horrible people while still keeping her soul. Even the characters that are supposedly ""friendly"" are fake/narcissistic as well.<br/><br/>So as the viewer you have to put up with all that as well."
"JPG7789","1","105","170","22 June 2019"," One of the worst best picture winners!
","So determined is Del Toro to keep his happy ending that he forces the film into a narrative structure that is both cliched and unimaginative. The 1960s setting might have served for an interesting back drop for Del Toro to explore social issues, but it's script is so on the nose, his characters so dull and formulaic, that it waters down any meaningful message."
"crazymanmichael","1","108","179","12 July 2019"," The Shape of Garbage
","I was prepared to like this film. Hell, I WANTED to like it, seriously. Based on his previous work, I thought Del Toro a filmmaker with some chops (although now I'm not so sure...) and really, I had some expectations for this newest piece of his.<br/><br/>It started well: the sets had this kind of baroque, Gilliam-esque density and muted palette that gave the film a certain visual appeal and tone. Twenty minutes in I was thinking, ""Okay... it's not as good as I hoped, but maybe it'll pull itself together..."" By the end of the first hour I was wondering if I could make it to the finish without hurling something at the screen. But the thing is, I always hold out this forlorn hope that somehow, against all odds, at the finale the movie will redeem itself, explain away the vacuous plot holes, hackneyed acting and ridiculous, cliché ridden dialog, and make SOME kind of sense. Sadly, this was not to be the case. This film was awful right through to the credits.<br/><br/>I really would like to have a conversation with someone who adored this film. I would like to ask them how they managed to get past all of the elements in this film that annoyed and, quite frankly, insulted me as a viewer: the stock, cliched characters, the utterly egregious plot holes, the cringe-worthy dialog (""You ARE a god!"" Eek.), and the fact that our central character, a guy in a rubber fish suit, looked to me exactly like... a guy in a rubber fish suit. For pity's sake, it wasn't even consistent from scene to scene! Did they LOSE some pieces of the suit during filming?? Hell, you could even SEE the seams in some shots!<br/><br/>Okay, just for fun (sarcasm alert) let's look at a couple the more obvious plot holes:<br/><br/>So, apparently we can't release fish-guy back into the ocean because the flood gate at the end of the canal is closed. Explain to me: what's the problem with driving an extra 400 yards to the other side of the gate? Do you seriously expect me to believe that this canal is the ONLY access to the ocean within driving distance? Come ON...<br/><br/>After the great escape (though machinations so absurdly improbable I'm not even going to dignify them with a comment), our well-intentioned heroine decides to keep fish-guy happy (oh, and have sex, too, apparently. Right...) by flooding her entire bathroom with water Does anyone seriously believe that the upper floor of an old building like that could even come CLOSE to handling that kind of mass without a catastrophic structural failure? I'm sorry, but that is simply impossible. Period. Assuming the room is about 10 by 10 (likely bigger), that comes to nearly 50 thousand pounds of water, or 25 tons. In reality, it wouldn't just leak down into the audience below; the entire room, water, floor, walls, bathroom fixtures and everything else, would come crashing down onto the moviegoers, killing or injuring at least a dozen. But that wouldn't make for a charming, romantic movie, would it?<br/><br/>I expect some people are reading the above and thinking, ""Oh come on! It's a fantasy; stop being so literal."" Nope. Sorry, I disagree. If you place a fantasy in a fantasy world then fine, you can write your own rules, create your own reality, the sky's the limit. But if you place your fantasy in the REAL WORLD, then you have to abide by real-world rules. You can't pick and choose what parts of reality to accept and what to cast aside because it's inconvenient. To do so just lazy writing, and this film is rife with it.<br/><br/>I could go on, but really, what's the point? And frankly, I would very much like to put this horrible experience behind me, thank you very much. I have to admit that Sally Hawkins (as Elisa, the mute cleaning lady lead) did a decent job with a shallowly written character. Also, the ubiquitous permeation of cold war paranoia in the 60's was decently captured. But I fail to see how Richard Jenkins, a character actor I admire, could allow himself to be drawn into this mess, especially given his cliched, stock character of the lonely, closeted gay man (if you're going to insert an LGBTQ character into a film, could you not at least make him/her interesting?)<br/><br/>Suffice to say, I have not had any respect for the Academy of Motion Picture Arts and Sciences since the execrable ""Oliver!"" won best picture way back in 1968. This film and its woefully misplaced accolades does nothing to change that opinion."
"adamk-2","2","595","1069","14 October 2017"," Disappointing Twaddle
","This has absolutely so much going for it - beautifully filmed, with a magnificent, sweeping score and a stunning performance from Sally Hawkins - but crashes and burns in sentiment, cliché and cartoon supporting acts. It comes across, ultimately, as a cack-handed mash up of ""E.T."", ""Splash"" and ""The Creature From the Black Lagoon"", as an aquatic man is captured and brought into a secret military American laboratory in the 1960s at the height of the cold war, and Sally Hawkins' mute cleaner develops a bond with it and, ultimately, falls in love.<br/><br/>Sounds interesting, doesn't it? It certainly has potential, but if the sassy black friend, constantly yammering on about her feckless husband (Octavia Spencer, surely tiring of this kind of role) doesn't get you, or the inefficient gay neighbour/best friend (Richard Jenkins - not his finest two hours) or Michael Shannon's cartoonish, 2D villain, then stay tuned for the ghastly black-and-white fantasy dance number, in which Hawkins and the creature cavort on an elaborate set like Astaire and Rogers. It truly is a ghastly mis-step, jaw-droppingly stupid. The film never really recovered for me, and it lumbered to its predictable climax and ending with numbing melodramatics and sentiment."
"Richyb1","1","126","215","3 April 2019"," What on earth!!!! What on water???
","It's one of these films that gives these elitist arty types platform to say ""You small people are too stupid to understand this""<br/><br/>No - the film is stupid!"
"scottdnorman","1","194","342","23 January 2019"," Are you kidding me?
","This movie sucks- the Academy must be on drugs to give this an award"
"lisanwb","1","118","204","6 January 2019"," Waste of 2 hours!
","So like many people they do their first review on something that absolutely sucks!
I am lost for words as to why this won oscars and had so much hype."
