"username","rating","helpful","total","date","title","review"
"afaq888","10","336","391","29 May 2008"," the matrix trilogy explained --hoenestly
","Let me first say i promise u will love the trilogy if u read this<br/><br/>Here we go with the basics.<br/><br/>Zion is real! The Matrix is not.duh<br/><br/>The Matrix was designed to provide a mental stimulus for the human bodies connected to the machines as a source of power. This is the sixth version of the Matrix. There have been multiple versions of the Matrix because of a flaw in the program (kinda of like Windows). That flaw is giving individuals the ability to choose.<br/><br/>The first Matrix was designed as a perfect Utopia (see pt. I - Smith explains it to Morpheus; pt. II - The Architect explains it again) but humans did not accept it as real so they just kept waking up. It was redesigned to reflect our civilisation at it's last stage before it was taken over by the machines (the year 1999).<br/><br/>The Architect's problem with this new design (the anomaly)of the Matrix is that it require individuals to think freely, i.e. choice. It was the Oracle that suggested he redesign the Matrix in this way. But since humans have choices, so must the programs sent to watch over them, i.e. The Agents, thus bringing us the problem that is Mr. Smith. In Reloaded, The Architect continues to speak of the anomaly he is unable to get rid of, which is why at some point, he feels the only solution is to destroy the Matrix and those who are aware of it (the people of Zion) and start from scratch again.<br/><br/>The Oracle says it clearly in Revolutions. Mr. Smith is the result of the anomaly trying to balance itself. Mr. Smith began to think freely (see part I where he is freaking out while interrogating Morpheous) and the result was a negative one. Realize this, he is a similar program to the One so he is far more dangerous than a normal individual who makes bad decisions. Mr. Smith's virus like behaviour happened in EVERY VERSION OF THE MATRIX. The result would always lead to the same thing -- a system crash if they didn't quickly reboot the system. The same knee jerk reaction you have when you realise someone has sent you a virus.<br/><br/>the one program was created to solve this problem. But each version of the One ultimately failed. Neo is different, in Reloaded he choose the door that led to Trinity, not the door that RESETS the program. Note: The Architect even noticed that Neo's experience in the Matrix was different than all the rest, realising he was the first of them to fall in love.<br/><br/>Onto Revolutions: Neo's choice has changed everything. The system is still threatened by Smith's behaviour, so the Oracle makes a new choice; one she has never done before because no version of the One has ever chosen the difficult path as opposed to easy one of just resetting the system. She allows herself to become merged with Smith in the HOPE that she'll be able to help Neo when the time is right.<br/><br/>Neo makes another unique choice. He goes to the machines and asks for PEACE as opposed to simply destroying the system by going through the opposite door as all other versions of the One did. It was a simple as that to save Zion. Machines don't need very long to process that this may be a better idea than just constantly resetting the system.<br/><br/>At the end, Smith says to Neo the movies tag line - ""Everything that has a beginning has an end,"" as the Oracle is speaking to Neo through Smith. Neo realises it all along, the only way to end this is to sacrifice himself. The Oracle noted that Neo and the Source (the computer mainframe, the Architect they're all one and the same so don't get confused) are connected which is why he can control machines outside the Matrix. He uses this connection to his advantage. He becomes a Mr. Smith and since all the Smith's are connected, the Source now has a lock on Smith and simply deletes him. Pretty simple huh? For those that like to dig deeper, than note the biblical references throughout the series. Heck, the French Man (Merovigchian) is the Devil, just read the elevator button Morpheous presses when he goes to see him for the second time. The Architect represents God - i.e. the creator of the world and its destroyer whenever things don't go as he wants. He even has you to chose a select group of people to restart Zion again sort of like Noah's Ark. Neo is Jesus, the one who realises that peace and love is the answer, not war. And the Oracle represents the Holy Spirit - the consciousness that resides in all of us. It's a deep trilogy if you PAY ATTENTION."
"ivo-cobra8","9","117","142","15 November 2015"," An amazing third entry to end the Matrix Trilogy!
","The Matrix Revolutions (2003) is very underrated trilogy of the mythology to understand. I know for a lot of people is not that good and it is terrible movie to watch. The first time I watch it, I couldn't finish it because I did not understand it and I felt bored with the movie. The second time I kept watching I just enjoyed the movie and I wanted to know more, what will happen next. I think the movie end perfectly the trilogy, tough it did lack on a story and on the action, there very barely in it, that it was in the original and the second movie. It is one of my personal favorite Keanu Reeves movies amd I love this movie to death I don't care what anyone says. <br/><br/>The movie it self's focus more on the humans and the battles against the machines on the planet Zion, more than they are in the phone line of Matrix. I think this was a brilliant end to a brilliant trilogy. If you didn't understand what the matrix was by the end of the film, then you're never going to get it! <br/><br/>Many viewers preferred Revolutions to Reloaded, thinking it was a simpler, more straight-ahead action movie. Though it may have appeared that way, nothing could be further from the truth. Revolutions was a mind-blowing layered ending that honored and respected the plot threads and themes introduced in the first two movies. The character arcs were satisfying and true to the characters introduced in The Matrix. The creators continued to challenge our understanding of the Matrix and its purpose, avoiding the temptation to serve us a bunch of ""their"" answers on a platter. That, to us, would have been a sellout of the vision they've been constructing, and wouldn't have been fair to us. Nor would it have been true to the spirit of the previous movies - they've never told us what things meant, they've only shown us the door. <br/><br/>Everything that has a beginning has an end. In this explosive final chapter of the Matrix trilogy, Neo, Morpheus and Trinity battle to defend Zion, the last real-world city, against the onslaught of the machines that have enslaved the human race. And, now as Neo learns more about his heroic powers--including the ability to see the codes of things and the people, he faces the consequences of the choice made in The Matrix Reloaded. For Neo, that means going where no human has dared - into the heart of Machine City and into a cataclysmic showdown with the exponentially more powerful renegade program Smith. The revolution is now: The Matrix Revolutions.<br/><br/>I wish they made more films about the Matrix. The fighting, story and the conspiracy theories that emerged from these movies created a new world for millions of people out there. Some of the conspiracy theories even created a new ""religion"", the CGI was at the time freaking impressive, the fighting in slow-mo were even more epic and the story itself captured a lot of hearts. Just saying to all who think this movie (and/or the first two) sucked balls,- you are a minority. Movie is great, second one being the best in the trilogy. It is my second favorite film in the trilogy because it ends the story and answers what happened with Neo (Keanu Reeves), he saved Whole planet and defeat Smith (Hugo Weaving) on the end of the movie. This movie may not be the best in storyline, but hell it knows how to make action! That end fight and emotional ending leaving behind a plot for sequel ...Second really expanded the meaning of matrix and the whole idea so I don't understand the hate.<br/><br/>There is a lot of memorable moments the Smith vs Neo climax rain scene is one of my favorite movies scenes of all time. Anyway I love this movie it is not good as the greatest or the best movie or that good, but it is still a worthy sequel to watch and a good end to the trilogy. It is one of my personal Keanue Reeves favorite movies and I love this movie to death. I am giving this 9/10 and only because one of the characters dies in this movie not telling which one."
"MinorityReporter","9","526","771","9 January 2006"," It makes me mad...
","...that this film is not getting the credit it deserves. It is in my opinion one of the most underrated films of all time along with The Matrix Reloaded. Revolutions is undoubtedly different from the previous films both in general and in terms of tone but why is that necessarily a bad thing? I won't be so arrogant as to say that the people who don't like this film are unintelligent. Whether or not people like a film or not is a subjective matter but I can't help feeling that the people who dislike (or even hate) this film are missing something because Revolutions is an intelligent, entertaining, beautiful, sad and moving picture.<br/><br/>The acting of all three films have been a mixed bag and although I usually join in the bashing of Keanu Reeves I find him strangely fitting for the part of Neo. His voice is not the perfect voice due to its monotonous tone but his body language is very good and sometimes even great and that is the case in Revolutions as well. Carrie-Anne Moss plays her character like she did in film two and that is neither particularly good or bad but a decent performance. Laurence Fishbourne's character has been reduced somewhat for the final part of the series but I found that the lines he did have were delivered with conviction and experience. As most people know Gloria Foster died before finishing her scenes for Revolutions and thus a different actress was cast to take over. The choice fell on Mary Alice and while she is no where near as good as Foster she is decent enough. Ian Bliss gets a chance to show his worth in the third film and personally I found his scenes to be among the most interesting of the film and his uncanny imitation of Weaving was spot on. Most of the secondary cast from Reloaded returns in their parts in Revolutions and they all do decent jobs with their characters. Harry J. Lennix (Lock) improved his character tremendously in spite of limited screen time. Hugo Weaving still provides the best acting in the film and steals every one of his regrettably limited number of scenes. He is probably my all time favorite screen bad guy. He manages to show the change in his character remarkably well considering how limited his screen time is. Agent Smith exhibits an increasing amount of human traits including anger, hatred, jealousy and even a sly sense of humor. This change happens to mirror Neo's growing understanding of the machines. Neo and Smith are linked in that way as well.<br/><br/>The effects are of course extraordinary which was to be expected after the stellar effects in the second film. Although there weren't as many scenes inside The Matrix this time around I still found the effects of the ""real"" world to be awe inspiring at the least and the battle for Zion was an incredible display of special effects. Of course the directors never lost sight of the people involved in the battle making it more tense had it only been effects. The climactic battle between Neo and Smith is quite simply stunning. It takes roughly 15 minutes and I for one hardly breathed in those 15 minutes. All three Matrix films have been inspired by Japanese animé comics and that is very visible in the final battle as one can't help but think of Dragonball for instance. The action in that particular scene is frighteningly well done and I got the chills when I watched it in the cinema. Very well done.<br/><br/>The story is darker in this film than in either of the previous films but that is to be expected as the first film was about birth and the second about life. Obviously that means that the third is about the inevitable end that must come to us all: Death. This does that the tone of the film becomes much darker and I felt that was good. This did that the film distanced itself from the previous films in the series and rather than become another rerun the film becomes its own entirely and that is both its weakness and its strength. I think it is its strength as it increases the originality of the film but apparently a lot of people didn't like the interpretation that the third film represents as is clear from the bashing the film has gotten from audiences and critics alike. The film does still have great symbolic value and you can interpret the film in a great number of ways like the previous films. For me this improves the film(s) greatly as you can watch it again and again and still find new things that will renew your interest.<br/><br/>Sadly I cannot make you love this film as much as I do because that would defeat the purpose of the film which is to make people think for themselves. My conclusion about Revolutions is that you will either love or you will hate it but in my opinion Revolutions is almost as good as the first one and one of the best films I have ever seen.<br/><br/>9/10 - On my top 10 of best films."
"MR_Heraclius","6","51","67","24 February 2020"," Another big disappointing sequel to ""The Matrix,""
","Like it's predecessor, the final installment of The Matrix trilogy is overcomplicated in plot, yet even more excessive in CGI. The entire 2nd half of the film is a huge barrage of special effects, and while it's not a huge bore, the brilliant choreography has been sacrificed in it's place; save for the final battle between Mr. Anderson and Mr. Smith, and it's always a pleasure watching the two stars square off. Fun moments aside, it feels overlong like Reloaded and is just as unnecessary."
"lov_nks","9","56","80","24 July 2012"," Good Movie Which Is Underrated
","I'm watching Revolutions this time again in 2012, and now being almost 8-9 years older, i understood and liked the movie which back there in 2003 i felt disappointed.<br/><br/>This movie is much better than the piece of crap movies we get to see nowadays (I mean in the science fiction category). To those who wanted logic and gave bad rating to this movie... i'm sure they did not went to see logic in Avengers and Spiderman. Makes me laugh when people speak of logic in such type of movies.<br/><br/>What a dose of special effects, which were really fantastic, specially the final battle, with $110 million budget it outcast many biggies of nowadays.<br/><br/>I personally believed that those who felt disappointed was because:<br/><br/>1.They wanted to see the normal happy ending. <br/><br/>2. Did not want to see a character die. <br/><br/>3. Wanted to know what happens after the end. <br/><br/>4. They have watched Matrix 1 & 2 too many times and this one came too soon (6 months after reloaded... it should have released 1 year after) <br/><br/>5. They wanted to compare it with Matrix 1 & 2 and did not want this one to be different.<br/><br/>Well... Enjoy the action and special effects and take it as a movie itself and don't compare it with Matrix 1 & 2. Each has its own style."
"bjg213","9","96","147","2 April 2004"," Overall worthwhile, but hard not to feel disappointed
","The first Matrix movie is one of the more ground breaking movies in the last decade as evidence by a pretty massive influence on pop culture. I could immerse myself in this review of just how great I think the first movie is, but I digress. The second was received with so much hype that it couldn't possibly live up to in all fairness, but I thought the second movie was wildly entertaining and a bit like the first one in the fact that it made you think quite a bit after the movie was over (The first one ""blows your mind"" an over-used phrase when it comes to reviewing movies, but it certainly applies in this case).  However, I thought the second had too much action, I believe Keanu has close to 5 fight scenes.  Morpheus has one, Trinity has 2 I think, all this fighting I think cuts out of the plot which is why the the Matrix is cool to begin with.  The action is fun and out of this world at times, but without a good enough plot, a viewer can feel disconnected from the characters in the action.  The plot of the second movie I did enjoy, I just thought more time should have gone into it.  I thought there were many twists and turns and it ends with a decent ""cliffhanger.""<br/><br/>My own problem was that unlike most of the critics I went into the third movie with a lot of expectations, but I knew seeing the first Matrix and the previous Wachowski Brothers movie (Bound from 1996) that this trilogy was going to end a bit differently than a conventional sci-fi film...and it did, but more so in a way that I think a real fan of ""The Matrix"" is still left wanting more, or let me re-phrase, a little more attention to detail.  Revolutions does have bright spots, as much as I love a rock-em, sock-em WELL DONE Kung-Fu in any movie, thankfully that part of the Matrix was cut back.  How many times do I need to see Keanu just entirely beat the tar out of some random machine that never really dies? I like the fact that Jada-Pinkett Smith was at least put to some more use(although it could have been more) in this last film, she adds spark in basically every scene she's in.  The final Neo-Smith fight is awesome. I think the rain alone creates a very cool atmosphere, but a death fight in the rain is certainly something that isn't new to an audience viewing an action movie.  It's still the same basic plot, but I think too much of the plot is revolved around the destruction of Zion.  I think the battle sequence is something around 25 minutes?  That's way too long for a computer generated battle...at least if your movie is barely over 2 hours.  For a 4 hour epic like the 3rd Lord of the Rings for example it works because they've taken so long to develop the characters that the action is more thrilling because you feel so attached.  The supporting characters are barely developed that are fighting in that sequence, The Kid has a back story in the Ani-matrix, but Capt. Mifune or the vast array of other characters that get blown to bits, I have no clue who they are, so what does all that destruction mean to the viewer?  It's a huge display of visual effects that in the end, kind of have a weakened purpose.<br/><br/>
With the Matrix I feel more so attached to the ideas presented rather than specific characters. As much as you gotta dig Mr. Whoa(Keanu) and the ever present bad-ass himself Mr. Fishburne(great in Mystic River by the way), and the under-rated Carrie-Anne Moss, I just don't feel as attached to them as I would to say, well Sam-wise(Sean Astin) from Lord of the Rings. I'm not trying to compare, I'm just offering an example. Also, because it is a little over 2 hours there's no time to get into some of the other cool supporting characters.  Monica Belluci has one stinking line, I mean she's a very talented actress (See the Passion or foreign flick Malena), but hell at least give her a few more to see her in that dress, WOW! Lastly, the overall flow just seems like the Wachowski's didn't know exactly how to end it, not enough time is really given to any of the main or supporting characters, I seem to keep harping on this, but if you are going to end a trilogy you don't have to come to end-all-be-all on everything, but it would be nice to go into more detail than they do.  A scene between Seraph and Neo in the teahouse is so light and generally cool for example, but nothing like this really appears in the third. Like what is this underlying connection between the Frenchman and Seraph for example?  What is that about?<br/><br/>
All in all, the Matrix was a fun ride, interesting early philosophy (the first movie), unbelievable special effects (all three just incredible), and great Kung-Fu, but it just could have ended differently with more depth. So I tried to write this (while being sick at school), but as un-biased as I could for someone who isn't a fan of the trilogy.  Overall rating: 6.5/7.0 out of 10 for the Matrix Revolutions, course if you're a fan, you'll probably dig this way more than that.<br/><br/>P.S. - I seriously hope the Wachowski's don't pull a George Lucas and plan on making a bigillion more of these movies because while I thoroughly enjoyed the Matrix Trilogy, I'm Matrixed Out. No need for Matrix Rebooted, or Regenerated, or Regurgitated, you get the picture."
"Buddy-51","Null","193","308","26 September 2004"," Finding Neo
","'The Matrix Revolutions' is the much-anticipated conclusion to the Wachowski Brothers' cultic sci-fi trilogy, whose previous entries were 'The Matrix' and 'The Matrix Reloaded.' In the series' final installment, the messiah figure, Neo, does battle with the diabolical forces that have imprisoned most of humanity in a world of cyber unreality via a massive computer program known as The Matrix.<br/><br/>Of the three films, 'Revolutions' is definitely the least imaginative and the least interesting. What separated the first two episodes in the series from most other action films was the willingness on the part of the filmmakers to bring some thematic depth and narrative complexity to a genre that, all too often, finds no room for such qualities. The previous two films didn't always succeed in their endeavor - often emerging as more hollow and pretentious than meaningful and profound - but they managed to remain intriguing even in their moments of failure. Unfortunately, the same cannot be said for 'Revolutions,' which spends so much time on repetitive action scenes and special effects that there is little time left over for storyline and theme. In a strange way, Neo himself ends up getting lost in this film, dropping off the radar screen for astonishingly long stretches of time, only to re-emerge periodically to remind us that there really is supposed to be a purpose buried somewhere beneath all this ear-splitting commotion (this could be re-titled 'Finding Neo'). The sad fact, though, is that, once we arrive at the climactic scene to which all three films have been building, the resolution turns out to be a ham-handed muddle, utterly lacking in clarity and coherence After an almost six-hour-long buildup over the course of the three films, the audience is left scratching its collective head wondering just what it was that happened before the closing credits started rolling by. Perhaps smarter people than I can figure all this out for, frankly, after the overall disappointment occasioned by this film, I couldn't muster either the desire or the effort to probe very deeply into the matter.<br/><br/>It goes without saying that the special effects in this film are spectacular - we would expect nothing less - but what we don't get from 'Revolutions' - which we did from the two previous 'Matrix' films - is that little something extra in the form of intelligence and sophistication that made them more than just the bland, over-produced, assembly-line products they easily could have become - and which 'Revolutions' very nearly is. Even the stolid earnestness of Keanu Reeves can't convince us this time around that there is anything hidden under all those cool gadgets and explosions worth our looking into. <br/><br/>Thus endeth the Matrix series, not with a bang but with a whimper - intellectually speaking that is."
"squeakerth2","8","28","39","12 November 2003"," My theory on the Matrix - how it all resolved and why I don't hate it so much (Warning: SPOILER)
","Ok, so the first time I saw Revolutions I left completely confused in the ""that didn't resolve a darn thing"" kind of way.... but then I thought about it a little more, watched the movie a second time, and I think I have a theory that, at least in my mind, resolves everything, and puts a nice little frame on the three movies...  So let me know what you think about my little theory.<br/><br/>Agent Smith and Neo were both created by the Oracle as a means of initiating a truce between the humans and the machines.<br/><br/>Sounds like a lot, so lets start at the beginning.  First of all, a small line, that many probably caught out of its sheer weirdness is when Agent Smith called the Oracle ""mom"".  As we'd seen in the beginning of the movie, it is possible for programs to create other programs, and this in an of itself is enough for me to think that quite possibly Smith was created by the Oracle.  Smith is, in my mind, most easily characterized as a virus. And there's something unique about Smith, even before the scene in the hallway in the first movie.  Of all the Agents, he's the only one that expresses a desire to get out of the Matrix.  There's something different about him, right from the beginning.<br/><br/>About Neo... I think, given the end of the movie, Neo could be most easily characterized as a ""virus fix,"" so to speak.  Now, it seems unlikely that the Oracle would be talking about ""The One,"" directing the humans towards finding ""The One"" if she didn't know that a virus fix was out there, and exactly where to find it.  And, given that the Oracle created Smith, it also seems most unlikely that the Oracle would create a virus without creating a ""virus fix.""  So that's why I think that the Oracle not only knew Neo would stop Smith, but had deliberately created Neo for that purpose.<br/><br/>First of all, addressing the who flabbergasted ""What?!?!  Neo a program?!!? Can't be!!!"" cries: to begin with, Agent Smith proved that a program can inhabit a human brain (ex. Bane).  Secondly, the Oracle says that the powers of ""The One"" extend all the way to where it came from, which is ""the source"" which I believe to be further proof of his possible ""programic roots"" so to speak.<br/><br/>Why did she do it?  To facilitate a truce between the humans and the machines.  At the beginning of the trilogy, the power balance is highly in favor of the machines.  To ever end the war, there needed to be a shift in power, ever so slight that would give the humans a right to demand a truce. That is why the Oracle created a problem (Smith, the virus) and offered the solution (Neo, the fix).  But she put the fix-it program in a human, which gave the humans an advantage over the machines (imbalance of equation) and gave them the opportunity to demand a truce<br/><br/>My last and final evidence for my theory.  In the very end scene, the Oracle and the Architect meet up.  The Architect's line: ""You play a very dangerous game.""  This shows that a) The Oracle was indeed a key player in the turn of events, not just a watcher,  b) The Architect and the Oracle were on opposing sides of this whole game (further delineated by the later discussion of terms for the release of the humans who wanted out of the Matrix).  <br/><br/>That's my story and I'm sticking to it... What do you think?"
"cpilgrim","9","60","95","30 March 2004"," Better when viewed twice...
","Initially, I was expecting the movie to be more plugged into the matrix than unplugged from it.  After deciding to go back and see the movie a second time with that expectation already established, I watched it again and thoroughly enjoyed the movie.  I understood then that the movie really required to be primarily ""unplugged"" in order to make any type of sense at all and close the trilogy.  It didn't hurt that the second viewing was on an IMAX, as well.  The sound and effects were simply amazing once again, and in spite of all the negative reviews out there, I am satisfied with the trilogy as a whole.  I look forward to adding the DVD to my collection; it will be well worth the investment that is required."
"nikecjc","10","294","519","5 November 2003"," I can't understand the hate. Amazing movie.
","We all know the original Matrix was easily the pinacle. But that's because it grabbed out attentions as something brand new. The first movie, if done correctly as the Matrix was, can open our eyes to new ideas we never considered in any strain of our imagination.<br/><br/> I'll admitt, Reloaded was a bit slow and perhaps a bit tedious at times. It was saved by an amazing Neo vs. Thousands of Smiths' battle, an even more amazing highway scene centered around Morpheus, and the appearance of the amazing Monica Belluci (a character I wish we'd heard more from the in the 3rd installment).<br/><br/> Now as for Revolutions. Unless you're unrealistic or a mass-media critic, who all hate anything outside of artsy or useless Indy movies that get ZERO major release...you'll enjoy and perhaps love Revolutions.<br/><br/> You get clarity to a lot of questions. You get resolution. No cliffhangers. People die and people survive, I won't dare say whom. You are brought all the way from dispair to happiness. Instead of simply giving the cheesy ending, the Matrix's ""end"" is proper and sensible.<br/><br/> Of course there are some plot holes, but I dare anyone and everyone to find a movie without numerous mistakes or unanswered questions. More and more directors should heed the advice of David Lynch and allow the audience to interpret a few things for themselves. Keep them thinking. (I won't open up a Lynch debate, that's for another time and place)<br/><br/> In the end, you'll enjoy Revolutions. It is action-packed with amazing special effects and the usual above-average acting and amazing creativity in the choreography of the fight scenes.<br/><br/> Agent Smith shines in a stellar performance by Hugo Weaving. His words to Neo throughout his battle are stellar. His encounter with the Oracle, awesome. Keanu, Fish, Carrie-Anne, Jada, and others for the fight for good are also as sharp as they need to be.<br/><br/> In the end, Revolutions is everything a true fan of the Matrix wants. And if they ask for more, they are not only guilty of being unrealistic, but also asking too much for an amazing trilogy.<br/><br/> A trilogy I believe should be held in the same breath as Star Wars (the original three), Back to the Future, Indiana Jones, and numerous other action-drama based trilogies. I'm sure I'll be adding the Lord of the Rings trilogy to that list, barring a collapse with the Return of the King (another debate for another time)."
