"username","rating","helpful","total","date","title","review"
"ivo-cobra8","10","136","158","1 January 2018"," A masterpiece - the best action sci-fi classic film of all time my number 1 personal favorite
","SPOILER: Predator (1987) is a masterpiece - the greatest bad-ass best Sci-Fi action film of all time. I love this Sci-Fi action flick to death! Predator is Epic Sci-fi Action movie of the 80's, my number 1 personal favorite best action sci-fi classic film of all time. Arnold Schwarzenegger, Carl Weathers and the rest of his team are all the time in the jungle hunted by an alien Predator, that's what makes this film and story more interesting than. This is very fast paced action flick, you never get bored or you fall a sleep. My favorite best Action Sci-Fi Flick movie was always Predator and It always will be. Is my number 1 Schwarzenegger best Action Sci-Fi Epic movie. The best action movie ever made! Major Alan ""Dutch"" Schaefer is my comic book hero this is my hero. The hunted becomes the hunter on the end of the film when he camouflage with mud to defend him self against the Predator-ultimate hunter and hunts him down by setting booby-traps for him the best! <br/><br/>""If it bleeds, we can kill it."" <br/><br/>In the remote jungle of a Central American country, an elite group of commandos led by Major Dutch Schaeffer, embarks on a CIA mission to clear out a guerrilla stronghold and rescue the remaining hostages. However, the hunters become the hunted when a highly intelligent, otherworldly being slowly and methodically starts killing off members of Dutch's team. Possessing a chameleon like camouflaging ability and a deadly alien arsenal, the creature tracks down the soldiers one by one.<br/><br/>This is the finest action movie of all time. And, yet, believe it or not, it's not the action in the film itself that makes this be the case. This is especially odd in a movie with an $98 million budget (in 1987!), with multiple huge explosions, with thousands of bullets fired, and scores of stuntmen used.<br/><br/>This movie stars Arnold Schwarzenegger, Carl Weathers, Bill Duke, Jesse Ventura, Richard Chaves, Elipidia Carillo, Shane Black, Sonny Landham and Kevin Peter Hall they are all believable in their roles and even add to the humor that this movie has. This is obviously the best of the Predator movies and still one of the most highly liked thrillers today. And let's all show respect for Kevin Peter Hall, who died a year after he had made Predator 2.<br/><br/>Predator is the 1980's most adrenaline-pumping, action-packed, violent mainstream film of the decade, a film replete with nearly non-stop action, loud, messy violence, huge muscles, big guns, and an extraterrestrial killing machine with infrared sight and a laser cannon on his shoulder thrown in for good measure. <br/><br/>The film's budget was around $15 million. 20th Century Fox released it in the United States on June 12, 1987, where it grossed $59,735,548. Initial critical reaction was mixed; criticism focused on the thin plot.<br/><br/>Predator is a 1987 American science-fiction action directed by John McTiernan.<br/><br/>10/10 My all time favorite action film I love it to death it is my personal favorite action film of all time. Predator is a masterpiece, one of the best Sci-Fi action films of al time. I own the DVD and I also own the Blu-ray disc. I used to had ultimate hunter edition on Blu-ray but the subtitles were awful and the picture was lousy and wax like plastic. I sold it to someone that need it and I bought the original early release version on Blu-ray instead."
"adam_ahmad","9","175","208","24 November 2000"," Very, very tense and murderously suspenseful
","First of all, if you haven't seen this action, suspense and violence extravaganza, you most certainly are not a true action movie afficionado. The immediate grabbing feature of this movie is its score, very imaginatively composed and created by Alan Silvestri whose other credits include the Back to the Future series and other gems like Who Framed Roger Rabbit. The tempo and build up which the score lends to the film engage its viewers with feelings of fear and nerve wracking suspense for what lurks within the thick of the forest.  Take note of Sonny Landham's comment;""there's something out there,and it ain't no man.<br/><br/>
The action is fast, furious and merciless. The commandos are killed off one by one, leaving Arnie, Carl Weathers and the surviving members extremely terrified and on the verge of breaking down.  Note the heated arguments that some of the commandos get into with each other.  There is very animated and fiery action in the beginning (assault on the terrorist camp) but as we are introduced to the true terror of the jungle (or should I say, outer space), the action takes a turn for the more insane eg.Arnie running away armed only with a knife and trembling in fear, almost drowning in a waterfall and thereafter, continually pursued by the Predator).   All this followed by a half hour long jungle battle mano a mano with spears, rocks and fists and hall deafening yells by both warriors.  Very, very fierce and macho stuff I assure you all.<br/><br/>I shall not go into the other intricacies of the film and will leave it to the curiosity of potential/virgin viewers to find out for themselves. ""Predator"" is essentially one of the few action movies that truly lives up to its name and delivers the thrills and spills in no small amount and at breakneck speed.  True connoisseurs of hard action.....YOU WILL NOT BE DISAPPOINTED!!!!! 9.5/10"
"MR_Heraclius","10","44","49","6 March 2020"," One of the greatest sci-fi movies ever made.
","""Predator"" is a exciting action/horror film of 1987. ""Predator"" has a great plot to it, which is a group of United States army fighters are sent to a place to retrieve some hostages, later to find out that a ""Predator"" is after them one-by-one. The story is great except for a few things that don't make sense, these are toward's the film's climax. The acting in ""Predator"" is superb, ""Arnold Schwarzenegger"" as always puts 100% into his roles. ""Carl Weathers"" is perfect in this film as well. The music in ""Predator"" is perfect, it's very suspenseful and fits in perfectly with the scenes. The film is shot great, the camera man did a great job filming this movie. For a film that was made in 1987, ""Predator"" has special effects that still look realistic to this day. I highly recommend you watch ""Predator"" as it is a superb and exciting action/horror film of 1987."
"la_walker","10","72","83","30 August 2006"," Pushing too many pencils! Best film ever!
","If I had to recommend one film to a stranger, it would have to be Predator. It has some of the best acting, directing, effects and sound-track ever produced.<br/><br/>>This is Arnold's best acting roll in his career. But, we must not forget every other actor who produced spine-tingling performances! >The effects are simple, yet will last the test of time >The weaponry is huge! And will remain huge in my heart!<br/><br/>If you like 'war type' action you should love this. From the title screen the action begins, and does not end until the credits. <br/><br/>The sheer brute force of the story leaves one feeling truly satisfied, and even spiritually fulfilled by the end. <br/><br/>Without Predator my life would be incomplete. Stick around and watch this one people. If not, get to the chopper and announce your sins!<br/><br/>Thank you"
"lotus_chief","10","257","312","9 December 2003"," The quintessential action movie. One of my favorite films of all time.
","Predator is the classic action film.  What makes it so unique is that the story starts off as a simple but exhilarating rescue mission; but then it suddenly switches gears and becomes a fight for survival for everyone involved.  The genius of that!  The cast is wonderful; Arnold as Dutch was very convincing and commanding, yet humbled and low-key in his performance. The only way you would know that he's the star is that his face is on the cover, he's the leader of the group, and he survives at the end.  He was 'one of the crew' instead of a one-man wrecking machine like in so many of his other films; that was very nice to see.  Carl Weathers turns in a good performance as Dillon, as does Bill Duke as Mac, Jesse Ventura as Blain and Sonny Landham as Billy.  The whole cast worked very well together. <br/><br/>
The one thing that still astonishes me to this day, 16 years later, is indeed the Predator.  The special effects in this film was very much ahead of its time, the camouflage was pure genius.  I still can't believe my eyes when I see the camouflage effects; it blows me away that even now in 2003 it could sit alongside the FX seen in TODAY'S films with no shame.  I'm waiting for Fox to put out a special edition DVD with behind the scenes footage explaining how the Predator was done; from the effects with its sight and the beautiful camouflage, to the suit.  I caught a little snippet of a behind the scenes feature on AMC or Bravo, and ever since I've been anticipating its inclusion on a new DVD (WHAT'S TAKING SO LONG?!??!) <br/><br/>
Predator is evidence of how action films should be done.  A great story and relentless action, all progressing the story along. A timeless classic, one of the best films of all time.<br/><br/>**** out of **** stars<br/><br/>P.S.  The 'forest massacre' scene is one of the funniest scenes in movie history!!"
"The_Void","9","158","189","1 February 2006"," Arnie is at his best in this sci-fi classic!
","This film will always have special place for me, as aside from being one of the best horror/sci-fi films of the eighties; it's also a huge childhood favourite of mine. Despite the fact that I've seen it dozens of times as a kid, I have only seen it once during adulthood; and that single viewing was more than enough to remind me what it is that I love about this film! Predator works as a macho action film, gory horror and intriguing sci-fi, and despite it's short running time of just 100 minutes, it somehow manages to find room for all three. The fact that it stars action icon Arnold Schwarzenegger ensures that the film will always be favourably remembered. He's not a good actor, but Arnie always manages to bring that extra something to his movies. The plot is deliciously simple and follows a group of commandos that go off into the jungle on a secret mission. However, things go awry when it turns out that they aren't the only ones with weapons there. Finding the skinned bodies of the last group of men that entered the jungle is about to become the least of their worries...<br/><br/>The jungle makes for a great setting for an action sci-fi flick such as this. These sorts of films tend to be set in space, so seeing the action down here on earth is different; and the fact that it's set in the jungle, with it's dense foliage, ensures that Die Hard-director John McTiernan is able to bump up the suspense, as just like in the Vietnam war; the soldiers are dealing with an unknown enemy. The atmosphere really is excellent, and the special effects help to create a futuristic tone, while the suspense builds and makes sure that the audience are on the edge of their seats at all times. Predator was released hot on the heels of the success of James Cameron's amazing 'Aliens' - but don't be thinking this film is merely a rip off following a trend, Predator has more than enough up it's sleeve to ensure that isn't the case. The action is great, and director McTiernan clearly knows what he's doing. It's fast and furious, and the amount of weapons on display ensures that the film is sure to delight fans of macho action films. The fact that the lead actor is a monster of a man doesn't exactly hurt the film either! <br/><br/>Now, Arnold Schwarzenegger may well be a terrible actor; but it doesn't matter because it's his screen presence, not his acting ability, that makes his performances what they are. At times he's cringe-worthy, but it's hard to deny his prowess when it comes to the action sequences, and that is all a film of this nature needs. Arnie isn't the only big man in the film either, as an assortment of muscle men, including ex-wrestler Jesse Ventura, and Carl Weathers; Rocky's Apollo Creed, among other B-movie actors, join him. The man himself also finds himself a very worthy ally, in the form of the movie's central alien. The Predator may not be as beautiful as the creature from 'Alien', but it's just as inventive. Here we have an extra terrestrial that isn't merely trying to breed, or to 'phone home' - but one that is actually there to hunt humans for sport! Aside from being ingenious, the idea also borders on frightening. The gore here is gratuitous, but never goes over the top and on the whole, Predator is a film that never really got the credit it deserves. It's mindless fun - but its damn good mindless fun!"
"The_StickMen","10","46","52","15 August 2004"," A Great Action Film
","Back in a time when the term ""popcorn movies"" actually meant something, Predator stands out especially today, mostly due to its high quality writting and top notch action.  This movie never gets boring, as we watch the characters interact with each other, it brings to mind the feeling I got when watching the Marines from Aliens; a great feeling of comradary and gruff friendship.  The special effects, while dated, in my humble opinion look better then the snazzy ""futuristic"" effects we are seeing today.  The Govenator is perfect for the lead role in this film, he commands a certain respect both from the characters and audience alike.<br/><br/>The title character of the film is still cool and frightening by todays standards.  The filmakers knew how to use the Predator makeup, they shadow it in as much darkness as possible, cover it in mudd and grime, which hides what could have been very obvious makeup ""guy in a suit"" effects.  The guy who plays Predator did everything he could to add some life to the creature, to make people think he could stand up against Arnold in the end.  Its really alot of fun to watch the Predator hunt these hapless soldiers, when just a while ago they were kicking ass everywhere they went.<br/><br/>As we watch the downfall of summer ""popcorn"" movies, its good to know we can still go back and watch something great like this film."
"TheUnknown837-1","10","250","309","25 July 2005"," An excellent Schwarzenegger classic that still attracts viewers and keeps people thrilled
","Predator is definitely one of the best alien thrillers ever made. It is one of my personal favorite movies. When I first saw just a brief part of Predator when I was about five, I was freaked out and scared to even watch the movie for many ages, but eventually, once getting older, came to like it. The Predator, played by Kevin Peter Hall, is a very realistic and believable creature for the 1980s, when this movie was created. I like how humanlike its form is, and how un-humanlike it is at the same time. The creature's four mandibles were a great idea for its distinct facial characteristics and the creature's roar is awesome, one of the best ever produced. This movie stars Arnold Schwarzenegger, Carl Weathers, Bill Duke, Jesse Ventura, Richard Chaves, Elipidi Carillo, Shane Black, and Sonny Landham and they are all believable in their roles and even add to the humor that this movie has. This is obviously the best of the Predator movies and still one of the most highly liked thrillers today. And let's all show respect for Kevin Peter Hall, who died a year after he had made Predator 2."
"Phlub","10","12","12","30 May 2002"," The best movie ever!
","Now how do I start out reviewing the best movie ever??? Predator is not just the best sci-fi movie ever, but the best movie ever.  It is Arnolds best movie.  I voted 10 on this because it really is a 10 movie.  It is more sci-fi then it is action.  With phenomonal special effects, it got screwed at the Oscars when Innerspace beat it for best special effects!  It is a must have movie!  It is the best Arnold movie ever by far.<br/><br/> Predator is a story of  7 Special Forces troops out of the Delta Force recruited by the CIA to rescue hostages from the clutches of Central American Guerillas.  And once they rescue one hostage a woman named Anna played by Elpidia Carrillo, one by one Dutch's (Arnold Schwarzenegger)  men are hunted by an alien hunter called a Predator.  The proper name for the Predator's are Yautja.<br/><br/> Excellent movie.  No flaws.  Arnolds best.  Better then Star Wars (all of them), The Matrix and both Terminators.<br/><br/> 10/10"
"MacKrazy","10","114","138","2 December 2006"," It Hunts For Pleasure, It Kills For Sport...................
","""Predator"" is a genuine Classic. Action, Horror, Sci-Fi it's all there. Lets see for starters we have Arnold Schwarzenegger, on top form riding to the peak of his action status, leading a team of tough Commandos. Made up of a great cast including Carl Weathers, Jesse Ventura and Bill Duke. They're on a mission to rescue Hostages from Gorilla forces but are double crossed by the C.I.A, stop there and you already have a great action movie.<br/><br/>But oh no, this film also has an Intergalactic Alien Big Game hunter equipped with plasma cannons, Stealth Invisibility and Thermal Vision. It would be so easy to imagine this film going nowhere if it where to have fallen into the wrong hands. You could really imagine a plot of an Alien hunting Commandos in the jungle coming off a bit lame but no, Fox thankfully had faith and McTierman had a vision. Fox's faith may have been down to there two previous unexpected big hits ""Aliens"" and ""Commando"" which you could possibly say this film is a hybrid of.<br/><br/>Film also benefits from being made in that 80s early 90s era where your action film could take its self seriously yet still not too seriously. One minute we see a fairly realistic use of of weapons and tactics the next Arnie throws a truck down a hill equipped with C4 and Jesse Ventura pulls out his M-134 Mini Gun and shreds some Gorillas.<br/><br/>The Predator it's self is a classic design, thanks to the genius Stan Winston, and in my opinion never looked better than in this movie. It looked slightly fake in Pred 2(Not a bad film too) and don't get me started on the travesty that is AvP. It could have been a different story if they had stuck to the big rubber turtle they had shot scenes with thank god Arnold himself suggested Winston.<br/><br/>I won't spoil the plot for anyone who's not yet seen it I just urge you to see this movie."
