"username","rating","helpful","total","date","title","review"
"normando40","8","294","410","8 January 2019"," Totally Recognizable Villany
","A terrific Spike Lee film with humor and gut wrenching truths. My first reaction was that the villains were too one dimensional, caricaturesque. It was impossible to stay with them for more than a few seconds - even that outrageous scene of connubial bliss where she expresses her willingness, in the most romantic terms, to kill Blacks. I recoiled in horror and kind of laughing nervously - what is this, a satire? And then, I realized - the real life villanis are one dimensional, they are caricaturesque, they are their own satire. John David Washinton is great and sounds just like his father. Adam Driver brings a presence that is nothing short of compelling, The final real life images are devastating, I highly recommend it."
"henry8-3","7","27","33","31 August 2018"," BlacKkKlansman
","Amazing true story of a small team of police infiltrating a local klan chapter to try to stop looming violence.<br/><br/>Driver is first class as the white undercover presence, with Washington himself oozing presence throughout as the black officer who conceives the plan, runs the show and in a number of hilarious high points gains the respect and trust of the big Klan chief over the phone.<br/><br/>Whilst there is arguably room for a little bit of trimming, this remains highly engaging throughout with a great script and fine performances. The amazing trick here is how Lee seems to very cleverly shift from laugh out loud comedy to troubling sometimes fairly intense scene and back without missing a beat."
"csunBApianoMst3kSnailAntWearPink","6","9","10","7 July 2020"," Any contact with female is the dystopian road to babies guys.Be careful of the Subliminal man-woman msg and thank goodness for animal kingdom to annihilate the latter.
","Andrew Jackson 2ne greatest president(behind Lincoln)? only one to return banks from shadowy organizations to American hands? Mystery science theater 3000 new seasons released : Truly extraordinary my Moonrakers of this achievement of men.<br/><br/>If you like this bio crime drama enjoy. All drama is caused by and All comedy is sucked away by 51% of the world's population whose goal is replication of humans, not creativity, want to disintegrate dreams of the 49% and are an enemy of all creative arts including animation. Need to be herded in correctional facilities to figure out how to deal with these actual walking viruses. Spy/secret agents need to reevaluate their focus and annihilate. Need to get torn up by animal kingdom. Movies with humans have the hero and girl trying to get with each other. They even include animals assuming human characteristics of that man-woman nonsense. Be careful of what gets brainwashed into your subconscious from this. Watch out for hole guys. The romance angle (romance(tm) is too much a term for this) is handled charmingly/cutesy but all of this is like aw man here we go with this stuff. I know this movie spiderman ffh is showing guidance to males how to deal with females. All imagination shown in this movie, creativity is the male ability, while females are replication of humans (aka babies) so both goals are contrasts with each other and know if you stick it in their hole your creativity goes swoosh disintegrates, you fall inline with patriarchy which is uncompromising. Replication is them celebrating the debauchery of humankind while creativity is trying to get closer to God (creating imaginative things.) Any contact with female is the road to babies guys. Even the cutesy way movie dalliances are portrayed. I cant provide all the know-how on the matter, what I can state here that someone else hasn't figured throughout the thousands of yrs of human knowledge. They want to grind up men but it is I who grind them into fine dust. Wear pink to take their power away? I get it's hormones, just j/o in toilet or napkin. Nintendo Mother/Earthbound textbook to be released wee- BApiano"
"TxMike","Null","140","212","16 November 2018"," Based on real events in 1970s Colorado, a black police officer joins the KKK.
","My wife and I watched this at home on DVD from our public library. Although it runs a bit long at just over 2 hours it is such an interesting story, well-told, that it never seemed too long.<br/><br/>The whole story is based on the 2014 book by Ron Stallworth, of his experiences in the 1970s in Colorado Springs as a fresh police officer, and the first black man to that position in that city. The character is very well played by John David Washington. In real life Stallworth had been an achiever in high school and wanted to make a difference as a police officer.<br/><br/>On a whim he notices an ad which was recruiting members for a new KKK chapter in the Colorado Springs area. Having a phone voice and speaking manner not easily identified as black he successfully applied for membership, and at one point even speaking directly to David Duke in New Orleans.<br/><br/>Ron would not have gotten very far in his ruse without a white man to replace him in live encounters, for this he recruited the help of fellow police officer,
Adam Driver as Flip Zimmerman who happened to be Jewish, another ethnic target of the KKK. Together they thwarted some serious KKK mischief planned.<br/><br/>For a very serious subject the movie director Spike Lee injects a fair share of humor, all very appropriate. Near the end the events of the 1970s are intercut with modern events and protests, showing that white supremacy activities are far from over."
"tkmcc-08780","6","391","635","20 August 2018"," Incredible true story comes with a lot of fictional baggage
","There's much good about this movie, starting with Ron Stallworth's incredible deception of the Klu Klux Klan. Racism in all its ugliness is powerfully shown. There's a lot of humor at the expense of some really dumb people. 
Unfortunately, there's a lot wrong with the movie too. Most of this is because the director embellished the true story. I'm not a big fan of directors tinkering with what really happened in order to add their own touch, and then still claim ""based on a true story"".
The result of the tinkering is a very uneven movie, particularly in the apparently ""easy"" parts of infiltrating the KKK and the ""hard"" parts where things go wrong. The ""easy"" parts are, remarkably, mostly the true story. Apparently this wasn't dramatic enough, so a lot of fictional ""hard"" parts were added to build tension including whole characters and situations. That's bad enough, but the added parts often made no sense, such as having no real origin (like one character's intense suspicions) and no resolution to the dilemma presented - they just seem to go away, are forgotten or have no effect on the inevitable story arc. Many seem to have been thrown in only to make already duped people look even more ridiculous. 
The characters themselves are, with a few exceptions, just caricatures. It's not hard to figure out what's next since they do exactly what you expect.
Eventually the movie just got boring since it all moved to an inevitable and very easy to see end. Ultimately, the movie is maybe an hour of an amazing true and humorous story marred by over an hour of superfluous and poorly executed fiction."
"EnoVarma","8","397","651","31 July 2018"," One hell of a movie
","Spike Lee has created an almost unimaginably uneven career in films, but it has never been in doubt, that he is one of the most talented American filmmakers of his generation. And should you have forgotten that, now you can remind yourself by watching the amazing ""BlacKkKlansman"", which won the Grand Prix at Cannes in May.<br/><br/>""BlacKkKlansman"" tells the true story of a rookie African American police officer who in the 70's infiltrated in the KKK, but that's certainly not what the movie is about. Lee tackles head-on the contemporary hot topics of racism, the police killing black Americans, and white supremacy to create an overwhelming pamphlet about the American identity - which has been hurled into a state of great confusion after the last presidential election.<br/><br/>Movies don't come much more political as this one. In a way, ""BlacKkKlansman"" is a companion piece to ""The Post"" - a movie that similarly discussed the current political climate in a 70's setting - but with loads more of blackness, humour, anger and attitude. It's a better movie, too.<br/><br/>Though not perfect. Form-wise, ""BlacKkKlansman"" is sometimes paced oddly and feels needlessly long: not overlong, exactly, because you're not going to be bored for a minute. Visually it could have used a little more of the delicious textures typical of those 70's blacksploitations it makes references to.<br/><br/>But Lee is such a virile storyteller, that you can't help but get sucked in it all. And he has SO much to say. ""BlacKkKlansman"" is at its savage best when putting in perspective the official holier-than-thou image of the white Americans: Harry Belafonte cameos as an eye-witness of the beastly lynching of Jesse Washington in 1916.<br/><br/>Actors in ""BlacKkKlansman"" are great. John David Washington excels in the lead role. Adam Driver signs what is arguably his best role to date. Ryan Eggold is terrific as the local boss of the KKK, and the Finnish Jasper Pääkkönen impresses as his right hand man. The biggest surprise of all is Topher Grace, who is near-ingenious as David Duke, a well-mannered bag of sleaze in a three-piece.<br/><br/>""BlacKkKlansman"" is an incredibly rich and stirring piece of contemporary cinema with enough stuff to fuel a conversation for hours. Or days. You can get a lot less with a price of a movie ticket these days."
"tallard","5","438","744","12 September 2018"," Terribly dissappointed at film and annoyed at marketing
","I've generally liked Spike Lee films over the years. I had high expectations or this one, given the awards. 
Many negative reviews have already covered issues of pacing and writing and editing, which I generally agree with. As a person who's been an anti-racism activist my entire life, I felt this film was heavy handed and propagandist. If a woke person can feel this is heavy handed, imagine how those not on board with the topic can be totally feel propagandised, how futile is it in regards to effectiveness at creating social change?
On the point of marketing, speaking points, and the ridiculous opening line about being based on a true story. So many reviews here state their amazement and how impressed they are at a Jewish person and a black person working together like this. This is a lie, there is no Jewish partner in the book, it is completely fictionalised. Furthermore, confounding race issues with religious issues is truly a non starter. 
But most of the film is fictionalised. The majority of the book is about his undercover work AGAINST black activists, which he spent over three years on.
Given the actual facts as laid out in the book, this film really goes down in ratings. The false marketing is the saddest statement about our society. When people are more interested in virtue-signalling than the truth. 
Had the production values been better, at least it might have been enjoyable as a stand alone, without the pretence of being based on the book, but I kept falling asleep, idiot conversations droned on endlessly and completely took me out of the film. So it's a fail both on production values and TRUTH.
The high rating says a lot about how important virtue-signalling has become in our society."
"BlurayAddictAU","9","315","554","8 August 2018"," BlacKkKlansman is somehow funny & utterly brutal at the same time, phenomenal.
","I'd love to thank the Adelaide Film Festival Film Club for the free advance screening for this review.<br/><br/>Blackkklansman comes to us from Director Spike Lee & Producer Jordan Peele and tells the true story of Ron Stallworth, the first african-american police officer in Colorado Springs infiltrating the Klu Klux Klan.<br/><br/>To achieve this he enlists the help of a fellow officer played by Adam Driver to pose as him in person while Ron handled the phone calls and planning. <br/><br/>This film is biographical in nature but has some fantastic storytelling, looking at the trailers, it looked like a really fun time with some funny humour about the time period and racism.
I'm glad to report this isn't just some comedy movie, here we have a rare film that manages to be funny and outlandish at times but at the same time drives home a serious emotional message, Spike Lee should absolutely be commended for this because it was executed flawlessly. <br/><br/>John David Washington gives an interesting quirky performance here and nails it perfectly, Adam Driver turned out to be much more involved in the story than I had anticipated and has some really great moments.<br/><br/>I have never had a cinema experience quite like this, for instance at the tail end of the film, in the space of 10 minutes the entire audience in my screening went from laughing and some perfectly executed comedic dialogue to utter still silence in absolute awe, frozen & horrified by what was appearing on screen, this silence went on for a few moment even after the fade to black and an applause started up. <br/><br/>This film had me thinking about what I had seen for a long, long time afterward and I am still thinking about it almost every second.<br/><br/>Blackkklansman really shows the Klan for what they really are, and highlights the good work of an amazing african-american police officer. The supporting cast does a great job here, Topher Grace as David Duke was an insanely good performance and I can imagine how hard it would be to embody that particular character and Laura Harrier plays off of Washington beautifully.<br/><br/>In addition there is a great cameo at the beginning of this film, be on the look out!<br/><br/>Blackkklansman is easily in my top 10 for 2018 so far and I urge you all to go see it in cinemas, small warning though, there are some quite confronting images in this film, they are hard to watch but I think that it should be watched as that is the intention here.
Blackkklansman is out in cinemas August 17th."
"burenmaurice","3","424","760","18 August 2018"," So, so disappointing
","First off I'll say that seeing Jordan Peele's name on the credits and the trailer set my standards really high. And for the first half or so the film genuinely did seem interesting. <br/><br/>There's no real conflicting values going on. As soon as Ron's love interest starts to question him, he just gives his view and they walk off. And then after the explosion, they're happy again. What. At the initial rally with the black activist it seemed like a genuine internal moral conflict would start to brew, with the way the scene was paced and the great acting from Corey Hawkins. But nope, nothing was jeopardized; nothing happened. Every single time something seems to go wrong everyone just walks it off. The lack of character development was just plain annoying.<br/><br/>The pacing was just awful as well. When the car with the klansmen was driving to the house near the end, there was no change in music, or even camera angles. They give you this enormous build-up with the whole meeting with David Duke and the seemingly botched plan, but it only ends up with an explosion that solves the whole problem. No sense of suspense or intensity at all, even though there was a bloody bomb involved. The scene was saved when the police mistook Ron for a rapist, but again, the scene was too slow and there was no atmosphere. What I thought was the climax with the old man's story once again didn't end with anything. I feel like this film was just taking the piss out of my expectations and robbing me of any enjoyment.<br/><br/>And yeah, I did expect a stylish, fast-paced Tarantino-esque flick. But that's not even the issue. Everything is SO in-your-face, there's no interpretation left to the viewer, no hidden message or symbolism. The dialogue just straight up tells the audience what's going on. No sense of mystery, suspense or viewer involvement.<br/><br/>And then the last part with the current footage was just milking it. Maybe it's because I don't live in the US. but it was just such an awkward watch, especially the flag bit. I'm surprised that was really the only violent part of the film.<br/><br/>I think more people are too concerned with the message (which is of course legitimate and current), that they forget about actually being entertained. Before you accuse me of being racist, I myself am coloured and I ENJOY watching these types of films. This was just poor. There are much better movies out there."
"valfatout","8","109","184","28 November 2018"," A funny, gripping and upsetting movie!
","Hi, I'm french and I'm 16. We saw the movie in the cinema with my english class and our english teacher asked to us to write a revue of this movie, and after put in on this website.
Blackkklansman is a movie birected by Spike Lee in 2018. This film is based on the true story of Ron Stallworth, a black police officer who wanted to infiltrate the KKK. Inspired by the book, Spike Lee made a film. In the movie we have funny moments and romance too; Ron falls in love with Patrice, a beautiful blanck woman who fights racism. It is certainly at the top od my list of good movies because it is not only about racism, but about several kinds of discrimination, anti-semitism and gender inequality. And so I think that a lot of people can indentify to both characters and realise that discrimination must be fought. And I think that Spike Lee did a good work because hemanaged to make in making a comedy with a dramatic issue, and Adam Driver and John David Washington have a really good actor's game, it couldn't be other actors!
So yes I think that this film is compelling, convincing, realistic, startling and funny, don't miss it!! And there is a lot of reseach from the film director about the KKK, who is a secret organisation of white supremacists directed by Donald Duke and created in 1865 after the Civil War, a war between Northen and Southen states of the USA, the North wanted to abolish slavery and the South didn't. In the movie, we can also see the KKK rites, with the white costums and all tradition. I really enjoyed that because you get out less stupid than you were before seeing the film.<br/><br/>In conclusion, it's a fantastic film, with good actors on the top of that, and you learn a lot about discrimination and humanity, but with funny moments as well. It's a hit and a freat piece of film-making. Go see it!!<br/><br/>Good work, Mr Spike Lee.<br/><br/>Valentine B."
