"username","rating","helpful","total","date","title","review"
"primodanielelori","10","72","81","10 October 2007"," Timeles Magic
","Can you imagine? Me, a film lover since the age of six, hadn't seen ""Singing In The Rain"" until last night. I had read and heard so much about it over the years that I knew I was going to be disappointed. As a musical I've never seen anything so perfectly ""in tune"" I can see how many directors have been influenced by the soul of this gorgeous movie. I've seen even Federico Fellini here. The tap routine with Gene Kelly and Donald O'Connor is so energizing that I wanted to see it again and again. The fantasy number with Gene Kelly and Cyd Charisse is breathtaking, breathtaking! How extraordinary to see Debiee Reynolds going through the contagious (Good morning!Good morning!) I had seen her a few nights before as Grace's mother in ""Will and Grace"" She hasn't lost her zest. I'm sure I'll be seeing this movie many times and I intend to show it to very young people from the post MTV generation and I'm betting with myself that they're going to love it. Greatness is timeless."
"Sober-Friend","9","20","21","22 January 2018"," A Classic
","Last year I was very lucky to catch this on the big screen. This film is meant to be seen on the big screen! It was also the first time I saw it at the theaters and I was very impressed with the visuals.<br/><br/>In this film movies are switching over from being silent to being ""talkies"". However the film is a spoof of the turmoil that afflicted the movie industry in the late 1920s when movies when the change over went from silent to sound. When two silent movie stars', Don Lockwood and Lina Lamont, latest movie is made into a musical a chorus girl is brought in to dub Lina's speaking and singing. Don is on top of the world until Lina finds out.<br/><br/>This is such a great film that if you ever get the chance to see this at the movies then DO IT.<br/><br/>Gene Kelly and Debbie Reynolds made an awesome team."
"BrandtSponseller","10","109","134","1 May 2005"," A fabulous musical romance about film technology
","Don Lockwood (Gene Kelly) and Lina Lamont (Jean Hagen) are a famed Hollywood duo, making films at the tail end of the silent era. The studio has been issuing PR suggesting that they're a romantic item. In reality, they can barely stand one another. One night, while on the town with his best friend Cosmo Brown (Donald O' Connor), Lockwood has to run to escape fans who want a piece of him badly enough that they'll literally rip his clothes to shreds. He hops over a number of moving vehicles and ends up in the passenger seat of Kathy Selden's (Debbie Reynolds) car. Lockwood seems immediately taken with her, but she gives him the cold shoulder. She says she's an actress with a love of theater, and she looks down on film acting. Later, Lockwood discovers that she was inflating the truth a bit, as he sees Selden performing as a cute song & dance girl at an industry party he's attending. She runs out of the party and Lockwood chases after her, but he's too late. While he tries to track her down, he, Lamont and their studio have to deal with the changing nature of film in 1927--made much more difficult by the fact that Lamont may look glamorous, but she talks more like Fran Drescher in ""The Nanny"" (1993).<br/><br/>Aside from the more serious aspects of the plot, Singing in the Rain is a great success as a romance and a musical. It also has an astoundingly rich Technicolor look, and it is charmingly humorous. Kelly and Reynolds click on screen, even if offscreen Kelly, who also co-directed and co-choreographed, was famously difficult to work with--he drove Reynolds so hard (she was a much more inexperienced dancer) that her feet literally started bleeding at one point. The songs are great, they're worked into the story well--which is perhaps surprising given that most of them weren't written specifically for this film--and the choreography is impeccable, frequently jaw dropping and always aesthetically wondrous and sublime. If for nothing else, the film is worth a look for its often-athletic dance numbers, which can resemble Jackie Chan's showy martial arts stunts as much as dancing. It's also imperative viewing for cultural literacy in the realm of film.<br/><br/>But the more serious aspects of the plot are fascinating as well. In a significant way, Singing in the Rain is about film technology. Film technology is the hinge of the plot, after all. The climax and dénouement are decided by the advent of synchronized sound in the film industry. We see studio head R.F. Simpson (Millard Mitchell) demonstrating sound films at the party where Lockwood sees Selden for the second time, providing two big turning points at once. There are sequences of actors heading off to diction coaches, as happened in reality once sound entered the scene, and also in reality as in the film some actor's careers were jeopardized by having to suddenly master a new skill.<br/><br/>But Singing in the Rain is about technology on another level, too. Kelly and co-director Stanley Donen go to great lengths to ensure that the film is an exemplar of state-of-the-art film technology in 1952. For example, the beautiful Technicolor cinematography is emphasized by the fabulously colorful costumes and production design--they're showing off cutting edge color. The sound is as good as it could be in 1952, and the fact that this is a musical helps show that off. The sets and effects are complex and an attempt is made to show them off as well.<br/><br/>Donen and Kelly often play up the artificiality of the sets and effects to emphasize artistry and technology. This is clearly shown in the ""Make 'Em Laugh"" sequence (and surrounding events) and the extended ""Broadway Rhythm Ballet"" sequence with Cyd Charisse. Showing off this artistry and technology also occurs very subtly, as with the rain in the ""Singing in the Rain"" sequence. Even today, rain machines are frequently employed in a way that it appears to be raining on film, but in reality, it's just enough coverage to produce the illusion. In the ""Singing in the Rain"" sequence, they make sure that you can see the whole area is getting flooded, and they use Gene Kelly's umbrella, as torrents of water bounce off of it, to emphasize that no matter where he goes, ""rain"" is pouring down on him.<br/><br/>While there are many musicals I like as much as Singing in The Rain, this is one of the better-loved examples of that genre, and for good reason. Any musical lover has surely seen this already, and if not, they should run out now and pick it up on DVD. If you're relatively unfamiliar with classic Hollywood musicals, this is one of the best places to start."
"ToldYaSo","9","161","206","24 May 1999"," The title alone will have you humming the song
","I don't like musicals. They never made any sense to me. Don't get me wrong, I love music; it's an important part of my life. I love movies also, and while the two often compliment each other, sometimes I'm repelled. It's probably the dancing. A person breaking into a complicated dance number, seemingly unaware of their surroundings, or worse yet, in complete synch with a complete stranger is like making fun of the movie, as if to say, ""Please don't take us seriously, we like to sing and dance."" Or even more ridiculous, ""Let's not fight, let's settle this dispute with a song and dance."" Forget about suspension of disbelief.<br/><br/>This film however, I manage to enjoy. I once was given the task of my film teacher to watch the film and keep track of all the cuts in the film. Well, sometime after ten minutes I lost track because I was so wrapped up in the story. It really is an interesting period in the history of cinema, told well, and with well placed song and dance numbers that at times drag on, but that seems to be more of an excuse to show off the technicolour than anything else. They build you up to it slowly. The first few numbers don't break out at an inappropriate time. It doesn't last though, but by then they've got you.<br/><br/>With such memorable tunes as these, it's hard to imagine them going wrong. When Gene Kelly sings the title piece, somehow time stands still as you're swept up in one of the most memorable scenes in film history. Just reading the title in print has likely caused you to hum a few bars, or sing a few words. Or maybe, just maybe, walk out without an umbrella when you know it's raining. One thing's for sure, if all Gene Kelly did was choreograph the dance numbers, he more than deserves the co-directing credit he has.<br/><br/>They simply don't make films like this anymore. Which in some ways is a testament to the film's theme and narrative. The business of show is constantly in a state of evolution. The narrative portrays a time period when silent films were being replaced by ""talkies"" with sound, yet the musical genre itself has almost all but disappeared with the exception of animated films with musical numbers, and rare live-action pieces.<br/><br/>One might speculate that Hollywood overdid the musical. Personally, I can't get into them. Most of the time it seems like a drawn out affair, but this film is something special. Considering my feelings about musicals, it would have to take a film of this one's caliber to make me sit up and take notice."
"jotix100","10","64","80","2 January 2006"," The talkies
","The transition from the silent film era to the newly arrived technique of the 'talkies' proved to be the ruin for many well established stars that were great on the screen, but who had no professional training in the theater, or otherwise, and had horrible speaking voices. Thus, a star of the magnitude of Lina Lamont, suffers a hard blow to her career and ego.<br/><br/>That's the basis of one of the best movies about old Hollywood of all times: ""Singin' in the Rain"". The film is one of the classics it is because of the marvelous direction of Gene Kelly and Stanley Donen, two men who knew a lot about musicals. The screen play is by one of the best people in the business, Betty Comden and Adolph Green.<br/><br/>MGM was the studio that employed all the stars one sees in the film, and what a cast they put together: Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Cyd Charisse in a dancing part, Millard Mitchell and Rita Moreno. As if those names weren't big enough, there is the fantastic musical numbers that even, viewing them today, have kept their freshness because of the care in which this film was crafted.<br/><br/>""Singin' in the Rain"" is one of the best musicals of all times. It's right up there with the best of them thanks to the vision of Gene Kelly and Stanley Donen and it will live forever as more people discover this wonderful example of entertainment."
"preppy-3","10","95","125","22 January 2005"," One of the best Hollywood musicals
","This isn't my all time favorite (that goes to ""Meet me in St. Louis"") but this is definitely in the top 10. This is a fictitous musical comedy of the 1920s when silent films became ""talkies"". It chronicles how it affects Don Lockwood (Gene Kelly), his leading lady Lina Lamont (Jean Hagen), best friend Cosmo (Donald O'Connor) and Lockwood's new girlfriend Kathey Selden (Debbie Reynolds). Problem is Lina has a voice that can cut glass and doesn't like lockwood falling for Selden...<br/><br/>This movie has one highlight after another. Almost all the numbers are great--the title tune, ""Make 'Em Laugh"", ""Beautiful Girl"", ""Good Morning"" on and on. My two favorites are two short ones: ""Fit as a Fiddle"" which has incredible dancing from Kelly and O'Connor and ""Would You?"" at the end. Kelly isn't that good acting (he never was) but his dancing is superb; Reynolds (only 19 when she did this) is beautiful, energetic and full of life; Hagen is uproarious as Lamont (she was nominated for an Academy Award--she should have won!) and O'Connor is just great as Cosmo (his ""Make Em' Laugh"" number has astounding dancing). It's hard to believe that Reynolds and O'Connor hated working with Kelly (he was obnoxious, VERY demanding and a tyrant)--it's a credit to their acting that it never comes through.<br/><br/>I only have one (small) complaint--the big, elaborate production number with Cyd Charisse in the middle. It LOOKS great and colorful--but it brings the film to a screeching halt and is way too long. After it ends I have trouble remembering where the film left off! Still, that's a small problem. This remains one of the 10 best movie musicals ever made. HIGHLY recommended!"
"drednm","10","79","103","29 August 2005"," It Ain't Been in Vain for Nothing
","Singin' in the Rain is one of the best movies ever made. The film is beautiful, tuneful, and loads of fun. While it pokes fun at Hollywood it also does so with great love. Little bits and pieces of Hollywood lore find their way into this great film and it's a pleasure to get the joke or recognize the real star they're referring to.<br/><br/>The star trio is just perfect: Gene Kelly give a funny performance as the hammy silent actor; Donald O'Connor makes the most of his ""second banana"" role; Debbie Reynolds is perfect as the ingénue trying to break into films. <br/><br/>The three stars perform many memorable numbers, including Kelly's ""Singin' in the Rain"" classic; all three in the ""Good Mornin'"" number; O'Connor's ""Make 'Em Laugh""; and Kelly and Reynolds in ""You Were Meant for Me."" The masterpiece however may be the ""Gotta Dance"" production number with Kelly and Cyd Charissejust perfect. Also great fun are O'Connor and Kelly in ""Fit as a Fiddle"" and ""Moses Supposes.""<br/><br/>There are of course other production numbers, including the montage that shows Hollywood's race to transition to talkies, a scene that ends in the ""Beautiful Girl"" number featuring Jimmy Thompson. <br/><br/>Jean Hagen (as Lina Lamont) won an Oscar nomination and steals the film in a classic comedy performance. Also good are Millard Mitchell, Douglas Fowley, Rita Moreno, King Donovan, Kathleen Freeman, Mae Clarke, Julius Tannen, and Madge Blake.<br/><br/>The great trick to this film is that while Reynolds is supposedly ""lip syncing"" for Hagen, it's really Hagen's voice that Reynolds is miming to as in the ""I Would, Would You"" number. The final miming act is Hagen mouthing ""Singin' in the Rain"" is really Reynolds. It gets so confusing you can't tell who is lip syncing whose voice.<br/><br/>Lots of Hollywood lore retold in this film. Hagen's Lamont character is a veiled reference to Norma Talmadge, who supposedly failed in talkies because of her New York accent. It's also a reference to Louise Brooks, whose talkie debut in The Canary Murder Case was all dubbed. When Kelly screams ""I LOVE YOU"" it's a reference to John Gilbert in is talkie debut flop. His Glorious Night. Kathleen Freeman's diction coach character is a reference to Constance Collier, who returned to Hollywood as a coach. And on it goes.<br/><br/>A great film!"
"TwoCentsFromTexas","Null","97","131","18 April 2000"," Delightful!
","Many good things can be and have been said about this one and they're all true.  It's a great movie.  The title number gives us Don Lockwood (Kelly)...In love as no other person has ever been in love, no doubt.  He steps out the door and it's raining but he's oblivious to the rain.  Who needs an umbrella when you've got wings on your heart and on your feet? Not the incomparable Gene Kelly as he treats us to THE single finest moment in the history of cinema.  Do not miss this one."
"shoelace","10","85","114","20 February 2001"," Not only a great musical,a great movie
","One thing I noticed in reading the comments of this movie is that nobody recognized the screenplay by Betty Comden and Adolph Green. Without their screenplay the movie does not get made. It is a great script that was made better by Gene Kelly and Stanley Donens' fluid direction. Everything in this movie glides effortlessly. Throw in dancing by Donald O'connor, Debbie Reynolds, Cyd Charisse and of course Gene Kelly, Great songs and the willingness of producer Arthur Freed to let the creative people to do their thing and you have a classic."
"hitchcockthelegend","10","17","20","4 March 2008"," I'm happy again!
","Singing In The Rain is to me the greatest musical ever made, sure many others push it close, The Wizard Of Oz for one will always be a 10/10 movie in my opinion, but Singing In The Rain is a film that has no flaws, it is a perfect movie.<br/><br/>Don Lockwood is a star of silent movies but his life is boring, then talking movies arrive and with them he eyes an opportunity to greatly improve his life. A chance encounter with dancer Kathy Selden will further shape his destiny, and along with best pal and partner Cosmo Brown, their respective fortunes will hopefully dovetail towards fulfillment.<br/><br/>Where do you start? The film is a homage to happiness, be it film making or love, or friendships and honour, the film is pure and simply joyous from the first reel to the triumphant last shot. Featuring stunning choreography, Singing In The Rain doesn't cop out by merely having characters plodding thru a script and then bursting into song occasionally, each song furthers the characters and fleshes out the story unfolding to keep the plot lines tight and crucially, important.<br/><br/>Make 'Em Laugh, Good Morning, and Singing In The Rain are just some of the brilliant songs and dance routines on show here, with the latter a now legendary piece of cinematic history that speaks volumes for the joyous nature of the film, whilst the finale sequence of the 'Broadway Ballet' is magic & elegance personified. The cast are uniformly excellent, Gene Kelly, Donald O'Connor & Debbie Reynolds interplay together like they were hatched from the same egg, and the joint direction from Stanley Donen (along with Kelly) is seamless.<br/><br/>Full of hat tipping and self-referencing winks, Singing In The Rain regularly hits the top ten lists of critics and movie fans alike, so lets not beat around the bush about it...it flipping well deserves it. 10/10 in every respect."
