"username","rating","helpful","total","date","title","review"
"gregory43323","6","164","219","29 July 2007"," Not The Simpsons I grew up with...
","I'll be honest, I don't think any of the reviewers that have given this movie 10 stars have seen any episodes of the show pre-2000.<br/><br/>I went into the movie thinking it would probably be decent. I figured it would probably be in the style of the newer episodes but with better overall material. That's pretty much how it turned out. Anyone who says it was a return to the older *better* Simpsons is kidding themselves.<br/><br/>The Simpsons greatness was based, in my opinion, on two things: characters that we imagine existing in our society (think the comic book guy, Moe, Flanders) and simply hilarious and very quotable lines. This formula has since been replaced by humor that is situationally based, and quite frankly, just not very funny.<br/><br/>I saw this movie yesterday afternoon, and I can hardly think of one line that had me cracking up. There were some funny moments, yes, but nothing comparable to the brilliant one-liners from the show's glory years."
"jdwhite79","7","193","279","27 July 2007"," ""That's good..but not great""
","My thoughts on the movie can be summed up by that Homer Simpson quote above (and if you are the type of person who recognizes that quote and remembers what scene it is from then you probably share my sentiments). <br/><br/>The movie was decent, better than anything produced in the last 5-6 years, but still far short of the glory days (Seasons 5 - 9). <br/><br/>Here is basically what kept this movie from being really great: <br/><br/>1) very minimal focus on supporting characters...some characters (Sideshow Bob, Skinner, Supernintendo Chalmers, Skinner's mother, Apu, Gil, Groundskeeper Willie, Milhouse's parents, Sideshow Mel) were completely nonexistent. Oh, and Flanders (the secondary character who was featured the most) had 1 funny line at most. (the one about Buddha).<br/><br/>2) I understand that a movie needs a much deeper plot since it is much longer than an episode but this was just focused too much on the plot and not enough on creating worthwhile funny gags. Also, episodes usually have 2-3 different ideas going on at the same time but this didn't really (at least outside the Simpson family). There was the whole Simpsons running away which turned into saving Springfield thing. The only other plot ideas were the Homer & Marge (which has been done at least, what 5 times already) and Homer & Bart (which has also been done several times). <br/><br/>3) Most of the humor in the film was shallow, slapstick humor, not the good deep sarcastic, witty humor we've come to know and appreciate (And you call them steamed hams despite the fact that they are obviously grilled..Well, I,..Um, One thing I should....). It seems to me that this movie was clearly made with the masses in mind (as compared to hardcore fans) and the type of humor/jokes reflected this. <br/><br/>An example: I thought the following line was one of the funniest in the movie: Cletus: You know how I'm able to that trick with my thumb Cargill: 4 generations (or 40 years I can't remember which he says) of successful inbreeding? <br/><br/>In the theater like 3 people laughed (and I was one of them). Yet at the start of the movie when Homer was trying to hammer the nail and he jammed the hammer in his eye, the whole crowd (except for me) was going nuts. <br/><br/>Don't get me wrong, I liked the movie..I just didn't love it..I don't remember any lines/gags/scenes which are so memorable as to repeat over and over again (i.e. Pray for Mojo, Steamed Hams, Homer buying the matter transporter--""2 dollars..um, well, I don't know.... I'll give you 35 cents""...)<br/><br/>Oh and one other thing. If you see a review from a person who says that this was the funniest movie ever and non-stop laughs, etc..they probably weren't born before 1990 and haven't seen any Simpsons episodes pre-2000 because there's no way any hardcore tried and true Simpsons fan would have come to that conclusion after seeing this."
"rayato","9","445","696","25 July 2007"," I'm so glad it didn't suck!!!
","Let me just say I had my doubts. The last couple of seasons of 'The Simpsons' have been lackluster at best and I genuinely thought that their chance to make a great Simpsons film passed roughly 10 years ago. BOY WAS I WRONG!!! I am a huge Simpsons nerd and it is my privilege to say that ""The Simpsons Movie"" belongs in the very small group of classic Simpsons episodes (""Bart the Daredevil"", ""Mr. Plow"", etc.) Very funny and very timely. Great animation and some nice cameos.<br/><br/>Really don't want to give any spoilers so I'll just say if you're a Simpsons fan: you will love this movie. And if you agree that the Simpsons lost their edge, you will be pleasantly surprised as was I. 8.5/10"
"ultimecia_omega","6","56","79","30 July 2007"," Not very original or funny
","This post contains some mild spoilers.<br/><br/>The long awaited Simpsons Movie has arrived and at first glance it seems to be doing really well. It's had some good reviews in the media and it's doing well on IMDb. Im not particularly sure why though.<br/><br/>I found The Simpsons Movie to be an overly long episode of the later seasons quality. The ""funny"" gags were few and far between (Spider Pig just was not funny), there wasn't nearly enough screen time for some of the fan favourite characters (skinner, moe, barney...for example) but i can understand its hard to please everyone in such a limited amount of time. The overall plot of the story felt no different to what you might see in your average episode and used the same old routines we have grown tired of (Marge leaving homer, the town of springfield VS simpsons, nelsons laughing are some examples).<br/><br/>The animation was top notch as you would expect and i particularly enjoyed the music which didn't quite feel like your average Simpsons music but i thought it matched the movie quite well.<br/><br/>After such a long wait and much hype i can honestly say i was disappointed with The Simpsons Movie. Perhaps i was expecting too much though. Nevertheless i would still recommend seeing this movie, it was still entertaining and it did have some stellar laugh out loud moments (moe's bar scene was hilarious), just nowhere near enough for a Simpsons Movie. 6/10"
"andrewinet","5","113","168","28 July 2007"," Hole in the D'oh-nut not too large to jump a shark!
","'The Simpsons' TV show is best in the business for plot twists, outrageous reversals, whiplash satire and one-liners, making the best episodes as satisfying as many great films. Topping that - or even matching it - with the long awaited movie was always going to be a challenge.<br/><br/>I was entertained but, truthfully, no more than a middling episode of the series. The richness of the Springfield lore and background characters is sidelined to focus on the family itself, with too much Homer in particular - yes, I never thought I'd say that, but it's true.<br/><br/>We love 'The Simpsons' for its frenetic pace; it's clear here the writers struggled with the structure for a longer format. Possibly a Robert Altman / 'Nashville' approach would have worked better, or maybe something like ""It's A Mad, Mad, Mad, Mad World"", allowing us to see the great range of characters and supporting a stronger, over-arching story. <br/><br/>The decision to focus almost exclusively on the family itself brought out the TV show's occasional tendency towards sentimentality - Colin & Lisa? Went nowhere. Flanders & Bart? Didn't buy it for a second. Oval Office scenes? Rainer Wolfcastle would have been funnier, or GWB passing the buck that bit edgier. This isn't meant to be The Waltons!<br/><br/>More playfulness with the film format itself would have been welcome too - the opening 'Itchy & Scratchy' sequence and Homer's response were great but, as it turned out, too little too early for the film seldom ventured from the straight & narrow thereafter. Maybe Terry Gilliam to direct Simpsons II?<br/><br/>Early rumours (some time ago, I know) suggested the Simpsons Movie would be the final word on the show, but the commitment to another couple of seasons meant the film lost that seat-of-the-pants, anything-could-happen edge. I really believe the team should have one last hurrah with a final movie. Just don't try to jump the shark - blast it out of the water! <br/><br/>Get radical, guys - that's when you're at your best!"
"zuriel","1","147","241","26 July 2007"," Maybe I just expected too much...
","Maybe I just expected too much. For the last two years I've been excited about The Simpsons Movie, I could hardly wait for it to come out. I grew up with the Simpsons and, as many others, have watched about every episode at least 10 times. Since I was so eager to see it, I went to the first screening on the day of release. I was so sure this movie couldn't be bad, since South Park and Family Guy made great feature versions of their TV-shows. I was wrong. <br/><br/>Right on from the beginning, I had to realize that the film would not come up to my expectations at all. It began with the Itchy and Scratchy scene, right in the beginning. The typical absurd brutality and violence of the Itchy and Scratchy Cartoons have been softened down, so that after getting stabbed the cat doesn't even bleed. It seems the makers of the film passed on the violence to get a lower rating. An understandable step on one hand but after 18 years of staying true to the Simpsons-Style, very disappointing on the other. However, next to this little detail that bothered me, the whole plot is constructed relatively poor. All the time, not knowing that the film is only 85 minutes long, I thought ""Okay, now the film must start and come to it's point"". This thought would stay in my head until the end. The story is everything but sweeping. <br/><br/>Also I didn't like that The Simpsons Family are about the only characters that play a part in the plot. There is just a little bit of Flanders but almost no Mr. Burns, no Moe, no Major Quimby, no Sideshow Bob, no Krusty and so on. They all have about a line and that's it. Instead of the already existing beloved characters, a pig is introduced, which disappears as inconspicuously as it was introduced. But, the most disappointing fact was the jokes. They couldn't be cheaper and more harmless . Missing the ambiguousness and depth of the the jokes in the TV-version, it seems as they have only been designed for a very young audience. The humor reminded me a lot of the one from movies like Ice Age (which would be okay if I weren't talking about the Simpsons). <br/><br/>Also, I missed a political level, as seen in the TV-series or the South Park movie. <br/><br/>All in all, since the plot and jokes are sloppy and faceless, I wouldn't recommend the film to anyone who likes the Simpsons TV-series."
"fishbeef","2","47","72","5 August 2007"," ""SpiderPig"" does not a great movie make
","""The Simpsons Movie"" is remarkable only in that it manages to encapsulate in 90 painful minutes EVERYTHING that has been wrong with the show for the last ten years: ridiculous plot lines that are abandoned without resolution; a superhuman, idiot Homer who has no brain whatsoever and cannot be killed no matter what physical harm is inflicted on him (apparently the only person in the Simpsons universe with such an ability); jokes that lack subtlety; pointless cameo appearances; and an overall show of disdain towards its audience.<br/><br/>The Simpsons should really have ended a decade ago when they ran out of ideas. Since then, every plot line on the show has followed the exact same themes with more and more absurd actions thrown in to reach the same conclusion. Every single paper-thin plot line in The Simpsons Movie is one that has been done before in the series, and better: Homer gets redemption for his stupidity and saves his marriage with Marge. Lisa spearheads an environmental movement with unexpected consequences. The town of Springfield is threatened (and nearly destroyed) by an outside force. Bart shows his rebel side while secretly pining for proper guidance. The Simpson family goes on another CRAAAZY trip to an exotic location. Homer adopts a silly animal. Maggie says yet ANOTHER ""first"" word.<br/><br/>Spare me it all.<br/><br/>It took eleven screenwriters to make this dreck. Eleven!!! And this is the best they could come up with?! It doesn't advance the show at all, it only keeps it at the same downward pace it's been at for at least ten years. The only people who will truthfully enjoy this movie (without simply fooling themselves) are children who are too young to remember the ""glory years"" of The Simpsons. They're the only ones who will be accustomed to the low-quality version of the show we've been peddled for so long. As I write this review the film is somehow in the Top 250 on IMDb. If there's any justice in this world, The Simpsons Movie will drop to its proper location - the void of the Forgettable - as soon as possible."
"ThePlatteRiverKid","3","25","36","13 August 2007"," Disappointing and without laughs
","As a longtime fan of the Simpsons, I myself eagerly waited for the movie to come out (as early as the mid-90's when the Itchy and Scratchy Movie episode came out {whose ideals I felt would make their way into an eventual Simpsons movie}). Over the years, it had seemed unfortunate that the quality of the show had been declining. Jokes that lacked luster and a feeling that the show was attempting to compete with a bit lower brow show, Family Guy, at a level that it didn't seem to ever belong. I waited with anticipation hoping that the movie would rise out of the past few seasons and be a laugh riot.<br/><br/>It started out well enough with an Ichy and Scratchy short but failed to even bring out a laugh during the entire movie, few others in the theater were laughing either. A few moments brought about smiles but for a Simpsons movie it seemed promised that a tour de force of the different characters and perhaps a few more guest stars would be involved in the plot. Maybe I was expecting too much but after more than a decade it seemed that the movie was a big letdown. Weak humor, a mediocre plot and a ""Spider Pig"" that overall brought little to the comedy of the movie (it seemed like it could have been better written into a 30 minute show) made this movie almost a waste of already huge theater prices. It wasn't plotted well enough to provide many inside jokes for the long-time fans (although Springfield Gorge comes up) but it was also difficult to newcomers to really understand the outside characters and their personalities. Wait for the DVD I'd say.<br/><br/>A fan of most more mature-themed animation comedies (Simpsons, Family Guy, South Park, The Venture Brothers and Aqua Teen Hunger Force {Whose movie I haven't seen yet}); The Simpsons had been an all and out favorite for many years but after seeing the movie, it clinches a thought that perhaps the end of the series wouldn't be as horrible as it may have seemed a few years ago. As a South Park episode once mentioned ""The Simpsons have done everything"" and that seems to be the case.<br/><br/>It was a good attempt that was reflective of the past few seasons if you're into that sort of thing but for us fans of the 90's Simpsons it was just a disappointment. Thanks for many years of laughs Simpsons, but you're just too worn out."
"Naburba","1","140","236","4 August 2007"," It made me vomit with rage.
","After a tremendous buildup of advertising and reviews purchased by NewsCorp, The Simpsons Movie turns out to be nothing more than an 85 minute episode of late season Simpsons.<br/><br/>Just like these last few seasons, the movie is heartless and devoid of intelligent humor. It contains no thoughtful parody and only very trite satire. Many of the gags are childish even by Saturday morning cartoon standards. Slapstick and toilet humor cannot carry a prime time television show, much less a full length feature film. It contains no complex subtext, no (intelligent) obscure references, no hilarious musical numbers and no intricate visual humor. Many jokes are recycled from older episodes yet are very crudely put together (the similar looking family that is arrested, the Snow White spoof which is oddly similar to the much more well done Little Mermaid spoof years back, etc).<br/><br/>The characters are, at this point, gross caricatures of themselves 10 years ago. Homer, originally a dimwitted yet very caring father and husband, is now a brainless raging lunatic. Lisa, usually the voice of reason and compassion, has been reduced to an intellectual who never steps off her liberal soapbox. Bart, formerly the clever bad boy bad student with a hidden, kind heart has turned into mini-Homer, drinking problem included. Marge, a complex woman with a passion for maternity, has turned into a pitiful shell of a character, only raising her voice to nag. Other characters have either lost all complexity or just simply are not used. Even when these characters appear, they get less screen time than ""Boob lady"" or ""Crazy cat lady"" or ""Spider pig"" or ""Irish musician kid"" or ""EPA Guy"" (voiced by Albert Brooks, the same person who voiced a much more intriguing villain, Hank Scorpio). Some characters were even sacrificed in the name of cheap political humor (Reiner Wolfcastle).<br/><br/>The plot is a disgusting, twisted mess. The pig, an awful idea from the start, is quickly discarded. The tension between Homer and Bart and Homer and Marge is uninspired and forced (Marge taping over the wedding video was clearly a failed attempt to recapture the mood and emotional depth of a real Simpsons episode). The main plot, not to mention being unbelievably preachy, is recycled season 12-17 plots pieced together. I want to say that I could have written a better film but this is only partially correct; anyone could have written a better film. I'm sorry but I cannot remember many more details as I have mentally blocked out most of the movie to reduce the chances of permanent brain damage."
"BA_Harrison","6","7","8","26 January 2008"," I laughed... but I should've laughed harder and more frequently.
","In this big-screen adventure featuring the lovable folk of Springfield, trouble brews for the Simpson family after Homer irresponsibly pollutes the local water supply with tons of pig manure. As a result of this thoughtless action, the town is encased in a huge dome by the Environment Protection Agency and, after angry Springfield citizens form a lynch mob, Homer and his family are forced to become fugitives.<br/><br/>How much you enjoy The Simpsons Movie will depend entirely on your opinion of the current Simpsons TV show: if you have loved the past few seasons, then you'll have a great timethe movie is as funny, if not slightly better, than your average episode of recent years. Those of us, however, who recognise that the show has long since passed its prime will feel underwhelmed: the movie is often amusing, but very rarely hilarious.<br/><br/>And that's just not good enough! When a series as successful as The Simpsons takes 20 years to make the leap from the small screen to the big screen, it had better be damn goodnay, it had better be exceptional!! Instead, this rather uninspired product just doesn't make the wait worthwhile.<br/><br/>5 out of 10, bumped up to 6 out of a misguided sense of loyalty to a show that has given me so much fun in the past."
