"username","rating","helpful","total","date","title","review"
"tyjchurchill","6","717","901","9 September 2019"," I expected more after the first movie ....
","It's been a while since I've read the book or seen the first movie; so I apologize if I get some things wrong.<br/><br/>TLDR; The film drags on in the middle by splitting up the crew and subjecting them to meaningless jump scares. This means little character interaction (which is part of what the first movie had going for it). By the time you get to the final confrontation with Pennywise, you're just tired of the jump scares and want it to be over because you're not really rooting for the losers. And if you are, it's mostly because of what was established in the first film.<br/><br/>Pros:
<ul><li>The film starts off great. Somehow the scene at the bridge manages to match the iconic opening scene of the first.</li><li>Skarsgård is an amazing Pennywise and is creepy as hell.</li><li>Stan's speech in Richie's second flashback is great and actually funny.</li><li>Casting is, for the most part, really good. I think it was hard for some of the adult actors to find a balance between being recognizable while still showing how they've matured over time. Adult Richie is too kid-like while Bev is too mature to the point of being unrecognizable.</li></ul><br/><br/>Cons:
<ul><li>Bowers is half-assed. Literally just used for three jump scares and nothing else. Either imply that he died and leave him out or fully use him like he is in the book as the epitome of the corruption in Derry.</li><li>The final form of Pennywise is unsatisfying. It's literally a clown torso on some sort of arachnid body. They needed to go full arachnid alien like it is in the book. I think this part is just difficult to translate from the book though.</li><li>Stan's letter at the end cheapens his death. Instead of him literally being unable to handle his fear of IT, his suicide is portrayed as a sacrifice to save the others.</li><li>There's next to no character development and very little meaningful interaction between characters. I blame this mostly on the middle 90 minutes where they all split up. It's totally different from the first film where they are actually a team.</li><li>Speaking of which, this part where they all go their separate ways to find their ""tokens"" is so contrived. The story literally loses all its steam due to this and makes it feel way too long.</li><li>All of the monster scenes except the ones with Pennywise have terrible CGI. They might be gross and/or startling but you can see them coming and they don't contribute much.</li><li>About 1/3 to 1/2 of the jokes just kinda fell flat.</li><li>The constant jump scenes and long running time just make this movie exhausting to watch. It was just a constant cycle of ""pan to character, give a little backstory, jump scare, repeat"".</li></ul>"
"daniellemobsby","5","922","1176","7 September 2019"," Call me ""old fashioned,"" but CGI monster overkill does nothing for me
","I really, realllly wanted to like this film. As a huge fan of the original mini-series (and EVERYTHING Tim Curry), I knew I'd have a challenge going into both Chapter 1 and Chapter 2 with an open mind. I had to separate. I didn't have as high of expectations as I did for Chapter 1 as Part 2 of the mini series was much weaker than the Part 1 anyway as well as Stephen King's It (Book).<br/><br/>The actors were great. Even the first few jump scares were decent, and then it just became overkill. And not scary whatsoever. All of the CGI monsters look ridiculous and completely take you out of the moment. I grew up watching 80s/90s horror (AND LOVING IT). The baddies were REAL and TERRIFYING. For example, Mrs. Massey, the bloated bathtub corpse in The Shining. That was a real, completely horrifying image that has stayed with me 30 years after I First saw the movie. I don't understand the obsession with CGI when there's no need for it.<br/><br/>Sadly, this movie was just a drawn out bore."
"rburgz","2","279","350","14 October 2019"," Was this a comedy or a scary movie???
","Why they tried to add so much humor is beyond me. It ruined the entire movie.<br/><br/>Now the guy that plays Pennywise did a great job. Except for the CGI Pennywise (that was out of his hands).When he played the character with no CGI I was blown away."
"katjagymnast1000-198-162105","5","551","703","8 September 2019"," cheesy movie, dumb ending
","I'm a big baby when it comes to scary movies and even I can say I wasn't scared. The jump scares were alright but the CGI monsters just made the movie feel immature. Also....Pennywise is a flesh eating clown with hypnotic powers.....and they bullied him to death to defeat him. It was just such a corny scene watching pennywise shrink as they say mean things to him lmao"
"mgferraresso","4","224","292","27 September 2019"," Erm... No. Just... No. CGI fest and bad writing all the way!
","Only ""God"" knows how I wanted to love this film.<br/><br/>As a big fan of the (masterpiece) book, I was eager for part II. I liked the first part. I didnt LOVE IT, but it was a good adaption.<br/><br/>In the other hand, the second part is... Slow. I didnt feel the ""chemistry"" between the adult version of the Losers Club. Dont get me wrong, the acting is good, but... Something's off.<br/><br/>I didnt get the insinuations about Ritchie's sexual orientation (why? And it wasnt in the book either), and the way they chose to kill Pennywise. That was SHAMEFUL. Ultra-simple solution and it made me feel dumb... SIGH.<br/><br/>Oh! Last but not least: THE CGI FEST. I really dont like CGI in horror flicks. I dont think it is IMPOSSIBLE to use it, not at all, but God... What a CGI MONSTER FEST... I think Muschietti has a great future and a director, but there's a lot to learn...<br/><br/>IT Part II is a let down. Sadly."
"sophiakhan-66615","1","252","332","5 October 2019"," Failed attempt at horror and comedy
","Firstly, those people giving this a 9 and 10....what did they put in your popcorn?! Did you see a different movie?! Should you be allowed to leave reviews if your taste in movies is that bad?! Some poor sod might read your review and go see this movie...do you not feel any guilt!<br/><br/>This was AWFUL! Its not even worth constructing proper sentences for so I'll leave these points here:<br/><br/>1. The terrible acting. It was awful. The actors were either bored or overacting (Bill, Mike, Richie). Seriously terrible.<br/><br/>2. What on earth was the need to make this a 3 hour movie?! It was so unnecessarily dragged out and incredibly boring<br/><br/>3. The story had no story. Mike tells them there's an Indian ritual they must collect artefacts for which separates them all for 2 hours of the movie but then it turns out there was no ritual...WHAT?! What was the point of that?! Ben threw into the fire something he'd held dear in his wallet for 27 years for...no.....reason??<br/><br/>4. Seperating the characters like that and filling the scenes with flashbacks made sure there was no character development<br/><br/>5. Erm what happened to Bills wife? Bev is kissing all the guys but is still married. They turned Bev's character into a gold digging floozy by having her kiss Bill then choose the wealthy and better looking Ben for his boat?!<br/><br/>6. What in the name of all that is Mike Myers was that terrible CGI about?! The old granny scene in the original was scary as she was a creepy old lady not a 15 foot naked zombie like monster<br/><br/>7. Speaking of zombies...Bowers zombie friend drives cars and breaks him out of an asylum? If zombies can do that, why did Pennywise need Bowers?<br/><br/>8. Speaking of Bowers...what was the point of him in all his over acting melodrama? He did nothing. Except to prove you can be stabbed in the heart and walk away absolutely fine<br/><br/>9. Stanley's suicide notes to each and every one of them that he wrote and posted before killing himself?! The act was supposed to have been done out of pure fear...not as a human sacrifice<br/><br/>10. The grand finale. After spending 2 hours looking for tokens and Mike carrying around a badly built dustbin made in a beginner's pottery class, turns out all you had to do was hurt Pennywises feelings by calling him a clown and he will turn into a baby? I have no words....really<br/><br/>People do yourselves a favour, avoid this at all costs"
"zander-95284","3","258","343","30 September 2019"," BAD JOKE. JUMP SCARE. REPEAT
","Agh.. WOAH! agh.. WOAH! agh.. WOAH! agh.. WOAH!
The beginning 30-40 mins was a decent setup, well shot and the dinner scene was somewhat funny. Then it all goes down hill from there."
"gcarpiceci","1","161","212","26 September 2019"," Thus movie is a disgrace...
","...it is a disgrace because it is a gross betrayal of the original book. IT - the book - is a psychological thriller about friendship, about relationships, it is about the deep fears we have as kids and which grow with us until we are adults; it is about how we learn fighting and ultimately defeating these fears.
IT - the movie, this movie - is a cheap zombie movie stuffed with special effects and CGI with the sole purpose of jump-scaring the audience. There is no narrative, no storytelling, nothing more than a random - and awfully long - sequence of third league horror vignettes.
Shame on this movie!"
"raquel_pompey","5","149","203","13 September 2019"," I really wanted to love IT!!!!
","Okay so saw the first remake of the movie, was absolutely in love. I went and saw the second one today and didn't feel any where near close to what I felt for the first one. It was super long but that isn't even what upset me. It was just lacking in delivery! Pennywise was hardly in the movie. He was in it but they spent so much time soul searching the past of the characters that the real present stuff went lacking. Needless to say the first remake is an all time favorite. This one, I definitely should've waited until it came out on DVD. Just being honest. The first one was way to good for this to be part 2. It didn't deliver the expectation that the first one set."
"tomholland2016","6","445","646","4 September 2019"," IT ends with a big balloon.
","""For 27 years, I dreamt of you. I craved you. I've missed you!""<br/><br/>Pros:<br/><br/><ul><li>The casting director very much shines in the spotlight here. If there is a category for Best Casting Director in the Academy Award, I am all in to bet that It: Chapter Two's will not just get nominated, but win very big. The casting director deserves a standing ovation for choosing the right actors for the right characters that resemble a lot with the younger-selves from the predecessor.</li></ul><br/><br/><ul><li>You will feel the emotional impact of The Losers' Club as a whole. The fear that feeds their souls, the memories that hunt them &amp; the hopeless feeling that manipulates their strength all leave a strong impression to wonder within &amp; about.</li></ul><br/><br/><ul><li>The various &amp; disparate forms of IT should give a blast of excitement to the audience. This is the most entertaining part of the movie where you get to watch new other-worldly creatures lingering within the shadows or the old monsters are back to haunt them with a peek-a-boo! It is gross, weird and definitely strange.</li></ul><br/><br/><ul><li>The heartwarming story of The Losers' Club friendship is the beautiful gem you will find in no other horror movies this year. The connection they have is so strong and palpable,</li></ul><br/><br/><ul><li>An excellent set of transition techniques that jump from one place to another, giving that ominous vibe and at the same time feels like an adventure.</li></ul><br/><br/>Cons:<br/><br/><ul><li>Albeit the creatures are entertaining to watch, however it lacks the manifestation of the scary rituals that should follow. This is the main problem with the IT movies, it is not terrifying nor scary enough to make you have a nightmare. Even sometimes it is laughable due to its unprecedented nature of the creatures' features.</li></ul><br/><br/><ul><li>The real form of IT is upsetting and disappointing. I can strongly say that the majority will love IT's true form from the 1990 Television Mini-Series in comparison to the remake because that looks scarier, deadlier &amp; more realistic.</li></ul><br/><br/><ul><li>It is super slow and draggy that it doesn't need to be at almost 3 hours mark. 2 hours should be the best run time for this movie like IT Chapter One. It has nothing much to talk about especially during the first hour. Reunion, get together, a few jumpscare parts. That's all there is to it.</li></ul><br/><br/><ul><li>The second act of the movie (halfway) feels as if you are watching 5 to 6 different short films instead. Because it has that slow-burning nature, the scenes feel disjointed from one another. It spends around 45 minutes to an hour to look at every members of The Losers' Club being haunted by Pennywise.</li></ul><br/><br/>Verdict: IT CHAPTER TWO is certainly fresh and enjoyable. Hopes up not, its extremely slow-going story may make the audience bore enough to put you into sleep mode. IT CHAPTER TWO walks you into a journey of the insidious Derry town albeit its lack of formidable creatures."
