"username","rating","helpful","total","date","title","review"
"mstomaso","10","544","723","21 May 2005"," Beautiful
","After my third viewing, I can finally admit that this film has me. I enjoyed it during its theatrical run, enjoyed it more the second time around, and now, I can only say that I love it. The cast is exemplary. Tom Cruise is so good in this film that it is very often easy to forget he is Tom Cruise. Easily his most powerful role and best performance since Jerry Maguire. Ken Watanabe, however, is incredible in every scene - acting with a rare sensitivity and intensity and breathing life into a character much larger and more human than the grand story of which he is a part. Though the entire cast is excellent, I feel that I must also single out Koyuki and Shichinosuke Nakamura for, respectively, the female lead and the emperor, for the subtle strength and believability they each give their very challenging roles.<br/><br/>The story takes place during the early modernization of Japan, in the 1870s and 1880s. The Emperor's power has been weakened by the political and economic power of his cabinet, by his young age, and by the political influence of the United States and other western powers pulling the strings of his cabinet and supplying modern weaponry and tactics to the modernizing Japanese army. Cruise plays Captain Allgren, an alcoholic veteran who has seen and participated in too many massacres of innocent people, and is offered an opportunity to reclaim some of his honor by helping to train the Japanese military in the use of firearms. When he arrives in Japan, we learn that the first test of the Japanese army and its new weapons will be against a rebellious group of samurai who believe themselves to be in the service of the Emperor and Japan, but resist the Emperor's cabinet and the influence of western nations. In the power void left by a passive emperor, Japan seems poised to enter into a civil war against its own values, faith and honor. During the first attack on the Samurai, Allgren is captured by the Samurai and begins a spiritual, physical and philosophical journey which will bring him a level of self-respect his own culture could never supply.<br/><br/>My interpretation of this journey is that Allgren has found a place and people that offer him redemption, where, in his own world, he can find none. But Allgren's is only a small part of the story - which ultimately revolves around what is right for Japan, for the subjectivity of a whole nation, and how to portray such a subject from its own perspective. Traditional Japan is treated with empathy here, not aggrandizing exaggeration, as some of the film's critics seem to suggest. This is not a film about what is objectively right and wrong, but a film about struggling to understand and empower tradition as a means to control and benefit from change. I find no grand moral statement here, but rather an intense, sympathetic, human drama with a strong sense of honor and sacrifice.<br/><br/>Edward Zwick has made a film which operates well at every level, carrying simple but profound philosophical ideas, but avoiding the mistake of making these ideas and the characters that express them super-heroic. Ultimately, this beautifully shot film conveys powerful messages about war, tradition, ethics, honor and culture, which, though not particularly original, are sensitively and intelligently brought forward. There is a lot of action, including some remarkably well-acted sword fighting and martial artistry, but none of it seems unnecessary and the whole film is truly tightly woven. My highest recommendation."
"FilmLabRat","10","375","559","4 December 2003"," Brilliant!
","I was skeptical about this movie because not every high-budget feature with Tom Cruise is guaranteed depth or serious acclaim, although it may gather at the box office.  And Warner Bros put me through TORTURE to see this pic - changes of times AND locations, over and over.  I felt like was on an survival test, an unbearably annoying treasure hunt over weeks and was frankly ready to give it a negative review (which I'm writing on behalf of a publication).  However, I found the movie truly and unequivocally remarkable and cannot contain my review in 350 words.<br/><br/>First, the experience was powerful.  Edward Zwick was a masterful director. I was on the edge of my seat the whole time.  The action, sets, scenery and story - even the dialogue - were riveting.  Clearly, a ton of historical and cultural research and care went into the script, sets, costumes, casting. They didn't just Hollywoodize Kurosowa's ""Seven Samurai"" as a Tom Cruise vehicle.  Nor was it Dances with Wolves or Seven Years in Tibet, two PC-preaching pics of yesteryear.  It was a lot more like Braveheart meets Seven Samurai with elements of inculturation a bit reminiscent of Wolves and Seven Years.<br/><br/>Rarely does a movie have excellent acting across the board, but all the Japanese actors were outstanding, and the Americans and Europeans were excellent ... Tom Cruise was at the top of his game.  His Independence Day angst combined with his moral nobility in A Few Good Men and The Firm. Ken Watanabe as co-star exemplifying bravery, wisdom and nobility was outstanding.<br/><br/>In spite of this historical epic being ""in vogue"" at present, there were surprisingly few cliché story elements.  Even the requisite (American-made movie) romance with Take (Koyuki in this role was wonderful) furthered the cross-cultural elements of the plot in such a way that neither culture was violated - and above all the `chemistry' was discreet in Japanese fashion, taking a necessary backseat without overshadowing the main story line, actually adding richness to the process of ""going native"" for Captain Algren (Cruise).  The subplot went far beyond an added market draw.  Very tasteful and artful scriptwriting, with many colorful, developing characters.<br/><br/>
The thrust of the film was the Western-Japanese cultural divide, differing concepts of value and valor and the political issues surrounding Japan's efforts to ""Westernize.""  [cross-cultural studies have become a cinematic trend: Lost in Translation, Beyond Borders, The Missing, Japanese Story, etc.]  Where most of the other films fell short (and The Statement was an abomination], this film succeeded brilliantly.  The differences between the two cultures were considered and portrayed without completely bashing one (except in the political arena, but even there, the Japanese seemed to be inviting their own downfall, in many ways).  There was no simple scapegoat or cultural domination message.  The American Civil War captain, Nathan Algren (Cruise) goes abroad as not only a war hero but also a cross-cultural and linguistic expert.  Being in Japan, (at first as a mercenary hired to train Japanese in Western ways of war), he takes on the study of the people and their language.  Although Algren's sometimes superhero abilities are a bit of a stretch at times, taking the native language seriously is unique in American filmmaking (and American culture, hence our lowly reputation when traveling).  Usually the American walks into the foreign scene and the pic automatically shifts to all-English.  I was truly grateful to find the dialog half in subtitles because half the characters were Japanese - and Algren was speaking with them.  Secondly, this movie honors both cultures for their recognized strengths, even in their distinctiveness.  For example, when the woman who is hosting Algren (in captivity) makes dinner, he helps her.  ""Japanese men don't do these things,"" she tells him.  ""But I'm not Japanese,"" he says (in Japanese).  Algren is not ashamed to uphold his homeland customs (although this was 1876... pre-sensitive 90s man era, long before women's lib let alone men entering kitchens) when his own cultural customs or inclinations are ways of caring rather than domination. Another and more important example:  Algren demonstrates American resilience and perseverance when he rises again repeatedly after defeat.  This baffles the Japanese who are accustomed to falling on their swords in shame after defeat, for them a noble death.  In these and many other ways, the Japanese Samurai (especially Katsumoto, Watanabe's character) and Algren learn to appreciate each other's ways.  In many respects, the film moves past the usual PC party line [of Dances with Wolves, Seven Years in Tibet and most others of similar ilk out of Hollywood] and reflects on the beauty and dignity in the midst of difference between the two worlds, and how much they need to learn from one another without money or domination as a motive. The dignity of the young Emperor Meiji finding his own cultural center, at the end, was especially moving.  Overall, the film had depth and substance with brilliant work in almost every area of production and performance.  The editing was marvelous - although it's long, there's no unnecessary material remaining.  Not a moment of boredom.  Props all around!"
"leigh-jeffries","10","296","491","15 January 2005"," One of the most beautifully crafted films ever made.
","If you have NOT seen the film then stop reading this review and go rent, buy or borrow it right now! What are you waiting for? This is a 10 out of 10 must see.<br/><br/>The casting, location, storyline and direction of this film is simply excellent. I say this is Tom Cruise's finest acting hour. A story of honour, integrity, tradition, courage and love entwined with great battle scenes, beautiful scenery and superb acting, especially in the lead roles of Cruise and Ken Watanabe.<br/><br/>For me personally I have no faults with this film. I do not possess a vast knowledge of Samurai history other than what we see on TV and read in magazines so cannot comment on it's depiction of true Samurai legend. A real gem."
"axmwxu","2","55","83","29 December 2019"," Definitely Oscar-worthy
","It is that bad.<br/><br/>It is the same old situation. Fallen hero of USofA goes overseas and takes care of the situation, beds the local skanks and finds personal redemption.<br/><br/>Believe it or not the samurai (with 500 years of tradition) learn samurai principles from the pissed out of his mind new arrival. They also learn to double back as a military tactic (!!?!?!?!?).<br/><br/>Hey, 2 stars because the wife wasn't a tattooed and pierced redneck from Texas who needs to lose 100 pounds."
"udtjrlxw","3","29","41","28 January 2020"," No Wonder The World Hates America
","Everything we do is all about how they all need us and without us they cannot cut it.
We even resurrect their culture.<br/><br/>It is Hollywood's signature theme.<br/><br/>In the meanwhile, give me a break"
"akxpoedyae","3","61","93","25 December 2019"," Please Come To Japan Mr. American Man
","And save our culture and satisfy our women in bed, Mr Yankee Man. Do mo Arigatou.<br/><br/>It is five dolla sucky sucky folks, with an expensive over-rated hollywood actor.<br/><br/>Don't you love it when the dying words of the noble samurai in the heat of battle are... in English?"
"dotard-does-stormy","7","20","27","17 March 2020"," Good One
","I Am A Healthy American Man.<br/><br/>Of course all babes around the world crave my manhood and want a green card. I am not wussy and weak like Spaniards and Canadian 'men.' And here tom Cruise flies the American flag and goes to Japan and makes things right ansd satisfies the women's tingling down there at the invitation of the head of all samurai."
"iqt-46992","2","83","130","24 November 2019"," White American Man To The Rescue..
","He saves the noble samurai<br/><br/>He saves the honor of Japan<br/><br/>He gets to meet the emperor of Japan for all his hard work (and because the emperor is bored kinda)"
"tremoncyprian","Null","96","152","22 September 2019"," Most Overrated Movie of All Time
","From an American perspective a drunkard goes to Japan, kills a local and honorable man and.... he becomes hero to the locals and the dead man's wife spreads her legs for him!!!!!!!!!!!!!!!!"
"samvelted","3","120","193","25 September 2019"," Bad One
","As expected in a bad American movie, the protagonist completely transforms from a shaky drunkard to an American gigolo bedding the local women who are wet for him and becomes a military and political leader in 2 weeks. After being recruited to lead an army whose function is to exterminate a village of samurais, he is captured by the enemies when losing the battle and there begins its transformation. Yup the Japanese need a white man to pursue their restless dream of a pure Japanese country!!!<br/><br/>Next for people who like this crap: Memoirs Of A Geisha where all the Japanese geisha are... Chinese!!"
