"username","rating","helpful","total","date","title","review"
"ivo-cobra8","10","183","268","2 July 2017"," I don't understand the hate a descent awesome MCU super action superhero - Captain America is the king
","I don't understand the hate for this movie it actually surprised me, I really enjoyed this film. Captain America: Civil War is a descent awesome MCU super action the third film of the Captain America trilogy. To me the second movie Captain America: The Winter Soldier is still the best one I just love that movie to death, but I like this one I love the first one but I just love all three of Captain America films. I thought the cast did a good job Chris Evens kicks ass once again he is Captain America and I look this movie from his point of view. He is really become my favorite hero of the Marvel Cinematic Universe and the Avengers films especially Age of Ultron, Captain America is still a guy who has a lot of screen time that it is the focus of a movie and he is still the guy I can take a side I agree with him, I can understand his choices.<br/><br/>We have also almost everyone from Avengers films except Thor and Hulk actors Chris Hemsworth and Mark Ruffalo did not appear. Chris Hemsworth thought that MCU fired him because he was not cast as Thor but he was later explained that MCU wants his own movie and his own stand alone path which I can't wait for Thor: Ragnarok.<br/><br/>The cast beside Chris Evens includes Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Paul Rudd, Emily VanCamp, Tom Holland, Frank Grillo, William Hurt, and Daniel Brühl.<br/><br/>In Captain America: Civil War, disagreement over international oversight of the Avengers fractures them into opposing factions-one led by Steve Rogers and the other by Tony Stark. We have two opposite teams now fighting each other: <br/><br/>Team Iron Man: War Machine, Black Widow, Black Panther, The Vision, Spider-Man.<br/><br/>Team Captain America: Hawkeye, Sharon Carter, Falcon, Bucky Barnes, Ant-Man, Scarlet Witch.<br/><br/>The battle between Captain America and Iron Man draws a political line in the sand. On one side, you have Tony Stark, a man looking to protect the world from super-powered individuals who've proved in the past to be more destructive than helpful. On the other, you have Steve Rogers championing civil liberties. It's the age old debate of safety coming at the cost of freedom, and we'll get to see it play out to a hopefully satisfying conclusion this year.<br/><br/>The action scenes are fantastic, the fight scenes on the airport are incredible heart pulse breath taking awesome. The fight scenes were very well done and well choreographed. I liked this movie more the story drew me in, the villain wasn't that good.<br/><br/>Robert Downey Jr. does a good job, Paul Rudd he is fun in the flick, he has a great moment as Ant-Man he has a few moments but one predictable. Scarlett Johansson did great! Black Widow kicked ass specially in the beginning of the flick. Anthony Mackie I really like him as Falcon he as a lot of good stuff in this. He was down played in Age of Ultron but has a lot screen time in here which was excellent and they made that for that in this one I am glad for it. Anthony Mackie has a lot of good screen time, specially in the action moments. Falcon has a remote control like a mini Flacon I thought that was really cool. Chris Evens is to root for this character, Black Panther interesting the actor playing black panther was really good I like him and I am really interested seeing his up coming movie. Bucky Barnes: Winter Soldier did fine.<br/><br/>A lot of people are complain about how terrible this movie is I am sorry I don't see it that way, I don't see at all it is peace of sh**. I wish that Frank Grillo as Brock Rumlow / Crossbones wouldn't die and it was nice to see him in the beginning of the movie. I still wish he would work for the villain I still enjoy his screen time.<br/><br/>I thought Chris Evens and Robert Downey Jr, did work great as a opposite team. I love the end of fighting between Cap, Iron Man and Bucky Barnes. I thought the last fight scene was well choreographed I honestly think Iron Man would have won and he would killed Bucky Barnes. If Cap wouldn't have hurt his heart. I know when Tony find out Bucky killed his parents and he killed his mom in 1991 he decide to kill him. I mourn with Tony and it was a great dialogue ""That shield doesn't belong to you. You don't deserve it! My father made that shield!"" <br/><br/>Captain America: Civil War is a 2016 American superhero film based on the Marvel Comics character Captain America, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures.<br/><br/>I understand the hate, because Captain turn the law politics back to save his friend, but he actually try to safe an innocent man who was framed by Zemo. <br/><br/>Captain America Civil War WAS BETTER THAN X-MEN APOCALYPSE, Batman v Superman: Dawn of Justice, Man of Steel and Deadpool I don't like those movies they are peace of sh** and too way overrated. The rating I am giving is 10/10"
"thependragonscribe","9","97","163","27 April 2016"," ""Captain America: Civil War"" Pits Two of MCU's Biggest Heroes in One Epic Confrontation
","The Marvel universe gets tenser with the most-awaited ""Civil War"". For what fans clamor to be a storyline that the MCU is building towards, here comes a showdown of Marvel's biggest properties.<br/><br/>""Captain America 3"" starts off where ""Avengers: Age of Ultron"" ended, when the New Avengers, led by Steve Rogers/Captain America (Chris Evans), are cornered by international concern in response to continuous collateral damage. As a result, a governing act is proposed to the Avengers, fracturing the team to two sides, one led by Rogers and another led by Tony Stark/Iron Man (Robert Downey Jr.). But when a new threat is on the horizon, the team has to face the repercussions of their brawls.<br/><br/>It is a huge help that the Russo Brothers returned to hold the weights of Marvel's Phase Three, after their spontaneous effort in ""The Winter Soldier"". Though ""Civil War"" may not be as solid as its predecessor, it is still a worthy addition to the Avengers storyline and Captain America's saga. Yet, it excels for taking a mature route that brings a compelling character study, a token from the first Avengers movie. Out of such character study is the major theme of vengeance. I am not going to give any more details about it. It is best to be seen and be enamored by how such themes are delivered with an affecting yet entertaining vibe.<br/><br/>Kudos to the cast ensemble that all brought their A-game, even though some characters are not that fleshed out, or feeling shoehorned. Evans is at his most moving as the fading patriot who wishes the best for his team and loved ones. Downey Jr. is still what we expected from RDJ. Scarlett Johansson as Black Widow has a neutral but affectionate presence, despite her rather little involvement. The rest of the cast is great to see, with notable breakout performances from Paul Rudd as Scott Lang/Ant-Man/Giant-Man, Chadwick Boseman as T'Challa/Black Panther and Tom Holland as Spider-Man/Peter Parker. And Daniel Bruhl as Helmut Zemo is a better addition to Marvel's lacking lineup of antagonists. But despite the cast's collective efforts, there is an obvious battle for screen time with all characters. Thankfully, it was all salvaged as the two parties brawl in a cleared airport, in an exhilarating action sequence that will surely make every audience member cheer.<br/><br/>For all the makings of a summer blockbuster, ""Captain America: Civil War"" gets it all started right. Besides being a loyal companion to the comic book storyline, it is a worthy setup to Marvel's other properties and one that truly can hold on its own, courtesy of its consistent superhero action scenes, the Russo brothers' tense direction, the excellent cast, its thought-provoking themes and its exciting story with its signature Marvel snappy dialogue. Let us hope for the best for MCU's future, including Tom Holland's ""Spider-Man""."
"MR_Heraclius","8","45","72","23 February 2020"," Great
","Great movie, very well crafted and it is an awesome thriller-action-drama at the same time. Character's decisions are likable and understandable. Absolutely do not miss this one!"
"nathanianhenderson","4","365","685","1 May 2016"," Overstuffed and Undercooked
","The WINTER SOLDIER is the best MCU film, but its sequel has a serious identity crisis. <br/><br/>Captain America: Civil War wants to be great. But for the most part it isn't. The film is an overstuffed 2 and half hour film that has one too many ideas thrown into the mix. It is essential a cash grab of the BVS variety. But why can't people see this? <br/><br/>Now this is a Captain America as the title suggests. But in the end a more fitting title would read: Bucky VS Ironman: Dawn of who's the Captain's Bestie. The reason I say this is the film felt disjointed to the point of it being a joke. It felt like two separate films weaved together to try and make a film that makes sense. But it didn't It's one half a Captain flick/ the other half a mini Avengers film. But they both drown each other. <br/><br/>It's clear this is a film Marvel wanted to make, but why on earth rush into it? One film could never service this iconic plot line. It should have been gradual, and while we did see Cap and Tony tense up in Ultron, this is where a strain in their relationship should have been definite and it should have still been in effect at the beginning of this film.<br/><br/>For the most part of the Airport sequence there was no real danger. It was a carefully orchestrated scene that showed these films are for young cinema-goers. Even when one character is looked to be written off ""BAM"" they are back, giving everyone some cheep laughs at the end of the film. <br/><br/>Now from a writing and filmmaking point of view and dare I say it, this film has worse interconnecting scenes then The Amazing Spiderman 2. Re-shoots are obvious, editing is sub par, cinematography lacked style and was evident to be a ""quick"" point-and-shoot at the action affair. Such a disappointment. <br/><br/>But yes this film has it's fun moments (the same can not be said for BVS). But they can't help a film tailored to a certain demographic that leaves out those looking for a film that doesn't kill a few braincell upon leaving the cinema. The laughs are hardly inspirational writing and forced, so forced.<br/><br/>sidetone: ONLY SOME OF THEM HAVE SUPER POWERS, SO WHY DO THEY ALL RECOVER FROM HARD HITS AND KNOCKS? it's just makes the stakes so much lower and less respectable."
"BiiivAL","9","112","199","13 June 2018"," Split of the Greatest Heroes of the Earth
","Split of the Greatest Heroes of the Earth<br/><br/>The film ""The First Avenger: Confrontation"" is the second loudest film comic this year, which tells us about the battle of superheroes against each other, after ""Batman vs. Superman"" and is a screen version of the comic ""Civil War"" - one of the most significant and large-scale events in the universe comics Marvel. As always, Marvel made a great movie. What did I like about it? Explain in order.<br/><br/>1. The plot. In ""Confrontation"" the plot turned out to be very interesting and, most importantly, not trivial. It is difficult to determine until the very end which of the heroes is right and who is not, and even if you have taken some position, at the same time it is difficult not to understand the other side of this conflict. In this story, every hero, every team is both right and wrong. In the struggle of heroes, everything can not be clearly divided into black and white, and in this contradiction there is a huge plus of the plot of the picture.<br/><br/>Humor, although it's not so much, is still present and remembered. Especially, in this regard, the scenes with the Person-Ant and the Spider-Man are strong.<br/><br/>Also very pleased with the final of the picture, which turned out to be as contradictory and ambiguous as the confrontation itself.
2. Characters. Heroes and their motives are revealed in the film quite full and do not make them doubt. Of paramount importance are, of course, the leaders of the warring teams - Captain America and Iron Man.<br/><br/>The captain does not appear to us as an ideal hero, but a man who is compelled to go against all to protect his friend and the ideals in which he believes.<br/><br/>Iron man is also shown somewhat differently, he believes that all heroes need control and are ready to obey a new law, which, he believes, will be able to protect the world from new dangers.<br/><br/>Among the new heroes is worth mentioning the Black Panther, who plays one of the main roles in the film. For him, the film is like a test before his own solo project and we get about him only an initial presentation.<br/><br/>Of course, one can not help noticing the Spider-Man, who personally for me was one of the main reasons for going to the movies. The spider turned out really new. It's hard to say whether he will be the best of all previous ones, but I can say with confidence that he is already sharply different from his previous incarnations, largely due to the fact that the role was taken not by an adult, but by a real teenager. Separately, it is worth mentioning and the voice of the character, the voice reflects perfectly that the hero is just a child and an inexperienced superhero who is just starting his fight with Evil. In my opinion, the filmmakers correctly decided that they did not once again show the story of the origin of the character, but present it as a ready-made hero.<br/><br/>The new villain Helmut Zemo turned out to be very interesting and memorable, thanks to the fact that he is the most ordinary person who managed alone, using only his mind and hatred, to resist the Avengers. It will be interesting to see this character in future films as well.
3. Action. Action, as in any film on the comic books Marvel, is one of the main components and here he, as usual, at the height. I have nothing more to add here.<br/><br/>In the end, before us is one of the most successful films of the cinematic universe of Marvel, which allows us to take a fresh look at familiar characters and leaves us in a pleasant anticipation of future films."
"fld-188-710060","1","494","949","2 May 2016"," #TeamNeither WWE RAW With Superheroes
","People says: an Avengers movie with 'emotional depth' and 'moral  complexity', and now I have to question what planet they're living on.  Seriously, WTF people!! if this is 'emotional depth' and 'moral  complexity' then Marsellus Wallace is a bitch!   When their operation to stop the theft of a biological weapon in Lagos  goes explosively wrong leaving dozens of civilian casualties and  themselves under scrutiny. It may be that I'm misremembering, but were  there any civilian casualties in the past???   Didn't whole cities go up without anyone even wandering around dazed  with a nosebleed? But the plot needs what the plot needs so now the  Avengers have always blown up innocent people, which leads to 100  nations gathering together and saying: this must stop. And: you must  all be brought under the control of the UN.  While Iron Man is for it, Captain America, who is more Brexit, quickly  goes rogue and becomes a fugitive. This could have then set the scene  for, perhaps, saying something almost interesting about government  control, military might and divided loyalties, but instead it results  in all the superheroes choosing #TeamCap or #TeamIronMan there are no  takers for #TeamNeither, which would have been the sensible option   WHY WHY they fight!! Come on!!!   Captain America a rebel soldier???"
"gangstah_vino","10","660","1294","12 April 2016"," Now this is a good superhero movie!!
","Hi,  I saw civil war and I come with good news; it's AWESOME!  Im not gonna spoil one single thing, since this movie should be seen by  only the two trailers you probably saw. Don't watch any tvspots after  the second trailer or whatever!  Im gonna touch a few aspects and rate them.  Acting: Of course it's amazing. The characters we were waiting for were  black panther and of course SPIDERMAN! Both were done amazing!  Spiderman has a bigger role than I personally expected and it's done  with grace. Love it. Black Panther was such a good character with great  motivation why he's doing what he's doing. The acting per usual from  the other characters were great! 10/10  Story: Now where another (let's leave it) unnamed superhero movie  failed this year, and no I'm not talking about dead-pool.., was the  story. Now this story is what I expected from the other unnamed  superhero movie. I didn't know what side I wanted to be on; cap's or  iron man's. I was so conflicted and even while they're fighting you  don't know who to root for. The villain in this movie felt a bit, not  really out of place, but unnecessary in my opinion. But Marvel always  struggles to find a good fleshed out villain except for Loki & kingpin  in the series. 8/10   Action/Cinematography: O boy..If you're an action freak you will love  this, if you're a comic book fan.. you're gonna LIVE these amazing  action set pieces. The much anticipated airport scene is AMAZING.  You've seen nothing, literally nothing of the amazing action that will  bestow upon you guys. The airport scene is in complete imax and has a  runtime of around 17 minutes. Just let that sink in! The Russo brothers  know how to create great action and film it great as well. I can go on  record and say this is by far the best superhero action scenes ever.  20/10.   Verdict: Was it a perfect movie? No. But for me as a fan it came darn  close. The only thing that bothered me were the villains, well actually  one of the few that are in there.   Was it better than... Batman v superman.. yes by far. I mean we're in a  comic book movie year, so we might as well compare it. Batman v  superman lacked in a lot of places and civil war just did it better.  Just the conflict in ideologies made it so much more believable why the  characters fought and because this whole story arc is happening now  after 2 cross over movies, 3 iron movies and 2 cap movies.. the stakes  are so incredibly high. I tried to compare dead-pool with it as well,  but it's a different movie in terms of it being a solo movie and  setting something up, instead of showing a conflict between good and  good instead of good and evil.   9 out of 10! Near Perfect movie for the fans(9.5) and a good solid  action film for the general movie go-ers(9)"
"djsmileyface","10","285","548","13 April 2016"," Exceeded my expectations.
","I loved every second of Captain America: Civil War. Everything was so well put and the story and plot worked very smoothly. This movie is everything Batman V. Superman should've been. Every character fit right and at no point did the movie feel crammed with superheroes. In my opinion, the two heroes that stole the show was Spider-Man and black panther. They got both of these characters right especially black panther. As much as I loved Batman V. Superman, I have to give this movie more credit. The Russo brothers did not disappoint and they delivered another marvel masterpiece just like the winter soldier. This movie was very good and I plan on seeing it again when it comes out to all theaters and maybe a couple more times! This movie made me very excited to see what comes next in the MCU."
"Matt_Layden","8","28","45","20 May 2016"," ""I'm doing what has to be done... to save us from something worse.""
","Superhero fatigue is a problem that many people think is starting to settle in. Fantastic Four was an abysmal film and it made less than Spy Kids 3D: Game Over. Batman V Superman: Dawn of Justice received terrible reviews and had one of the biggest Friday to Sunday drops. Are people sick of these films? Well, not if you're in the Marvel family it seems. For one thing, Marvel actually takes pride and careful attention to detail with their films, both the previously mentioned titles are rush jobs for specific reasons. Civil War is proof that the good guy vs good guy aspect of superhero films can be done right.<br/><br/>The world wants to hold the Avengers accountable for all the death and destruction they've caused over the years, so the United Nations put together the Sokovia Accords, which means the Avengers would work for them. Tony Stark supports this. Steve Rogers does not. Things get more complicated when Bucky turns up again and is the prime suspect in a bombing that kills dozens of people. With two prominent members of the Avengers on opposing sides of the issue, will the team ever be the same again?<br/><br/>Civil War has a lot going for it. Stellar cast, great characters, top-notch special effects, excellent action sequences, comedic relief and...well the list goes on. The Russo brothers have delivered a slick action film that makes me comfortable with the fact that they seem to be at the helm of the Marvel franchise now. When The Avengers was first announced, I thought it was going to be dreadful, then they said these guy named Joss Whedon was going to be directing it and my expectations instantly changed. Whedon delivered a great superhero film that set up the rest of the films to come. The Russo brothers now have the task of juggling all these characters and they do an admirable job.<br/><br/>Each character has their shining moments, but the core of the story is Stark vs Rogers. So while it's fun to have Rudd come in and have a few laughs, I don't think anyone is expecting huge things from his character. Same with Spider-Man, who is forced in here to set up his future films within this weird shared universe with Sony. Those are not complaints, they both work wonderfully in the film. If I were to find a complaint it would be in the thought process of the villain, Zemo. His plan is so painstakingly convoluted that I wonder how it even worked at all. Too many things need to fall in place for him to get what he wants and it distracts from the emotional power of the climax. The actors and the history with the characters manage to save it a bit and do raise the stakes, but I had my problems nonetheless.<br/><br/>The grand spectacle at the airport between these characters was indeed a highlight. When you have characters like Vision and Scarlet Witch, who are so powerful they could end the fight instantly, it's a good idea to have them simply do damage control. I wondered how they would handle these two, they did a decent job of it. After this film, I can only hope that Infinity Wars goes this route and gives each Avenger a worthy foe to fight and not a hoard of mindless foot soldiers, which is exactly what the previous two Avengers films did. <br/><br/>Fans of the series will be pleased, the action is great (a bit shaky at first, but they let it breath later on) and some great introductions of new characters that will bring a fresh perspective to the franchise. Black Panther for one, steals a lot of the scenes he is in. Bold move to have such a big character ""show up"" in the film without a solo movie to set him up, but it works here. The cast is diversifying as more and more characters come into these films and I'm glad to see it. Tony Stark is great, RDJ does a great job with him, but we've seen the guy have a big role in these films 6 times now. I get that Marvel is scared to let some of these characters go because they are so integral to everything, but I honestly believe something along these lines needs to happen to bring more emotional depth to the franchise. For a studio willing to take chances are projects like Guardians of the Galaxy, they need to take a chance on this aspect as well."
"RikerDonegal","10","72","130","28 April 2016"," Magnificent
","I lost count of the times I gasped or whispered 'wow' to myself.<br/><br/>Story-driven and character-driven right to the bitter end, but it also has many amazing action sequences.<br/><br/>Remarkably, all of the characters are well-served. Old favourites get moments to shine, and new kids on the block are put in the spotlight as well. One in particular basically steals the film.<br/><br/>Weighty and serious, thought-provoking and intelligent, but also joyful and funny in almost every scene.<br/><br/>Rapid-pace storytelling. Blink and you miss the next story development.<br/><br/>Great, great performances from Robert Downey Jr., Sebastian Stan, Daniel Brühl and Chris Evans.<br/><br/>10/10"
