"username","rating","helpful","total","date","title","review"
"fearthemcneil","10","421","477","4 January 2020"," I lived a version of this movie, and it hurt.
","I didn't expect this to mirror how my ex wife and I had to go through the stages of divorce so accurately. My son was only 2 when we were divorced and all of the ups and downs and petty fights and anger that we had for each other was exhausting but we went through it all just to fight for him, who we both love more than anything. We said horrible things to each other we can never take back but we didn't really mean and we both eventually found a way to make it work for him and to protect him from the ugliness. We made it through to the other side and have a good relationship now and work as a team to raise him with love and support but it was a long road out of hell to get there. This movie portrayed that in a way I would never have expected. It made me cry numerous times thinking of how hopeless and angry I was for so long and in that I feel like this movie deserves every accolade it gets. It felt genuine and painful but with hope at the end. It's real and powerful."
"mahmus","10","64","74","20 March 2020"," Devastating
","Absolutely heartbreaking. I loved every minute of it.<br/><br/>Adam Driver and Scarlett Johansson give the best performances of their careers. They are so damn good here.<br/><br/>Great writing and direction. A beautiful and depressing film."
"eelen-seth","10","553","730","4 November 2019"," No cheek will be left dry.
","With many directors, producers and actors blaming Netflix and other streaming services for what could end up being the end of cinema as we know, the streaming service is releasing several films in theatres for a number of weeks to be eligible for consideration during awards season. Many theatres are boycotting this strategy, so aren't playing Netflix's films at all. The theatres in mostly bigger cities around the world that do play them , are selling tickets like hotcakes. After their short theatrical run, Netflix will make their Original Film available for their members. With Marriage Story, Netflix might even get their first Best Picture award handed over to them.<br/><br/>Noah Baumbach's Marriage Story is an incisive and compassionate look at a marriage breaking up and a family staying together. While we flash through important and daily situations, we hear Nicole (Scarlett Johansson) explain what she loves about her husband Charlie (Adam Driver). Charlie loves being a dad, and how it's almost annoying how much he loves it. He cries easily in movies. He's very competitive, undaunted and is very clear about what he wants. These are only a few things Nicole loves about him. After that, it's Charlie's turn to tell us what he loves about his wife Nicole. She's a great dancer - infectious. She's a mother who plays, really plays. She gives great presents. While we hear this couple recite what they've written down, we get to meet them post-break-up in a marriage mediator's office. This was part of an assignment, to fully understand why they got married in the first place. Nicole doesn't want to hear what Charlie has written down, so what's been put in writing is only something we, as the audience, get to hear out loud.<br/><br/>What follows then is an emotionally raw journey into growing up, while trying to figure out how to survive on your own. Happiness is a personal feeling and can't be disguised as something as trivial as washing dishes or forgetting a grocery list on your way to the supermarket. We get to know little about Charlie's childhood, but Nicole's family and home are something that's right in the middle of everything. There's also their son Henry (Azhy Robertson), who gets pulled into this. Nicole thinks Henry is just like his father - almost joined to the hip. But when their marriage crumbles, and distance becomes an important factor in Henry's upbringing, their assumptions are solely things that have been witnessed while being together, and are now changing rapidly.<br/><br/>The change in personality, after splitting up and having to deal with divorce, becomes very clear in both Nicole and Charlie's behaviour. While Nicole seems very focused, meek and motherly, she turns into a woman who knows what she wants and isn't holding back anymore. The only thing she's holding back in front of Charlie - are tears. As if she doesn't want him to see how vulnerable and damaged she is by everything that's changing. ""Love doesn't make sense"", and no truer words have ever been spoken. Charlie on the other hand, who's always been confident and career driven, is now crumbling down, defeated and uncertain of the future.<br/><br/>The cast is phenomenal. Adam Driver is the strongest of the bunch - a transformative, unseen, heartbreaking performance that no one will be able to shut up about during this year's awards season, and deservedly so. Everyone is feeding off his energy and bringing their triple A-game to this truly exceptional film. Scarlett Johansson has never been better, playing a broken woman who wants the best for her family but can no longer wait for her dreams to become reality. Laura Dern as Nicole's divorce attorney is Elle Woods all grown up and commands your attention. Ray Liotta in a comeback to the big screen (his last big film was in 2014's 'Sin City: A Dame To Kill For'), makes you wonder where he's been all this time. Merritt Wever and Julie Hagerty as Nicole's sister and mother don't get much screen time, but are here for some unexpectedly superb comic relief.<br/><br/>Baumbach also wrote the film and deserves all the accolades - a true master in writing and directing. He makes all of it seem effortless, with unprecedented results. The way he gets his cast to deliver minutes of dialogue, while his DOP, Robbie Ryan, zooms in and out, follows and swirls around them, to then play with shifting between different actor's facial expressions in silent moments, is utterly enchanting. The cherry on top is Randy Newman coming back to compose a score for a live action film (his last live action film was 2008's 'Leatherheads') - masterful!<br/><br/>Marriage Story will get discussed in film school, years from now. It has everything to become an all time classic and will proudly get called one of the best films of the decade. A melancholic, heavy-hearted yet joyously bittersweet story about marriage and its unfortunate path to severance in order to find happiness. No cheek will be left dry."
"MartinHafer","9","330","444","3 November 2019"," Incredibly depressing...but with some AMAZING performances and a great script.
","If you want a feel-good flick, I strongly advise you to reconsider watching ""Marriage Story"". I am NOT saying it's a bad film, in fact, it's amazingly good. But it's also amazingly realistic....and painful to watch due to the subject matter.<br/><br/>The story is an ultra-realistic story about a marriage that is dissolving...and it's painful because the viewer really grows to like Charlie (Adam Driver) and Nicole (Scarlett Johansson). Like real life, neither character is totally bad and you understand both of their positions during the divorce....but it also is very ugly and awful to see what happens when lawyers get involved. Instead of the amicable divorce they both originally agreed to, it soon becomes ugly....and the pair and their devilish lawyers begin going at each other like pitbulls on a side of beef! Again...this is NOT a criticism...it's realistic and heart-wrenching to watch. I found myself crying during some of the ugliest scenes....and I am sure I wasn't alone in the theater!<br/><br/>Overall, you see Johansson and Driver put on some amazing performances....so amazing that I'd be shocked if they aren't at least Oscar-nominated for this film. Well done in every way...and one of the better movies of 2019."
"mc1382","8","382","519","14 November 2019"," I don't know what to say
","This hit way too close to home, it was almost surreal how much the film mirrorred my own life. My parents recently went through a divorce and the way Nicole and Charlie's proceedings played out was almost too much to handle. It was almost too confronting, too emotionally gut punching, too real that I almost starting balling my eyes out in the theatre.<br/><br/>It's like this movie came at the right time and in the right moment. Just when I needed it most. This week for me hasn't been the best, a lot of things have been overwhelming for me. The film in a weird way, despite all the events devolving in chaos, told me that things are sometimes awful, unpredictable and emotionally draining but that's ok. The performances, direction, script all came together to deliver something that will always be special to me.<br/><br/>This film does have flaws, yes, but I don't really care, films like this only come once in a lifetime. Sometimes emotions mean more than cold hard criticism. I didn't expect this film to hit as hard as it did, godammit, just go see it already."
"madmax13-212-469405","10","293","407","27 December 2019"," You gotta side with Charlie
","Firstly you need to see this very realistic and just... incredible performance. To just watch the scenes without any context would be worth it. However.<br/><br/>The thing that I don't quite understand is how all the promotional things says that you never side with one or the other. Constantly fluctuating between the two. That was not the case in this movie at all. I found myself constantly siding with Charlie. His wife who lied, manipulated and tried to bankrupt him goes between confused to pure villainy. And when Charlie after quite a long time eventually fires back to keep his child she acts shocked and hurt. When she has dragged him through hell and back while constantly lying about wanting to do things without lawyers or that it's just a formality. But even if you, as I do pick one side. And stick with it for the entire film. It is incredible to watch and worth every second."
"Dello_","9","28","35","7 February 2020"," Human and delicate
","""Marriage Story"" is a film about a couple which is going trough the phases of a divorce. The best thing about this movie is that the characters, the two protagonists in particular, have a very human taste and they seem like real people feeling real emotions. And thanks to the excellent performances by Adam Driver and Scarlett Johansson these emotions are able to touch the heart of the viewer with all their power and at the same time with a delicate taste. As far as the theme of the divorce the movie is a critic about the process of it, on how it makes the couple waste a lot of money but most importantly on the hate it creates. Indeed the protagonists starts the process with all the good intentions to split up peacefully but when the lawyers kicks in they found themselves in a fight they don't even want. And another aspect ""Marriage Story"" manages to get right is that both Charlie and Nicole had their faults and they also had been disrespected in different ways and so the movie conveys the idea that in these situations usually (not everytime) the blame is on both, maybe not equally but everyone had his faults.
""Marriage Story"" is a great movie, with excellent acting, a touching screenplay, an immersive direction and a delicate score: check this one out!"
"sosah_m","9","34","44","22 February 2020"," Totally Oscar worthy
","The mother's lawyer scene and the fight scene are absolutely incredible!
If you are thinking of divorce, you must wach this film first."
"Wasil_2","9","286","428","8 October 2019"," I cried four times
","I bursted out laughing just to burst out into tears a scene later. And so on. It broke my heart into pieces and then healed it. Noah Baumbach shows his screenwriting genius once again, whilst every single piece of acting from leading Driver and Johansson and from all the supporting actors is absolutely impeccable.<br/><br/>2020 Oscar winner ladies and gentlemen, that's what I hope for"
"Keemicas","10","206","311","29 October 2019"," The best portrayal of a divorce
","I was glad to catch this film at the Virginia Film Festival last weekend. Baumbach's semi-autobiographical film offers a realistic glimpse into a divorce. His writing was also phenomenal, as I found every scene vital to the plot. The script was effectively heart-wrenching and was carried by two awesome leads, at their best. Although the movie was heart-wrenching, there were also other moments when Baumbach offers the audience a laugh, while drawing them back to vulnerabilities of the main characters. The cast was magnificent. Apart from the powerful performances by Driver and Johansson, the audience is able to find depth within each of the supporting characters."
