"username","rating","helpful","total","date","title","review"
"doofuspoofus","3","133","219","16 July 2015"," Hollywood loves pointless remakes AND sequels
","I hated this movie almost as soon as it started. Everything was just off. It tried way too hard to be funny forcing Rebel Wilson to have to act extra weird and quirky as opposed to just naturally weird and quirky. Becca's working at a lame recording studio while trying to tell the Bellas she's going to quit. There's like two or three new girls that I can't remember because they're not memorable.<br/><br/>Then they go on this lame camping expedition where Audrey now works having graduated. The group of German singers they're going up against really suck and wouldn't even be hard to beat except that the Bellas suck too. Their end performance was crap especially compared to the first movie. Pitch Perfect was hilarious, charming, original, and had great performances. Pitch Perfect 2 was strained and pointless."
"cikamikiriki","10","117","203","29 May 2015"," I loved all of these women.
","Pitch perfect 2 is a hilarious comedy and musical movie with lovely women.amazing music and fantastic acting. <br/><br/>It's been three years since the Barden Bellas (Anna Kendrick, Rebel Wilson) became the first all-female group to win a national title. All seems well until a botched Lincoln Center performance for the president leads to a scandal that strips them of their performing duties, causing internal tension and strife. With the world championships on the horizon in Copenhagen, Denmark, the women must get their act together for their one and only shot at redemption.<br/><br/>Lesbians and feminists must see this excellent movie."
"avirariva","10","128","232","17 May 2015"," Irresistible Women And A Perfect Number 1 Movie All Around The World.
","Pitch Perfect 2 is a 2015 American musical comedy film directed by Elizabeth Banks and written by Kay Cannon. It is a sequel to the 2012 film Pitch Perfect, which was loosely adapted from Mickey Rapkin's non- fiction book, titled Pitch Perfect: The Quest for Collegiate A Cappella Glory. The film centers on the fictional Barden University and The Bellas, an-all female a capella singing group. The film features an ensemble cast that includes Anna Kendrick, Rebel Wilson, Brittany Snow, Ester Dean, Hana Mae Lee, and Alexis Knapp. It was released on May 15, 2015 by Universal Pictures.<br/><br/>Plot Of The Movie: Following an incident involving Fat Amy having a wardrobe malfunction at the John F. Kennedy Center for the Performing Arts, the Barden Bellas are suspended from the circuit of a capella performing. In order to regain their status, the Bellas enter the international competitionâ€”a colossal task since no American team has ever won.<br/><br/>I loved these sexy women and this perfect number 1 movie."
"Chris0184","8","26","41","9 September 2015"," Misunderstood and actually brilliant!
","Let me lay my cards out there straightaway. I'm a 31 year old bloke, married with two kids, who loves films and music.<br/><br/>And I love this film.<br/><br/>I Ioved the first film, and this one builds on it. But you have to appreciate that the film is based around college. For anyone that's actually been to college they should have experienced parties/people/incidents replicated in this film. I don't really understand why people show so much disdain for the 'childish' humour!<br/><br/>That aside...<br/><br/>Hats off to Elizabeth Banks for her directorial debut, you'd never know there was any change from the first film. And her inserts with John Michael Higgins are excellent, if you take them at face value for exactly what they are intended to be; humour! And pretty sexist, misogynistic humour!<br/><br/>Anna Kendrick is, as always, stunning (yes, the wife knows!) and simply brilliant. Shows just how much of an actress she is having improvised almost half her lines and proves once again that she can actually sing (albeit that the singing is not on set and pre-recorded).<br/><br/>The rest of the cast is brilliant and it's nice to see a little more of Esther Dean actually singing/rapping rather than her usual producing.<br/><br/>Hailee Steinfeld has stepped in seamlessly. I don't think we saw enough of Rebel Wilson though, reckon there'll be a few deleted scenes that didn't make it.<br/><br/>Good to see a lot of humour applied to the Ashley/Jessica situation (unless you know the film you won't get this).<br/><br/>The final song was actually very good. Maybe not as unexpected as the first film but brilliant with an original start and an excellent surprise at the end that I think added a very personal and moving touch.<br/><br/>It will be a shame if the franchise is over!"
"abouhelier-r","10","88","159","10 May 2015"," Pitch Perfect 2
","After a humiliating command performance at Lincoln Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.<br/><br/>Pitch Perfect comes back with a sequel, directed by Elizabeth Banks. Everyone is familiar with these characters by now and we all wanted to see what could happen to them after the first movie. So the good things in this acapella world aside, now we are witnessing those characters growing older and becoming real people. This film allows us to spend more time on characters that people love, to tell more of their stories and to see where these women be at three years later. While in the first one it was more about coming together, bonding and being freshmen; this film mainly deals with the notion of graduation as their in majority in their last year of college, companionship they have in college that will last forever as Bellas will always be Bellas, moving on, breaking apart, leaving the nest, staring life right in the face and going their separate ways. However they find themselves right back where they started: as underdogs of acapella. There are a lot going on this time, plot- and character -wise. Some endearing elements were taken back from the first film such as the romance between Beca and Jesse, that keep all the component in harmony as they are settled characters. Indeed they are a nice balance to the melodramatic aspect of the movie, grounded to the real stakes of this world. Yet once again Fat Amy, starring Rebel Wilson, is very charismatic. She embodies a confident woman that never thinks about her size at all. Proving that your body type doesn't determine your fate in life. Giving her a real love story with Bumper is such a good idea as she really deserves it and both actors have a great chemistry together. John Michael Higgins' character smoothly delivers his misogynic lines such as ""Let's hear it from the girls too ugly to be cheerleaders!"", and casual racism throughout the movie is even funnier this time around!<br/><br/>Moreover, new girls fit right into the dynamic of the group. They're all the same characters but pushed a little bit further, they're a little bit bigger, crazier and global. Hailee Steinfeld's character represents what Pitch Perfect has become which is that kind of bonding enthusiasm and likability. People will identify with the movie for different reasons but ultimately for the joy and happiness it spreads. Obviously men are not the targeted demographic of this movie - or basically people who don't watch Glee. Nonetheless, if you just enjoy music this film will get points with you. Musically, the songbook is far hipper with a younger song selection. Executive music producers J.Jordan and J.Michels have ensured that every performances are note-perfect and soundtrack album ready; which I have to admit rather detracts any sense of realism: it's not humanly possible to sing so in-sync spontaneously. Plus, jokes are all amazing, not one falls flat. You clearly know where the movie goes from the beginning but this film is not here for an Oscar, it's just here to be fun and show some good acapella. Finally, Banks has crafted a sequel that's edgier, sexier and best of all more female centered than the first one. Showing that women can be as funny as men, even funnier. So get over it, picthes! <br/><br/>Overall Pitch Perfect 2 proved once again that acapella is not lame at all, with a nerdy and inspirational movie and with much more sophisticated layered music."
"alfiecase","7","35","58","16 May 2015"," Brilliant! Better than the Original
","I have ticked spoilers in case I accidentally include any. Overall, this film was amazing and in my opinion is worth seeing. There are plenty of jokes for all ages to get and laugh at. Some are a bit racist but nothing worse than you hear daily. <br/><br/>Rebel Wilson shines throughout the film with her cleverly done lines and jokes that are memorable and hilarious. Elizabeth Banks did an amazing job is directing this whole film and I hope in the future, she does more films that are just as good.<br/><br/>The songs that are sung are popular songs so you will recognise all of them and if your not tempted, you will probably sing along with them as well as the rest of the people that you are viewing it with.<br/><br/>Overall, this film is great and is worth more than 10 but sadly it stops there."
"peterchapman-76310","9","22","35","30 July 2015"," Funny perfect follow up to the original
","Pitch Perfect 2 is just as much fun as the first one. Kudos to Elizabeth Banks for her first directing role. This time our favourite Capella band are performing in front of the president and his wife. A wardrobe malfunction see's them banned from competing in the US there only hope a competition taking place in Copenhagen, Denmark.<br/><br/>What can I say about this film? I thought it was just as much fun as the original, the story plays out at just the right pace, all our favourite characters return for another outing, including Elizabeth Banks herself as the TV Presenter Gail.<br/><br/>If you liked the first film you will like this one also."
"jtindahouse","9","16","25","9 January 2016"," Keeps all the charm and fun of the original
","'Pitch Perfect' was a bit of a sleeper hit. I hadn't even heard of it when two people I knew told me it was their new favourite film in quick succession. It didn't sound like my kind of a movie but I thought I'd give it a go nevertheless. To my surprise I found myself really enjoying it and so was quite pleased to see they were making a sequel. Sequels are notorious for losing the magic of the original, particularly comedies which seem on a hiding to nothing most of the time. However, I found myself enjoying this one just as much as I had the original. <br/><br/>Nearly the full cast had returned (always a good sign) and there were a few adjustments to the amount of lines particular characters were getting, determined by how popular they were in the first. The character 'Fat Amy' who was a real fan-favourite in the original had a very noticeable increase in lines. Elizabeth Banks took over the directing role for this one, in her first full feature film at the helm. I think she did a pretty good job for the most part. One thing I'd suggest she got wrong though was the final performance by the 'Bellas'. It simply wasn't good enough to justify winning the World Championship. In fact one of the few other performances we actually see in full by 'Das Sound Machine' was noticeably better. We were supposed to be swayed by the crowd simply cheering louder for the 'Bellas' but that wasn't fooling any intelligent audience member.<br/><br/>This was one of the only real flaws though. Most of the jokes landed very well, the singing performances were very entertaining and the choice of songs throughout was spot-on and really got the audience into a jovial mood. There's also a charm about these movies that can be rare to come across these days. I really like this series and eagerly look forward to the third installment."
"carol-pr-41985","10","26","45","30 May 2015"," Excellent sequel with a touching message
","Summary: Bellas Barden made an huge opening mistake that cost them their reputation as professional Capella group. In order to regain their status as a group and friend they need to win World Championship of Acapella.<br/><br/>In my opinion, I loved 100% this sequel due the excellent choices of songs, hilarious scenes, goosebumps reaction of the final performance that actually made me cried because I felt what they felt of the fear of the tomorrow after graduation. Loved the voice of Emily Junk wow speechless. The song Flashlight wow, i cried a lot, beautiful cover song by Anna Kendrick. For me, I believe they need to leave this sequel as the final closure of Pitch Pecfect. I recommend it without a 2nd thought."
"thealphakeno","10","31","55","20 May 2015"," Pure Perfection
","Pitch Perfect 2 was a pure perfection that will entertain you til the end of the film. I rate it 10/10 for its funny humour and jokes. I laugh at the jokes and didn't find it boring. It has full of life and it gives a new texture to a musical film. Like High School Musical meets Step Up movie. The mix of music and conversation was just equal and there are no dead scenes at all. They blow us away with their opening performance and the final performance exceed to the top. <br/><br/>I enjoy this than the first one. It's funnier and the flow of the story is not only focus on Becca but also to the whole group. Rebel Wilson was the saviour of the movie. She acts as the clown and portrays her funny awkward character well. I enjoyed her with the new girl Flo, who will make you laugh with their punch lines."
"miscalainaeous","8","45","84","6 May 2015"," A-ca-believe they did it again.
","The original Pitch Perfect was like a unicorn. A fall release with a target audience of Gleeks. It didn't seem to have the legs to get anywhere, but those who saw it understood and spread the word. No one believed in it, yet it became an instant classic. I saw Pitch Perfect no less than 5 times in theaters (but I did work in a movie theater, so I did not pay 5 times to see it). I fell in love with the movie, and so did everyone I dragged along with me to see it.<br/><br/>And now we are in the day and age where any slightly successful movie gets more money thrown at it to make a slightly less entertaining sequel (that was never in the cards to begin with). When the sequel to Pitch Perfect 2 was announced, I was on the fence. PP was wrapped up in a neat tiny little box, and it didn't need anything else to come along and ruin it.<br/><br/>Then it got worse. They announced at some point that the Green Bay Packers were going to be in it. I went on a tirade. OK, maybe I wasn't throwing things and kicking puppies, but I was very vocal online and to my family about how they ruined any potential this movie had by putting the worst football team in the history of the world in this movie, with Clay Matthews being at the forefront of the group. (I tell everyone who will listen that if I had $10,000, I would pay someone much stronger than me to punch him in the face, while I sneak behind him and cut off his hair). <br/><br/>So all of my excitement for this sequel went from a somewhat decent flame to a dying ember. The movie was coming out during a summer of blockbusters that had me so excited I felt like I could vomit (seriously, before Avengers: Age of Ultron started I thought I could vomit while sitting there waiting for trailers to start because I was so excited). <br/><br/>But PP2 stayed on my mind, and last week I got the opportunity to sign up for a advance screening, and last night I got into that advance screening. Outside the theater they were giving away PP2 branded cups (ha) if you took a selfie with the poster and shared it. So obviously I did that. (cut to the next time someone is in my apartment, sees that cup, and i immediately start my horrible rendition of cups). PP2 has the same formula as the first one. This time the Bellas are a bit more successful, but they hit a snag at the beginning and have to rebuild their team. Beca is the leader of the group, but she is also worried about her future (cue future distance and drama in the group). The Bellas can't audition new members (and with their current ban from Collegiate Acapella), the group filled with graduating seniors (and super, super, super seniors) looks doomed. <br/><br/>The movie gets off to a slow start plot-wise. But that doesn't stop the jokes from coming hard and fast. I found myself laughing at almost every line in the movie. There isn't a single one that doesn't have a little hint of a zinger. <br/><br/>Elizabeth Bank's full-length film directorial debut proves that she knows comedy (as if we didn't already know that) and that the cast knows how to deliver that comedy. We have all of our favorites back and each story line does not disappoint. The few new additions are pretty great too. <br/><br/>Hailee Steinfeld as Bella legacy Emily proves that if they want to continue the franchise, they have some pretty good fresh meat in her. <br/><br/>And much like the first movie, the best lines and overall awesomeness comes from Rebel Wilson as the aca-amazing Fat Amy. She does not disappoint, and though some people may feel that Rebel plays the same character in everything she does, I really don't care because she makes me laugh. Every. Damn. Time. <br/><br/>This movie is full of surprises. And the damn Green Bay Packers made me laugh harder than I thought possible (but for good measure, in-between each laugh I did say 'F*** you, Clay Matthews). Also to note, I live in Chicago, saw the screening in Chicago, and I was not the only person who booed when the Packers were introduced.<br/><br/>I feel like if I were to go into anymore detail, I would spoil some of the best bits of the movie for you, so let me sum it up in this final little bit: PP2 is a good time. You need to be a fan of the first one, don't go in thinking that maybe you will like this even if you didn't like PP. You are wrong, you will hate it. But those of you that love or even mildly liked the first one will get a kick out of this. I laughed so hard at one point (that involved Fat Amy and Bumper (Adam Devine)) that I was unable to breath. It was brilliant.<br/><br/>Better than the original? Debatable. Worth seeing in theaters? 100% yes."
"oscaralbert","10","37","68","1 June 2015"," ""Your sweat smells like cinnamon . . . ""
",". . . may be stereotypical L Words, but PITCH PERFECT 2 tops its predecessor as the most harmonious A Cappella flick ever. The Germans shape up so well in the early going that their eventual showdown with the Barden Belles seems sure to be a David versus Goliath affair, fought entirely on a totally sandy shore this time. Put another way, it's the Nazi Blitzkrieg against France. At my showing, film goers were on the edge of their seats, fearing that the Na--oops, that the Germans would win, or, worse, that the Belles would be called the winners on some sort of technicality, when they had been clearly out-classed. However, due to clever writing and innovative thinking, this sequel produces a crowd-pleasing climax that seems not only plausible but well-earned. Though the life of these Belles beyond their competitions still seems a little too pat and Tinsel Townish, their Hollywood ending on the World Stage is 100% satisfying."
"Ramascreen","9","31","56","14 May 2015"," They're back, Pitches! And they're still awesome!!!
","They're back, pitches! The Barden Bellas, the Treblemakers, even that Cups song is back, if you're a huge fan of the first film, like I am, then you're going to have a blast with PITCH PERFECT 2, because it's just as fun, just as exciting, just as hilarious and those covered songs and their renditions are just as catchy, you can't help but like this movie. And I didn't know Oscar nominee Hailee Steinfeld could rock a tune, but she'll definitely leave you impressed.<br/><br/>I had my concerns at first, I thought that if the story would only be about the Bellas entering a world tournament and nothing more to it, then we would be in for a shallow unappealing sequel, but writer Kay Cannon and first time feature director Elizabeth Banks put the Bellas back in a place where they would have to relearn, regroup and find the sound again. What makes these ""Pitch Perfect"" movies loved by millions is that it's about this group of misfit girls working together as an underdog team. In this case, the goliath, the drago, if you will, is a German team called Das Sound Machine, they know their stuff, they seem to be perfect in both their physique and their choreography, and they're intimidating.<br/><br/>The sequel does its best to explore some of the key characters a bit further this time around. It explores the somewhat awkward romances between Bumper and Fat Amy, and between Benji and Hailee Steinfeld's character, Emily. And the Bellas have to also come to terms with the harsh reality that they're now seniors, it's time to not be afraid to move on and give the baton to the next generation. Which is why I can see how this franchise could go on forever, and I don't think you and I would mind at all if Universal Pictures made PITCH PERFECT 23, for example. Even the Bellas' fearless leader, Beca (Anna Kendrick) is distracted because she's trying to balance her commitment to her team and her new intern gig and her dream of becoming a music producer.<br/><br/>I gotta give mad respect to Elizabeth Banks for taking this on as her first feature directorial debut. She produced and championed the first ""Pitch Perfect"", she's one of the folks who fought to make the first film happen. And now, with this she's proved herself to be as talented a leader as she is an actress. PITCH PERFECT 2 really makes me look forward to many more great movies made by director Elizabeth Banks. And if you've come to theaters hoping to once again be laughing your ass off at whatever Rebel Wilson's Fat Amy does, o, you are in for a treat, my friend. One of the funniest women alive will not disappoint you. The things she says, she even gets to sing solo in this one, Rebel's got tricks up her sleeves, you will crack up, I guarantee it.<br/><br/>One of the many things that I like about this movie is its theme of mentorship. It's a scary thought to turn the page and enter the next chapter of your life. The pressure is heavy. Whether it be being a freshman at the same college that your parent went to or finding yourself having to do a job you don't like just to get to that one job you really want. Sometimes we think we can handle everything on our own but fact of the matter is, we will have to ask someone for advice and then we'll have to turn that advice into action, finding the right mentor is important and being a mentor to someone is equally important. So I'm glad that PITCH PERFECT 2 is not just about throwing the Bellas in a world competition, although it is fun to see a cappella groups from other countries, and see their different ethnic costumes and the songs they cover as well. But that world competition in Copenhagen is just a small part of this film. I think you're going to like the big chunk of it, and just like how you've watched the first ""Pitch Perfect"" film a thousand times over, I know I have, you're going to do the same to PITCH PERFECT 2 Read more at Ramascreen.Com"
"lolo300054","6","44","83","14 June 2015"," Not worth it
","***This review may contain spoilers***<br/><br/>Disappointing sequel, I gave it 6 out of 10 for the actors that made an effort. The story line was poor, the jokes were not funny and its seemed more like the ""Fat Amy"" show than Beca's perspective. I thought Anna Kendrick and Skylar Astin had great chemistry in the prequel Pitch Perfect and here we did not get to see it again, their relationship seemed some what cold. There is less of Anna Kendrick and a lot less of Skylar Astin, which is disappointing, he's a great singer, dancer and actor. Even though all the characters returned, I would prefer to just remember the prequel Pitch Perfect and forget that I watched Pitch Perfect 2. Also the music was not as good as the prequel's."
"ryanalexandernoakes","9","27","49","12 May 2015"," It just got better!!
","It was so good! It was hilarious, I have never been in a cinema where the audience reacted like they did last night, the roar of laughter at times was louder then the film. At parts, well, one bit, the audience even clapped (you'll know what I mean when you watch it). If they're is any skeptics out there, anyone that thinks they couldn't top the first or that Pitch Perfect couldn't get any better .... It just did!<br/><br/>The songs are modern, with the odd 80's power ballads thrown in and the classic riff off half way through that includes everything from 90's hip- hop and club anthems. I immediately downloaded the soundtrack on Spotify when I got home and currently its playing in the background as I type away - with the odd body pop and head bang ;)<br/><br/>If I had to rate it, honestly I'd give it *****'s without hesitation."
"lyderzzevansvlogs","10","19","33","17 November 2015"," The Best Musical Movie ever.
","After I watched Pitch Perfect 2 I felt like I wanted to make an a Capella singing/dancing group so much, Because I love dancing & singing too. And I also want to win some awards like their group too. This Movie makes me feel so happy and I enjoyed watching it so much. It has many funny, romantic, dancing, and singing parts. I love every single part of it. I'm not sure if you guys are going to love this movie or not but if you love dancing and singing, I bet you'll love this movie so much and you won't regret it after watching this movie. <br/><br/>I rate this movie as one of the best musical movie. I always dance performance at my school since 2010 so it mean that i love dancing so much. Me and my friends are all enjoy watching it so much. The best things and the best memory while watching this movie is me and my friends also dance and sing along while watching it. And after we watching this movie we all still singing and dancing like while we are watching this movie again and again."
"thach-vang","10","44","86","15 May 2015"," Really Great LMFAO movie! A must watch for this summer!
","For a good all out can't stop laugh you must go watch this. I laughed so much I had stomach pains and tears in my eyes. It was a little bit longer than I was prepared for but well worth the time. Rebel Wilson was AMAZING!!! Her acting skills are on point and flawless. She is very funny and she's not afraid to try anything out of the norm. She will make you laugh and fall in love with her all at the same time. The plot and the ending was predictable because it follows the same patterns as the first movie but I still found it very tasteful and comforting. Often times sequels fall short but this one made me love it even more. I normally do not find movies with an all female cast funny but this time I was surprised! If you're wondering whether or not you should take your boyfriend, husband, brother or any other masculine man to go watch this because of hesitation that he might find it boring and nag about having to be dragged to watch this then you don't have to worry. There is a lot of male approved humor in this chick flick. I'm definitely going to buy the DVD when it comes out."
"harmainmalik","10","15","25","25 October 2015"," Perfect. Good Soundtrack as expected.
","Because of PP1, i really expected a lot from this and the good thing is that they really turned out good. MOVIE, The funny scenes and everything was great. My favorite scene was when Fat Amy sang solo haha fun. WATCH IT EVERYONE! Pitch Perfect 2 is a 2015 American musical comedy film produced and directed by Elizabeth Banks and written by Kay Cannon. It is a sequel to the 2012 film Pitch Perfect, which was loosely adapted from Mickey Rapkin's non-fiction book, titled Pitch Perfect: The Quest for Collegiate A Cappella Glory. The film centers on the fictional Barden University and The Bellas, an all-female acapella singing group. The film features an ensemble cast that includes Anna Kendrick, Rebel Wilson, Hailee Steinfeld, Brittany Snow, Alexis Knapp, Hana Mae Lee, Ester Dean, Chrissie Fit, Kelley Jakle, and Shelley Regner as The Bellas. It was released on May 15, 2015 by Universal Pictures."
"awesomefilmreviewer11","9","26","48","17 May 2015"," Perfect!
","Pitch Perfect 2 is just so enjoyable. When I was watching it, it just made me smile and it gave me an energy of some sort. The cast are just having so much fun in each of their roles, but I particularly enjoyed Hailee Steinfeld as Emily and Ben Platt as Benji. The music is just so amazing, with my particular favourites being the riff off and the finale. I actually thought Elizabeth Banks did a pretty good job as a first time director. I really hope that there will be a Pitch Perfect 3, especially as this is predicted to get a $70 million opening at the time of writing this. <br/><br/>*Spoiler* I really think Benji and Emily deserve each other."
"joshuadrake-39480","10","31","59","12 May 2015"," Good as the first!
","After PITCH PERFECT became a box office and critical success, a sequel was announced for a May 15, 2015 release and so now, I review the sequel PITCH PERFECT 2.<br/><br/>The story sees the Barden Bellas being suspended from performing and a new team taking their place. However, they are able to perform again if they win a new Acapella contest, in which, no American team has ever won because the team that they are performing against hates America.<br/><br/>I love the story to this film. Such a great concept and well-written and it is well directed by Elizabeth Banks and she is amazing and does a cool and fantastic job at taking a film like this and making it better than the original Pitch Perfect film.<br/><br/>The acting is once again amazing and I think the actresses and actors did a good job with their characters once again. Anna Kendrick once again plays the role of Beca and she does a great job. Rebel Wilson plays Fat Amy / Patricia and she is funny now as she was in the first Pitch Perfect.<br/><br/>The rest of the supporting cats including Skylar Astin, Anna Camp, John Michael Higgins, Brittany Snow and Elizabeth Banks, who also directed this, are also amazing and fantastic in their perfect and it is just incredible.<br/><br/>The songs are catchy as they were in the previous film and I actually read on-line that they were going to do a third Pitch Perfect movie and I can't wait to see where the Pitch Perfect films go next.<br/><br/>So, overall, PITCH PERFECT 2 is good as the first one. Universal Studios and the entire cast and crew of PP1 and PP2 did a great job with bringing something fresh to this movie and that is one heck of an achievement.<br/><br/>10/10."
"Samirsbureau","7","21","38","14 May 2015"," The Pitches Are Back With A Worthy Sequel
","Have you seen pitch perfect? who didn't? it's one of the most popular comedy movies in 2012. Did you like it? Well if you didn't, I advise you not to carry on reading this review because you probably won't also like the sequel.<br/><br/>Pitch Perfect 2:<br/><br/>The Video: Thanks to its experienced director Elizabeth Banks, the video shines brightly. Even though it's a comedy, its really special: the parties, the performances and almost everything in this movie is captured to comfort your eyes and to prevent the audience from falling asleep. Basically, an eye candy.<br/><br/>The Soundtrack: The best thing about this movie is the non-stop flawless music. Das Sound Machine really rocked the movie and made it challenging for the Barden Bellas to win. Famous songs and a great track-list, thats all i can say.<br/><br/>The Pace: I have recently seen many movies this year that were good but there's always that moment in the movie where you feel bored. Gladly, Pitch Perfect 2 doesn't fall for that mistake and it never slows down, you actually never feel bored in the movie.<br/><br/>The Story: The usual story about the Bellas trying to win their competition. Except that this time, it's bigger, a World Wide Championship! And some side stories about each of the characters and what they're going to do after graduating.<br/><br/>Overall: As a huge fan of the first part, i found it very original to make a good movie about Acapella which is something new and could be a great advance in the music process of this generation,Pitch Perfect 2 doesn't disappoint at all.Everything we liked about the first part is doubled here.It's like they checked what part of the movie the fans liked and added more of it which means MORE SONGS,MORE FAT AMY,MORE CHARACTER DEVELOPMENT,MORE CHALLENGES and Definitely MORE LAUGHS! <br/><br/>After reading the review and watching the trailer you probably know what you're getting from this movie. Feeling into it? Then go watch it because you're surely going to like it<br/><br/>Final Score: 8/10"
"shariftwist","10","20","36","16 November 2015"," The greatest musical ever
","Hollywood has finally pulled off the greatest musical ever. The director of the pitch perfect franchise introduced a new element that is rarely found in movies. I would like to call this element 'the sweetness gesture' and how beautiful it is !. This element elevated the movie to the top by combining basic human feelings such as love, fear and anger with unexpected reactions that seek to puzzle the audience unless they become acquainted with the technique. This is embedded in each and every character as they keep responding to ordeals with humorous complexity. This makes defining each character's role partly hard because they do not expose all their feelings to the audience. The sweetness element is present between the hero and the heroin but by no means do they act conventionally. The director here defies tradition and creates a new bond between the main characters making them doubly interesting to the audience. Along with the music , which is a sheer genius, everything keeps getting interesting in the movie until the end. In both movies I was moved to tears when I reached the ending. The first time this has ever happened to me. I fell in love with the main character Becca played by Anna Kendrick. I strongly recommend these two movies 'equally' as they both present a new type of comedy and even acting, which explains its immediate success."
"quinchen","10","20","36","22 June 2015"," All-time favorite musical comedy, non-stop replaying.
","I love this one just as much as the first one, although I watched PP2 before I could get a chance to watch PP1 first, I still love the humors and the performances in PP2. No to mention, I bought the Pitch Perfect BluRay from store just so that I'm not behind with the Pitches while PP2 is still promoting, therefore I got a free ticket from Fandango to go watch PP2, again, and I can't believe that I laughed just as much as the first time!<br/><br/>*Off topic* I can't get over how adorable Anna Kendrick and Brittany Snow is, whether on screen as Beca and Chloe, or off screen as Dork and Princess, they are just too lovely :)"
"Plezsno","8","25","47","16 May 2015"," Anchorman/High School Musical Lovechild?
","If Anchorman spawned a lovechild with High School Musical, it would abound with sophomoric one-liners between energetic musical numbers. And thusly, Pitch Perfect 2 feels like it was belched from that very birth canal. As the plot develops, it becomes more and more formulaic. Deeply meaningful, though, is not what this film wants to be when it grows up. Along side some jokes that would make 3rd graders giggle intensely, the Anchorman-esque humor takes shots at cultural and racial biases. This style of humor may give some of the more hoity-toity among us a reason to snub the film. I,on the other hand, laughed so hard I did some crop dusting of my own. (My apologies to those sitting near me.) When the plot or jokes stall, energetic High School Musical-esque song mash-ups flourish while some scenes are hilariously forced.<br/><br/>Yes, indeed, this movie is not for those searching for the meaning of life in the B-roll. Instead, it is the opportunity to be enveloped in entertainment purely for the sake of a good laugh at a stupid joke."
"ammabee-956-927043","10","30","58","18 May 2015"," Better than the first.
","I give this a 10 not because it was flawless. It was far from. But, because it surpassed my expectations AND was better than the first (IMO : I've heard differential opinions.) Usually I avoid giving 10's because usually I give 10's to films I believe everyone should see. Which is not this. If some horror fanatic asked for recommendations, I would not recommend this. But, this is different. This one is a film I honestly believe is the exception (I won't say only, because I've given 10's to films before) because : I was laughing through almost all of it. In my opinion this was bigger and better than the first. The beginning was HILARIOUS. Elizabeth Banks and John Michael Higgins were even funnier in this one than the first! The script was more in touch with the characters rather than the first when it was super rushed. (Besides Stacie, Jessica, Ashley and Jesse who were in it notably less.) They introduced a new BELLA who is HYSTERICAL (Flo) And they had great music. (Including Jessie J's 'Flashlight.) Overall, if you're a fan of Pitch Perfect... Please see this. SCRIPT - 10/10 ACTING : 9.5/10 (what do you expect?) JOKES - 10/10 SONGS - 10/10 OVERALL - 10/10"
"erland-day","10","24","45","30 May 2015"," They Pitch Slapped Me!
","Absolutely loved it. If you have seen the first, then you will be pleased with how well this was put together. They brought back some of the old characters, while adding new ones. I think something I liked most was how they incorporated some of the jokes and references to the first movie.<br/><br/>If you liked the first movie, you'll love the second. If you haven't seen the first, I would recommend it as a good lead in for this film.<br/><br/>There was just enough sexual tension, character betrayal, comic relief, and background to really carry this over. I loved the first, but I think the music selection was definitely better in this one.<br/><br/>Thoroughly enjoyed it, and so will you!"
