"username","rating","helpful","total","date","title","review"
"jhclues","9","70","85","3 April 2001"," ""Baseball Is Better Than Life, Because It's Fair...""
","It may be true that everyone during their lifetime has fifteen minutes of fame, even if in most cases it only lasts about a minute and a half.  And if that minute and a half comes early in life, how far into adulthood can you carry it with you, and when does a healthy memory become an obsession that finally blurs the line between reality and fantasy?  `The Fan,' directed by Tony Scott and starring Robert De Niro and Wesley Snipes, is an intense and disturbing motion picture that examines that moment and the effects it can have on the lives of those either directly or indirectly involved.  Here, the focus is on one Gil Renard (De Niro), a knife salesman in San Francisco and a die-hard Giants fan who is pumped about the acquisition during the off-season of superstar centerfielder Bobby Rayburn (Snipes), whom he believes will bring a pennant to the team.  Once a player himself-- a pitcher-- Renard's life has since been on a downhill slide.  Divorced, he has a young, little league aged son, Richie (Andrew J. Ferchland), with whom he has an unsettling relationship, and at work, his sales have been so poor his job is on the line.  An angry, disturbed individual, Renard has reached a pivotal point in his life; for inspiration, he continually returns to the philosophies of the catcher from his playing days, Coop (Charles Hallahan), whom he considers one of the finest athletes he ever knew.  And as his life continues to deteriorate, his obsessions begin to add further to the imbalance of his perceptions of reality, which finally lead him past a point of no return.<br/><br/>	Scott's film, of course, has less to do with baseball than it does with how the game itself actually relates to life and the things that really matter. As Rayburn says at one point, `We're not curing cancer here.'  But to those to whom life has been reduced to that minute and a half to which they still cling, the game can be everything.  And it is just that unhealthy obsession that Scott examines in this film, that comparatively insignificant moment that in the obsessive mind becomes an episode of monumental importance that finally distorts any semblance of reality the individual may have left. What's truly frightening is that upon close scrutiny, in Renard there is much with which many viewers will be able to relate in one way or another: The anger, the frustration and perhaps the inability to let go of that minute and a half, even when it threatens to become more than just a pleasant memory, but an unhealthy lifeline to another place and another time that, in reality, may never have existed in the first place.  It's like a search for self-esteem by the has-been-who-never-was, who can neither realize nor accept it's elusiveness.  As Renard says to Richie, `Baseball is better than life, because it's fair.  You hit a sacrifice fly and it doesn't count against your average.'  An ideal that has forever eluded Renard; in his life, he's never been able to `give himself up for the team' and get anything in return for it.<br/><br/>	As Renard, De Niro gives an explosive performance that at first glance may seem to have a bit of Travis Bickle and Max Cady in it-- which in fact it does-- though upon closer inspection, Renard is a unique character.  Those with a disturbed mind may have traits in common, as these characters De Niro has portrayed certainly do; but De Niro has successfully given each of them an individual personality, and when viewed side by side, the differences are readily apparent.  Bickle may be a sociopath, Cady a cold blooded killer; but Renard is a man who was just never able to get a handle on his life and has allowed his obsessions to dictate the choices he has made along the way. De Niro is simply a master of his craft, with the ability to make his characters so real that a performance like this one is often overlooked; this is Oscar worthy work for which he never received the acclaim he was due.  His Renard is so like someone you would run into in your everyday life that in retrospect, it's scary.  But it's the kind of performance we've come to expect from De Niro, and as usual, he does not disappoint.<br/><br/>	Wesley Snipes, as well, gives a solid performance as Rayburn that is one of his best ever, which is not surprising when you consider with whom he was working.  If you study De Niro's films, you may discover a common thread running through them with regard to his co-stars.  De Niro has the ability to make those with whom he is working better; and it's something that stays with them forever after.  Consider Christopher Walken and Meryl Streep before `The Deer Hunter,' or Ed Harris before `Jacknife.'  Certainly they were exceptional talents before, but they have arguably been better since. And Snipes is no exception.  Nor is Benicio Del Toro (Recipient of the Oscar for Best Supporting Actor for `Traffic'), who gives a memorable turn here as Rayburn's rival outfielder, Juan Primo.  <br/><br/>	The supporting cast includes Patti D'Arbanville (Ellen),Ellen Barkin (Jewel), John Leguizamo (Manny), Chris Mulkey (Tim), Dan Butler (Garrity) and Brandon Hammond (Sean).  A thought provoking thriller that gives some real insight into the cause and effect of the psyche of human nature, `The Fan' is like an open wound that may hit too close to home for some.  And to dismiss this as just a `baseball' movie or another `action' flick would be a mistake, for there is much more here than meets the eye.  In the end, those who pay attention will ultimately reap the rewards it proffers.  I rate this one 9/10."
"cocaine_rodeo","Null","36","49","26 September 2001"," ""A Simple Thank You Would Have Been Nice""
","This movie wasn't as bad as everyone says. I think it's safe to say that I am a fan of Robert De Niro, and that will certainly help if you like Robert De Niro to enjoy this movie. But I didn't enjoy this movie solely on the fact that I like De Niro, I thought Snipes gave an equally choice performance. The thrills in this movie were small, but they were satisfying. The ending is, without a doubt, the best part. There were other good thrills though, like the freezer scene.<br/><br/> I must say that I liked this movie a good deal. Its is not without its flaws, but in order to enjoy this movie, and a lot of other movies for that matter, you must look past the flaws, and just take it for what it is. Enjoy this movie for its handful of thrills, decent acting, and great music (I am a big fan of the Rolling Stones also). This is a good no-brainer with a creepy overtone, so just watch it for its pros, not its cons. 8/10"
"bkoganbing","8","19","24","29 November 2008"," It's Just A Game
","Although The Fan has a baseball setting with the late Candlestick Park in San Francisco, it's not a baseball story. It's the dual story of a fan obsessed with baseball and his favorite player and that same player and his performance anxiety living up to the huge amount of money the Giants are paying him.<br/><br/>The title role is played by Robert DeNiro and a lot of his character is taken from what Michael Douglas had earlier did in Falling Down. DeNiro is the son of the founder of the company he works for, but dad having passed away long ago, the company is in different hands. DeNiro is not cutting it as a salesman of hunting knives (no pun intended) and he's having problems with his former wife Patty D'Arbanville-Quinn over visitation with his son.<br/><br/>At the same time multi-million dollar acquisition Wesley Snipes is having problems living up to the hype and he's looking like a big old bust. Especially next to new Giant sensation Benicio DelToro who is carrying the team with what looks like a Most Valuable Player season. Snipes is only doing well on one front, his relationship with his young son.<br/><br/>As his life falls apart DeNiro starts fixating on his favorite player and what he can do to help motivate him. After that this film gets truly bizarre. <br/><br/>But DeNiro who probably has more disturbed characters under his creative belt than any other actor around today keeps it all real. He's matched by Wesley Snipes who plays a Barry Bonds like superstar who gets a good life lesson by the end of the film.<br/><br/>In fact Snipes realizes it before the film ends. As he quite realistically says, it's just a game, it's not like we're out there discovering a cure for cancer. The problem is that there are too many out there, fans like DeNiro in sports and in show business who get way too caught up in it.<br/><br/>Look also for nice performances by Ellen Barkin who has a sports phone-in show and John Leguizamo as Snipes's agent and the wisest guy he has around him."
"DarthVoorhees","9","18","23","23 November 2007"," Underrated. DeNiro plays another great S.O.B
","The Fan is the polar opposite of Field of Dreams and I loved it. Baseball movies have no spine to them whatsoever, they tend to all ways follow the same Pride of the Yankees formula where Baseball is a fraternal sport in which everything is okay. The Fan digs deeper.<br/><br/>Robert DeNiro plays Gil Bernard an odd knife salesman who loses the visitation rights to be with his son. Bernard vents his rage by following his San Francisco Giants religiously. Gil becomes obsessed with Bobby Rayburn, the Giants' new top paid center fielder. Rayburn believes in jinxes and wants his lucky jersey number back to end a slump. Gil gets it for him by killing his teammate. Gil confronts Rayburn who says his change of luck was due to his not caring anymore. Gil goes berserk and threatens to kill Rayburn's son if he doesn't due a Babe Ruth and hit a homer for him.<br/><br/>DeNiro represents the Fan who turns to MLB as an escape from real life. His Gil is a tragic character who only lives for the game and focuses on what he could have been and what he wants to force his son to become. We don't necessarily agree with him but we can better see what makes this villain tick.<br/><br/>Snipes Rayburn isn't a bad guy but he like the A-Rod's of day let's the fame get to his head. He undergoes a perspective change through the film as he questions what the game means to him.<br/><br/>The Fan is a great dark satire of baseball. We see all the aspects that are there but are so often ignored. The greed of the players and their agents, the sports writers eager to sink their teeth into the slumping hitter, and the fathers who try to pressure their children to live their athletic dreams through them.<br/><br/>My one complaint about the film is it's ending. It just seems far too over the top and unrealistic. Gil shouldn't have received that much attention at his death, it should have been a private confrontation between him and Rayburn."
"EmpressR","7","15","19","4 August 2000"," Not a perfect film, but I enjoyed it
","While I agree with some of the previous comments about the lack of attention to detail and the confusing cinematography, I really did enjoy this movie. The story itself is not particularly original and the ending is weak -- but I thought the build-up of Gil's (De Niro) character to be quite effective. Although Gil was what one would typically label a loser, I couldn't help but feel for the guy.  Many movies about psychos/stalkers fail to give you any insight into why he's doing all these bad things -- all you know is that he's not a nice guy.  This movie did a great job of portraying how Gil's volatile personality, his obsession with the baseball and with Bobby (Snipes) in particular, and his loss of everything else that mattered to him, ultimately led him to do what he did."
"jotix100","6","8","9","8 April 2008"," Death of a salesman
","Gil Renard's passion for baseball consumes him. In fact, the sport he loves seems to get the best of him. His own marriage has failed dismally; he is involved in an acrimonious divorce and his son seems to have taken to the new man in his mother's life. Gil, who is a sporting knives salesman, has problems with his clients to the point that his boss has no other alternative than to get rid of him.<br/><br/>What is Gil supposed to do? When his idol, Bobby Rayburn is hired for the San Francisco Giants, as an outfielder, Gil feels his team will have a chance for the pennant. His obsession will get the best of him. He even tries to influence another player into switching uniform numbers with his new idol. When all that fails, Gil decides to take a different path and ends up stalking Rayburn with terrible consequences.<br/><br/>""The Fan"", directed by Tony Scott starts on an upbeat note. The film based on a Peter Abrahams book we didn't read, with a screenplay by Phoef Sutton, plays well until it has Gil Renard going nuts when his whole world crumbles.<br/><br/>Robert Deniro, under Mr. Scott's direction, does what he can to the script that has him playing the deranged Gil in ways that doesn't help the film. It's fun to watch Mr. Deniro impersonating Gil Renard, whose passion for the American pastime ruins his life. We get a hint of how he got involved in the sport at the end of the movie. Wesley Snipes makes one of the best appearances of his career. In minor roles we see a wasted Ellen Barkin, Benicio del Toro and John Leguizamo, among others.<br/><br/>This is a film for Mr. Deniro's fans."
"SnoopyStyle","5","10","12","7 November 2013"," Too much flash from Tony Scott
","Gil Renard (Robert De Niro) is a failing knife salesman, a SF Giants fanatic, a divorced father of a boy, and a very angry guy. Bobby Rayburn (Wesley Snipes) is a new sign to the ball club, and the hope for savior. Both men's lives go downhill.<br/><br/>Director Tony Scott has made a movie filled with flash and sizzle. It doesn't accentuate as much as distract. When there is a master thespian like Robert De Niro, all the extra fireworks just take the focus away from the real show. And Wesley Snipes isn't likable enough. A less stereotypical selfish black athlete may help. His scenes with his agent Manny (John Leguizamo) are annoying and tiresome. This could have been a creepy character study like the iconic 'Taxi Driver'. But it never allows De Niro any peace and quiet to do his work properly."
"anthonythe","10","16","21","11 April 2006"," An underrated gem!
","The film centres around Gil (De Niro), an obsessive baseball fan who puts his beloved New York Giants and particularly their new star player Bobby Rayburn (Snipes) above everything else in life. When Rayburn's below par performances have fans and pundits calling for him to be dropped however in favour of rival Juan Primo (Benicio Del Toro) , his number one fan is determined to do whatever it takes to get him back on top....<br/><br/>De Niro shows just why he is one of the best actors around (despite his latest chequebook acting efforts) with this performance as the single minded, baseball obsessive Gill. The character is just as memorable as the menacing Max Cady in Cape Fear and its says something for De Niro who can go from playing psychotic scumbags to green comatose patient (Awakenings) with ease. Snipes puts in a solid performance as the luckless Baseball player with the burden of a huge transfer fee and season of glory resting on his shoulders along with Benicio del Toro as his cocky rival hitter but this is De Niro's film and he does the bad-guy-you-side-with down to a tee! Rent it out now!!!"
"Geofbob","6","28","41","30 April 2001"," De Niro makes it all worthwhile (just)
","A flawed movie,  but worth seeing for De Niro's performance as Gil Renard, an increasingly crazed fan/stalker. Also, yet again, baseball shows itself as the sport most able to provide striking visual metaphors for the ups and downs of life (though, as a Brit, I've noted some of the specific criticisms aimed at the baseball sequences in this movie by IMDb commenters from the US).<br/><br/>Where the movie, via the genius of De Niro, certainly succeeds is in convincingly demonstrating how easily and quickly obsessive devotion can turn to obsessive hatred, when the object of that devotion fails to meet the assumptions of the extreme fan. Certainly, there's some of Max Cady, the Cape Fear psychotic, in his portrayal; but there's also a lot of Rupert Pupkin, the confused kidnapper and would-be comic from King of Comedy - both films, of course, directed by Martin Scorsese.<br/><br/>Where the film fails is in being too repetitive and, consequently, a bit too long; one or two of the scenes where Gil is trying to sell his knives are superfluous; and, when Gil is at the game with his son, why does the camera have to keep cutting to the woman in the crowd - once or twice would have been sufficient. Several of the scenes also seem derivative, especially those involving Dan Butler, as Garitty the sales manager, which echo Glengarry Glen Ross. A major unconvincing aspect is that surely a $40m signing, like Bobby Raybourn (Wesley Snipes), would be surrounded by a lot more razzmatazz than simply one not-too-effective agent (John Leguizamo).<br/><br/>But, on the whole, one to rent or watch on TV (as I've just done) if nothing more compelling is available."
"sol1218","7","7","9","6 January 2012"," I'm as serious as a heart attack
","***SPOILERS*** Robert De Niro is at his deranged and psychotic best as the crazed baseball fanatic or fan for short Gil Renard a man completely whacked out of his skull. It's Gil who takes matters into his own hands when his hero the just traded to the San Francisco Giants, from the Atlanta Braves, Bobby Rayburn, Wesley Snipes, gets the short end of the stick by the teams management. That's by Bobby not being able to retain his number #11 on his Giants jersey that he feels made him a,.314 lifetime hitter, his supernatural powers in both hitting and catching a baseball.<br/><br/>Gil has his own problems at work and at home with his job as a sport supply executive specializing in hunting knives on the line and his old lady Ellen, Patti D'Arbanville, about to get complete custody of their seven year old son Richie,Andrew J. Ferchlad. But it's baseball,not job or family, that's Gil's true love. And it's in Bobby Rayburn that Gil a former little league baseball pitcher lives out his fantasy life as a major league baseball player. That's in Gil doing in Juan Primo, Beniclo De Toro, with a hunting knife in a hotel bath-house to get Bobby's number #11 back on his Giants jersey. Bobby the 40 million dollar man, that's what the Giants higher ups were paying him, who was in a king size slump all season now, with Primo gone and his famed #11 back, started hitting up to expectations.<br/><br/>It's later on when Gil just happened to be around to save Bobby's eight year old son Sean, Brandon Hammond, from almost drowning in the Pacific Ocean that his high opinions about Bobby drastically changed. Invited into Bobby's beach house for a bottle of beer and a game of pool, which is the least he could do for him, Gil is disgusted in Bobby's opinion about the game of baseball! Which Bobby treats as a game and way to make big bucks, 40 million of them, not the religion that Gil feel that it is! With everything that he did to get Bobby back in the grove in both hitting and fielding, by murdering his top rival on the team Juan Primo, Gil feels that he's not being given him the credit by Bobby, who has no idea what Gil did for him, that he so rightfully deserves. And with that and outraged and dejected Gil plans to make Bobby's life both personal and professional into a living hell on earth!<br/><br/>***SPOILERS*** The movie ""The Fan"" is really a one man show with Robert De Niro at center stage doing his thing, being off the wall crazy, that he and only he can do best. Not only is De Niro or Gil Renard completely out of his mind but also omnipresent, like some kind of Deity, in seeming to be everywhere and everyplace at the same time. Gil's craziness goes so far as kidnapping Bobby's son Sean and even going farther in murdering his little league hero, his battery mate, Coop, Charles Hallahan, when he himself realized just how crazy Gil his one time best friend really was.<br/><br/>The ending of the movie was a bit too much to take with Gil going all out to get Bobby to publicly acknowledge what he did for him in front of a sold out crowd at Candlestick Park and on top of all that hit a home run for him! If not Bobby's son Sean would become history. The film fell apart with Candlestick Park being hit by hurricane force winds with a tropical downpour added in yet the game that should have been called because of rain is still allowed to go on. Only to have Gil make his grand appearance, you'll never guess as who, out of nowhere and mess up Bobby's home run that he hit for him! Still the film is worth watching for Roert De Niro incredible but very natural,for him, performance. A so out of control and psychotic performance That even tops De Niro's own crazed and deranged interpretation of a homicidal lunatic gone wild in ""Cape Fear"" some six years earlier."
