"username","rating","helpful","total","date","title","review"
"MaxJSteele","10","202","287","23 January 2006"," This absurd comedy had to convince me...and somehow it did
","When Anchorman came into theaters, I avoided it like a dead sewer rat. When it came onto HBO, I pretended it didn't exist. In fact, I would not have even LOOKED at it had my remote control not stuck on the stupid channel. So I watched a few minutes. I didn't laugh. I wasn't surprised.<br/><br/>Then one day, surfing the premium movie channels, I was thoroughly unimpressed by the offerings. So I turned on Anchorman, about 5 minutes in. For the next hour and a half, I proceeded to laugh hysterically. Scene after scene, line after line, I found new reasons to laugh. By the end, I could hardly breathe.<br/><br/>Unconvinced that I had stumbled upon a a re-watchable movie, I tested and retested it over and over. And over. Result confirmed.<br/><br/>Anchorman tells a simple story: acclaimed (and consequently arrogant) news anchor Ron Burgundy is forced to adapt when an attractive new female member of the Channel 4 news team (Applegate) begins changing the way he and his quirky news team work. That's it. This story is predictable, prescription-esquire, boring. But Anchorman does not draw it's strength from story. It draws from the hilarious situations. It draws from randomness. It draws from brief--but memorable--cameos. It draws from those 100 or so unforgettable one-liners.<br/><br/>That is, if you're looking for cinema, for a fine work of craftsmanship, a eloquent script, and an Oscar nomination, go watch a FILM. If you find randomness hilarious, then watch this MOVIE."
"Derek237","9","180","263","9 March 2005"," The perfected art of being stupid
","In a year packed with comedies that were all a bit stupid and silly (and all seemed to feature Ben Stiller), Anchorman: The Legend Of Ron Burgundy reigns supreme above them all. This is a movie that is well aware of its own stupidity, and best of all, it is able to embrace it skillfully so that it is exactly as silly and immature as it wants to be. It is such a great comedy; I'd consider it the Naked Gun of our generation.<br/><br/>As apposed to many, many, other comedies, Anchorman actually gets better as it moves along. Most of the time a comedy like this will use up all the laughs in the first hour and then try to take a serious, lovey-dovey turn in the last act. There are more laughs in the last half hour than in the first half hour, which usually is never the case. It's as if there was some mathematical comedic formula that spread the laughs out in a way that it was consistently funny. Or, maybe they just got lucky. I dunno.<br/><br/>I loved all the characters in the movie, every role no matter how small had a great moment or two. Will Ferrel of course, the star of the movie who is just perfect as Ron. He's so so funny 'cause he's such a lovable idiot. Even Christina Appelgate, who was in a role that quite honestly anyone could have done, is able to make it her own and provide some laughs. There is a scene that has a lot of cameos that was hilarious as well. It was one of those moments that takes you completely by surprise.<br/><br/>So, what else can I say except that I loved Anchorman! It's the best ""stupid"" comedy I've seen in years. This is Will Ferrel at his best and it will be hard to top.<br/><br/>My rating: 9/10"
"galileo3","7","5","5","27 August 2007"," Outrageous, unorthodox and extremely funny
","Anchorman (2004) <br/><br/>Will Ferrell is joined by an eclectic cast of comedic fools that include Steve Carell, Vince Vaughn and Ben Stiller in this satirical film about an all male news team who are slowly corrupted by something they cannot bare; a woman in their newsteam.<br/><br/>Ferrell is always funny with his over the top outrageous performances and this is no different.<br/><br/>Anchorman possesses some scenes that are guaranteed to ignite a laughing spree.<br/><br/>If you are a fan of Will Ferrell this should be the perfect film for you; if you are just a person who likes over the top, (slightly) silly comedies this should be fitting.<br/><br/>""Spectacularly intense comedy extravaganza"" <br/><br/>""Hilarious... Hilarious...Hilarious"" <br/><br/>7/10"
"jon.h.ochiai","8","89","143","13 July 2004"," Funny Anchorman
","This summer I've seen several intentionally stupid funny movies, and enjoyed them. Adam McKay's ""Anchorman: The Legend of Ron Burgundy"" is no exception. Seems that my taste for high concept cinema has been influenced by the summer-- well not really. This movie written by McKay and it's star Will Ferrell is an outrageous and completely over the top comedy. Applaud Will Ferrell as the mind bendingly stupid and self absorbed, San Diego newscaster, Ron Burgundy. Will Ferrell is genius in playing Ron straight without character dispersions. Ferrell creates a great deadpan sense with his cohabiting dog, Baxter, and the fact that his character Ron Burgundy will read ANYTHING on the teleprompter, his tragic flaw, well at least one of several, is priceless. Ferrell also never crosses the line of being a complete jerk which is an amazing accomplishment. In fact, Ferrell gives Ron a muted charm-- he really does grow on you. <br/><br/>Basically, ""Anchorman"" is an extended sitcom. Ron is informed by his station manager, Ed (a funny Fred Willard), that he will have a co-anchor, Veronica Corningstone (a hot Christina Applegate). Turns out that Veronica was a woman whom was immune to Ron's vast charm at a wild news crew party. Veronica is beautiful, ambitious, and smart. She too has aspirations of being a Network Anchor. The Boys Club news crew which include sportscaster Champ Kind (David Koechner), feature story guy Brian Fantana (Paul Rudd), and the dumb as a post weatherman Brick Tamland (Steven Carell) all make their play for Veronica. However, she falls for Ron in spite of himself. Ron eventually woos her affections in a totally wacky jazz flute display. The screen writing is so skewed in a good way, and it has absolutely no shame. There is a classic scene with Ron's dog Baxter, and a bridge that according to my bud, John, shatters a fundamental script writing rule. In another memorable scene Ron gives an erroneous translation of the name San Diego to Veronica that is hilarious. ""Anchorman"" also benefits from cameos of talented actors, most notably Vince Vaughn as Wes Mantooth, the rival station anchor. Christina Applegate looks great, and truly has a talent for comedy. <br/><br/>""Anchorman"" is completely over the top, and ignores any boundaries. That really makes it work. ""Anchorman"" is broad stroke farce done well. Will Ferrell demonstrates great comedic gifts. I want to see what he creates next. For now, ""Anchorman"" is just great fun, and very funny stuff."
"shimmypilates","10","4","4","1 September 2019"," Stands alongside classics like ""Caddyshack"" and ""Naked Gun""
","So many quotes and great comedic actors. You have the core news team which are iconic but special mention to Fred Willard as Ed Harken. His bits on the phone handling incidents involving his son are understated but so funny. It looks pretty good too."
"thewillt08","8","4","4","5 November 2013"," If Fox News was like This I Would Watch It
","Halloween came and went and I was Ron Burgundy, and then I realized I haven't reviewed one of the funniest movies ever made, Anchorman. With the second movie just around the corner there is no better time to review this movie. Anchorman launched Will Ferrell's career and basically jump started Steve Carell's career. Anchorman is the story of a 1960s Anchorman, Ron Burgundy who struggles with the changing times and the threat of a female anchor. This movie is hysterical from beginning to end and is brilliant in its writing and performances. <br/><br/>Will Ferrell was on SNL but when he left Anchorman took Hollywood by storm. The witty lines and catchphrases of Ron Burgundy made him a pop culture icon. Ron is a brilliant character who is played perfectly by Will Ferrell. His relationships with all other characters are unique and funny in different ways. His main relationship is his with Veronica Corningstone but my favorite is his relationship with Baxter. Baxter is Ron's dog and the very first scene we see with him he barks and Ron apparently speaks dogs and its very funny. Then the shot with Baxter in the pajamas is my favorite in the entire movie. Baxter is the greatest dog in any movie, there I said it. I would name my dog Baxter if I had one.<br/><br/>A comedy has to be memorable and quotable. This movie is one of the most quotable movies I have ever seen. I know scenes word for word just because they are funny. The sky rocket in flight scene to when Ron yells ""cannonball"" I could go off on every funny quote but then it wouldn't be a review. The writing in this movie was fantastic. The scenes were well put together and you can tell when Ferrell is improvising. Her says things like ""by the beard of Zeus."" Nobody wrote that, it was on the top of his head, but it works. Ferrell has a talent for improve, witty comments. He is the clear star of the movie but there is just enough room for the spotlight to be shared. <br/><br/>Paul Rudd, David Koechner, and Fred Willard are also very funny but Steve Carell shines bright in this movie. Fred Willard is a lot of weird people in a lot of weird movies but his running gag with his phone calls about his son never gets old. Carell plays Brick, just from his name you know he is funny. In his opening scene he says ""years later a doctor will tell me I'm mentally retarded."" Perfect. His comedy is well placed and more subtle than anything. ""Brick where did you get the hand grenade?"" ""I don't know."" He says, need I say more. We all know that scene. It's the best scene.<br/><br/>The best scene in this movie is one I see on TV all the time. It's the battle of the news teams. Basically, its complete anarchy and nonstop laughs. There are a million cameos in this movie, including Ben Stiller, Seth Rogan, Vince Vaughn, Fred Armisen, Jack Black, and even Danny Trejo. I like it when comedies have cameos, especially with big name stars, because they can be so effective in such a small time. Stiller has one or two lines but it adds so much to the scene and makes it that much funnier. <br/><br/>Comedies tend to drag on a little bit in the middle to get a hold of the story and build up to a hilarious climax and ending. This movie kind of does that after Ron's interaction with Jack Black. The movie takes a dive and isn't as funny as the rest but the movie can't be 100% funny. The story was ridiculous but it had a meaning. It showed the change in American society and how women were becoming a bigger part of it. The movie did need to portray that message and it did. I usually don't like that in comedies, but I can look past it for this movie. <br/><br/>Overall, Anchorman was a riot of laughs. Every time I watch this movie, I laugh. I laugh at the same things I've laughed at millions of times before. If this movie is on TV I sit and watch it. I can jump in at any moment and enjoy it. I can watch this movie over and over. I watched it twice in a month and still enjoyed it. I can watch it alone but its better with other people. For that, Anchorman gets the WillyT Comedic Crest and the WillyT Seal of Approval. Go see this movie if you haven't, and you stay classy."
"MildInconvenienceMan","8","4","4","16 October 2012"," Puts a hilarious view on a textbook love story to create something amazing.
","This film is on of my favourite films of all time, it is brilliantly light hearted and due to its light hearted nature, every line is essentially 'quotable' and most people would know what the quote was from if you name one.<br/><br/>Although the storyline is not all that complex this film makes up for it with its characters who are all amazingly funny and you will find yourself laughing for hours at the amazingly synthetic conversations that you cant help but smile at. Although in retrospect this is a text book love story it is in the characters that we therefore get the real story and the comedy.<br/><br/>I watched this film a few years ago and thought it was the most amazing thing I had ever seen, however once I had expanded my movie knowledge just a little bit then I found it was a little outdated and was not as funny as I remember but it still none the less does deliver in terms of comedy.<br/><br/>This film also does look into the issue of womens rights and how this was opposed but accepted due to womens strife, which is something you really don't think about on face value with this film, as it just seems like a pure and pointless comedy film, but actually it does have a meaning although a little biased that can be seen as a relatively accurate portrayal.<br/><br/>This film has really great acting with my favourites going to the channel four news team, and even more in particular to Ferrel for creating such an iconic character, and Carrell for creating the most amazingly stupid character I've ever seen, it is needless to say that anyone would find a character to relate to in amongst this group.<br/><br/>All in all I really enjoyed this film, puts a hilarious view on a textbook love story to create something amazing."
"Chrysanthepop","Null","18","26","4 September 2008"," The Legend Of Ron Burgandy and Veronica Cornerstone
","I had been avoiding myself from watching 'Anchorman: The Legend of Ron Burgundy' for a long time because I thought that it would be another one of those wannabe non-funny comedies. I liked Ferrell a lot in comedies like 'Legally Blonde' and 'Stranger Than Fiction' where he really downplays the humour but I saw some of his Saturday Night Live sketches and many were plain awful. Anyway, I later found out that the cast also included Christina Applegate, Paul Rudd and Steve Carell and so I was curious to how Ferrell works with these talented comedy actors.<br/><br/>So that's that and now, after having seen it, I must add that 'Anchorman: The Legend of Ron Burgundy' is a laugh riot. It superbly spoofs the 70s. Adam McKay brings together an excellent comedic cast playing colourful characters. Ferrell and Applegate are at the centre of the film and both are stupendous! But the supporting cast that includes David Koechner as a 'macho' wannabe who's actually a closet homosexual, Paul Rudd as a virgin stud, Steven Carell as a mentally stunted weatherman and Fred Willard as the laid back boss equally stand out with their gags and superb comic timing. Just when I was thinking that it would be funny if Vince Vaughn was part of the cast, he appears on screen as the 'deadly' rival. There are also notable cameos by a psychopathic Tim Robbins, a Hispanic Ben Stiller, an armless Luke Wilson and Jack Black as a cruel junkie.<br/><br/>I'd recommend to watch the movie with English subtitles as there are some hilarious lines between Burgundy's dog and a bear which is spoken in animal language. There are so many more laugh-out-loud moments that it's hard for me to single out a particular scene. Which one shall I say? The scene where he plays the flute to impress Veronica, Veronica screaming 'Ron!' (in typical 70's melodramatic style) when he gets fired, the entire bear awakening sequence, the battle between the anchormen, Veronica challenging Ed with her three strengths: screwing, fighting and news-reading ....there's just too many.<br/><br/>While being an out-and-out comedy, it does bring forth some serious issues like gender equality (which was still a problem in the 70s). Though the undertone is serious, it's all presented in a comedic way but it never makes fun of the issue. For example, Veronica is continuously harassed by her male co-workers but she stays strong without succumbing to their rudeness.<br/><br/>'Anchorman: The Legend of Ron Burgundy' is a joyride all the way. Whether one likes the film or not, I'm sure they at least would have a good laugh."
"ellyphunt","3","103","181","25 January 2005"," Insipid, man
","I was never as excited about this movie as my boyfriend was, mostly because I chalk Will Ferrell's humor up to the level of fratboy hijinx, sex jokes, and toilet humor. But I was willing to chill on the couch and watch the hour and a half comedy. I liked him okay on SNL, and I was mildly amused my Old School. I thought it would be a nice way to relax on a Monday night.<br/><br/>And relax I did...almost to the point of falling asleep. Not only were the jokes not funny, there were so few of them. Long periods of boring-ness separated the gags, which included, and I still cannot believe this, Will Farrell and Christina Applegate riding around on animated unicorns, Paul Rudd spraying on cologne that contained chunks of raw meat (panther), Luke Wilson getting his arm chopped off (not even worthy of the Monty Python memory it conjures up), and Will Farrell ACTUALLY EATING A PIECE OF FECES.<br/><br/>Have we come to this? Is this what's supposed to make us laugh now? Even the most quotable line from the movie, which the men in my life will not stop repeating, is ""you smell like big foot's dick."" Even that just isn't funny. (note: watch Napoleon Dynamite if you want some real quotable material.) The only redeeming qualities of the movie are Steven Carell and Jack Black's brief scene with Baxter, the dog. If you've seen it, you know what I'm talking about. ""Biker...Punted...Baxter"" Save your time and your money on this one. I sure am glad I didn't have to pay to see it..."
"Buddy-51","7","55","94","3 September 2005"," more a pleasant parody than a biting satire
","""Anchorman: The Legend of Ron Burgundy"" takes us back to those halcyon days of the 1970's, when the hair was as big as the lapels and women were just beginning to assume their rightful place in America's television newsrooms.<br/><br/>Will Ferrell plays a Ted Baxter-type anchorman (is it mere coincidence that his dog is named Baxter?) - vain, narcissistic, none too gifted in the brains department - who has worked for years as the sole news dispenser at a top-rated San Diego station. All is going well for Ron Burgundy until the station manager decides the newscast needs a bit more ""diversity"" and hires a female reporter named Veronica Cornerstone (Christina Applegate) to come on board. Cornerstone is a brainy, blow-dried blonde with a driving ambition to be the first female anchor on network news. Since most of the men who work at the station, including Burgundy, are dyed-in-the-wool misogynists, Ms. Cornerstone faces an uphill battle of sexist comments, schoolboy pranks, and subtle (and not so subtle) undermining as she climbs her way to the top (though she is not above pulling a few dirty tricks herself to get what she wants). Things really get dicey when Burgundy and Cornerstone begin dating and quickly fall in love, a situation rife with potential disaster as Cornerstone begins to encroach on Burgundy's professional territory.<br/><br/>""Anchorman"" is a light-hearted, enjoyable little comedy that, unlike a full-throated satire (say, like ""Network""), often goes for the easy laugh instead of the incisive barb. The movie is at its best when it is parodying the corny graphics and the tendency to over hype the trivial (""Panda Watch: Day 46"") that define modern newscasts - and at its worst when it is indulging in silly, often scatological jokes and slapstick throw away bits. Like most mainstream comedies, the humor in ""Anchorman"" ranges from the mildly funny to the downright hilarious, the latter including a clever ""West Side Story"" parody involving a rumble between rival news teams, and a conversation between a dog and a bear that ends the movie on a ludicrous but knee-slapping high note.<br/><br/>Ferrell (who co-wrote the film) is his usual manic self, unctuous but likable, and Applegate, Paul Rudd, Steve Carell, David Koechner, and Fred Willard do fine work in supporting roles. Moreover, writer/director Adam McKay provides a smattering of guest appearances from such well known stars as Jack Black, Luke Wilson, Tim Robbins, Vince Vaughn, Jerry Stiller and even Ben Stiller, many of who are not listed in the official credits.<br/><br/>""Anchorman"" goes down easily - a bit too easily, perhaps, for a film that, with a little more courage, might have become a scathing satire on an industry that could do with a little merciless skewering right about now. Still, ""Anchorman"" is fun while it lasts - and these days we'll settle for what we can get when it comes to laughs."
