"username","rating","helpful","total","date","title","review"
"eamon-hennedy","10","516","573","17 November 2003"," A gorgeous film.
","A three hour film about death. It doesn't sound like much when you say it like that, but trust me, Meet Joe Black is an outstanding film and is without doubt one of the most underrated little gems I have ever seen. The film is beautiful in every regards; the photography, the sets, the music and the performances, especially the performances. The last time Anthony Hopkins and Brad Pitt were on screen together it was the equally sublime Legends of the Fall, here it is another sublime film and once again they are putting in some of their best work. The characters that they play, Bill Parrish and Death, bring out a fantastic chemistry between the two performers, especially in the more comedic moments when they two are getting to know each other. However, while death is the main theme of the film, director Martin Brest remembers to filter optimism into his wonderful tale in the shape of a love story between Parrish's daughter (played by the beautiful Claire Forlani) and Death himself. This results in one of the most gorgeous coupling in recent years as well as one of the most erotically intense love scenes I have ever watched.<br/><br/>Director Brest presents the film in a more artistically filtered view than most other directors might have done. The love scene is done without nudity with close ups on the actors throughout. The striking presentation of the lighting in the film is also fantastic, with a lovely golden glow pouring of the screen and lastly Thomas Newman's music is quite simply marvelous. Films like The Green Mile, The Shawshank Redemption and American Beauty which have featured music by this outstanding composer have been enhanced by the haunting, lyrical and moving melodies he has composed and this film is no exception. The mixture of piano and orchestra builds to an uplifting and emotional pull that cements his position as one of the best music composers working in modern film today.<br/><br/>The three hour running time would appears to be problematic, but alas it is not. In fact like another sweeping romantic epic, Titanic, you will not feel the time going in. The three hours fly by and not only that, like the Oscar winning epic, this is a film that makes one instantly want to re-watch it again and again. Meet Joe Black is a wonderful mixture of comedy, romance and drama and is done exceedingly well. Brad Pitt puts in one of his finest performances as Death finds himself enchanted by human emotions and then finds himself making a deeply human choice at the end of the film and then there is Hopkins. One of cinema's finest actors no matter what he is in, he shows with his complex range of emotions in his performance there is more to him  than playing Hannibal Lecter. His performance here restrained and quite frankly very well done. It is perhaps one of his best acting performances. His Shakespeare background obviously coming in handy for a film that contains many a Shakespearean like moment.<br/><br/>The film, while not a flop, was not the box office hit that was expected, especially considering the main casting, but if you can make up your own mind, do watch Meet Joe Black. This is a wonderful film and is a personal favorite of mine."
"baumer","9","377","428","12 July 1999"," A powerful movie about not taking life for granted
","It's easy to wake up every day and see what is wrong with your life. Everyone has their vices and their shortcomings. Whether you are a billionaire with a perfect spouse, a cottage, a beach house, nice cars and wonderful parents or if you are a single parent struggling to get by on measly paycheck, we can all find something that is wrong with life. Such is human nature. But what can we do to remedy that situation. What can we do to try and ensure that our life gets better? And is it all really that bad? Meet Joe Black is a movie that asks us to look at ourselves and realize that this life is a gift and one that perhaps is taken for granted a little too much. Meet Joe Black asks us to ask ourselves: is it really all that bad?<br/><br/>Anthony Hopkins plays Bill. Bill is a very successful business man but it is his time. We all have to die one day, it is a part of life. And this is Bill's time. But before he goes, the Grim Reaper pays him a visit and offers him time. That is all. Just time. And in exchange Bill will show Death what it is like to be alive. A bit of an oxymoron for sure but true nonetheless. And what happens when Death starts to learn about what makes our life so precious is really something that has to be seen. Because what we take for granted, he sees as innocent and pure and magical. For instance, peanut butter. Joe Black tastes it and decides that it is the most amazing food that he has ever had in his short existence. And when people are eating their caviar at dinner, he refrains and has more peanut butter. This scene is one of the purest and most honest scenes in the film. Not for what is on the outside, but what it means, what it wants us to see. To me this scene is the microcosm of what the film and what life should be about.<br/><br/>Life is a gift. There are so many wonderful things that we have as human beings that we seem to forget what they are. We are so consumed with other things that at the time seem important but when you look at them closely they are trivial and it's the little things in life that bring us so much joy. Like peanut butter, aka tossing the ball around with your kids, aka. being lazy in the shade with your Collie. The point is that life is serious enough and it isn't until others are gone that we fully comprehend that.<br/><br/>Brad Pitt is perfect, absolutely perfect as Joe Black. He conveys the innocent wonder and pure joy of discovering human elements like the aforementioned peanut butter and more serious issues like falling in love.<br/><br/>Meet Joe Black has been criticized for its length but like all movies that are three hours plus, there is a reason for that. And that is because it has something to say. Something important to say. Meet Joe Black wants us to look at this film and then look at our lives and realize that there is a lot to live for. You just have to get through all the mist and cloudiness and you'll find it again. There is an innocence about how this movie feels and it is such a wonderful picture. It makes you feel good. Good to be in love ( if you are ) good to want to be in love ( if you are not already) and good to be alive.<br/><br/>See this film. It will make you glad that you did. I know I was and my life doesn't seem so bad right now even though there are many things that I could complain about like...... Ah hell, what's the point. Life can only get better. Meet Joe Black helped me see that."
"PoorSlobWithoutAName","Null","263","301","11 December 2002"," A Truly Enchanting Movie!
","Meet Joe Black is a beautiful film with a talented cast.  Because it is unique, the plot enables humor to be weaved within the dramatic and romantic elements.  The music, composed by Thomas Newman (Shawshank Redemption, Erin Brokovich) truly enhances the movie.  The many string and piano melodies are beautiful, and fit smoothly. There are so many memorable moments, like father-daughter conversations, and the scene in the coffee shop. Brad Pitt, in his portrayal of Death,displays naive and vulnerable feelings, skillfully in sharp contrast his behavior at the beginning of the film.  While some criticize its length and unrealistic aspects of the plot, I found it to be so captivating and quite well-made.  Meet Joe Black has an indescribable effect on me whenever I watch it. The story of Death being apprentice to a respected, accomplished man makes one realize the simple beauties of life-- passion, family, love... and peanut butter."
"BrandtSponseller","10","289","333","25 April 2005"," A Minimalist Masterpiece
","Somewhere in the netherworld between being a ""remake"" and merely ""inspired by"" Mitchell Leisen's 1934 film Death Takes a Holiday, Meet Joe Black is the story of Death personified. Death takes over the body of Brad Pitt's unnamed character, later donned ""Joe Black"" by William Parrish (Anthony Hopkins). Although the motivation isn't specified but implied in this film, Death wishes to experience the life he normally takes away--he wants to see what it's like to be human. He chooses Parrish to be his guide because Parrish is a hugely successful media mogul who has conviction, strong ""moral fiber"" and insight on life. Compounding the situation, Parrish's daughter, Susan (Claire Forlani), is a woman whom Brad Pitt's unnamed character met in a coffee shop that morning and had an instant mutual attraction with. Black sticks close by William's side through much of the film, creating difficult situations at a time when Parrish's company is trying to deal with a financially attractive but ethically unsavory takeover bid, and he also puts the boil to somewhat strained familial relationships.<br/><br/>First, a word of warning. This is a very long film (3 hours), and it tends to be very slowly paced. If you are averse to either, or if you do not like any of the three principalsPitt, Hopkins and Forlani--I'd advise you to avoid the film.<br/><br/>For me, I never think that a film's length is a problem in itself. As long as the film works, I'd be happy with it lasting 4, 5, even 12 hours or more--heck, I even gladly sat through Gettysburg (1993) in the theater. There have been films I've thought were too long (such as Whatever Happened to Baby Jane, 1962), but it's contextual, not related to actual running time.<br/><br/>Helmer Martin Brest directs with a lot of deliberation. Lines of dialogue and responses are stretched out to ""infinity and taken to the depth of forever"". The camera gives us lots of lingering gazes. There is little to no ""action"" in the film. Much of it is similar to David Lynch's famed pregnant pauses. Some people hate that style. I love it (although I love other styles, too--I like variety), and for me, the pacing makes this film seem much shorter than its actual running time. It's the complete opposite of the pacing of, say, Medallion (2003), which is interesting given that both films feature Forlani. It's also interesting to note that Brest's career seems to match the pacing of Meet Joe Black. He's taken 2, 4, 5 and 6 years between films. Obviously, Brest is not in a rush.<br/><br/>If you watch Meet Joe Black immediately after watching Death Takes a Holiday, as I did this time around, a few things might strike you as odd and slightly negative at first. The principal difference that had this initial effect on me was the change in the primary romantic relationship--between Joe and Susan (and between Prince Sirki (Frederic March) and Grazia (Evelyn Venable) in the original). In the original, it's ambiguous whether Grazia doesn't recognize Sirki for what he really is all along. She at least never meets him as Sirki rather than Death-as-Sirki. It creates interesting philosophical scenarios about humankind's conception and fear of death; Grazia, who is a bit aloof all along, may be embracing death rather than fearing it, not as something negative, but more metaphysically, as inherent in the idea of life.<br/><br/>In Meet Joe Black, Susan falls for Pitt as another character first. It removes all of the philosophical points about one's attitude towards death (with the exception of William, who is the only one who knows the truth, even in the end, and who implicitly goes through vacillating feelings about death). However, despite my initial hesitation on the change, I tried to remember my commitment to judge each film on its own terms rather than its relation to other works, and I realized that the relationship set up here is interesting for another reason--it explores public identity in relationships and the tensions that arise through dynamicism of that public identity. That's a theme throughout the film, not just in its romantic relationships.<br/><br/>Pitt has often been criticized for his performance here, but in my opinion, it's perfect for the character(s)--just as good in its own way as March's turn as Sirki in the original. Once Pitt as Death takes over ""Joe Black's"" body, he _must_ change his persona in the way he does. He's supposed to be a supernatural being who normally relates to the world in a completely different way, but now he's suddenly made corporeal. He doesn't know what to do as a human. As an entity, he's not daft, lacking power or unknowledgeable about many things, but he's incredibly naïve and awkward as a thing of flesh. He's not used to relating to the world in that way. He's not used to making facial expressions. He's never tasted food, and so on. The change he undergoes in the beginning and end of the film is amazing and shows just how skilled Pitt is.<br/><br/>Hopkins and Forlani are of course no slouches, either. Hopkins' ability to go from understated and elegant to manic is put to good use; the role seems tailor-made for him. Forlani, who has a very unusual but intriguingly beautiful face that always looks a bit pouty, gets to pout even more, creating a bizarrely complex but effective character. The rest of the primary cast is just as good. The end result is a strangely dysfunctional family with a lot of depth.<br/><br/>While I can see people preferring Death Takes a Holiday to this film, for me, Meet Joe Black is slightly better. It's much more epic, of course, and that scope, plus the incredible score by Thomas Newman, pushes its emotional effectiveness up a notch. But make sure you do not miss either film. Both are excellent and unusual."
"bostockleigh-75918","10","14","14","24 October 2019"," A true benchmark in film making
","In protest to all the remade junk Hollywood is producing these days, I'm watching a movie that's as good to watch the 10th time as it was the first (and I speak from experience).
This movie is a tribute to all who came together in it's making. It's Claire Forlani's finest hour, Brad Pitt is superb and Anthony Hopkins is brilliant to name a few. If you've never watched it, I challenge you: It will melt your heart, and it will become a standard. Hats off to the screenwriters who adapted the story so well, to the actors who plainly put their hearts into this, to wardrobe, lighting, scenery who put everything in place, and most of all to the Director who had a passionate and clear vision of what he wanted from every scene."
"fredschepers","10","19","20","19 January 2020"," 22 years later. And it still knocks you out.
","Film reviews are irrelevant. Perception is key. Meet Joe Black is a meet on its own. If you are not into romantic tear jerkers, watch this film and find out that your human and have the ability to change your mind. I speak from experience. The story: Simple and easy to understand. The director made a simple life event into a magical experience. Love and death go hand in hand in a mixture of sublime acting, awesome sceneries, superb dialogues, nerve touching details and result in a romantic drama where the sadness and emotions do not cover the happy ending and leaves you choked till the last over the rainbow tune ends. After 40 years of watching thousands of films, this film still is my number 1 film in my top 100 films where all one hundred share the first place. Brad Pitt, Sir Anthony Hopkins (brilliant classical composer btw) and the gorgeous Claire Forlany showed of their qualities. Same for all the other participants in thisepic story about how life will go on. Perception. ... but from my pov their best acting ever. I have seen it at least once every 2 years. If it will be your first time, settle for it. If you are still young, and think you become a film addict, be aware! You will get drawn in this film for decades to come. Enjoy this experience. And let it knock you out as well ☺"
"lmoore520","Null","175","214","13 October 2004"," In short, an excellent and not too long film
","Whenever this film is aired, I'm drawn to watch it. The pace, like life, is slow. Some people find this to be a problem. I feel sorry for those people; maybe they've been so saturated by ""fast food"" films and reality TV that they think that's the way life is supposed to be. Unlike life, the film has no ""wasted space"". So, while it may seem too long for theatre viewing, it's plenty short for sitting back in an easy chair for three hours and just letting it draw you in--with the excellent dialogue (including the Patois), excellent performances by truly talented actors, and above all the [again] excellent score by Mr. Newman. If you're a romantic not just about love, but also about life, then treat yourself and watch it."
"jwebond","10","183","229","21 November 2004"," Purely Captivating!
","I first saw this film many years after its first release and let me tell you I have never since or will I ever see such a moving and purely captivating movie.<br/><br/>Anthony Hopkins is already my idol and I have admired him for many years. There's something about the unique persona he brings upon any character he plays in a movie, as if he leaves part of himself behind on the film reel each time. From psychological thrillers like The Silence of the Lambs to emotional dramas, he also strikes me as a modest man and is, in my eyes a true genius!<br/><br/>Meet Joe Black is a strange tale that challenges our preconceptions of death. You come out of the film not so much enlightened but convinced that Bill Parrish is happy with the fate that comes upon him and that everyone else is too. It's immensely sad yet happy at the same time and thought-provoking. It is also a very long movie, which I believe strengthens it as you feel you have a bond with the main characters having known them for a long time and thus share the highs and the lows emotionally throughout the plot. <br/><br/>Providing you can stick to the 3hour film length it will truly be one of the most memorable films you'll ever watch. Excellent!"
"ilovedavii","10","31","36","6 December 2016"," For the Romantics Out There
","This movie is spectacular. It's 3 hours long, and without any ""action."" It is simply a study of life and relationships (familial, friendly, romantic, etc.). These relationships are studied by Death, who is taking a vacation. He wants to see what all the fuss is about life. This is an entity who constantly witnesses the end of life, but wants to understand what comes before that end; why do people get so emotional when lit's their time?<br/><br/>In the beginning, he's seemingly emotionless. He's completely uncomfortable with being human, oblivious to all emotion and facial expressions. The character goes through a beautiful transformation from the beginning of the movie to the end, and Brad Pitt does a wonderful job portraying that transformation. <br/><br/>Pitt also does an excellent job of portraying a person who is experiencing everything for the first time. Through his performance, the viewer is reminded how beautiful simple things in life are. Peanut butter, a father enjoying dinner with his family, a friend offering a handshake, falling in love; all of these are the types of things that humans tend to take for granted so often. <br/><br/>There is one particular scene that comes to mind, when Bill Parish is faced with cake- tasting, and says something that hurts his daughter's feelings. Joe Black watches in fascination as Bill fixes the situation, and he (Joe) laughs along with the family. Pitt perfectly shows how Joe is gradually connecting with humanity, thanks to Bill and the way he brings his family together. <br/><br/>Hopkins also deserves praise of the highest regard. His character is charismatic, empathetic, and has a love for his family that shines. It's blatantly obvious why Death chose Bill to be his guide; because he is a stellar person. Hopkins does an excellent job, as always. <br/><br/>Another performance that I loved was the old Jamaican woman, played by Lois-Kelly Miller. In a touching scene, Death reveals to her that his existence is a lonely one. She tells him, in one of my favorite lines of the movie:<br/><br/>""It nice it happen to you. Like you come to the island and had a holiday. Sun didn't burn you red-red, just brown. You sleep and no mosquito eat you. But the truth is, it bound to happen if you stay long enough. So take that nice picture you got in your head home with you, but don't be fooled. We lonely here mostly too. If we lucky, maybe, we got some nice pictures to take with us.""<br/><br/>It's a beautiful monologue, and ever since watching this movie for the first time, I now think of moments in my life as ""pictures"" to take with me when it's my time to leave this earth. <br/><br/>This movie also has, by far, one of the most beautiful soundtracks I have ever heard. Two of the stand-out tracks to me are ""Cold Lamb Sandwich"" and ""That Next Place,"" both of which are breathtakingly emotional.<br/><br/>***Spoiler Territory****<br/><br/>The ending of this movie is one of the most beautiful endings I have ever seen. It's heartbreaking to watch Death realize that he has to return to his lonely existence, after falling in love with humanity. He tells Bill that he is taking Susan with him, and we understand that he wants to do so because he desperately doesn't want to be lonely. It's heartbreaking to watch him realize that Susan needs and deserves the man she met in the coffee shop, not him. He has to let her go, fully understanding that he has to put her needs above his own. He's experienced the beauty of life, and now he's forced to experience the pain in life. <br/><br/>The scene when he watches the firework show and sheds tears fully cements his transformation, from an emotionless entity to a human being who is overcome by the tragic beauty of life. Bill's words, ""It's hard to let go, isn't it?...Well, that's life. What can I tell you."" perfectly capture the message of this movie. Life is beautiful, even when it's coming to an end. <br/><br/>***End of Spoilers***<br/><br/>This is a movie for romantics. It is slow-paced, and requires the viewer to pay attention in order to follow the story and really understand the movie. But if you are willing to give this movie your attention, fully submerse yourself in it, and allow yourself to emotionally connect to it, then you will not be disappointed. Do yourself a favor and watch it."
"Pork_Scratchings","9","151","195","9 January 2000"," One of the best films of 1998, I can't praise this film enough!
","I must admit to have been slightly hesistant when I first heard about Meet Joe Black because of the subject matter and its length, however I found this film to be superb.<br/><br/>The acting was believable, the cinematography of the film was well thought out and extremely picturesque. The soundtrack by Thomas Newman (the Shawshank Redemption) went from chilling to the most beautiful melodies that I have ever heard (giving, in my humble opinion, any classical composer a run for their money), adding an extra depth to this film.<br/><br/>There are no in-betweens in this film: you WILL either love or hate this film. However, I can say that this film is one of the most uplifting and life affirming movies that I have ever seen. It left me both moved and confident that the world was not such a bad place after all. Just like the Shawshank Redemption told us that hope is not a bad thing, so Meet Joe Black tells us that indeed love can conquer all better than Titanic ever could."
