"username","rating","helpful","total","date","title","review"
"ivo-cobra8","10","171","192","13 February 2018"," A masterpiece - one of the best epic-action films of all time my personal favorite
","Aliens (1986) is the best Epic Sci-Fi Classic Action Movie of all time and one of my personal favorite best action sci-fi flicks that I love to death. Just like I love The Terminator and T2, I love this movie to death. James Cameron's classic masterpiece. The now classic science fiction film was only the third feature directed by James Cameron (following Piranha Part Two, The Terminator). It is the sequel to the 1979 film Alien and Alien is a masterpiece I love that film, but I love this movie more sorry this is my personal opinion this is my movie. I am not saying it is better than the original movie but it is right up there with Alien a real classic. <br/><br/> Ellen Ripley (Sigourney Weaver), the sole survivor from the original ""Alien"", returns to Earth after drifting trough space in hyper sleep for 57 years. Although her story about the Alien encounter is met with skepticism, she agrees to accompany a team of high-tech marines back to LV-426 and this time it's war! It has great cast I love the marines fighting aliens in this movie. The movie stars: Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser, Lance Henriksen, Bill Paxton, William Hope, Jenette Goldstein, Al Matthews, Mark Rolston , Ricco Ross, Colette Hiller, Daniel Kash ,Cynthia Dale Scott and Tip Tipping and they are all believable enough.<br/><br/>I love the characters beside Ellen Ripley, Newt, Corporal Hicks, Bishop, Private Hudson, Private Vasquez, Sergeant Apone, Private Drake, Private Frost, Corporal Ferro, Private Spunkmeyer, Corporal Dietrich, Private Crowe I love those platoon of US Colonial Marines I know I haven't mentioned Burke because he was the bad guy and I don't like him. But most of the characters in this movie I love. <br/><br/> I know it is a sci-fi action film but it also does a have a horror mixed together people just don't see that. There's plenty of horror in it. The nightmare sequence in the beginning, the creepy atmosphere of the LV-426 colony, and the heart pounding face hugger on the loose scene in the medical bay. You see mother of those aliens who cocooned all the humans and killed them you see Ripley finding the nest and fight the Alien queen on the end. Ripley faces her fear and gets over her PTSD by going in by herself to rescue the Girl/Fight the Aliens/and Destroy the Entire Nest...Battles One on One with an Alien Queen and Whips its' Ass...and, by the end, now both her and Newt can dream without the worry of any more Nightmares (which plagued Ripley at the beginning of the film).<br/><br/>This is the finest action movie of all time. And, yet, believe it or not, it's not the action in the film itself that makes this be the case. This is especially odd in a movie with a $100 million budget (in 1986!), with multiple huge explosions, with thousands of bullets fired, and scores from James Horner of stuntmen used.<br/><br/>10/10 I have the Blu-ray disc which it also have a special edition version on it I used to had this film on DVD but I throw it away because I bought the Blu-ray which I am very happy about it. I love this film to death it is my personal favorite sci-fi action film even Lance Henriksen from Hard Target and The Terminator is in here and he is the good guy."
"Derek237","10","228","265","31 August 2005"," One of the most thrilling films ever- special edition highly recommended
","James Cameron is an extremely talented action director because not only does he know great action, but he always backs the action up with a great story and interesting characters. Aliens is his finest achievement, as far as I'm concerned. Of course, I should specify: Aliens Special Edition is his finest achievement.<br/><br/>In 1986 several scenes were cut to keep the movie's run-time reasonable but there was one scene that was incredibly foolish to leave out. The scene I refer to is near the beginning where Ripley learns that her daughter has died while she was away in 'hypersleep' for 57 years. ""I promised her I'd be home for her 11th birthday,"" cries Ripley. This is a very moving scene that adds a great deal the character's depth and makes more sense to why she cares for a little girl named Newt later in the film. She's seeking penance through Newt with her love and determination to keep her alive at all costs. The theatrical edition obviously doesn't elude to any of this, and even cheapens the relationship between Ripley and Newt- just a little bit. James Cameron has said that all of his movies are love stories, and Aliens is a story of parental love. He has also said that the special edition is his intended (if not definitive) version of the film. For about five years or so the Special Edition was the only version of Aliens you could get on DVD. It should have stayed that way.<br/><br/>Aliens is a unique film experience: it's genuinely thrilling and exciting, unlike a lot of movies where people shoot the evil monsters and there's disgusting blood and rapid gunfire, and it's really meaningless. In Aliens' case, the aliens are very threatening and more than just target practice. We don't see any aliens for over an hour, but once we do, it's a huge payoff. By that time, we get to know some interesting characters: Hicks (Michael Beihn), a take-charge marine who also turns out to be sweet and sincere, Hudson (Bill Paxton), a braggart who turns out to be a coward and complains most of the time, Vasquez (Jeanette Goldstein), the iron-willed woman soldier who proves to be one of the bravest characters in the film, Bishop (Lance Henrikson), a robot that is very helpful for everyone's survival, Burke (Paul Rieser), the slimy company man who the audience loves to hate, and of course, the adorable little Newt (Carrie Henn), a girl who has survived unspeakable horror. Holding the whole film together is Ripley, played by Sigourney Weaver in her surprise-Oscar-nominated performance. I think the only reason why the audience cared for her in the first film is because she was the only person left and we wanted her to live. But for this film, James Cameron added so much to her. With all this investment in characters, we're really concerned for their well-being. We don't want those aliens to get them. Some die, and I'm always truly bummed out when it happens.<br/><br/>Filled with amazing performances and an abundance of thrills, Aliens is one of the greatest of any genre it attempts: whether it's action, sci-fi, horror, or even drama. I personally liked it better than the first film, but it's really like comparing apples and oranges. I prefer the special edition and don't see why anyone should view the other version instead.<br/><br/>My rating: 10/10"
"ruth.boaz","Null","356","422","23 February 2000"," Outstanding blend of sci-fi, action, and humour.
","I rate Aliens a perfect 10.  This second installment in the Alien series evolves the original movie's horror/sci-fi genre into action-adventure/sci-fi, setting a standard which has not yet been matched. I like this movie because it paints a picture of the future which is realistic enough to suck you in during the beginning of the film and then quickly introduces you to interesting characters who you become concerned with; some you love and others you hate.....but none of them bore you.  By the time the action starts it's possible to forget you're watching a movie (at least the first couple of times).  The plot is filled with tension that is occasionally broken by some of the most memorable one-liners in history (especially by Private Hudson).  The special effects are remarkable, considering the fact that they were accomplished the ""old fashioned way"" prior to digital manipulation.  I can report that I now own the Director's Cut and rate this version a 10 also.  The extra footage will be extremely interesting to fans of the 1986 release.  Either version gives you great characters, suspense, action, firepower, sarcasm, and wit.  Aliens is an outstanding show!"
"carflo","10","372","446","8 December 2004"," Gets better every time I see it
","I am just going to add my voice to the chorus of praise for this movie. It is as near to being perfect as any I have ever seen. I will not say that it is much better than Alien - which is just about near to being perfect also. But I do love all the characters in this movie. I have rarely seen a movie where all the characters were so well developed. Even most serious dramas seldom develops each character so completely. None of these characters are stereotypes even Paul Reiser as Burke, although the slimy company/government man villain is a prerequisite in disaster type movies. I would almost say that my favorite is Michael Beihn as Hicks, just because I like his work & consider him to be underrated. But I also like Lance Henriksen as Bishop, William Hope as Lt. Gorman, Bill Paxton as Hudson, and of course, Jenette Goldstein as Vasquez. I liked all of these characters. I cared about their lives & deaths. The final scene for Gorman & Vasquez still chokes me up after seeing it many times. <br/><br/>I am not ignoring Sigourney Weaver or Carrie Henn. Ripley is the template for the modern action heroine. In the 24 years since Alien, few have been able to measure up to Sigourney Weaver's Ripley. Even in Alien 3 & 4, Ripley was still powerful, despite the 3ed rate quality of the movies. As for Carrie Henn as Newt, she was the emotional heart of Aliens. Cameron's ability to develop well rounded characters does not detract from his ability to create great action scenes or to scare the audience out of a several years of growth."
"Pluto-3","10","604","736","14 August 1998"," This ain't a film.
","THE sci-fi movie. It's nearly perfect in every way: storyline, characters, menacing threat, suspense, action, direction, music, emotion, etc... It's always been a favorite of mine and still is. To me this is not just a film, it is an experience. The adrenaline pumps like in no other film and rarely have we had the chance to see a heroine as compelling as Sigourney Weaver. She can kick anyone's ass and still keep a heart and soul. (Why she didn't win the Oscar back in 1986 is beyond me.) When the action starts, you're in for the ride of your life. Truly a milestone in movie making. Now if they could only release it on DVD..."
"BrandtSponseller","10","286","345","7 February 2005"," Excellent sequel--matches the brilliance of the first film
","Series note: It is strongly advised that you watch this film only after seeing Alien (1979). This is a direct continuation of that story.<br/><br/>57 years after the events of the first film, Ellen Ripley (Sigourney Weaver) is found and awakened from hyper sleep to discover that a terraforming colony has been set up on LV-426, the planet wherein she and her fellow crew of the mining cargo spaceship Nostromo first encountered the titular aliens. When Earth-based communications loses contact with LV-426, a band of marines are sent to investigate, taking Ripley and a representative from the company that financed the colony, Carter Burke (Paul Reiser) along for the ride.<br/><br/>For the difficult job of following up Ridley Scott's excellent Alien, director James Cameron decided to go a completely different route--to make a fast moving, slightly tongue-in-cheek, boisterous action extravaganza. Remarkably, he was able to do that while still maintaining a stylistic and literary continuity that melds Aliens seamlessly with the first film.<br/><br/>Ripley is much more fully developed in this film, although unfortunately, some of the most significant scenes were deleted from the theatrical release (if at all possible, watch the 2-hour and 37-minute director's cut instead). Cameron fashioned Aliens into a grand arc where Ripley's actions at the end of the film have much more meaning as she's not only fighting monsters, but also fighting to retain a semblance of something she lost due to her 57-year hyper sleep. As in the first film, she is still the most intelligent, courageous and resourceful member of the crew, but she has much more colorful company.<br/><br/>The marines accompanying Ripley back to LV-426 may be too cartoonish for some tastes (as for viewers of that opinion, most of the action and the film overall is likely to be too cartoonish), but for anyone more agreeable to that kind of caricatured exaggeration, it's a joy to watch. I'm a big fan of both Bill Paxton and Lance Henriksen, and both turn in wonderfully over-the-top performances, at their diametrically opposed ends of the emotional spectrum--Paxton as the spastic surfer/redneck and Henriksen as the intense, moody sage, with a surprising reality and an even more surprising conscience to go along with it. We also get a cigar-chomping Sergeant, a crazy, butch Private, and a complex, pensive Corporal as main characters, and a mysterious, bright young girl (played in a terrific performance by Carrie Henn). Much of the center section of the film hinges on the interrelationships of these characters, despite the action trappings going on around them.<br/><br/>Cameron carries over the crypt/labyrinth motif of the first film, and adds a metaphorical descent into the bowels of hell in the climax. The action throughout is suspenseful. Aliens contains one of my favorite ""cat fights"" in any film. It's also worth noting the influence this film may have had on Paul Verhoeven's Starship Troopers (1997)--although admittedly, we could say that Cameron was influenced a bit by the Robert A. Heinlein book, as well. Throughout all of the varied action sequences, as well as the important early scenes of colonists on LV-426, Cameron is able to clearly convey the logistics of very complex sets, so that viewers remain on the edges of their seats.<br/><br/>Part of what makes the monsters so effective is that we're not told too much about them. We only get glimpses into their physiology's, their behavioral patterns and their intelligence. Cameron gives us just enough to become wrapped up in the film, but not so much that we become overly familiar with the aliens, or start to question the logic behind the film. He also smartly carries over some devices from the first film that were abandoned to an extent, such as the acidic blood of the aliens, and he supplies answers to the few questions that the first film raised, such as why the blood doesn't corrode instruments and objects when a dead alien is examined.<br/><br/>Aliens is yet another example of a sequel that is just as good as an original film in a series. Just make sure you watch both in order, and try to watch the director's cuts."
"Aaron_Kyle","9","149","179","21 September 2018"," A Guide To Making A Classic: Sci-Fi Edition
","Aliens is as good as its predecessor but not quite the same as its more action and less horror. Director James Cameron does an eminent job as well as making Aliens an exhilarating, quotable and ultimately unforgettable.<br/><br/>The plot is simple, Ripley wakes up after 57 years of hypersleep and finds out that the moon she previously visited is colonised but by whom...
The eeriness and fear are replaced with intense action and larger than life marines. Replaced for good? Yes and no, What made Alien great is its eerie music tone and sound design with the alien being more feared. However what makes Aliens great is the exact opposite, more aliens result in more action and more intensity as if its a new lease on life.<br/><br/>We're introduced into a brand new Ripley, she's a survivor now and Sigourney Weaver does a nearly flawless job utilising her character.
The technicalities are kept and the sound design is overhauled in an impressive way.<br/><br/>Like all movies, Aliens isn't flawless and it does have one slightly major plot hole: Hicks knew the aliens were going to breach their perimeter sooner or later yet no one suggested going to the other dropship until they learned about the nuclear disaster. Meaning they were going to sit in that same room for seventeen days with barely any ammo and 100+ aliens breaking in only if the reactors didn't go critical.<br/><br/>Aliens knows what it wants to be and makes a genre-defying attempt doing it.<br/><br/>Final Rating: 9/10"
"baumer","10","226","290","15 June 1999"," James Cameron and Bill Paxton at their finest
","There are really good movies and then there's that select few that change your life.  For me movies like Jaws, Raiders of the Lost Ark, JFK, Titanic and Star Wars did that.  By viewing a movie you see life in a different light.  Aliens also did that to me.  I didn't think a movie could scare me as much as Halloween did but this one certainly did that and more.  The atmosphere in this movie, and the lighting and cinematography and of course the direction are top notch, and some of the scenes are some of the scariest I've seen in my life time.  But what puts this movie over the top as one of the all time greatest films ever made is the casting.<br/><br/>Sigourney Weaver is terrific but it is her supporting cast that shines and makes you feel like you know the crew that is heading to that desolate planet.<br/><br/>Paul Reiser is perfect as Burke,the slimy corporate kiss ass that cares about profit before human lives.  Lance Henriksen shines as Bishop, the cyborg with a heart.  Jeanette Goldstein is the rough around the edges female marine that more than holds her own with all the testosterone floating around and Michael Biehn ( another Cameron favourite )is the perfect quiet leader that leads by example and not so much a loud demonstrative voice.  But the show stopper in this flick ( just as he always is in any movie that he is in ) is Bill Paxton.<br/><br/>Paxton and Cameron have worked on Terminator 1, True Lies, Titanic and Aliens and Bill is one of those actors that steals scenes from every actor and was always a recognizable face even before Titanic.  Here, his Hudson character is the comic relief but he is also perhaps one of the true characters that we can all identify with.  His tough exterior is nothing more than camouflage for his frightened fragile interior.  He realizes the dire situation that they are all in and he can't hide his fear.  When he finds out that they won't be rescued for at least seventeen days, his response is "" Hey man, we're not going to survive 17 hours man!  Those things are going to come in here and they're going to get us and..... "" ( Ripley ) This little girl survived longer than that with no weapons and no military training. "" ( Hudson ) "" Why don't ya put her in charge!!! ""<br/><br/>Paxton is a gift to any and every movie that he is in and this is his finest work.  He should have won a best supporting actor that year.  And if you haven't seen this movie, rush to see it if only for Bill Paxton.  He steals the show.  But if a tightly wound, brilliantly technical and unbelievably scary movie is your thing, then you can't go wrong here.  This is easily a ten out of ten, and one of the best ever made.  If Spielberg is the king is Hollywood, then Cameron is his heir apparent.  Oh, and one more thing, Paxton will win an Oscar one day."
"Collins","9","170","218","6 December 1998"," ALIENS IS THE SCI-FI GENRE
","""Aliens"" is the best trapped-with-a-monster-right-behind-you movie of all time.  The weird part is that it's not the first of its kind.  Usually, the first of a genre is always the best but these kinds of movies were made decades-and-decades before 1986's ""Aliens.""  Still, through its strong story and characters, it elbows its way to the head of the class.<br/><br/>Ripley is a heroine like no other.  She thrills you.  Her powerful presence and unstoppable soul will always live on in the minds of movie-goers.  She and Newt form a surrogate mother-daughter relationship that is more touching than anything I've seen before in this kind of a movie.  In this movie more than any other in the ""Alien"" series, Ripley's a woman who does what she can (and then some) to protect herself and the ones around her.  She's the perfect action hero.<br/><br/>On top of that, the pulsing music that plays while Bishop is speeding them away from the exploding compound and while Ripley is booting  the Queen Alien out into space is beyond comparison.<br/><br/>Note:  If you LOVED this movie, it's probably best you don't see Alien 3. It, for some reason, turns the triumph of this film's conclusion into a depression deeper than the vastness of a hundred black holes."
"subarctic","10","243","324","6 February 2003"," ""I knew you'd come...""
","ALIENS really does have it all.  Perfect direction.  Beautiful cinematography.  Intense characters.  Big guns.  Action.  Heroism. Courage.  Battles.  Friendship.  Bravery.  It is certainly the BEST sequel ever made in movie history, and one of the GREATEST MOVIES EVER MADE.<br/><br/>At its core is Lt. Ellen Ripley (played by the badass Sigourney Weaver), a warrant officer, and tough as nails.  Her character is one of the greatest heroines of all time.  Sigourney really does pull it off.  No one else could have done it like her.  Ripley's maternal connection with the young girl Newt is amazing to watch...but the ultimate scene is her final battle with the galaxy's most deadly creature - set to a pulsing military score (James Horner delivers in a big way!).  Quite possibly my favorite fight scene of all time.<br/><br/>There's not really much else to say - just go watch the movie on DVD, and you will not be let down.  You're in for a wild ride!!!<br/><br/>ALIENS:  THIS TIME, IT'S WAR"
