"username","rating","helpful","total","date","title","review"
"gogoschka-1","Null","492","669","23 December 2015"," Visual poetry - and a celebration of human resilience as well as an ode to the savage beauty of nature
","A lot has been said and written about this film, mostly about its troubled production - forget all that: it has no meaning whatsoever for the experience this film provides. A word of advice though: if you go in expecting a testosterone-fueled revenge thriller in the vein of 'Apocalypto', you'll likely end up disappointed. It's simply not that kind of film - but that doesn't mean you won't enjoy it if you watch it with the right expectations.<br/><br/>'The Revenant' opens with images from a dream; we see snippets of memories showing a peaceful life - and soon the loss of that peace, and the loss of life. The images change and we hear the soothing sound of gurgling water as we follow the camera via a long tracking shot over a flooded forest; it's an image that seems to imply peace, evoking nature's beauty with an almost meditative quality - before the barrel of a rifle appears in the frame.<br/><br/>Those first three minutes I just described (which are the only spoilers you will get in this review) set the tone for the film perfectly. It's a film that tells a story of harrowing circumstances through images that are breathtakingly beautiful; a film about survival and death and shocking acts of sudden violence - and yet a film that, despite all its visceral intensity, also has a quiet, immersive quality to it that feels almost hypnotic.<br/><br/>Many critics and reviewers point out the stark contrast between the film's poetic beauty and the ugliness of its violence - implying the director wants to use this contrast to make a certain point regarding mankind's interference with nature. While that would seem pretty obvious (and it probably is at least partly true), I left the film feeling Iñarritu had shown me a vaster, far too complete image of the clash between man and nature to justify such a simplistic interpretation of the events portrayed on screen. Whether intentionally or not, Iñarritu shows the star of his film with a complexity and honesty that we normally don't get to see in these kinds of stories. And I'm not talking about Leonardo DiCaprio here (who gives a no-holds-barred, crazy good performance and I'd love to see him win an Oscar for this film) - the star of this film is not a person: it IS nature, plain and simple.<br/><br/>The revenge plot - which feels almost like an afterthought or a ploy to give the film a certain structure and a proper ending - is not really the film's main theme or strongest aspect, and it certainly isn't the reason that made this film so compelling to watch for me. Such stories have been told often enough - and often better - than in 'The Revenant'. No, what really makes this film stand out for me is that I have NEVER seen a Hollywood film (any film, really - apart from documentaries) that shows nature in such an unflinchingly honest and mesmerizing way as is the case here. And the way I perceive it, Iñarritu sees his human protagonists as being very much a part of nature as a whole - regardless of their destructive behaviour. <br/><br/>It's that refreshingly holistic approach (which some viewers might perceive as nihilism on the director's part) that I find to be the film's biggest accomplishment: it depicts the people in this story as just another species trying to survive in that perilous frontier-world. The emphasis is not really on the moral aspects of the brutal injustice that the main character suffers or how the Native Americans are cruelly exploited; we witness all that - but Iñarritu keeps a certain emotional distance, as if he were shooting a documentary about predatory wildlife. And just like the bear's attack, most of the violence in this film comes as a reaction of defense. Be it self-defense, defending one's offspring or defending territory and valuable resources. Even the character that comes closest to an actual villain is driven by fear - not hate, and his most obvious character defects were caused by a very traumatizing experience. As in nature, there is a simple (if often brutal) logic to why most characters, men or beasts, act the way they do in 'The Revenant' (OK, maybe not the French - but I didn't say the film was perfect). And the bear attack is the most realistic depiction of an animal attack I have ever seen on film.<br/><br/>All in all, this film feels less like a story of revenge and more like an ode to the visceral beauty of nature and the relentless, savage force that is life; it provides an immensely absorbing - and touching - experience to those who have an affinity for the wilderness, but it's also a visual masterpiece and a great piece of old-school filmmaking for lovers of Cinema. It's not perfect (especially during the last third of the film where I felt the pacing was a bit off), but it's a film the likes of which we will only rarely get to see - if at all - in the future. 'The Revenant' is visual poetry of the most primal kind, and it should be seen on the biggest screen possible. 9 stars out of 10 from me.<br/><br/>Favorite films: IMDb.com/list/mkjOKvqlSBs/<br/><br/>Lesser-Known Masterpieces: imdb.com/list/ls070242495/<br/><br/>Favorite Low-Budget and B-Movies: imdb.com/list/ls054808375/"
"mrblacktip","8","499","691","9 January 2016"," One of the Best Movies I'll never watch twice
","The Revenant falls into the same category as Aronofsky's ""Requiem for a Dream"" and Spielberg's ""Schindler's List"" for me, in the essence of being a terrific movie but not something I think I can sit through a second time. In all these movies there are brutal sequences that cause emotional stress and disgust just watching because it is so REAL and GRIPPING. To think that events in these movies actually happened or that they could very well happen is too much for me to think about. Not to say that I did not enjoy this film thoroughly. <br/><br/>The Revenant is a technical masterpiece that left me wondering ""How the hell did they do that?"" after many scenes and sequences. With beautiful cinematography and adroit camera movement this film is a visual magnum opus. It is apparent that the great minds that put forth this film are none other than the same ones that brought us Birdman: Lubezki and Inarritu. There are many long shots without cuts that are sprinkled throughout the film that add a sense of sophistication to it with the added bonus of predominantly location based shooting and natural lighting for the film , that can even make a novice film watcher raise an eyebrow at its complexity. <br/><br/>The camera work is not the only noteworthy aspect of the film; The actors did a superb job executing their rolls. Many are raving about DiCaprio's performance but I was more of a fan of Hardy's brutal and gritty character Fitzgerald. Granted, half the words that came out of his mouth were unintelligible but he left no doubt in my mind that he was fully devoted to his role and bringing Fitzgerald alive instead of just Hardy playing a character named Fitzgerald. He was simply amazing.<br/><br/>With all this said, there are still flaws in the film. At some points it was dragging on and moving too slow. It gave the impression that the film itself was cocky and wanted to show off all of its beautiful scenery and camera work too much. Then there was the ""he shouldn't be alive"" situations. Hugh Glass was a real guy that really did survive a bear mauling but in the film they make this guy practically immortal. There were too many instances where I was thinking ""he should be dead three times over right now, for me to enjoy the film as much I should have. <br/><br/>All in all a great film that I only recommend to seasoned and mature film viewers."
"nikshah-688-552284","7","34","42","6 July 2019"," Superb Cinematography But totally Unrealistic
","As mentioned 10/10 for the scenic cinematography and direction. But storyline is totally Unrealistic. I mean u will see Leonardo DiCaprio surviving a giant bear attack, surviving a 150ft fall , surviving a swim in a freezing cold river, surviving a group of indians firing in a close range, surviving don't know how many knife stabs.. totally Tollywood/ bollywood style where Lead hero won't die no Matter how much ever ways of killing u try, but villians die just with a one shot !! Not happy with the over unrealistic storyline."
"MR_Heraclius","10","53","69","23 February 2020"," love this movie highly recommend.
","Finally saw this movie (yes 4 years late) and I understand why Leonardo won the Oscar, along with the many academy awards the movie and director won. It is a cinematic masterpiece. The cinematography is amazing, the whole cast (Tom Hardy is great here) is great. The costumes and weapons used (early 1800s) look so damn good. The story is very simple and not complicated. It is about revenge and surviving in the cold and icy wilderness of 1823. The action scenes are brutal and gritty, like they should be for that time period. Officially in my top 10 movies of all time. If you've never seen this film, do yourself a favor and rent it or buy it. It definitely deserves to be in your collection. Some people might not like all the spiritual stuff or reading subtitles (lots of Native American language here) but it is needed since there a lot of interaction with Native American tribes here. FINAL REVIEW 10/10"
"summerloud","6","53","70","7 January 2016"," great effects and an awesome start but degenerates into a meaningless mess of Hollywood clichés
","I recently came across the story of Glass briefly when reading TC Boyles ""The Harder They Come"", and since this book increased my already big fondness for pioneer or realistic wild west settings, I was looking forward eagerly for a new big budget movie that promised to capture the pioneer era atmosphere in a grim survival story.<br/><br/>The movie starts out awesome enough, kicking off with a powerful Indians vs Pioneers battle scene that features incredibly long, action-packed shots. Unlike in the original story the movie is based on, Glass brings his half-Indian son along, creating some father/son moments and some tension with the other guys on his trek who are not that fond of savages. Shortly after, we are treated to the high point of the movie - the already famous bear scene, which is masterfully done, and painful to watch for its cruel realism. <br/><br/>Unfortunately, from there, it is all downhill.<br/><br/>The whole point of the original story, Fitzgerald and Bridger leaving Glass behind, gets watered down by the state Glass is pictured to be in - the way it is shown in the movie, it would have obviously been the only logical thing to do to leave him behind, with the Indians on the trek's tail and his chances of survival being nil. <br/><br/>Rather than creating a believable dilemma, the movie goes all over- the-top in Hollywood clichés. Instead of just leaving a maimed Glass behind for dead, Fitzgerald kills Glass'es son, turning a survival story into a revenge thriller. We are shown all kinds of bad aspects of Fitzgerald's character to turn him into ""the bad guy"" so we can root for Glass killing him at the end.<br/><br/>At the same time, the whole Indian side-story that was courageous enough to show Indians as ruthless attackers and not stick to the ""noble savage"" cliché gets watered down with an unbelievable silly twist when it is revealed that the Indians are just searching for the chieftain's kidnapped daughter, which we later find out was kidnapped by those pesky French, who do all kinds of badguy Indian killing stuff (as opposed to our noble pelt hunters, who are righteous decent human beings with the exception of the traitor Fitzgerald).<br/><br/>The actual survival story then gets completely out of hand, being so over-the-top as to remind me of action movies like Die Hard 2, that do not claim to be realistic and do not take themselves as serious as this movie. Glass, still in a state where he can only crawl, escapes the Indians by jumping into an ice-cold river, gets thrown down waterfalls, gets on a horse, falls down a cliff of around 100ft, etc etc etc. At this point, the survival story failed to grip me, since it was obviously based on comic book physics and -realism. <br/><br/>It gets even more ridiculous, when Glass manages to find the time on his survival ego trip to befriend a lone Indian (who is later killed by the evil, evil French, but not before healing Glass with some Indian sweat lodge magic), and even to rescue the Indian chieftain's daughter who was held prisoner as a rape object by the French, who again thankfully stepped in to fill in for the bad guys.<br/><br/>Despite all of this, the movie manages to stay pretty enjoyable (and never boring) until the ending, which was so horribly predictable that it made me cringe. <br/><br/>First Glass meets up with the rest of the trek, looking extremely healthy for what he's supposedly been through - DiCaprio could have at least lost some weight for this movie, or otherwise they could have used CGI to make him look thinner. <br/><br/>Fitzgerald escapes from the camp, stealing the money from the rest of the crew in the process (that baddie bad guy!). For some reason, even though they still have plenty of other men left, only Glass and the Captain set out as a group of two to hunt Fitzgerald down.<br/><br/>When the Captain then tells Glass some sentimental crap about his wife when they sit down at a fire at night, he might have just as well put on a red Star-Trek shirt, because it couldn't have been made any more obvious that he would be shot in the lead-up to the inevitable showdown between Glass and Fitzgerald.<br/><br/>Predictably enough, thats exactly what happens. To make matters worse, we are not only treated to the good old ""both antagonists lose their weapons so it degenerates into a fist fight"" cliché, but then, as the predictable fight, that tries to make up in cruelty what it lacks in innovation, inevitably ends with our hero Glass beating Fitzgerald and threatening to cut his throat, Fitzgerald tells him in a typical bad-guy way that killing him won't bring back his son, AND SO GLASS REFUSES TO KILL HIM. Are you kidding me? You just ruined the whole point of turning a survival story into a revenge trip, and lost the last bit of credibility the story had until now.<br/><br/>But of course we cannot let the bad guy get away, and so the actual killing is done by the Indians, who arrive just in time to finish Fitzgerald off and stare silently at Glass in a menacing silent Indian cliché thing. Since Glass saved his daughter's life, the Indian chieftain refrains from killing Glass, and instead rides off silently without acknowledging or helping the wounded Glass lying on the ground who saved his daughter's life. Makes sense.<br/><br/>The movie fades out with a shot of Glass staring into nothing. At least he didn't go after the chieftain's daughter to make some more Indian half-breed babies and live happily forever after.<br/><br/>6/10"
"BoxOfficeKid","7","250","362","25 January 2016"," Visually beautiful, story-wise not on par...
","The natural landscape and some of the scenes are overwhelming and spectacular! The camera-work is so immersive, you believe are a part of Hugh Glass' journey through the wilderness and back to civilization. Also with great performances not only by DiCaprio, but also Hardy, as the unsympathetic fellow fur trapper leaving Glass behind. <br/><br/>Story-wise, it is a bit thin for a 156 min picture. Glass' quest for vengeance is sometimes lost as he utters few words about his drive and is being more or less, chased himself. The story arc of the Indians quest for their daughter felt a bit out of place and strange. We also get to see the fur trappers p.o.v. that left Glass behind and the Captain way ahead of them. Which in my opinion takes a little bit of the magic of Glass' total perilous journey.<br/><br/>All my stars goes to the beauty, production value and performances alone! Regardless, this is one of those overlong movies one like, but would not sit out for another viewing!"
"mptaylor-50564","3","751","1152","16 January 2016"," Great photography, not so great film
","You are almost immediately plunged into the action, in a similar way to the opening of 'Saving Private Ryan', with a Native American attack on a group of fur trappers. DiCaprio even does that momentarily deaf thing that Tom Hanks does. Lots of bows and arrows and gore and excellent photography that is really immersive. Great opening scene.<br/><br/>There there's the scene where DiCaprio is mauled by a grizzly bear. Again, really believable, exciting and up front and personal - you can almost smell the bear's stinking breath. Brilliant. <br/><br/>And then there's ... well ... not much really. Photography and scenery are by and large excellent but you do get the feeling that better use could have been made of them. Iñárritu often seems to chop scenes around for no particular reason, although you do get the occasional sense of the vast wilderness that comes over well on the big screen.<br/><br/>Dialogue is scarce. Most of it goes to Tom Hardy who tries to put on a Texan accent but succeeds in sounding as if he has a sock in his mouth (does he specialise in being inaudible? remember him as the mumbling Bane in 'The Dark Knight Rises'?). <br/><br/>Then there's the storyline. You know the ending, right? (Just look up the definition of 'revenant'.) Leo is up against it and he suffers a great deal. But you know he is going to survive. So when, to top everything, he falls off a cliff on his horse you realise he's actually become Mr Indestructible. And two and a half hours of crawling, grimacing and wincing does not a very entertaining film make.<br/><br/>There are also several non-credible plot twists. Like when Tom Hardy (a.k.a. The Mumbler) somehow cracks an impressive-looking safe and makes off with the garrison money and just two guys go after him, including the garrison commander. This nicely sets up the final confrontation between Mr Indestructible and The Mumbler .... but really? <br/><br/>We also develop little or no emotional connection with the main character. The silent dream scenes are a clichéd way of trying to do this and they don't work in my opinion - they're just puzzling and boring. Nor do we see much of the relationship between Leo and his son to set up the emotional links between them - just Leo being harsh and dishing out tough love a couple of times. <br/><br/>The pacing is also poor. Once you've passed the opening scene and the grizzly scene, feel free to go and refresh your popcorn - you won't miss much. <br/><br/>Overall, the film is self-consciously bleak and overdetermined and is unevenly paced. A better director might possibly have made this a good film but Iñárritu is clearly not David Lean.<br/><br/>If DiCaprio gets an Oscar for this it will be because the Academy think they owe him one and possibly because of the hype. This is a film that will be forgotten. If you want to see a good silent movie with snow, ice, struggle for survival and even the odd grizzly bear thrown in, watch Chaplin's 'The Gold Rush' - it's far more entertaining."
"yongfilmcritic","10","126","184","17 January 2019"," A milestone in cinematography.
","I love this movie . This film is a milestone in cinematography. Great Immersive camera-work. This film is an experience and i has already seen it 4 times and I only see more quality of the film."
"CalRhys","Null","358","556","17 January 2016"," A Powerfully Bleak & Masterful Film
","Take the direction of Alejandro González Iñárritu, combine it with the stunning cinematography of Emmanuel Lubezki and toss in Leonardo DiCaprio and Tom Hardy for their acting charms and what do you get? An extraordinary and masterful film.<br/><br/>Fresh off of 'Birdman,' Iñárritu moved straight on to 'The Revenant,' a western-epic inspired by the true-life experiences of frontiersman Hugh Glass in the winter-struck landscape of 1820s America. The film gained some notoriety in mid-2015 for its production problems and has thus been regarded one of the most challenging film shoots in the history of cinema. Rightfully so. The film opens with the soothing sound of running water, thrusting the audience into an almost meditative state, and then it strikes, an action-packed sequence ensues with a near single sweeping take. Now this is a spoiler-free review, so I'll leave the pleasure of viewing that scene to you.<br/><br/>This film heavily evokes reactions from the audience and does so well, whether it's staring at the screen in awe or gasping at the visceral violence, if you face this film with the right attitude and expectations, it will be a thrill ride like no other. Lubezki has proved that he is one of the most fantastic cinematographers of modern cinema, and the extensive use of natural lighting over artificial supports that statement even further, the film is beyond stunning. Supporting this is the score from the relatively unknown composers, believe me, when the sudden orchestral boom strikes your eardrums, it's mesmerising.<br/><br/>The makeup, the direction, the editing, the visual aesthetics, and of course the performances from a hopefully soon-to-be Oscar winning DiCaprio, 'The Revenant' is a visual treat for those who appreciate cinema and for those who wish to just get absorbed by the immense landscapes and poetic justice Iñárritu has given it. This is, for me, a modern masterpiece."
"lnvicta","8","128","192","29 February 2016"," Harrowing storytelling with a gorgeous cinematic backdrop, The Revenant is not for the faint of heart but will stick with those who make the journey.
","Since the first trailers of this movie came out I knew it would be an experience. Following the incredible Birdman, director Alejandro G. Iñárritu had the public anxiously awaiting his interpretation of this bleak survival story, and much like Birdman, Iñárritu is also the star of this film. The Revenant has some of the most beautiful cinematography I've ever seen. It's cold, visceral, and almost entirely authentic from the use of natural lighting to the barebones yet powerful storytelling. You can tell Iñárritu poured his heart into this project and it pays off tremendously. This is not to discount the incredible performances of DiCaprio and Hardy (DiCaprio finally getting his well-overdue Oscar), but it's hard to imagine the movie being so impactful had another director been at the helm. <br/><br/>The story is as simple as it gets. In the 1800s, a group of settlers escape an ambush by an indigenous tribe, and during their travels one man gets separated from the group and gets brutally attacked by a wild bear and subsequently left for dead by his team. It's a revenge story more than anything. What it also highlights is human perseverance and the will to live. The things that happen to this man are truly horrific and difficult to watch. I'm not sure what parts of the story were embellished or Hollywoodized, but this film sucks you into this world and puts you right alongside this fatally wounded man desperate to survive. Leonardo DiCaprio gives a heart-wrenching performance as Hugh Glass, expressing a wide range of emotions despite the limited dialogue. Tom Hardy is also phenomenal as one of the most vile, wretched human beings on the planet. This guy is despicable to the core, and you forget you're watching Tom Hardy at times because he's completely absorbed in the role. The supporting cast is great as well despite their small time on screen. As far as performances and cinematography goes, The Revenant is flawless.<br/><br/>What prevents this from getting a perfect 10 is one particular storyline that I didn't think was needed, and it involves the wife of Hugh Glass. She's never developed as a character but she appears intermittently in visions and dreams and it almost sucks you out of the movie for a second because of how intense the main narrative is. But this is a very small gripe. From beginning to end this movie had me on the edge of my seat, my jaw on the floor and my eyes glued to the screen. The Revenant is definitely not for everyone, but it's impossible not to appreciate it for the breathtaking cinematic achievement that it is."
