"username","rating","helpful","total","date","title","review"
"MR_Heraclius","10","52","61","23 February 2020"," Awesome movie, watched it multiple times
","This film is every definition of the word ""impeccable."" Scorcese's fantastic storytelling ability mixed with phenomenal acting from DiCaprio, Hill and the rest of the cast makes for an awesome combination. The film is never boring and gives you a glimpse into the life of a man who had everything in the world only to have it taken away."
"BrentHankins","9","501","715","24 December 2013"," DiCaprio gives the best performance of his career.
","In the mid-1990s, Jordan Belfort (Leonardo DiCaprio) and the rest of his associates from brokerage firm Stratton Oakmont became the very definition of excess and debauchery, their offices a boiler room fueled by cocaine and greed. High pressure sales tactic and less-than-legal behind-the-scenes manipulation bred plenty of twenty-something millionaires, and Belfort built himself an empire at the top of the heap. His rise and fall is chronicled in The Wolf of Wall Street, based on the memoir of the same name.<br/><br/>Under most circumstances, the actions of Belfort and his cronies (including Jonah Hill in a howlingly funny turn as Belfort's business partner) would be viewed as disgustingly abhorrent, but Martin Scorsese frames this tale of greed with a comedic lens that allows us to laugh at things we probably shouldn't find humorous. Whether it's a clumsy attempt at fisticuffs between two characters overdosing on Quaaludes, or the categorization of prostitutes using stock market terminology (""blue chip"" hookers make you wear a condom and typically accept credit cards), the film is outrageous from start to finish, and rarely falters in its quest to entertain the audience for three hours.<br/><br/>Belfort manages to delude himself and his pals into thinking they can live like this forever, but the audience knows better, and Belfort's eventual comeuppance is hardly surprising. But the path is paved with hilarity, especially in a scene aboard the mogul's luxury yacht, where he surreptitiously offers a pair of FBI agents everything from booze to girls to cold hard cash in exchange for their silence. And let's not forget his punishment for drunkenly piloting a helicopter into the backyard of his estate at 3am, raising the ire of his trophy wife (Margot Robbie).<br/><br/>Scorsese has always managed to elicit astounding performances from his actors, and his fifth collaboration with Leonardo DiCaprio results in one of the most charismatic, despicable, offensive and captivating characters to ever appear on screen. As financial bad boy Belfort, DiCaprio swaggers from scene to scene ingesting eye-popping amounts of narcotics, groping and fondling nearly every female within reach, and spouting more profanity in three hours than an entire season of The Sopranos. Belfort is the kind of person that any sane person would detest in real life, but thanks to Scorses and DiCaprio, we can't take our eyes off him.<br/><br/>-- Brent Hankins, www.nerdrep.com"
"notoriousCASK","9","29","36","24 October 2018"," ""Money is the oxygen of capitalism and I wanna breathe more than any other human being alive.""
","It's no surprise that Scorsese is associated with the gangster genre with films such as The Departed, Goodfellas and Casino, of which the last two are possibly the best pure examples of the genre. In Goodfellas the gangsters are dangerous but they operate on a more underground level, in Casino they practically run a major city and can do whatever they like. The gangsters were and will always be a part in America's system. Now, the gangsters are not just accepted by the system, but are considered to be an integral part of it. In the first two films, the gangster is threatening and dangerous, but avoidable. In The Wolf of Wall Street, he's calling to hustle you at home and you don't even know it. Some people view The Wolf of Wall Street as a glorification of Jordan Belfort's lifestyle and want to be like him, as Scorsese portrays this life by its nature, enticing. That's the way it works, and it's impossible to portray it accurately without showing how a charismatic man like Belfort can suck an unsuspecting person into a world of money and fame. The film though, shows us just how empty and destructive that life can be.<br/><br/>There is an undeniable similarity between the instantaneous joy, energy and euphoria that we have while watching The Wolf of Wall Street and how Jordan Belfort lives his life, this is a movie where the director skillfully mixes form and content to create an experience which is as hyper and as instantly ecstatic as the life of its flashy and opportunistic characters.<br/><br/>The direction by Martin Scorsese which still has infectious energy and power is impeccable, there is no other director who has mastered pacing like he has. This is a three-hour movie that moves lightning fast and always manages to keep the audience invested in the story throughout the whole duration. Each scene is packed with so much visual information, and it is fast paced and quickly edited, which complements the general tone of the film. The cinematography by Rodrigo Prieto is gorgeous as well and displays an optimal color palette throughout the whole film. Each shot also looks precise, even during some of the more chaotic scenes.<br/><br/>The script is fantastic, filled with many great and memorable lines of dialogue. Every character has a well-defined arc and motives, and the story is given proper breathing room to blossom. The performances are also exquisite, especially Leonardo DiCaprio who gives one of the best performances of his career and portrays the opportunistic nature of Jordan Belfort's character with great commitment as you can see a lustful, hedonistic and impulsive sex & drug-addict man who only wants to have more fun. Supporting him with equal passion is Jonah Hill as Donnie Azoff, Belfort's sidekick, and even he manages to make a mark of his own. Margot Robbie plays Naomi, Belfort's second wife and she does an alluring job in her given role. Matthew McConaughey is in for a very short duration as Mark Hanna, Belfort's mentor, but even in that little time, he is the show-stealer and he dominates the screen unlike anyone else.<br/><br/>Martin Scorsese and Terence Winter set out to create a film about the Wall Street excess, and by definition, it contains an excessive amount of everything, such as cursing, sex, nudity, drugs, alcohol and partying. But the film is not really about those things. The story of The Wolf of Wall Street boils down to money, that ""most-addictive drug"" Belfort speaks of, and not just what it can buy, but what it can do to people. Not just how it changes one's lifestyle but the effects it has on one's morals, beliefs, and values, and how it can effectively change not just how a person thinks and feels but how they operate at their core.<br/><br/>With a collection of truly incredible films, The Wolf of Wall Street stands out as one of Scorsese's best films, my personal favorite and by far his most humorous film to date. He truly went all out and it paid off in a hilarious satire on the reverence of money, drugs, women, and the admiration of a criminal money-maker. The Wolf of Wall Street is maddening cinema that's already high on coke but still continues to snort more white powder every 5 minutes for 3 hours. This is a fascinating vignette of excess, greed, abuse and decay and it's one of the best movies of the decade and surely one of the most entertaining movies ever made."
"bob the moo","Null","181","263","17 January 2014"," High energy and wonderfully excessive as it delivers an engaging true story, but the lack of morality anywhere was a limiting factor
","This film arrived in the UK with awards and Oscar nominations all around it, adding an expectation which it really didn't need adding since even without any of that it is ultimately a Scorsese film with a big name cast. It also arrives with some other stuff because the film has been criticized for near glamorization of the excesses that Belfort was able to experience with his ill-gotten funds and, to be honest, it is an impression that isn't helped when you consider that this film was put forward to the Golden Globes in the Musical/Comedy section. Now I am sure that was a political move by the studio, but it does say something about the film because indeed for most of it we have stuff so unbelievable and so excessive that it is hard not to laugh at it. It is hard not to enjoy it.<br/><br/>And this is a problem, because the first 2 hours and a bit of this film is really engaging and enchanting in how much of a rush it gives you, how enticing it is and just how much vibrant energy it all has. The viewer is swept along and I guess to a point this is the film doing its job well because not only are we being told a story but we are first hand seeing how easy it is to get caught up in the grab for success, for money, for status. In this regard the film works really well because throughout the film I really was glad to be part of it and wanted it for myself; I don't think the film goes out of its way to glamorize this excess and this life, but for sure it doesn't do much to balance it – and this really is my problem with the film.<br/><br/>The structure, subjects and delivery of this film is so inherently similar to Goodfellas that it is hard not to mention it. If you remember the opening of Goodfellas you'll remember that it opens with a memorably violent scene where an near-dead man in the back of a car is stabbed by Hill and his colleagues in a scene that is oppressive and violent but yet ends with the narration telling us ""as far back as I can remember I wanted to be a gangster"" and snaps to credits under a big track from Tony Bennett. This scene is important because it works as a microcosm of the whole film – the appeal but also the cost, all in one place. Wolf of Wall Street never has any of that and it hurts it. I suspect the message of the film is that our financial systems are screwed and that ultimately the rich will never be in the same world as the average person, because this is what I took from the rather sobering final scenes. However if this is the point it is trying to make then it really hurts itself with the rest of the film seeming to say ""so why not get on board"". I know this is not the case but the lack of a ""point"" or an agenda it the film means that it naturally fills it with its own, which is a weird feeling.<br/><br/>But then again – I guess it is a comedy. So the infamous Quaalude scene is not horrific but rather hilarious, the scenes of excess and of criminality are not equally appealing and repulsive – they are almost totally appealing, we hardly get the other side or get to see a victim here, and a few seconds on the subway with the FBI agent really does nothing but yet again make the suggestion that ""it's all broken so why not at least get rich yourself"". Getting away from this, it is a well made film. Scorsese makes this award season's second film to owe a massive debt to Goodfellas (American Hustle being the other) and he directs the film with energy; music is used well as one would expect and the editing makes the film pop. DiCaprio is great in the lead – OK he doesn't find the heart of the character, but the film doesn't ask him to. Instead he is charismatic and energetic, drawing the viewer in and giving the film its energy. The supporting cast is deep with names and familiar faces and it is a statement about how well the film holds the viewer, because it isn't distracting no matter how many famous faces or supporting character from TV appear (although I did notice that this and American Hustle had lots of faces from HBO's Boardwalk Empire). Jonah Hill is over the top in a way that works, although I am surprised to see him getting an Oscar nomination for it in such a crowded year.<br/><br/>Wolf of Wall Street has had a lot of praise and this will continue as the Oscars approach and are awarded. Personally I enjoyed the film as a funny true story delivered with energy and excess but in many ways it is not Goodfellas and the most important of these is that the film lacks a moral core to itself, to its characters and to its message. I don't mind the ""it's all screwed so who cares"" message that it ultimately seems to give, but I didn't feel comfortable with how wide a smile it had on its face while it was delivering it."
"Serge_Zehnder","Null","190","301","17 December 2013"," Where Human Flaws Make a Rotten Core
","Brilliantly acted, superbly written and as one would expect from a picture by Martin Scorsese, it is a masterclass of directorial craft.<br/><br/>Showy when it needs to be, but also quiet and contemplative. ""The Wolf of Wall Street"" is the equivalent of something like ""Good Fellas"" or even more so ""Casino"" but set in the world of finance. The suits might be more expensive but the people who wear them are just as sick and violent as their street-mob counterparts. Sardonic in humor and unflinching in showing the depravity of its characters, it marks somewhat of a different approach to the world of stock-trading than Oliver Stone's ""Wall Street"".<br/><br/>Where Stone seems more in line with Bertold Brecht who considered theater (or in this case film) a moral institution, does Scorsese take the position of the omnipresent observer of the dark side of the American and in many cases the human dream.<br/><br/>Leonard DiCaprio gives another stellar performance of great intensity and even greater tragedy while this tale of corruption, greed and self-righteousness unfolds.<br/><br/>It's a vast panorama that shows how during the last twenty-five to thirty years gullibility as well as our innate greed make all of us accomplices in this never-ending pyramid scheme far away from any reality.<br/><br/>One could almost hear Scorsese's clerical background come to the fore again, according to which nobody is without sin, and therefore we are all susceptible to corruption.<br/><br/>It is our decision on which side we choose to live that makes the difference. For every individual but also society as a whole."
"ClaytonDavis","9","504","845","17 December 2013"," The Wolf of Wall Street is Leonardo DiCaprio's Crowning Work
","Martin Scorsese has done it again. His newest and most refreshing effort he's contributed to the world of cinema in years, The Wolf of Wall Street is a roaring thrill ride that is both absolutely hilarious and meticulously constructed. It also presents Academy Award nominee Leonardo DiCaprio in possibly his finest acting performance of his career. At one-minute shy of three hours, I was both engaged and hypnotized nearly the entire duration. A comedic epic that studies the behavior and cultures of a time in America, feels like the uncovering of a time capsule that was buried and dug up to give insight into our current financial crisis. Much more than just laughs, it turns on the dramatic elements early enough in the film to warrant considerable reactions about the choices of our key characters. Expertly paced with intelligent moral questions presented, The Wolf of Wall Street is one of the best films of the year.<br/><br/>Telling the story of Jordan Belfort, a young Wall Street broker that gets involved in drugs, money, and even more drugs during the 80's and 90's. In his tenure trading (and stealing), Jordan marries, divorces, does drugs, marries again, does even more drugs, makes solid friendships, and believe it or not, does a lot more drugs. Watching the destruction of Jordan acted as a documentarian's insight that felt like I was watching ""Intervention"" without the family that cares. The Wolf of Wall Street is a black comedy, giving hints of drama. Natural comparisons will fly to Oliver Stone's Wall Street which is accurate but you can see subtle hints of films like Trading Places, Glengarry Glen Ross, and even American Psycho. That's a testament to Scorsese's outstanding direction and Terence Winter's masterful screenplay. Scorsese keeps Wolf life-size, sprinkled with characters that are both geniuses and morons, but functioning morons. They're like the frat pack group that sat in a corner on my college campus, being loud and obnoxious, and made terrible life choices that they still aren't aware of until this day. Scorsese puts together an all-star cast to inhabit these beings that includes DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Jon Bernathal, and Kyle Chandler. All of which seem to be having the time of their lives.<br/><br/>A lot of the credit of the film's overall success has to be awarded to Leonardo DiCaprio. I've never seen him truly ""go for it"" in a way that he exhibits as Jordan Belfort. In his breaking of the fourth wall, to his long but completely engaging monologues about life, money, and greed, it's the most assured and compelling work by the actor to date. When DiCaprio unleashed his talents in the mid-90's in What's Eating Gilbert Grape? and later stole the hearts of tween girls everywhere in Titanic, who knew this is the role he'd been gearing up to play. This is the role of his career and something that the Academy Awards should look to for his long overdue recognition. It's a charming and adventurous turn that presents a conundrum to the audience as we find ourselves both enamored and loathing the pure essence of Jordan. A sequence of DiCaprio crawling on the floor will probably be the scene of the year. This is DiCaprio's crowning achievement.<br/><br/>As the magnetic and cheesy-minded right-hand man, Jonah Hill's performance as Donnie Azoff is another great turn for the 30-year-old actor. He's allowed to explore some of his comedic ticks and beats that he may not have ever had the opportunity to explore in films like Superbad or 21 Jump Street. In Wolf, he relies on his own instincts, and his chemistry with DiCaprio, which has helped him before for his Oscar-nominated work in Moneyball opposite Brad Pitt. Matthew McConaughey, is one scene shy of winning the Oscar for Best Supporting Actor. While his work in Dallas Buyers Club will bring him the acclaim and recognition that he deserves, The Wolf of Wall Street is a prime example of what he should be doing when he's not working or seeking out the strong, independent features that are geared for awards recognition. Stealing every frame and focus from DiCaprio in his ten minute screen time, McConaughey utilizes all his charm and spunk as Mark Hanna, the mentor to young Jordan as he started out.<br/><br/>Like any great Scorsese film, the women are in full-force and given the opportunity to shine like the others. Cristin Millotti, a toned down and tragic version of Marisa Tomei in My Cousin Vinny, is sensational in her brief appearances on screen. Beautiful and sympathetic, she offers much needed serious and dramatic elements to Jordan's outrageous antics. In the end, a star is born in the gorgeous and vivacious Margot Robbie as Naomi Lapaglia, Jordan's second wife. Whoever was going to be cast as Naomi, had to be an actress of considerable talent and had the ability to really be the sexy kitten but still warrant an emotional reaction from the audience when called upon. Margot Robbie was the perfect choice and she'll need to owe Scorsese royalties for years to come with the roles she'll be offered following this. Robbie is pure magic and is everything she's required to be. She's the more elusive, compelling, and more thought out version of Scarlett Johansson's character in Don Jon.<br/><br/>I loved every second of The Wolf of Wall Street. Terence Winter's script is a natural and well-oiled machine that produces the words of a demigod. You couldn't make these things up. Thelma Schoonmaker is the utmost professional and continues to shine film after film. You won't find another dedicated and glossed editing work this year. The other supporting actors do sensational work especially Kyle Chandler, who has a very well-constructed exchange on a boat with DiCaprio, has us asking more and more, why is this guy not helming his own films on a consistent basis yet?"
"Al_The_Strange","9","204","337","29 December 2013"," Wolf of Wall Street review
","If you've seen The Goodfellas or Casino, then you'll know the story of The Wolf of Wall Street. This is another tale of a criminal whose ambitions sweep him away into a debauched world of dirty money, out-of-control substance abuse, endless lies, a troubled family life, and a downward spiral of corruption that inevitably leads to his own undoing. Only thing is, this is less about the gangsters and mafia, and more about white-collar crime. The guys wear suits, work in proper offices, and everything they do is just business; funnily enough, this whole movie still plays out like a kind of gangster film.<br/><br/>Based on the memoirs of Jordan Belfort - the real-life stock broker who made millions by selling shoddy stocks to average joes - the film showcases one seriously messed-up slimeball of a man. If his scheme sounds familiar, it's because it's been the inspiration behind the 2000 film Boiler Room, and this film covers much of the same concepts, albeit with better structure. The film maintains a close and intimate focus on the man as he rises to power, suckers thousands into his schemes, and then lives a life of extreme excess. And it is extreme: the whole film becomes laden with drugs, sex, superficial luxuries, material things, and characters who want nothing more than to take and consume everything. The sheer corruption becomes palpable on-screen, and I couldn't help but to shake my head at numerous scenes when I saw just how far these wolfish characters have gone in their unrestrained partying and debauchery. I have no clue as to how closely this film adapts the real-life events, but at times it's almost hard to believe that things could have gone this far. And yet, the excesses serve to underscore key themes and criticisms on the American dream; the pursuit of money and success, through any means, remains the main drive of the characters and the movie, and it leads to a fairly hard-hitting downfall.<br/><br/>This film features good-looking photography and editing. Acting is great: Leonardo DiCaprio is practically perfect as the titular character, and the rest of the cast pulls their weight really well (including Jonah Hill, who seems to fit into his character's archetype very comfortably). Writing is really sharp and good; the film is full of great lines and great speeches. There are some great-looking sets, props, and costumes on display in this film. Music has a varied mix of songs, and they're all used really well for their intended effect.<br/><br/>The Wolf of Wall Street is every bit as good as Martin Scorsese's previous work with The Goodfellas and Casino. All these films work with similar plots and themes, but TWOWS is like a gangster film masked by the thin veil of upper-class corporate swindling. It is a film that candidly shows the crimes and excesses in full, before proving that, even for the super-rich, crime still doesn't pay.<br/><br/>Recommended! 4.5/5 (Entertainment: Good | Story: Very Good | Film: Perfect)"
"TheConnoisseurReviews","9","269","463","25 December 2013"," The funniest movie of 2013
","""The Wolf of Wall Street"" is infectiously entertaining. It is probably the funniest movie I have seen all year with witty dialogue, over the top characters, and filled with energy that bleeds off the screen. Between all the fun however,  there is also a story about addiction and how it can cause a downward spiral in your life whether it be drugs, money, or power.<br/><br/>Acclaimed director Martin Scorsese does a wonderful job keeping this movie at a high at all times. Never once does this movie lose it's energy or sense of humor much like the drug induced characters. There are a lot of quick cuts and edits to keep the movie feeling as If you are on drugs as well as playing high energy music in some of the more serious situations.<br/><br/>The cast brings their ""A"" game. The stand out is obviously Leonardo DiCaprio, who pretty much owns and excels any scene he is in. This film really showcases his diverse range.<br/><br/>Overall ""The Wolf of Wall Street"" is a full on adrenaline ride that never loses momentum. It's directed with a lot of flair and energy and has an incredibly well written script that gives it depth and a ton of laughs. The cast is fantastic and DiCaprio gives his best and most fun filled performance to date. I really enjoyed this movie and think it's the funniest movie of the year 4.5/5"
"andrewcappelletti","Null","435","780","30 November 2013"," Scorsese's best pic since Goodfellas
","The last few Scorsese pics left me a little disappointed. I had begun to think Marty had become a 'gun for hire' and that his brilliance may have been spent (his earlier works were some of the best movies ever made). I attended a screening of The Wolf of Wall Street this evening, and was expecting to be unimpressed. I am happy to say I was completely blown away. This pic is Marty at his best. I laughed, I cringed, I related (with fond memories as well as a bit of guilt) and I TOTALLY believed every unbelievable moment. A good book, a great screenplay and a delightful cast were formed and molded into what I believe should get Scorsese a best director Oscar, and likely a Best Picture Award for the movie. Leo DiCaprio has grown into a versatile actor and his creation of this super hero dirtbag's roller coaster ride in this crazy (true) story is really honest and delightfully entertaining. Jonah Hill pulled out all the stops too and this is definitely his best work. Thank you Mr. Scorsese for delivering the goods so brilliantly!"
"Koodle0101","5","372","683","26 December 2013"," Good or Bad depending on what you want...
","This movie is NOT rated ""R"" but rather ""NC-17"" if not ""X"" rated. I got tired and almost fell asleep a some parts. About half of the movie is nothing more then them drinking, partying, and doing drugs. Literally. Also a bunch of pornography. It's like a college gone crazy for half of the movie (you see like 40+ boobies, a bunch of sex scenes, and a few shorts glimpse of a penis AND vagina)I got so excessive everyone I went with debated on leaving...<br/><br/>The humor is not bad and there is a decent amount of it throughout the movie. (7/10) The acting, mainly Leonardo, was fantastic! (9.5/10) The story is a bit shallow. Basically a bunch of people lying, cheating, stealing, and running/escaping on Wall Street and making a lot of ""dirty"" illegal money. Then talking talk and talking bad about other people who are honest but make less. The movie portrays a picture that money is the most important thing and it is what brings you happiness very well. (2/10) Near the end it shows that being controlled by money is very bad, but it wasn't portrayed as well as it did trying to argue for money bringing happiness. It shows a bunch of ""rich"" folks who have nothing but money thinking they're above everyone else. No health, no relationships, no integrity, no manners, no respect, no honesty, no time, nothing but money and the animalistic drive to get more and destroy everything in the way.<br/><br/>As a movie it makes the world a depressing place. Overall the main thing I like about the movie is Leonardo Dicaprio. Props to him for continuing to be an awesome actor. The movie content itself was subpar."
