"username","rating","helpful","total","date","title","review"
"juliankennedy23","9","283","420","16 March 2018"," I watched Ana de Armas glitter in the dark near the TannhÃ¤user Gate
","Blade Runner 2049 is a continuation of 1982's Blade Runner a seemingly impossible task. Against all odds and logic, the movie pulls it off.<br/><br/>The Good: The greatest thing about the sequel is simply the story. Without delving into spoiler territory Blade Runner 2049 concludes with an ending that works with an internal logical sense and yet still surprises. There are so many good decisions throughout this production one could hardly list them all. <br/><br/>The idea of keeping the cold war and old Iconic brands from the first movie works brilliantly and the overall look and feel of this movie are timeless. Blade Runner 2049 does not try to pigeonhole its narrative into the concerns of today. It does not wink at the fears of today's audience. It is its own self-contained universe telling a story that will work fifty years from now and would have worked just as strongly fifty years ago.<br/><br/>The acting is strong across the board with Harrison Ford appearing as if he actually wants to be in the film (and looking fit to boot). Also, Ana de Armas needs to be in every movie moving forward. A truly star-making turn.<br/><br/>
The Bad: A combination of a long running time, a leisurely pace and a soundtrack from a health spa can put one in a catatonic state if one is not careful. I confess a strong ending brought me back into the film It was losing me for a while there.<br/><br/>In Conclusion: This movie sticks to the ribs after viewing. It seemed even better in retrospect than during the actual viewing (see leisurely pace above). Blade Runner 2049 pulls off effortlessly decisions that could seem disastrous in other films (Jared Leto). In many ways, it is better than the first film and better than it had any right to be. A triumph."
"kjproulx","10","975","1685","6 October 2017"," Blade Runner 2049 - Movie Review: A New-Age Sci-Fi Classic
","For film fanatics like myself, Blade Runner 2049 is a great film for people to see, regardless if they've witnessed the original or not. On the other hand, if you've never seen the original Blade Runner and are just a casual moviegoer that have thought of the promotion for this film as being an action-packed thrill ride, then I'd have to warn to stay far away from this near three hour motion picture. It's very hard to review this film without getting into specific plot details, but that's exactly what makes this film worth the price of admission alone. For nearly every reason a film fan should be excited about a movie, here is why Blade Runner 2049 is a must see as soon as possible. <br/><br/>Before dropping you into this world with Ryan Gosling's character, there is text at the beginning that will fill you in on the history of the events in the past, but even though that information is given to you, your experience just won't be the same without having viewed the first film multiple times and remembering the emotional core of it. Set out on a mission to find something of meaning to the overall story, Ryan Gosling's character (who will remain nameless for the sake of this review) uncovers mysteries and secrets from the past, inevitably involving Rick Deckard. Quite honestly, that's the plot in a nutshell and the specifics of the film will lead to ruining your experience, so let's get technical. <br/><br/>If not for anything else, Blade Runner 2049 benefits from some of the best cinematography I've laid my eyes on in years. From the addition of the seamlessly blended visual effects, to the mind- blowing scenery constructed by the entire art department, I have nothing but praise for this film. Whether or not you find yourself enjoying your experience, the visuals alone should have you applauding, due to their incredibly detailed nature. I personally found the overall film to be magnificent, but when certain scenes were dialogue-free and asking you to gasp at the imagery, that's exactly what I was doing, as I feel many audiences members will. <br/><br/>Again, without giving anything away, once Rick Deckard (Harrison Ford) enters the picture, the way both films sort of interconnect was brilliant in my opinion. It does justice to any loose ends that fans may have wanted in the past, as well as create a new story to gawk at in the process. With a terrifically restrained performance by Ryan Gosling, you'll find yourself sucked into this world as a fly on the wall, as he uncovers these mysteries. With the addition of Harrison Ford giving one of his most sincere and memorable performances, as well as Ana de Armas in a role that really took me by surprise, this film was casted to the nines from beginning to end. Some may complain about Jared Leto and Dave Bautista not being included as much, but I felt as though the served the story quite nicely. <br/><br/>In the end, this movie aims to impress Sci-Fi fans across the world, but I feel as though the people who will be looking back on this as a possible classic or at least one of the best sequels ever made, are those who've had the pleasure of indulging in the greatness that is 1982's Blade Runner. I don't say this about films very often, especially when talking about sequels, but I haven't been this immersed in a theatrical experience in quite some time. This is definitely a superior film than the original, it's one of the best films of 2017, and I'll be revisiting it very soon. Blade Runner 2049 is getting a lot of praise and awards consideration from critics and filmgoers across the world, and every bit of it is deserved. Aside from being very long, this is pretty much a perfect film if you don't try to nitpick how it connects and certain questions that aren't blatantly answered. If you know what type of film you're in for, or you've at least seen the original and enjoyed it, I can't recommend this movie enough."
"ynb-37114","Null","93","148","24 October 2017"," Pros And Cons
","Pros: <br/><br/>Beautiful to look at <br/><br/>Beautiful women <br/><br/>Cool technology <br/><br/>Cons: <br/><br/>Slow<br/><br/>Nothing is resolved <br/><br/>Boring script, dialogue and lines Typical sequel (a shadow of its prequel) <br/><br/>They really should become more judicious in picking which movies need a sequel and if they do that 90% of sequels will never come to be and the focus will shift towards developing new ideas."
"wgk-07214","Null","370","638","22 December 2018"," I am not convinced
","Mainly because I fell asleep. Why is this film so boring? I mean aside from a menage a trois scene where the girlfriends are actually worth looking at everything else not only transpired so slowly it made little sense as well.<br/><br/>Why anything on screen is happening boggles the mind. Ask yourself why any of the narrative is of consequence and there is a blank page as an answer. That is saying much in a film that tries to be profound."
"tfo-08454","Null","331","570","17 December 2018"," Uncalled for 'sequel'
","Not only it went against the prequel's story, but also it left the door open for another film. Nothing happens in this after all. All they did is take our money, put us to sleep very likely and tell us to come back and give them more money for the inevitable sequel/franchise/universe/vomit.<br/><br/>Here are things hinted at but not resolved: dystopia, army, child birth, successor, corporate corruption and of course lovers' relationship.<br/><br/>Don't give it your money. Three stars for the girlfriend's eyes, hair, thighs and home cooking."
"zznwaejv","3","72","115","22 December 2019"," Turn Off The Lights, Put This Movie On and begin to....
","Catch up on your sleep as it will be a good three hour nap that will refresh you.
Should you have children they will fall asleep too. This Blue Ray is better than any babysitter you can hire.<br/><br/>
I knew it is a sequel and would suck."
"yhb-94379","Null","393","689","18 December 2018"," No Tension, No Suspense, No Reason And No Script
","Just slo-mo 'acting' and movements with insider jokes to pretend they are clever.
Could someone point out why this Blade Runner and this blade runner exist? No? Didn't think so.
PS: compare the music with this accounting ledger balance sheet line item with Vangelis' original.
2 stars for the poor and cute dog.<br/><br/>Over and out."
"treycekensei","3","74","119","26 August 2019"," They Are Wrong If The Director And Producer Thought The Cute Girls And Threesome Will Distract us..
",".. to come to think this is a good movie.<br/><br/>The pretty women and fantasy are welcome and certainly a pleasant rarity in these anti-human body times, but this sequel (yup the problem right there) is boring and should not exist.<br/><br/>It is forced, too long and the contrast to its prequel damning."
"oyw-33456","3","640","1141","22 October 2017"," Joe Walker was either asleep, fired or sent to the corner by Ridley, Denis or the studio honchos
","Let me describe the sequence of Blade Runner 2049 for you<br/><br/>Here goes:<br/><br/>Enter the cinema with an overpriced orange juice that is mandatory because in the last couple of years Hollywood has decided it is artsy and de rigueur to make films longer than 2 hours. The lights dim and commercials kick in for 10 minutes. A game for pre-teens wasting daddy's money on mobile phones and plans kicks in. 2 minutes of endorsements for GM trucks (with some guy whose tone is so macho I roll my eyes) follows. Then there is a reminder to get the right debit card to be hip and in. Then the film follows for a whopping 3 hours almost. <br/><br/>You would think that there was a lot happening and we were kept excited. Alas, the only thing that kept me awake was the very periodical appearance of a beautiful eye candy whether real, hologram or laser show version that would keep things exciting.<br/><br/>If it were not for the sexy and lovable women Blade Runner 2049 was inane. Yes, inane. Apparently, not every film needs a sequel, a lesson Hollywood didn't learn from Hangover.<br/><br/>The script was so corny and the words so elementary one would be excused for thinking this is a practical joke. Head of police, yes head of police is told a big lie by a contractor, head of police believes it and all is good. No double checking, no verifying, no details asked no proof required. it is a matter of life and death for the order of the world and, of OK, let's keep rolling guys. The ending was also a joke. A vehicle is drowning and the hero is being drowned but in the last second kills the bad gal and swims back to the vehicle to mount a rescue (for the sequels that will follow). Replicants can have and make babies, but how? Oh well, watch the prequel Blade Runner Rogue Uno, which is coming out in 2020.<br/><br/>At that point all I wanted in life was to buy my own Joi and Luv and go back home."
"pwb-37645","Null","450","798","18 April 2018"," Bo Bo Bo Bo Borrrring
","My goodness how can you expect an audience to sit through three hours of mind numbing slow-mo contradictory conversations that make no sense and expect people to pay for the privilege.<br/><br/>I guess, we should have known better since it is a sequel.<br/><br/>All that rescued this film was several hard body, super thin, flaunting babes. Yup, those ashamed of the human body, nature and heterosexuality should stay away too. Otherwise, without the chicks the film would be a complete bust."
