"username","rating","helpful","total","date","title","review"
"gene-mcdaniel","10","312","337","28 November 2005"," My experience of living the movie, its so true to life
","This movie is so real..at least to this person, who lived these things that happened in the movie. I will tell a short version of my personal life to let you know how it affected me from my own experience of growing up in the Thirties<br/><br/>I think their must have been more then one car because ours was full of stuff in the back seat, clear up almost to the roof. Frankie, Bill and me (my brothers) all was on top of the stuff in the back seat, had to stay lying down was not enough room to set up. What I remember most about the trip was it was awful hot when we went through Arizona and we had not much water, the water we had was in a canvas bag, hooked to the front bumper to help keep it cool. We did not get much because dad was saving it for the car when the car got to hot. Mom told us to suck on pebbles, and we did. It was a bad time every where. No jobs or anyway to make any money. <br/><br/>We were going to California because their was suppose to be some picking work their, after we got to California we saw miles of potatoes all loose piled up high my guess would be about six feet high, they had put lime or something that looked like lime it was a white powder to keep people from taking them to eat.<br/><br/>We found a place to pick plums that they used to make prunes and we lived in a Quonset hut made of corrugated metal setting on a concrete slab. The public toilets were near were we stayed, Joe and his wife (Family friends)had their own Hutthis was the time that dad & Joe would sell tickets for people to watch them box each other in a ring at the recreation hall on the property. Also they joined a baseball team and played baseball, dad played left field. We got to watch them play for free.<br/><br/>Seems like Frankie and I played together a lot don't think Bill did because he was still a baby his self, Doris and Dorothy (my sisters) was still crawling so Bill could not have been very old at that time. Frank & I would go pick up plums off the ground and we would bring them home, Doris and Dorothy would set in the box and eat them. You can guess what they would look like when mom and dad got home, their was no air condition back then so they would take a hose and squirt water on the tin Quonset hut to try and cool it off some, I know when we went west we looked like those grapes of wrath folks in the movie.<br/><br/>That area was the first time I ever saw a frog walk, it was to hot for them to hop, when they tried to hop their bellies would touch the ground ( gravel) and would burn them, any way that's what we thought at that time. I saw the movie of Grapes of wrath a long time ago, and I remember it so well, I cried most of the time it was on because it reminded me of the hard time we all had back then, I was born in Oklahoma and it was just a terrible time in the late thirties I would love to see the movie again, its to me a history of my family, I am 71 1/2 years old now and still remember it very clearly.<br/><br/>Gene McDaniel"
"Anonymous_Maxine","10","133","151","13 February 2001"," John Ford's stark portrayal of a poor family in the depression remains one of the most moving films in history.
","The Grapes of Wrath is the story of the Joad family, who are run off of their land in Oklahoma because of drought and poverty. I think that one of the most striking elements of this movie is the black and white cinematography. Obviously, there wasn't a lot of variation on this particular subject in 1940, but especially today, the lack of color enhances the feelings of poverty and desperation and emptiness due to the family's loss of their home. In this way, because it would not be nearly as noticeable in 1940 as it is today, this time-enhanced effect of the black and white film stock has allowed for the film's impact to actually grow with time. <br/><br/>Henry Fonda plays the part of Tom Joad, a young member of the family who is released from prison at the beginning of the film, only to find that his family has been driven from their home and is staying at his uncle's house until they can figure out what to do about their sudden homelessness. It is by pure coincidence that Tom was released early on good behavior, otherwise he may very well never have seen his family again. He finds them in a state of near desperation, as they begin more and more to realize the predicament that they are in. Their trek across half of the country, on their way to California to assume jobs that they've heard about, provides for a substantial portion of the plot and is extremely well-structured.<br/><br/>
The family encounters every hardship imaginable on this journey, from family members dying to their struggle to feed themselves to their rickety old truck constantly breaking down. They run into disillusioned people who claim that they've been to California and there are really no jobs there, at least not nearly as many as there are people going to look for them. They are periodically and derogatorily referred to as `Okies,' a term which places them in a broad category of poor folks driven from there homes in middle America who are traveling to the coast to get jobs that aren't there. There is so much doubt and hardship presented that it is never really certain whether they really will find jobs. The audience is never able to assume a happy ending, because there is so much contrary foreshadowing throughout the film. <br/><br/>The struggles do not abate once the family reaches California and takes up shaky residence in residential areas that would be more accurately referred to as shanty towns, and the rest of the film is dominated by the family's efforts to survive in a new and unfamiliar place, while working for wages that are barely sufficient to prevent starvation. Ma Joad spends the majority of the film stressing the importance of keeping the family together, seeing it as the only thing that they really had left, but this is eventually set aside in favor of each member of the family not only surviving but also flourishing, which provides for one of the many powerful messages that the film delivers. <br/><br/>The Grapes of Wrath is not exactly an edge of your seat film, but it is a shockingly realistic portrayal of the suffering that so many people and families experienced during the Great Depression. The performances are flawless, and the experience is not only powerful and moving but also educational. It's no secret that most people do not watch movies to learn, but there comes a point, at least once in a great while, when a person should watch a film that requires a little mental thought processing, and in such cases, The Grapes of Wrath is an excellent choice."
"bkoganbing","10","76","89","1 October 2006"," Economic Dislocation
","John Ford's film of John Steinbeck's novel has deservedly a classic film mirroring the views of both men and the times the book was written and filmed. Ford won his second Oscar for Best Director and Jane Darwell was the Best Supporting Actress of 1940.<br/><br/>For most of America the Depression started with the stock market crash of 1929. But for the farmers it really began at the end of World War I. Those were good years for agriculture, the war in Europe was a boom for agriculture. But when farm prices dropped after the Armistice, a whole lot of family farms went belly up. Lots of people left the farms for the big city and industry jobs. The Depression years unhappily coincided with some of the worst drought ever seen in America.<br/><br/>This is what many families like the Joads were facing in 1939 when the book was written. The banks had foreclosed on land that had withered to dust in any event. Folks like the Joads picked up and moved elsewhere, like California on a rumor of prosperity and jobs. <br/><br/>America was still changing from an agricultural to an industrial society back then. That causes a lot of trouble for people unskilled in any industrial job training. As a country we're going through something similar today in many areas. We're moving from an industrial to an information based economy. Industry jobs are being lost to other nations and older and poorer workers are suffering for it. It's progress I guess, but it takes its toll.<br/><br/>Some factory worker who has lost his job for any number of reasons can identify to some degree with the Joads, especially if they've lost a home they owned. For the Joads it was worse because they made their living off the land for many generations, identifying with it in a way that industrial workers could not.<br/><br/>Henry Fonda got his first Oscar nomination for Tom Joad. To get the part which he knew he was so right for, he signed a studio contract with 20th Century Fox. That caused him many problems later on, but those are stories for another film review. <br/><br/>Tom Joad is a midwest country kid, a whole lot like Fonda himself. Part of the story of The Grapes of Wrath is Tom himself trying to figure out why these economic forces are crushing him and his family and the way of life he's known. In the end when he leaves the Joad family and hits the open road, he's not got all the answers, but he's asking the questions. Tom hasn't figured it out, but a lot of people with many letters after their names haven't either. He only knows that he's got to get in the fight for economic justice.<br/><br/>Jane Darwell was in films from the earliest silent films to Mary Poppins in 1965. This became her career part and the mother role of all time. She's what holds the Joad family together in good times and bad. That's what moms do and get little recognition for it. Except in this case by the Motion Picture Academy.<br/><br/>John Carradine has his career part in this also. Another John Ford favorite, Carradine plays Casy the defrocked preacher who as he tells it disgraced himself with a female parishioner. After that preaching the gospel didn't seem quite right. When Fonda meets Carradine after Fonda's been released from prison, Carradine is asking a lot of questions about what is man's place in the metaphysical scheme of things. He's developing what we would now call situational ethics. Carradine's questions are on a higher plane, but he certainly inspires Fonda to ask for some answers himself.<br/><br/>The Grapes of Wrath illustrates that at least government can give first aid in a crisis. After being in privately run agricultural camps where they're treated like less than dirt, the Joads happen upon a camp run by the Department of Agriculture where at least they're treated like humans. As it turns out, the Secretary of Agriculture was one Henry A. Wallace who was running for Vice President that year with Franklin D. Roosevelt. I'll bet any number of people saw The Grapes of Wrath and saw a message of support for FDR and the New Deal.<br/><br/>Given some of the problems of the American economy today, The Grapes of Wrath though it appears dated isn't really all that much a relic of our past. It's both a timeless book and a timeless classic film."
"evanston_dad","9","63","74","10 February 2006"," Not the Book, But Beautiful in Its Own Right
","It's difficult on a first viewing of ""The Grapes of Wrath"" not to be somewhat disappointed with it. So much of Steinbeck's beautiful novel is left out of the film, and it's hard to see his story and characters wedged into the ""gee whizz"" style of film-making so prevalent at the time. But once you get beyond a comparison of the movie to the book, you begin to realize that John Ford created a beautiful piece of work of his own, and the film inspires a great deal of admiration, and deserves credit for its gutsiness at tackling a story that wouldn't have gone down smoothly with film executives at the time.<br/><br/>Of course the most controversial parts of the book are left out (like its final image, for example), but Ford still managed to work around the constraints forced upon him to fashion a hard-biting film. Henry Fonda is perfect casting for Tom Joad--never have his otherworldly eyes been used to greater effect. And Jane Darwell is pitch-perfect as Ma Joad--she captures the tough-as-nails dignity that the character has in the novel. The whole movie is lit by expert cinematographer Gregg Toland, who uses shadow and reflection to cast a ghostly pall over everything. Indeed, much of what Ford wasn't able to include in the film as words he communicates instead through images, and isn't that what a good book-to-film adaptation should do? One of those films that feels ahead of its time.<br/><br/>Grade: A"
"29055","10","89","107","5 January 1999"," A marvellous production of Steinbeck's epic.
","Henry Fonda's portrayal of Tom Joad captures perfectly the humanity and compassion of the Steinbeck character, an ex-con who breaks his parole conditions by joining his family in their epic journey across the southern US to a ""better life"" in California.<br/><br/>This is not the usual Hollywood fare. Tragedy and betrayal beset the Joad family from the outset. But it is nonetheless an uplifting movie. Spirit, compassion and tenderness mark them out. Fonda's role is particularly understated, and we see, as in Steinbeck's masterly epic, the maternally robust figure of Ma holding the family together.<br/><br/>The performances all round are wonderful, and Ford's direction and sense of space under the big sky of the Midwest is breathtaking.<br/><br/>This film is now largely a testament to the time in which it was set, but like the war movies that were soon to follow, a story that needed telling lest we forget."
"jluis1984","10","28","33","4 May 2007"," A masterpiece...
","During most of the decade of the 30s, the United States lived under the shroud of the Great Depression, a decade of unemployment and high poverty that would changed the face of the country forever. While the entire country suffered the effects of the Depression, the inhabitants of the prairie lands had to face an extra difficulty: the Dust Bowl. The Dust Bowl was a terrible ecological disaster that destroyed many farms in the area of the Great Plains, and forced people to migrate looking for better working conditions. The difficulties and social problems that those migrants had to endure in this sad chapter of history became the inspiration for John Steinbeck's novel, ""The Grapes of Wrath"", a book that quickly became a classic due to its powerful depiction of the era. Soon after it's release, plans for a film adaptation began to be made, and the man who would bring the novel to the screen would be none other than John Ford.<br/><br/>In ""The Grapes of Wrath"", Henry Fonda plays Tom Joad, a young man recently paroled from prison who is traveling to his family home in Oklahoma. When he arrives, he discovers that the farm is deserted and the only person he can find is Jim Casy (John Carradine), the former preacher of his community. Together they decide to go to the house of Tom's uncle John (Frank Darien) looking for the Joads, and it's there where they find them packing their belongings as they get ready to move. The Joads explain Tom that the bank has foreclosed their farm, and that they are moving to California looking for work and a better life. While he is not supposed to leave the state by the conditions of his parole, Tom decides to join his family and convinces Jim to go with them in the long and arduous trip to California. However, things won't be as easy as they thought they would.<br/><br/>Adapted to the screen by Nunnally Johnson, ""The Grapes of Wrath"" takes on the spirit of John Steinbeck's novel and delivers a harsh, crude and very realistic portrayal of poverty during the Dust Bowl. Despite not being an exactly faithful adaptation of the novel (changes were done due to censorship), the movie remains true to that powerful and very human essence that the novel had, and it could be said that Johnson distilled the themes of the novel and made an unabashed story free of any political compromises. While this kind of stories often suffer literary embellishments, ""The Grapes of Wrath"" avoids stereotypes and shows humanity as it is, with all their vices and virtues. It is the excellent development of the main characters what gives that very human touch to the story, as it really shows a real understanding not only of Steinbeck's novel, but also of the real social situations that inspired the book.<br/><br/>In 1939, John Ford was in one of the best periods of his career, having directed ""Stagecoach"", ""Young Mr. Lincoln"" and ""Drums Along the Mohawk"" in less than 12 months. ""The Grapes of Wrath"" would also be shot the same year, being the culminating work of that extraordinary series of masterpieces. While Ford was better known for his legendary westerns and larger-than-life heroes, ""The Grapes of Wrath"" was in many levels a very personal movie for him, so he basically took Steinbeck's novel and completely made the story his own. Framed by Gregg Toland's wonderful cinematography, Ford brings to life the Joads' story in a way that mixes his own style with a focus so realistic that almost feels like a documentary. Without excessive sentimentalism, Ford tells in this movie a very human tale of survival, so universal that could easily be related to any group of people migrating due to poverty.<br/><br/>While Ford and Toland deserve a lot of the credit, the movie wouldn't be the same without the extraordinary performances of the cast. Leading the cast is Henry Fonda as Tom Joad, delivering one of his best works of acting in his portrayal of the young man. Considering his performance in Ford's ""Young Mr. Lincoln"", one could say that Fonda's career reached legendary status under Ford's direction. While Fonda's work is worthy of praise, two actors actually manage to overshadow him in this movie: Jane Darwell and John Carradine. As the idealist preacher Jim Casy, Carradine makes a terrific job in what's probably the story's most interesting character, completely embodying Casy's persona in an atypical role for him. Like Carradine, Jane Darwell makes a wonderful job (probably her finest) as Ma Joad, and without a doubt she truly deserved that Academy award she received for her performance.<br/><br/>As written above, the movie has several considerable differences with the novel (specially the second half), so fans expecting a complete translation of the book will be a bit disappointed. However, Johnson and Ford did a wonderful job in the adaptation than while considerably different beasts, both the movie and the novel carry the same spirit and the message that Steinbeck tried to give in his book. Interestingly, producer Darryl F. Zanuck also saw the film as a personal project and certainly his involvement helped the movie to get away from censorship as most as possible. While the film has indeed some flaws (most famously the sudden and unexplained disappearance of a minor character), it's hard to diminish its value due to them, as the beauty of its craft is so big that they can be easily dismissed.<br/><br/>With a haunting atmosphere, a beautiful visual composition, and superb performances by his actors, Ford created one of the first masterpieces of the 40s and one of the finest American movies ever made. While already a celebrated director by the time of its release, this movie consolidated Ford as a master of his craft. Despite their differences, John Ford's ""The Grapes of Wrath"" truly carries the spirit of Steinbeck's novel, as well as the ghost of Tom Joad. 10/10"
"RHKLWK","10","71","91","18 May 2002"," A Triumph in Record Time
","They say that you should wait 20 or 30 years before attempting to capture an historical event on film.  That is why it was remarkable that Oliver Stone was able to capture the ""feel"" of Viet Nam (in ""Platoon"") so soon (13 years) after America's withdrawal.  Usually, an honest perspective takes more time to develop.<br/><br/>But, when you consider that John Steinbeck and John Ford needed less than ten years to bring the 1932 ""dust bowl"" to life, you really have to admire their magnificent achievement.    <br/><br/>Of course, in 1940, Ford could not film much of the graphic squalor described in the novel.  For example, the film cannot show a starving hobo suckling at the breast of a young Rose of Sharon, who has milk to spare following the death of her baby.  But, far from degradation, Rose of Sharon's gesture is a reflection of the goodness that resides within her, and that quality is well illustrated in the character development seen on the screen.  Tom Joad may be an ex-con, but he is a good man.<br/><br/>
One of the commentaries (below) uses this film to rant about the exploitation in today's society.  That completely misses the point.  Ford, who was as conservative as anyone in Hollywood, even more conservative than John Wayne, used this movie to show that Man can triumph, despite the natural and human barriers that are put in his way.   <br/><br/>
This is ultimately a movie about hope and the human spirit."
"willwoodmill","9","8","8","26 February 2016"," The definitive Great Depression film
","Classic Hollywood films that tried to tackle important issues or answer big questions, typically were cheesy and hard to take seriously. They had gratuitous overacting, fake ""Hollywood"" dialogue, and just general over dramatization. Since these films are typically over-dramatized in this way, their attempts at having a deeper or meaning or some sort of a message are ruined. But not all classic Hollywood films fall into this abyss of clichés. And the ones that don't are still remembered and cherished to this very day, films like Mr. Smith Goes To Washington, or Modern Times, or 12 Angry Men, faced serious social issues at the time and succeeded. Films like these are unforgettable and in many ways life changing, and John Ford's Grapes of Wrath is one of these precious films.<br/><br/>As I'm sure you all already know Grapes of Wrath is an adaptation of the John Steinbeck Pulitzer Prize winning novel of the same name, that was published only a year before the film was first released. The novel is one of the greatest of the 20th Century, and I highly recommend that you should check it out. The film and the novel are both about Tom Joad, (played by Henry Fonda, who collaborated with John Ford several times.) who returns to his family's home in Oklahoma after spending 4 years in prison, but unfortunately by the time Tom Joad makes it out of prison, the country has fallen into the Great Depression. And the Joad family were unfortunately sharecroppers, so of course the bank repossessed there home and land, and the Joad family are forced to head west to California to look for work. But as they get closer and closer to California things begin to seem hopeless as they learn the truth about what is going on out in the west. <br/><br/>If I were to choose one word to describe The Grapes of Wrath it would be haunting, so many scenes and lines of dialogue send shivers down your spine and make tears grow in the back of your eyes. I won't spoil any of these fantastic moments, but dear god the combination of John Steinbeck's masterful writing and the actors's somber performances combine to make these scenes and lines of dialogues absolutely devastating, you will be thinking about them for weeks after you watch the film. The cinematography (done by the legendary Gregg Toland, who also was the cinematographer for Citizen Kane.) is also outstanding. Shots of the deserted houses in Oklahoma, the wide open road on highway 66, and the overcrowded filthy slums of California, all give The Grapes of Wrath a bleak depressing atmosphere. <br/><br/>Every single actor in the film gives it his/her all, Jane Darwell won the Oscar for best supporting actress for her role as Ma Joad, and Henry Fonda was nominated for best leading actor. And while these two performances are just perfect, every single roll in the film no matter how small is also perfect. (well, except for some minor child-actor roles.) John Ford is an excellent actor director though, so this should come as no surprise. John Ford also won the Oscar for best director, this was his second Oscar (his first was for The Informer.) and it is well deserved, each scene is meticulously crafted to dig real deep into the audiences emotions and not in a way that feels cheap by exploiting the audience or something. No instead of going for cheap shallow emotions the way an Oscar-bait movie would, Grapes of Wrath instead has characters that don't even feel like characters that are going through actual struggles, there is no cheap manipulation in this film. It is 100% genuine.<br/><br/>John Ford was a strange person for 20th century fox to pick to direct The Grapes of Wrath, because he was politically conservative and the book/film supported several liberal political ideas like strikes and unions. But John Ford was definitely the right choice. (see what I did there.) Grapes of Wrath was one of the few American films that was allowed to be released in the Soviet Union,it was only allowed because it supported pro-communist ideas. But it eventually had to be pulled from The Soviet Union when Soviet audiences saw that even dirt-poor begging Americans could still afford cars. In 1989 The Grapes of Wrath was one of the first 25 films to be added to the national film registry, alongside films like Citizen Kane, Vertigo, and Casablanca. And it deserves its spot there, Grapes of Wrath has become the definitive Great Depression film, and should be viewed by everyone.<br/><br/>9.5/10"
"mianaliilyas786","10","46","60","4 April 2006"," A compelling story of a family trying to survive the hardship of great depression era.
","One of the best movies Hollywood ever produced and yes it's true that ""The Grapes of Wrath"" is one of those movies which don't loose their lust in many years. Released in 1940 and till now this movie is as fresh as it can be. John Ford directorial version of John Steinbeck's finest work really worth a watch.As from the release of the book ""Grapes of Wrath"" has been seiged with controversies as the book was banned in many states but the book is great proponent of hardship. This movie mesmerizes you from the start as the characters are indulged with true humanitarian instincts, you won't feel any thing irrelevant.Henry Fonda is very much compelling in the role of young Todd and Jane Darwell won best supporting actress in magnificent portrayal of Mama Todd. All the other cast was fine and convincing in their roles .John Ford won another best director award from this and its no doubt the best deserving from his other achievements .In the end it's a treat and you wont be able to forget its impact for a long time."
"Richie-67-485852","10","10","11","29 March 2016"," Down but not Out
","Anytime you are tempted to feel down and out, watch this movie. I personally have seen it many times and are currently reading the book which I highly recommend. I cannot emphasize this enough. This is as down as you can get and still survive. We are taught to be grateful when watching this and to also consider the other guy, whoever he is and at the least, do not add to his burden. Actors are on their game as is the Director. Of course, none of this exists if it wasn't for John Steinbeck and his book. I thought about this movie during the recent Real Estate downturn and what the banks did in real life was indeed captured in this movie way back when. Indifferent, callous, and greedy while practicing their rights leaves one with a bad taste in the mouth and we bailed them out if that isn't the gall of galls. Have something to eat while watching to appreciate that you have food and the people in the movie do not, a tasty drink and a snack which is unheard of back during the depression days will help you connect more to the movie theme. There is humility, gratitude and lessons to be learned while being entertained. Its called a TEN thank you"
