"username","rating","helpful","total","date","title","review"
"Platypuschow","8","26","26","11 July 2017"," Monsters University: A worthy prequel
","I adored Monsters Inc, it was one of those surprise movies you go into with no expectations and are blown away by. It took years for me to get round to this due to my endless watchlist but I'm so happy I can say that it's worth of the the franchise.<br/><br/>Charming, well written, full of laugh out loud moments and undeniably loyal to the original movie with tie-ins around every corner.<br/><br/>I especially liked Helen Mirrens character, part monster, part bat, part centipede? I like centipedes, I wanted to be an entomologist once upon a time, obsessed over bugs, learnt all about them then learnt about these things called university, qualifications and effort and thought against it. I'll leave entomology to those with motivation, you enjoy your bugs and I'll enjoy women, movies, video games and various other fun stuff.<br/><br/>I digress, Monsters University is a sweet heartfelt movie and makes me hope they make a final part to make a monsters trilogy. Maybe touching upon certain events that happened in this as opposed to it's sequel.<br/><br/>Sadly I don't see this happening, I think we have more likelihood of a Princess Bride 2, Brave 2 or a movie where Zac Efron doesn't play an arrogant douche who likes to take his shirt off."
"claudio_carvalho","8","26","28","9 February 2014"," Pleasant Story of Friendship
","When Mike Wazowski is young, he visits the Monsters University in a tour of his primary school. A senior student gives his hat to Mike and he plans to become a scary monster.<br/><br/>Years later, Mike joins the Monsters University and on the arrival, he receives a flier of the Scare Games that will take place soon in the campus. Mike also befriends his roommate Randall. When the lazy student James P. ""Sully"" Sullivan, who belongs to a family of famous ""scarers"", breaks in his room, they start a competition in class. Their dispute ends when they accidentally break the pride and of joy of Dean Abigail Hardscrabble, a cylinder with her greatest achievement – a powerful scream of a boy. They both are expelled from the scare classes by Hardscrambble that tells that Sully is lazy and Mike is not scary, and they become enemies. <br/><br/>When Mike recalls the Scare Games, he sees his only chance to return to the scare course. He makes the application to participate, but he learns that he needs a fraternity. Mike joins the Oozma Kappa that is the only fraternity available with four losers, but he is informed that the fraternity needs to have six members. Sully offers to complete the team and Mike has no other alternative but accept Sully in his team. Then he bets with Hardscrambble that if he wins the games, she will accept them in the scare classes. Soon the game begins...<br/><br/>""Monsters University"" is a pleasant story of friendship and a prequel of ""Monsters Inc."". The plot is based on the American college life and despite the lack of any identification with my country, with fraternities and silly parties of American college students, the plot is funny and entertaining. My vote is eight.<br/><br/>Title (Brazil): ""Universidade Monstros"" (""Monsters University"")"
"BA_Harrison","8","13","13","2 November 2013"," MU is more than OK.
","The cruddy trailer hardly filled me with hope for this belated prequel to Monsters, Inc., and the relatively laugh-free first thirty minutes did little to change my mind; however, once Mike and Sully and their Oozma Kappa fraternity brothers enter the Scare Games, the film really picks up and the laughs start to come thick and fast. By the time the end credits were rolling, Monsters University had given me lots of giggles and even a few genuine belly laughs and I'd completely altered my opinion: the oft-used 'under-dogs do good' plot may not be as fresh as the original, but overall I reckon the film is well worth watching.<br/><br/>Some of the best moments are clever one-liners and subtle fleeting visual gags which could go unseen, or over the head of younger viewers, but that gives the film repeat value; I hope to catch even more funny stuff the second time around after I proudly add the DVD to my Pixar collection.<br/><br/>A very respectable 8/10 (If there had been more funny moments in the first half-an-hour or so, this would have been right up there with Pixar's finest)."
"Joejoesan","8","86","102","9 June 2013"," Finally and thankfully Pixar does it again!
","Of all the Pixar movies Monsters Inc. has always been my absolute favorite. The incredible story of the remarkable friendship between Sully, Mike and Boo made me watch the movie more than 10-15 times already. When it was released on blu-ray I was the first one to buy it. So when Pixar announced another Monsters movie I got concerned. How could Pixar make a better movie than the original? Or even one that equalled it? But having seen the movie last week I can ensure you all: Pixar is back on top. Monsters University is great fun and it's Pixar best since Up!.<br/><br/>Monsters University, a prequel to Monsters Inc., begins with a young and very little Mike Wazowski (Billy Crystal) still in primary school. After a field trip to Monsters Inc. he has only one dream: to become a scarer. Years later he arrives at Monsters University but soon learns he still has a long way to go. His main problem? Mike isn't scary at all. He befriends his roommate young Randall (Steve Buscemi), who at that time is an unimportant loser (and later gets seduced by the dark side). The first night he makes an enemy out of Sully (John Goodman), a freshman who thinks that his family name (of legendary scarers) is enough to get him through school. A personal vendetta is born.<br/><br/>Things go wrong when Mike and Sully accidentally destroy a sacred item that belongs to the devilish Dean Hardscrabble (a brilliant Helen Mirren). They get expelled from all Scare Classes and will not graduate as a real Scarer. Luckily Mike comes up with a plan, a bet with the dean. If he finds a team to compete in the Scare Games and if he indeed wins, he's allowed to follow the Scare Classes until the end. Dean Hardscrabble approves. Now it's up to Mike, Sully and his team of losers to work as a team and go the distance<br/><br/>In Monsters University the Scare Games are very well done. I can see both kids and adults laughing their socks off when Mike and Sully, in the same team but still enemies, are doing their first race and try not to step on the items that make their body grow. Bizarre, but hilarious! Their next assignment, when they have to steal something in the library, is also a winner. But what really works in Monsters University is that the story is mainly about friendship. We not only see how Mike and Sully turn from big enemies into big friends; they become soul mates for life. To join the Scare Games Mike must find five extra members to form a team and the only ones left are a bunch of nerds that no one pays attention to and a big blue monster that he absolutely hates (Sully). Still Mike succeeds in making it work. <br/><br/>Even when you know that Mike and Sully will win the Scare Games (that isn't a spoiler, is it?), this film isn't predictable at all. It doesn't end with Sully holding up the Scare cup but it takes one more great scene to bring Mike and Sully definitely together. I will not spoil it for you, but it involves a door to the human world and a little green monster that's depressed. <br/><br/>Monsters University is a great film. It's both funny and sentimental in all the right places. Fans of the first movie will see a lot of cameos in this one (Yeti!). The story ends when Monsters Inc. begins. I will even advise the next generation to see Monsters University first and then go on to Monsters Inc.<br/><br/>Yeah, my faith in Pixar is restored. Although I must confess that with Planes coming up, things can change very fast in the wrong direction. But maybe that's because I have never liked the Cars movie.<br/><br/>9/10"
"clumbj","9","43","49","17 July 2013"," Nostalgic film for the old and young
","The first Monsters Inc. came out when i was just 7 years old and immediately became one of my all time favourites from the day I saw it. With extremely high expectations in mind and excitement especially for Pixar's close attention to relevance (as I am actually at university now myself) I went to see the new one as soon as it came out.<br/><br/>The film is a prequel following closely to our much loved earlier Characters, Mike and later Sully as they present to us their lives prior to the first movie. As well as an adorable new cast of monsters which are equally lovable as the old ones.<br/><br/>To my delight, the film exceeded most if not all my earlier expectations. The plot is well written, funny and most of all extremely heart warming especially to long time fans like myself as well as those younger viewers that might not have even seen the first one.<br/><br/>The nostalgic element of the film is perhaps the most well written. Every twist and turn reveals a huge or tiny explanation to the events and habits of the characters that I previously saw in the first film. Questions I never even asked myself, like why Randall's eyes are so squinty or how Sully and Randall's rivalry originated. <br/><br/>Although i absolutely loved the movie, perhaps its because I've waited for 12 years but at some points it left me slightly unsatisfied and I'd have loved for some parts to be explained more thoroughly. <br/><br/>Regardless of my only criticism, the movie made me laugh, cried with tears of joy, almost actually cried and was both heart warming and action packed. What more could you ask for? I urge those fans of the first film as well as anyone that just wants to have a good time at the cinema to see it. It'll be well worth your time!"
"MartinHafer","8","67","85","23 June 2013"," I guess that for once I was easy to please!
",""" Monsters University"" is a new film from Pixar that is a prequel to their film ""Monsters Inc."". In addition to the two main characters, a whole lot of new characters are introduced at the college that Mike and Sully attended. The plot involves Mike trying to become a 'scaring major'—something quite unthinkable since he isn't the least bit scary. There's a lot more to the film than this, but I won't spoil it by saying more about the plot.<br/><br/>My daughter was lucky enough to go to the debut of ""Monsters University"". She liked it but also felt the story was disappointing since it lacked original characters and the story reminded her of too many college films (like ""Revenge of the Nerds"" and ""Animal House""). My wife saw it with me and she said that the film put her to sleep! This is all very odd, as I am usually the most difficult to please in the family when it comes to films—yet I thoroughly enjoyed the film and nearly gave it a 9. While I would agree it lacks originality, it did make me smile. It was a nice, gentle film—one that I didn't mind just watching without picking it apart (like I usually do). Much of this is because the CGI was simply gorgeous and It was a pleasure watching such a beautiful filmas well as such a nice and enjoyable film."
"AvidClimber","8","61","79","9 July 2013"," A must see prequel
","Monsters University is the prequel to Monsters inc., a wildly popular animation by Pixar. It's basically a college movie set in the monster world, but with a nice deviation from the standard.<br/><br/>The good. Still the same incredibly interesting world with all its colors, fantastic creatures, and quirks. Interesting story, especially for the twist. Great animation, as usual. Easily enjoyable by adults. Perfect ending. Excellent voice acting.<br/><br/>The bad. Lots of college movie, underdogs, and jocks versus nerds clichés.<br/><br/>The ugly. Nothing.<br/><br/>The result. If you liked the first one, you'll like this one too."
"jonedney124","9","43","56","11 June 2013"," Pixar back to making top quality animated films
","When I first heard about this and saw trailers, I felt like it would be OK, a good laugh but not enough to really challenge other Pixar films. I can safely say that I was wrong on that score, for it manages to not only be successful prequel to the original film but also a great film in its own right. Billy Crystal and John Goodman slip effortlessly back into their roles as Mike Wazowski and Sully despite playing younger versions of themselves. The other main highlight of the voice cast is Helen Mirren's intimidating Dean Hardscrabble, who is a menacing presence and I'm sure the design of her character was modelled on Maleficent from Sleeping Beauty. Steve Buscemi's Randall also returns and although I felt that he would have a stronger part in the movie, the seeds are sown for his villainous ways in the original.<br/><br/>What astounded me was the creativity throughout the film, the effort that had gone into the university environment and the monsters that inhabited it (there's one monster who has university down pat in a hilarious moment that all students will understand!). The new characters that become Mike and Sully's friends, the Oozma Kappa gang, are all adorable and memorable, providing a lot of the film's humour as well as one of its most touching moments towards the end. The film is consistently hilarious but also remembers that it has to develop the initial rivalry then friendship of Mike and Sulley. The world set up in the original is also included more than I thought it would (a couple of trips to Monsters Inc. itself) and there are some brilliant cameos from two memorable characters from Inc.<br/><br/>Although the friend I was watching it with said that the film was low stakes, as you knew how it would end, I found that the film still managed to feel fresh despite dealing with underdog clichés and the problem of being a prequel. In a Q and A after the preview screening, the director and producer said that this was about when your dreams don't come true: a strangely anti-Disney philosophy in many ways but one that is honest and teaches kids reality about the world of work, none more so than a delightful montage of pictures explaining how Mike and Sully ended up in their respective positions in Inc. I haven't seen Cars 2 (not sure I want to) and although I enjoyed Brave, it is definitely lesser Pixar fare whereas Monsters University sees them back at the top, creating a touching and hilarious story that will hopefully see them get back to dishing out the quality every time.<br/><br/>I am a bit confused as to some of the critical reviews, and why this film currently has 75% on Rotten Tomatoes is beyond me. I sincerely hope this will go up, because it should be nearer 90. I watched Finding Nemo in 3D in April and although Nemo isn't my favourite Pixar, MU is easily as good as that. One critic argues that this film is too similar to The Internship...well that's the Internship's problem, as this film will have been longer in the making undoubtedly and judging from IMDb score doesn't seem to have anywhere near the same creativity and imagination behind it. This may not scale the heights of the Toy Story trilogy but it most certainly is not forgettable and the fact that I nearly shed a tear at one point (and it was NOT for the main two characters funnily enough) proves that the film gives more than just 'how did Sulley and Mike become friends'. If everyone keeps expecting Pixar to produce a Toy Story every time and if they leave a film having not experienced that and express their disappointment/outrage as a result, that's unfair. My favourite Pixars are Toy Story 1-3, Monsters Inc and Wall-E (10/10), then Incredibles, Up, Finding Nemo, Bug's Life (9/10) and I would place Monsters University just after A Bug's Life but in many ways it's probably better.<br/><br/>9/10 (RT had better follow suit)"
"Likes_Ninjas90","8","29","37","17 June 2013"," A rare blockbuster that could teach audiences something
","One of the more understated strings in the bow of animation giant Pixar are the moral lessons that their films provide to audiences. In 2001 Monsters, Inc. introduced us to Mike and Sully, two monsters that were part of a corporation where monsters could travel through teleportation doors and into bedrooms of children to scare them so that their screams would power their operations. Children were also seen as dangerous outsiders until the business learnt that laughter is a more successful for increasing production. Overcoming our fears, risk taking and laughter are lessons that the animation studio itself taught us and embraced on its own. <br/><br/>Pixar have again upheld this optimistic, moral outlook because Monsters University is a celebration of diversity and learning your specialist skills. The film is a prequel to the 2001 film, with Billy Crystal and John Goodman reprising their roles as monsters Mike and Sully, who are not friends but college rivals learning the trade of scaring and hoping to be accepted into the Monsters, Inc. <br/><br/>The film will give parents an opportunity to talk to their children about the subject of college in a positive outlook. In American there has rarely been a more important time to have this conversation. The Huffington Post wrote in April that there had already been thirteen college shootings this year. In 2007 thirty-two people were shot dead at Virginia Tech. Though never short of funding, the American education system also still produces consistently subpar performances. Countering these pillars of fear and tension, Monsters University captures the emotions of college life and then gleefully subverts them. <br/><br/>The core of the film is the friendship of Mike and Sulley, who represent contrasting attitudes in college study life. Mike is hardworking, ambitious and by the book but also small, an outcast and a loner. He wants to be the sole leader. Sulley is unprepared, lazy and coasts off his family name as a Sullivan. He's bigger, more intimidating and popular than Mike and expects everything will come through his natural ability and that he doesn't need to study. After making a bet with Dean Hardscrabble (Helen Mirren), they're thrown together into a Scare Games contest, where they reluctantly band together, along with other loners, to complete a series of challenges to stay enrolled in the college. <br/><br/>Each game played against the other rival fraternity houses gives the film a story structure that is not dissimilar to The Internship. Unlike that film though, you actually care dearly about the characters. This is one of Pixar's greatest strengthens, not just as animators but as filmmakers. Each of the hilarious characters, including a middle-aged student and a two-headed dancer, helps to understand each other's strengths and how to use these in the tasks. <br/><br/>It could be viewed as a generic 'be yourself' message but in the context of a college setting its thematically sensible because college should be a place where people learn their own skills and can take unexpected detours and still succeed. For those assuming this is a derivative underdog story, there is a huge point of conflict in this film, coupled with Pixar's trademark lump in the throat moments, as the story shifts into its darker unexpected final act. <br/><br/>The director of the film was Dan Scanlon, who worked as a storyboard artist for Pixar on Cars. He graduated from Columbus College of Art and Design with a Bachelor of Fine Arts and in his first Pixar film as director he has used these visual skills exceptionally. The film is hysterically funny, partly due to the wit but also the number of sight gags on display. <br/><br/>Monsters University itself resembles a proper college, with lecture rooms, dorms and orientation stalls, and uses this detail to reference old college films and campus stereotypes. I liked the variety in the monster designs, like how one of the students had a moustache shaped like a vampire bat or the Gothic monster that had spikes coming out of the microphone she was holding. Dan Scanlon also controls the beats of the story so that there are breathing spaces between the challenges and that action sequences are brisk and never overlong. <br/><br/>Hollywood films now are bigger and louder, but with little to say. Monsters University is a rare blockbuster that could teach audiences something. The film is about learning to accept fear and failure, while remaining hopeful about change and growth through our different skills. Pixar's personal talent is that their films are still as simulating as they are funny and creative."
"keyos27","10","62","86","25 June 2013"," Monsters University pleasantly defines its title with a great story
","With Animation industries overproducing computer-animated films for either sequels or prequels, expectations from critiques and longtime cartoon lovers who grew up with classic Disney movies are pretty high. For this reason, It has been a while since I get to be surrounded by parents who like to bring their kids to let them enjoy bright and comical scenes. <br/><br/>After coming to the theater with low excitement, not only does this movie exceed my expectation but it also proves that Pixar is not a sort of company that tries to take audience's wherewithal by making a mediocre prequel based on the reputation of an original one. <br/><br/>As usual, Pixar consistently unleashes intriguing, unique, and appealing characters with flexible movements and simplified traits that attract a wide range of audiences. Especially when it comes to presenting different breeds of monsters with extraordinary looks and abilities, followed by an absolute storytelling skill that moves everyone's emotion. <br/><br/>As the setting takes place in the old days before Mike and Sullivan get to work together in Monsters, inc., you get to find out how they meet and grow their friendship. The story consists of both internal and external conflicts that college students can unanimously relate to. Pixar does an amazing job on capitalizing as much college-related elements as possible to emphasize the importance of corroborations, personal identity, and working hard to achieve your goal. There are also tons of humors that make you laugh periodically. <br/><br/>In a nutshell, this is a sincere and endeavored film that sends us various messages to help us progress in many different ways. I strongly recommend this to all the students out there who are struggling with their school life. It is such an inspirational movie and Pixar still rocks!"
