"username","rating","helpful","total","date","title","review"
"johnpendarvis","1","228","321","13 July 2019"," Jingositic nonsense
","When I see films like this, it really underlines the programmed ignorance of most Americans, and just how effective the government and the media are at shaping a false narrative. Al Qaeda was never an existential threat to America, and the Taliban was an internecine problem only to local Afghans and different Islamic sects. The conflict and motivation set up in this film is just ludicrous and phony. I am retired US Army, I still have contacts in the service who know the truth about Afghanistan. This film is a sham."
"larsenmarkez","Null","114","158","12 October 2019"," Don't watch this
","Instead I suggest you watch battle Royale II if you are interested in justice and Afghanistan. 12 Strong was 12 Stupid."
"tremoncyprian","Null","130","182","22 September 2019"," Jarheads
","This film is so overrated. I don't even think Hemsworth is any good of an actor but in this case he is more ridiculous than ever every moment in this film. Also he's on screen a lot and seeing how bad he is diminishes the film."
"jw-970-362630","1","98","137","9 January 2020"," USA USA USA!
","This is a propaganda film through and through. If you want to watch a predictable action film with barely developed characters, over the top explosions, weapons that never run out of ammunition and feel great about the war in Afghanistan, this is for you. Retributive violence never looked so good."
"traevionstark","2","120","171","5 October 2019"," Stupid
","This Aussie guy plays an American hero (the kind that gets paid a monthly salary) to go overseas and kill baddies.<br/><br/>Then the mighty US military sends horse back riders against armored well equipped terrorists. They are 'terrorists' but they are in their own country...<br/><br/>Zzzzzzz"
"keivonkennen","Null","104","148","19 October 2019"," 6.7 for this??
","Then which movies receive a 3 or a 2?<br/><br/>Don't let the high rating fool you<br/><br/>This too high a rating is thanks to the pro-war illiterates who tried to push a bad movie. Those who say this movie is good know nothing about the crimes of OEF. There are some ""Hollywood"" moments, but it's a boring movie based on warmongering and US attacking people.
Again don't listen to the blood hungry critics!"
"jibreelzailen","1","139","201","9 September 2019"," Slapstick Comedy
","It is hilarious<br/><br/>It is a riot of laughter<br/><br/>Move aside Three Stooges<br/><br/>
It is time for the American heroes (you know those who SERVE! The WARRIORS! The TIPS OF THE SPEAR OF JUSTICE!!) who get paid a salary every month to go overseas and kill... told ya it was too funny<br/><br/>Here they ride horses and assault into the midst of the enemy which has machine guns, tanks and APCs and kick bums. What a Laugh out loud routine..<br/><br/>
PS: Hemsworth will sign on for anything whatsoever"
"jaziahjak","5","118","170","21 September 2019"," Homoerotic
","A bunch of chiseled and muscled men volunteer to go on a mission together by enlisting and they live and sleep with each other. Aha.
They go to Afghanistan in this episode."
"colinmolloy-29788","1","59","82","18 January 2020"," Lobotomy and Pain Killers a Compulsory Prerequisite
","Watched part of this yesterday - and found it impossible to continue.
I actually think it would be impossible to cover this material any worse.
Totally amazed that this was funded.
Every cliche and p*ssing contest by a bunch of brainless GI Joes.
To stand any chance of enjoying and respecting this me thinks a Lobotomy and Pain Killers are a Compulsory Prerequisite."
"rishvikharveer","Null","119","174","21 September 2019"," Haha haaa haaaaa hehehehe American heroes
","This film shows how low humanity has fallen.<br/><br/>It features a bunch of American horseback riders raiding the taliban (yes the Taliban that Trump is negotiating with and invited to Camp David last month) whose machine guns jam at just the right time.<br/><br/>I rather watch the home videos of the dotard who says he remembers Pearl Harbor (!!!) entering Ivanka than this."
