"username","rating","helpful","total","date","title","review"
"mcs26891","Null","716","868","2 February 2017"," A Cinematic Classic
","How can any review rightfully describe Call Me By Your Name? I had the immense privilege of seeing it at Sundance before 99.99% of the world, so now I am one of the select few in charge of p(r)eaching the gospel that is Call Me By Your Name. This film is simply a masterpiece, possibly the best romance film of all time, and one of the best films of all time as well.<br/><br/>The plot is basic, but it is how the story is told through the actors, the imagery, and the music where the film shines. The son of an academic (Elio, played by Timothee Chalamet) falls in love, perhaps hopelessly, with a visiting student (Oliver, played by Armie Hammer) who is staying with his family ""somewhere in northern Italy."" Almost all reviewers will describe it as a gay romance, some will say it's just about two people falling in love (and they will get criticized for trying to downplay the sexuality of the characters), but at its core it is about two people who fall in love with one another but have difficulty realizing that the other feels the same way. It is a universal film about love, sensuality, longing, and being true to oneself.<br/><br/>While most romance films are unrealistic, melodramatic, or otherwise uninspired, Call Me By Your Name is anything but. The first hour is tension-filled with innuendo in the actions between the main characters and the other people in the story that realistically captures the delicate dance involved in flirting. The passion that develops is palpable, with some of the best love scenes to grace the cinema - complete with the awkwardness involved. The ending may be predictable, but how everything plays out is a masterclass of film-making. <br/><br/>The final monologue between father and son towards the end will be the highlight for most people. Michael Stahlbarg gives a breathtaking performance as he calmly provides his son comfort, but most importantly, acceptance. However, the emotional peak of the film truly comes at its end, with a haunting final shot that will stay with me forever. Timothee Chalamet is a revelation and is destined to become one of modern cinema's finest actors. Armie Hammer finally has a role that allows him to shine. While many will be surprised at the casting on paper, it is a testament to the actors that you can truly feel the passion between their characters so much that the pairing feels like destiny. <br/><br/>Call Me By Your Name is a moving film that stays with you, leaving a dark depression for days that arises not from what happens in the movie, but how it is shown. It is so beautiful, but heart-wrenching at the same time, that it reminds us how amazing life is despite that our desires are not always, if ever, truly fulfilled. The film teaches the viewer important life lessons that have already deeply impacted me as a person and how I intend to live my life. The central question it asks is best summarized through a question asked by a character in the film: ""Is it better to speak, or to die?"" After the film, one can only leave with one logical conclusion: To speak, because to die, is to die without ever knowing the answer. And for Elio, regardless of how the relationship ends up (see the film!), at least he knows the answer."
"AlsExGal","8","116","139","22 October 2018"," Elegant and painfully passionate
","There were many scenes in this movie that stuck with me, most of which have probably been discussed to death (the dad, the peach, the sheer pleasure of sitting around reading, swimming, and doing whatever you want unsupervised).<br/><br/>I think as an American, one of the things that stuck to my bones was how the parents reacted to their son's sexuality. I don't mean his homosexuality. I mean, sexuality as a whole. Despite most of the key characters being American, they all have a European sensibility that it very rare to see here in the US. One could argue that the movie itself could be making a social comment about open, honest European views of sex vs. moralizing, restrictive American views.<br/><br/>First, the parents see their son is attracted to a man, so they do things to help facilitate that attraction by giving them the idea to travel alone together. They also let Elio and Oliver have their space in the house - they aren't monitoring Elio or ""checking up on him,"" which I found refreshing.<br/><br/>Second, the parents are genuinely always there for Elio in helping him discuss sexual relationships. He is able to say to his parents out loud, ""I could never be that open,"" a vulnerable statement I have trouble imagining ever having expressed to my parents. They simply reassure him; they don't nag or moralize him about sex. Of course, there's the scene with the father discussing his own sexual past and desires, openly and without judgment that exemplifies this behavior.<br/><br/>Third, the adults in the movie treat Elio respectfully with regards to his sexual encounters. For example, when Elio greets the older gay couple with Marzia and quickly gives her a kiss and loving pat, the adults simply maturely greet her and say hello. No one says ""Ohhhhhhh! You have a GIRRRLFRIENND!!!!!!!!!"" In the US, I find it typical that adults make teasing comments and condescending ""jokes"" about ""how cute it is to have a crush"" to teenagers. This moralizing can make teens internalize that they are doing something wrong, when they are actually doing something natural.<br/><br/>To see adults treat Elio respectfully and collegially, like a mature young adult for whom sex is one of many natural, positive experiences, filled me with hope, jealousy, and a strong feeling about the kind of parent one should be when one has teenagers. It's not very common you walk out of a movie thinking, ""This movie has changed or informed the way I want to live my life"" but this one has for me.<br/><br/>Last, I think we are in a particular time where we are really looking back on the 1980s with a specific nostalgia for a time when kids could just be kids, ride their bikes everywhere, have adventures, be home for dinner, then go out again and have more unsupervised adventures. Stranger Things, It, and this film all are really tapping into that nostalgia, albeit in slightly different ways.<br/><br/>The music in this movie is what I can only describe as beautiful, Sufjan's songs in particular stand out as incredibly moving. Visions of Gideon is an absolute soul crusher. The music added to the atmosphere of the movie, which was so warm and peaceful. It was so refreshing to see a movie about two men in a relationship that didn't end with one of them dying or angry parents, nothing of the sort. Time is the villain here, and I think that makes it all the more tragic."
"The-Awesome-One","10","569","728","5 October 2017"," A masterpiece that will stay with you long after the credits
","Call Me By Your Name is the kind of movie that makes you sit through the credits with tears rolling down your face, staring blankly at the screen with a lump in your throat and tightness in your chest. <br/><br/>Call Me By Your Name is not a tragic movie. It's not a sad movie. It's not a pretentious movie. It's a movie about love, and love, and love. A beautiful love that will leave you longing to find your own love and drown in it. <br/><br/>Timothée Chalamet is an absolute force of nature. Elio will make you want to love, and hurt, and piece yourself back together with absolutely no regrets whatsoever. Elio will make you want to live your life to the fullest. Elio will make you want to break your own damn heart. It's so rare that a performance truly shows the depth of longing, and despair, and passion a character conveys through written words without the internal monologue. Timothée is truly a revelation and his last scene during the credits will have a lasting impact on everyone.<br/><br/>Armie Hammer is absolutely brilliant in the way he humanizes Oliver who is somewhat glorified through Elio's lens in the first part of the book. In the movie, Oliver is endearing and human and sexy and caring. He cares for Elio, and his love for him is so tender and so touching<br/><br/>Michael Stuhlbarg's monologue delivered nearing the end of the film is a complete masterpiece, and without a doubt that monologue with be taught and quoted for many years to come. A raw and beautiful scene.<br/><br/>Watch this movie. Watch it, and love it, and don't let it fall victim to over-hype. Watch this movie. Fall in love in two hours and twelve minutes, then question every single time you didn't allow yourself to feel just because you were afraid of getting hurt. Was avoiding a possible heartbreak that might have shattered you worth never getting a taste of the heavens? Was killing the potential pain and heartache worth it? Was it worth it?"
"paulfairbanksusa","10","575","737","12 December 2017"," It happens when you least expect it
","Beauty in the midst of all the ugliness we're living in, it's like a shock. I wept like I hadn't wept in a movie since I was very young. It made me think and remember summers of my own life. It made remember sounds and smells. I was transported. The smartness, candor and gentleness of this unexpected love story goes beyond anything I've ever seen. Luca Guadagnino is rapidly becoming one my favorite directors working today. Armie Hammer completely demolished my preconceptions with a performance that is total perfection and I haven't mention Timothee Chalamet yet. No I need to dedicate the lasts paragraphs to him because his performance goes beyond perfection. I didn't know him at all. Now I' a fan. It reminded me of the first time I saw Daniel Day Lewis playing a gay punk in ""My Beautiful Launderette"" An explosion of beauty when you least expected. Thank you for that."
"salazaraaron-17115","10","436","592","23 January 2017"," ""Call Me By Your Name"" perfectly adapted to film.
","If you've read the book, you will not be disappointed. If you've not read the book, you must. They fit together as a beautiful work together. Companions in art. One without the other, and you just aren't as fulfilled. I cannot wait to reread the book.<br/><br/>Timothée's performance is one for the history books. The Adele Excharpolous à la Blue is the Warmest Color of the year. His eyes are so expressive and every emotion and action is so deeply felt by this poor tortured soul that by the ending you cannot help but weep and feel at the absolute lowest you've ever been.<br/><br/>Armie is portrayed to perfection, as well. His ""later"" and other phrases stand out so sharply in a world of prompt and prim dialect that it makes us feel engaged in a way that I've never felt by a movie. He was such an outsider and yet we were assimilating to his was as opposed to the way it should be. He, a guest, in Italy, for 6 weeks, leaves just as American as the day he arrived.<br/><br/>Luca's obsession with men dancing and swimming pools and beautifully choreographed sex, is perfect for this story. I cannot think of a better match. Luca said in the Q&A afterward that he decided to change a few things from the book because not everything written in prose works on screen in a cinematic way, and if you've read the book, you will agree. He also said the author, who makes a small cameo in the film, thinks Luca's changes are better than the original form. So, that's affirming.<br/><br/>Peach scene? Devastating. Sufjan's new songs? Devastating.<br/><br/>This was a very sad movie but I loved every second. Let's hope Suspiria is even better. Luca G. might be the most exciting director working today. It was a privilege to watch this with him and the amazing cast and crew INCLUDING Sufjan. I hope Sony Pictures Classics doesn't mess up the distribution/awards campaign. This deserves praise.<br/><br/>Also, 10/10 opening credits/font. Luca can do no wrong."
"borromeot","10","285","387","14 December 2017"," Timothee Chalamet
","I cried my eyes out. It was cleansing and reinvigorating. Timothee Chalamet is the living image of a friend from my childhood. He had a similar experience but a very different outcome and it made me think with a broken heart that if my friend had had a father like Elio's father he could have had a real chance at a happy, constructive life, instead of the agonizing pain that he went through. I hadn't though about him for years and Timothee brought him back to me with enormous power. What a beautiful, beautiful performance. Armie Hammer is a total revelation, the perfect foil for a first love. Michael Stuhlbarg introduces us to a character I had never seen on the screen before. He moved me no end, Then, of course, Luca Guadagnino. My hat to you sir. This is a film I will see many times."
"linoayumu","10","77","99","14 December 2018"," Truly one of the best.
","It doesn't take a genius to understand nor appreciate this film. It does however, take an open mind to see and feel the beauty this film has to offer. It is perfection incarnate. Never have I been so moved by a film such as this one. It was an absolute pleasure watching it."
"iemdeboer","10","56","72","4 November 2019"," A piece of perfect cinema
","Now, where to begin... Pretty much everything I feel about this film has been mentioned here before. But boy did it make me FEEL, from the opening credits right through the end credits. It made my heart soar and sink with its colours, scenery, music, and above all else its acting. The phenomenon that is Chalamet was yet unknown to me, and Hammer I'd only seen in a bad chickflick, so it would be an understatement to say I was pleasantly surprised by how they performed.
There's so much detail as well, from the inquisitive and knowing looks of a mother, to the picturesqueness of a ladder against the fruittree. Everything about this film draws you in. If I could dream up memories of a hot Italian summer in a rural hamlet, this would be it, I swear I could almost smell and taste this film. Luca Guadagnino made a masterpiece here and I highly doubt it will ever be surpassed in its category."
"punchp","10","47","62","13 January 2019"," Call Me By Your Name is an unapologetic celebration of emotion.
","It's hard for me to talk about this film without just hurling adjectives at the page; it's tender, beautiful, sexy, hilarious and deeply moving - a romance story for the ages, directed and acted with a passionate sincerity."
"manutorre-03064","10","220","328","27 August 2017"," Deeply moving, arousing, heartbreaking
","*****This review may contain spoilers!!!!*****<br/><br/>I have just finished reading the book. It is deeply moving. I am still in a daze. Heartbreaking and inspiring at the same time. The film adaptation is erotic, cinematic, well acted, and painfully beautiful, as Luca Guadagnino's other film, I Am Love (starring the luminous Tilda Swinton). <br/><br/>What makes the theme universal? To my eyes, it has to do with the complex issue of love and loss. The film and the book deal with love/loss not in the simple sense of losing the person we love, but in the sense of deliberately losing the person we love so we can sustain loving and desiring the person. ""I can't love you unless I give you up"" could be the line (not from the book or film) that captures the relation between Elio and Oliver. <br/><br/>Both Elio and Oliver maintain the minimal distance between them instead of fully committing to their desire 'til the end. Which makes their love the sad kind. As Elio said, ""Time makes us sentimental."" The right time never arrives for Elio and Oliver. They relate to each other from the lenses of the past (""pluperfect"" love, to borrow Elio's wording) and the future. It is never now. The thematic is appealing because it speaks to many of us who have loved and continue to love on the basis of the fundamental loss at the heart of desire. Is there a way out of this spiral? Is there another way of approaching love? These are questions the book and the movie leave the reader/viewer to answer. The ending is unhappy yet ""satisfying"", precisely because this satisfaction involves a mix of hope and agony. It keeps the movement of desire in motion, for both Elio and Oliver, and for the reader/viewer. <br/><br/>PS: I can't help but reflect on this great film vis-à-vis Guadagnino's another great film, I Am Love, where the two protagonists literally leave their respective worlds behind to be in a world that they both share."
"candelach","10","291","447","25 August 2017"," Sensual Italian summer
","This film is pure sensuality and emotion. You can see through the character's eyes, taste through their mouths but most importantly you feel, by God how you feel. Luca Guadagnino manages to extract the very best out of his actors: Armie Hammer's performance shows unprecedented depth and Timothee Chalamet is the essence of awe inspiring acting, this film will land him an Oscar nomination at the very least."
"Sebastien02","10","30","41","17 May 2018"," A touching romance
","« Call me by your name » is a beautiful movie about first love. The atmosphere is dreamy and I have been taken on an emotional journey for two hours. Timothée Chalamet and Armie Hammer give remarkable performances. There is a great chemistry between them. The scenery is charming and provides the perfect backdrop for romance. The subtle screenplay, the delicate direction and the good soundtrack also contribute to this achievement. I like the way homosexuality is portrayed: being gay is normal; there is no drama queen and no pathos. Furthermore, I find this story inspiring. It encourages me to be honest about my feelings and to live wholeheartedly."
"DavidO-Scotland","10","183","294","6 November 2017"," Stunning
","It is not often that films adapted from books capture the true essence, emotion and spirit of the book but for me Call Me By Your Name does just that. Superbly acted by a talented cast the film was a visual an emotional delight. Sensitively directed and beautifully shot with a great sound track what was not to like. For me it was a coming of age love story for Elio and something very special for Oliver. Simply calling it a gay movie does it a disservice. It is much, much more than that. While the whole cast were strong the two leads, Armie, and Timothee just had that magic on screen. And Timothee Chalamet's performance was stunning absolutely stunning. His closing scene will become a cinema classic. Don't be put off by the gay tag this is a beautiful love story, sensitively told that surly anybody can empathise with. Don't miss it."
