"username","rating","helpful","total","date","title","review"
"Filmnerd1984","9","139","167","30 August 2009"," Superb Swedish Thriller!
","Awesome Swedish film with a intelligent story. a journalist and a troubled young female hacker works together on resolving a 40 year old mystery involving a disappearance, murders, Nazis and one hell of a dysfunctional family. the storytelling by the director was great and captured my attention for almost 2,5 hours. the character buildup is thorough and makes a solid foundation for the rest of the film. in addition the characters are straightened by a superb cast played by Michael Nyqvist and especially Noomi Rapace. Camera work and the overall look of the film is astounding, especially on bluray. the movie takes you to it's locations and doesn't let go until the story is complete. a must see for those who likes an intriguing edge of your seat thriller."
"UnknownRealmsDotNet","8","29","32","22 July 2012"," I hate to say it, but more rounded than Fincher's version
","The Girl with the Dragon Tattoo has been a worldwide phenomenon for a while now. In book form, the original film, and the Hollywood remake. It is a disturbing, yet riveting tale, as is the story behind the author who made it. While Fincher's version is visually and stylistically more striking, I feel this original Swedish film does a better job bringing the disturbing mystery to the silver screen. Structured much more fluidly than the Hollywood version, the mystery of a missing girl flows and develops slowly, dishing out red herrings and suspense with each turn (something lacking in the Fincher version). It also stays closer to the original title of the book (and theme) Men who Hate Women. In the end, this is a dark tale of what rape does to women and to the world. Not everyone's idea of 'entertainment,' but a thought-provoking mystery for those with strong stomachs."
"kovvan","9","313","397","4 March 2009"," Great Swedish thriller
","This film was very well-made with superb cinematography. The actors all portray their respective characters perfectly, although Noomi Rapace as Lisbeth Salander, Michael Nyqvist as Michael Blomkvist and Sven-Bertil Taube as Hanrik Vanger deserve a special mentioning. They are all very likable and believable.<br/><br/>The films story is very exciting and puzzling (for those that haven't read the book) and the pace is steady with some really tense situations. The investigation part of the story is excellent. Although it is 2.5 hours long it is never boring.<br/><br/>The soundtrack was also very fitting and helped to set the mood of the film. This is far above any other Scandinavian thriller production, and I look forward to the rest of the films/series.<br/><br/>I recommend it to anyone!"
"SpanOws","9","205","260","14 June 2009"," Well worth seeing...
","I went to see this film having heard nothing about it at all and another film I wanted to see wasn't on the Sunday matinée bill...so, this looked interesting...best 5 Euros I've spent in a long time. Very, very good thriller but NOT FOR CHILDREN and I was genuinely surprised how much I enjoyed it - well filmed and well acted by the main protagonists; I know nothing of Swedish actors but apparently Michael Nyqvist is well known and I thought Noomi Rapace was brilliant (a young, headstrong, tattooed and ""talented"" computer hacker Lisbeth Salander with a traumatized past) I thought the film was superbly directed (Niels Arden Oplev); I am already looking forward to the second film later this year AND I will go and buy the books..."
"AudioFileZ","7","111","140","13 September 2009"," A Worthy & Different Crime Mystery When Compared To American Films Of The Genre
","An intrigue fueled slow building thriller, ""The Girl With The Dragon Tattoo"" is a refreshingly different take on the ""whodunit"" crime genre. This Swedish movie has loads of great cinematography, taking advantage of the beautiful Swedish country side as well as framing the eerie story. The principal characterizations are quite well suited by the cast who fit naturally in the roles they play with great realism. Like I have already noted this is a much different presentation as compared with American filmed crime thrillers. Even though this obviously has a well-funded budget it is grittier and less commercialized thus lending a realism over glossiness. The music score also adds quite a bit of ominous darkness.<br/><br/>I guess if you want to be overly critical you could punch a hole or two here or there, but I think this story comes off so most all viewers will ignore any inconsistencies in favor of the mysterious pieces which, eventually, add up, but not too fast – keeping the viewer invested and hoping to figure out how it may all end.<br/><br/>Though graphic at times, it isn't ""porn-horror"", ""The Girl With The Dragon Tattoo"" is a dark story where the unsettling pieces fit. I am fairly certain it will not be released in the US, but if you can see it do so as it is a well crafted and executed drama."
"yris2002","7","166","218","7 June 2009"," well crafted, engaging and thought-provoking thriller
","I am among, I guess, those very few people in Europe who have not read the best-selling novel by Stieg Larsson, but, not feeling in the mood to see another too emotionally engaging romance or drama, although its being my favourite genre, I went to see what is depicted by Larsson's fans as a captivating and gripping thriller.<br/><br/>Indeed, I can't say whether the movie proves adherence to the novel, which is something by the way difficult, considering the length of the book, however, I can say that the product is a well-crafted piece of cinema, which leaves also interesting food for thought. Used as we are, as southern Europeans, to see at Northern, and mainly Scandinavian countries, as models of democracy, economic progress and social welfare, it's quite surprising to see a modern Sweden stained by corruption and unscrupulous tycoons. Moreover, it is quite upsetting to get to know how Nazi extremist and insane ideas were rooted not so much in the history of the country, but in the conscience of people, in this case of a powerful and wealthy family, where the hatred towards the Jews has mixed with the hatred towards women, turning the lives of whole generations into a hell of ferocious violence and horror.<br/><br/>As far as the thriller story, it's engaging, but carried on very carefully, every aspect being under control, with flashbacks constantly reassuring us about aspects we have already perceived, without moving a little apart from a well consolidated stylistic model of this kind of movie genre. Sometimes a little slow, sometimes too indulging in violent scenes, but with a strong directing consciousness supporting it. Convincing and really good the performances offered by the whole cast, unknown to the great public, but I would underline the actress playing Lisbeth as really outstanding and upsetting in her mental and emotional distress. On the whole, it's not a masterpiece, but a good and well made movie."
"ralph_2ndedition","8","199","264","25 February 2009"," A captivating piece of cinema!
","The music lends a threatening aspect to the opening scene, where we in slow close ups  on and off deliberately out of focus  get to follow the opening of a package. Inside the package, post marked in Hong Kong, is a framed plant. The camera starts to move backwards, taking in more of the room and revealing Sven-Bertil Taube as the opener of the package. He holds the frame in his hands, lowers his head and slowly starts to cry.<br/><br/>Niels Arden Oplevs Män som hatar kvinnor is based on the first of Stieg Larssons three bestselling novels, meaning of course that it is basically guaranteed large box office numbers  but the expectations will probably match those numbers. Weather the film manages to live up to these expectations I cannot say  seeing as I am one of the probably only eight people who has not read Stieg Larssons books. But as a piece of cinema, completely removed from its literary origins, it definitely leaves an impression!<br/><br/>The music mentioned above, written by Peter Fuchs, is the first thing to register in the mind as something interesting Something that make everything feel very serious. The impending-doom-score composed by Howard Shore, for David Finchers Se7en, springs to mind  and this only a few seconds into the film.<br/><br/>The cold, hard, uncomfortable reality  where the movie takes place  is populated by a highly recognizable legion of people straight out of Swedens acting elite (Gösta Bredenfeldt, Lena Endre, Ewa Fröling, Björn Granath, Peter Haber och Marika Lagerkrantz to mention a few) and they all seem to have been so thrilled to be a part of this project that they almost as one has taken their characters a step back, allowing the spotlight to be shone on the two main characters, who also get to drive the story forward; the reporter Mikael Blomkvist (Mikael Nyqvist), who is digging through a 40 year old murder case involving a well known corporation family with Nazi connections, and the 24 year old computer hacker EMO Lisbeth Salander (Noomi Rapace) that every day hacks Blomkvists hard drive, captivated by the puzzling evidence (or lack thereof).<br/><br/>Nyqvist gets the job done playing what is basically the lesser of the two parts. You instinctively feel sympathy for him, and sympathizes with him  even in his very first scene, in which his character is convicted of slander, and sentenced to prison.<br/><br/>But when the lights come back on in the theatre, and you gather up your half eaten box of popcorn and your coat, it's not Mikael Nyqvists understated but persistent reporter you will remember mostit's Noomi Rapaces leather-and-stud clad, tattooed, pierced, heavy makeup wearing biker chick, Lisbeth Salander.<br/><br/>Weighted by old wrongdoings as well as new ones, Lisbeth is covered in emotional scars, making her a very interesting character  that easily could have been a silly rehash, a Gunvald Larsson in leather. But Noomi Rapace bases Lisbeth in real emotions rather than clichés and hammy over acting. You can tell that there is a real person behind that steely gazed, unyielding face, something that make those parts of the movie, where we get to come with her through what must be some of Swedish cinemas most horrendous scenes, feel that much more awful. You almost can't help looking away, as she is abused over and over again<br/><br/>The relationship between Mikael Blomkvist and Lisbeth Salander is the only part where I felt the movie rushed things just a tad. But this is only a mild piece of criticism, as the lack of insight leaves the audience feeling that they, just like the character Mikael Blomkvist, don't know what to make of Lisbeht Salander.<br/><br/>Besides the two leads, I want to single out Peter Haber, who really got to show off his skills! He is obviously good for more than just playing the silly father of Sune or the annoyingly correct police Martin Beck.<br/><br/>I have, like I mentioned earlier, not read the novels by Stieg Larsson, and I have an automatic aversion towards Swedish cinema; which I usually find stiff, with acting taken straight out of the latest grocery store commercials. In other words, Swedish film has its work cut out trying to sell me anything. But, and I am not ashamed to admit this, I'm gonna go ahead and BUY!!!<br/><br/>In the narrow little world that is Swedish cinema there is a lot that one could  or even should  avoid. But this movie is not something to be ignored! So leave the kids at home (this is NOT a very pleasant film) and head for your nearest multiplex to take in of the most thrilling Swedish films in a very long time!"
"anders_noer","8","69","89","28 February 2009"," Loyal adaption of best seller book
","""Män som hatar Kvinnor"" is a whodunit thriller revolving around sadism towards women. It is based on the first book in Stieg Larsson's crime trilogy with the main characters journalist Mikael Blomkvist and outcast hacker Lisbeth Salander. For the record, this trilogy has had rave reviews and been among the best selling books in Scandinavia. <br/><br/>An aging corporate executive, Henrik Vanger, employs Blomkvist to solve the puzzle of his missing niece - A girl who mysteriously disappeared 40 years earlier. It has become an obsession to this man to shed some light on his missing niece's fate, and he is desperate to have closure before it's his own time to pass. Over the years 82 year old Henrik Vanger has been gathering a substantial amount of hints and clues, but he was never able to put the pieces together. Acclaimed journalist Mikael Blomkvist is hired for his researching skills, following a thorough background check. Blomkvist's recent committal order doesn't discourage Vanger. He shows no interest for compromise in getting the right man for the job.<br/><br/>Eventually Blomkvist teams up with secluded computer hacker Lisbeth Salander. Their investigation unfolds a complex set of clues leading to a string of morbid sadistic murders spanning decades. Pieces of the puzzle slowly start falling into place, as inevitable confrontation with the hidden villain draws closer. Alongside this main plot line, both of our main characters have to deal with personal problems that act as obstacles for the main chase and help us understand our main characters.<br/><br/>--<br/><br/>When I read ""Män som hatar kvinnor"" a few years back, I told my friends: ""This would make a great movie"". It sure does. ""Män som hatar kvinnor"" is an ambitious project. Casting (character and location alike), adapting the book to script and production seem to set new standards for Scandinavian movie making. It has an international feel and does the book great justice. Key scenes from the book are flawlessly executed and the characters are captured very convincingly. Fans of the book shouldn't be disappointed. Almost three hours running time allows great depth and detail, but even at this length some plot lines have been left out. This does not hurt the overall feel though. It is still a coherent movie focusing on the main plot line. Avid fans can turn to the text version for further explanations, and still be intrigued. <br/><br/>The Lisbeth Salander character is an inventive take on a heroine. She is a believable and obvious contrast to the sadistic, women degrading evildoers. This 90 pound female hacker is depicted as being the craftier, stronger and more energetic of our heroic duo. This does however hurt Blomkvists character a bit, leaving him seemingly not too bright and kind of helpless. I DO like a female heroine though, which is a welcome twist to the classic detective genre. The novels give Blomkvist a bit more room to shine on his own, which is the only thing I'm missing in the movie. <br/><br/>Great performances all around. Most reviews will obviously comment on Noomi Rapaces outstanding performance as Lisbeth Salander and put her on a well deserved pedestal. I'm going to point the attention to Sven-Bertil Taube (Henrik Vanger) and Peter Haber (Martin Vanger) who both do great jobs as supporting actors."
"karenbickley","10","93","129","12 March 2010"," Great Movie!!!
","I saw this movie in Sydney, Australia and it was really great. A really good thriller!. I have read all three of the books and wondered how the movie would be. The theatre was packed and it was in subtitles but you could hear a pin drop. We were all glued to the screen. Once it gets going your are hooked! At the end everyone clapped. Some of the scenes are graphic and violent but if you have read the book you already know this. However, even though I had to ""read"" the movie I cant wait for the next one. At least I hope they are making a movie for book 2 and 3 I would not take my 14yr old to this but it is something I would see again. Highly recommend!"
"shatteredrifle","Null","10","11","30 August 2011"," The Girl with The Dragon Tattoo: A Crime Drama Like No Other
","The Girl with the Dragon Tattoo takes us into the investigation of one Harriet Vanger, who disappeared when she was just 16 years old and has been missing for the last 40 years. Still distraught about Harriet's case, her uncle, Henrik Vanger, hires troubled journalist Mikael Blomksvist to find out what happened. Along the way, he teams up with Lisbeth Salander, an eccentric hacker genius, and what they uncover is far worse than they could have ever imagined.<br/><br/>What is beautiful about this film is the simplicity of how it was made without it appearing cheap. It is proof that the lack of special effects doesn't make a film dull. In fact, it only makes other aspects shine. The movie is dialogue-driven, and a lot of things are explained through the conversations. It is quite unfortunate that I do not understand Swedish (and I had to use the subtitles while watching it) because I feel it would have been a better experience if I did.<br/><br/>Of course, behind these dialogues are the two leads Blomkvist and Salander. A recipe for a good movie is comprised of a compelling story, characters viewers can sympathize with and care about, and the interactions among these characters. For the most part, The Girl with the Dragon Tattoo is able to accomplish these things. Because of the film, I now understand why Noomi Rapace (Sherlock Holmes: Game of Shadows) has suddenly been propelled to the spotlight. Indeed, her performance as Lisbeth Salander is incredible. The late Stieg Larsson would have been proud of her interpretation of his title character. Salander is arguably the most unique female protagonist the industry has seen for a long time. From her looks to her personality, we see her as complex yet somebody we can understand, talented and so sure of herself and yet at the same time so awkward. Michael Nyqvist portrays Mikael Blomkvist with an air of confidence and authority that is just fitting for the character. We can understand why Salander, not big on trust, eventually warms up to him. If Salander is the loose cannon, then he is the straight arrow that holds the film together.<br/><br/>As a fan of the book, I believe this adaptation was able to give sufficient justice. Like in all adaptations, many elements of the story were changed. However, most of these changes were done for a smoother flow and for a more viewer-friendly experience.<br/><br/>Later this year, David Fincher will be making a Hollywood version of The Girl with the Dragon Tattoo. Even with stars Daniel Craig and Robin Wright attached to the project, it must pack a wallop so they can surpass the high standard that this Swedish production has set. Truly, this film has made me want to venture more into European cinema and find all the wonders it has to offer.<br/><br/>The Verdict: The Girl with the Dragon Tattoo is a dark, gritty, excellently-done crime drama that others will try to emulate but probably won't be able to. That being said, it is not for everyone and not for the faint of heart. There is a reason that this is Rated R. The movie is very long compared to the running time of most movies coming out recently. Thus, in order to fully enjoy and appreciate this gem, one must be patient. Everything shall fall into place and in the end, you will discover that it was one of the best ways to spend 150 minutes of your time. Trust me when I say that watching the Girl with the Dragon Tattoo is an intelligent, heart-wrenching, unforgettable experience."
