"username","rating","helpful","total","date","title","review"
"Buddy-51","Null","58","66","7 September 2002"," a touch of reality makes this better than expected
","The best we should reasonably expect from a movie like `Blue Crush' is that we will be treated to some stunning footage of surfers riding the world's greatest waves (along Hawaii's Pipeline, natch) to personal fame and glory. We certainly get that in abundance - but what we have less right to expect, perhaps, is that the film will offer anything else of any real quality. After all, we've been to these kinds of movies before, harking all the way back to those halcyon Bleach Blanket Bingo days when Gidget, Moondoggie and the rest of those addle-brained, teeny-bopper cut-ups aspired to nothing higher than a life of eternal youth spent wallowing in the bleach-white sands of Santa Monica or Malibu.  In the case of `Blue Crush,' therefore, I am happy to report that the screenplay - by Lizzy Weiss (based on a magazine article by Susan Orlean) -provides just enough touches of realism to keep this new film both life-sized and interesting.  And the majority of the credit goes to the film's protagonist, Anne Marie Chadwick who, much to our surprise, engages our sympathies from first moment to last. <br/><br/>
Anne Marie is no bubble-headed, bleached-blond bimbo with nothing on her mind but winning the big Pipeline competition.  Although that is, indeed, part of her life's plan, Anne Marie is, also, an intelligent, pragmatic young woman, fully aware of both her strengths and weaknesses and just trying the best she knows how to make her life work for her, the young sister in her charge and the two surf buddy girlfriends she lives and works with.  Anne Marie is also riddled with insecurities, as she struggles to overcome the fear instilled in her by a near-fatal accident in that very same spot a few years earlier.  Meanwhile, she and her pals work hard trying to eke out a living as maids at a posh hotel, earning just enough money to keep a roof over their heads and pay some of their bills so they will be free to head to the coast at the first sign of prime `Surf's Up' conditions.<br/><br/>
The acting in the film is really quite impressive.  As Anne Marie, Kate Bosworth lights up the screen with her subtly nuanced, poised and dignified performance.   She knows how to use understated facial expressions to convey the thoughts and feelings of the character she is portraying.   Equally compelling are Michelle Rodriguez and Sanoe Lake as her fun-loving buddies, Mika Boorem as her little sister, and Matthew Davis as the professional football quarterback who becomes her love interest.  Director John Stockwell, to his credit, manages to keep the majority of the scenes intimate in tone and realistic in nature, rarely allowing the narrative to wander into overwrought melodrama or teen-movie farce.  Even the obligatory fight scene is kept restrained and believable.<br/><br/>There are occasional weaknesses in the film  a gaggle of snooty football wives and groupies who snub Anne Marie for being too lower class for their tastes are the primary offenders  but, on the whole, `Blue Crush' turns out to be a much better film than its subject matter would ever lead us to expect.  That comes as a particularly pleasant and un-looked-for surprise here in the shank of the summer movie going season."
"TxMike","Null","35","44","21 April 2003"," A ""must have"" DVD if you also have a surround sound system with subwoofer.
","Critic Ebert has a very complete and accurate review, and I will not repeat any of it here. I bought ""Blue Crush"" as a used rental DVD, real cheap, and it is a perfect disk. The basic story has been told many times, but it is done here better than many. However, there is one thing that moves it from the ""ordinary"" to ""outstanding - the cimematography and the sound.<br/><br/>After most of the first hour of the film sets up the characters and the situations, we are treated to surfing the Hawaii ""pipeline"" by surfers. One DVD extra shows how they do ""face replacement"" so that the pro surfer appears to be star Kate Bosworth. With many cameras in the waves, and sometimes under them, we get a unique perspective of being on top of a giant wave, or being inside the wave as it is breaking.  All the while a very aggressive sound mix makes you feel like you are there also.  This is definitely a good DVD to have for demonstrating the quality of your digital 5.1 surround sound system with good powered subwoofer.<br/><br/>I suspect anyone who saw ""Blue Crush"" at home, on VHS or DVD, with sound fed into the TV speakers has seen a different movie. That's because the sound track plays such a key role. This isn't a great movie, but a very good one. I believe its most realistic IMDb rating is somewhere around ""7"" or ""8""."
"Mrs_Greenleaf","Null","39","52","27 January 2005"," Lighten up, this film rocks
","For all you wanna-be critics out there trying to be negative about the directing and cinematography, lighten up! This film is excellent in the fact that it does not try to be more than it is... a surf flick. Its obviously not trying to win an Oscar or a bafta. cant any of you simply enjoy a feel good movie? the filming of the waves and the surfing was top class and even though the acting was not Oscar worthy in any way shape or form i think it was impressive that they embraced the surfing culture and used local people in this film.<br/><br/>For all of you out there who like to just enjoy a films and don't feel that you need to be completely baffled, shocked or made to think you will enjoy this. Yes it is predictable but who cares its just a bit of fun.<br/><br/>For all of you who hated this film just because the plot was predictable and the acting was substandard i draw your attention to a gentleman named Sigmund Frued; ""Some times a cigar is just a cigar"""
"uberbrodie","10","42","57","23 August 2002"," a complete surprise
","i went to see this movie solely because i thought it would be horrible.  It looked so cornballish that i couldn't help but go if only to mock it from my seat the whole way through.  I was thus quite shocked to find myself actually enjoying the film!  From the direction, to the action, the camera work and especially the surfing shots, it was just amazing.  Seeing the waves crashing fifteen feet tall, it is definitely worth seeing in theaters to get the full effect.  Another shock came in the form of teh script, and the acting.  While they had their holes, it was amazing how real the movie felt.  They weren't actors, they were real people.  From the very beginning, it starts.  Other reviews have claimed that these characters were all standard hollywood barbies, but this is far from the truth.  While it Anne Marie is quite attractive she is far from movie star beautiful, there is this natural and real quality to her that, if anything, makes her all the more endearing.  i could drivel on, but the point is, this movie just makes you feel good.  it takes you along on this enjoyable ride, and leaves you with a positive attitude and an insatiable desire to move to hawaii, rent a shack and spend your days surfing.  It was cute, but there's also a lot of substance there.  definitely worth seeing."
"SnoopyStyle","7","6","6","16 March 2014"," More than what's on the surface
","Anne Marie Chadwick (Kate Bosworth) is a local surfer girl with best friends Eden (Michelle Rodriguez) and Lena (Sanoe Lake) aiming to surf the Pipe in competition. Her little sister Penny (Mika Boorem) is getting more rebellious especially when their mother leaves town. She struggles against testosterone driven surf culture, and her disgusting job as a hotel maid. However the arrival of pro football quarterback Matt Tollman (Matthew Davis) may distract her away from her goal.<br/><br/>On the surface, this movie has beautiful babes in beautiful exotic locales. Beneath the surface, there is a compelling underdog story. It has emotions. She has to overcome her fears. Kate Bosworth is good as a girl unsure of herself. Rodriguez is the girl with attitude to spare. It's more than a simple exploitation film."
"kmskeels","8","5","5","21 July 2019"," Its a surfing movie... Not Shakespear.
","I don't understandn the reviews people are giving that sound like they expected so much more from this movie. Pretention, I'm guessing. The cast was great. Plenty of laughs. Stunning shots in and out of the water and a happy ending. It certainly isn't the most profound movie, but I'm pretty sure they werent going for that anyways. I like it for a feel good movie. I've watched at least ten times and I still enjoy it for what it is. If i want a riveting storyline I'll watch something other than a surfing movie, duh."
"TypedbyTara","8","4","4","17 February 2012"," These ain't the Girls Next Door
","Every once in a while a movie fanatic such as myself will come across what can only be described as a ""solid production."" <br/><br/>Blue Crush follows the lives of three best friends, AnneMarie, Lena and Eden. The trio form a tight-nit support system as they struggle to make ends meat (rice crispy treats often constitute their breakfast). The one thing these ladies do have going for them is that they are all talented surfers. It's clear that surfing provides them with an escape from the harsh reality of life, and they try to hit the waves every second they can. <br/><br/>AnneMarie is acknowledged as the most talented of the three and has the best shot at winning the ""Pipe Surfing Competition."" However, a near-fatal surfing accident has left her with a bad case of PTSD. Yet their luck changes for the better when a group of football players roll into town, providing both romantic and financial opportunities. While their money provides an ease on the financial burden, the dashingly good-looking Quarterback could prove to be more of a distraction for the hard-core AnneMarie. <br/><br/>This movie has a simple plot line that is executed perfectly. Blue Crush is a straight forward, no BS kind of movie that is short, sweet and to the point and it has just enough surfing action to gage your interest.. The actresses/actors do a great job of conveying the sincerity of their characters, and their situation is very believable."
"flickershows","5","19","29","18 July 2004"," It's Not Tubular
","From the thoroughly mediocre school of filmmaking, here comes director John Stockwell's 'Blue Crush'. Its graduates...uh, actors include Kate Bosworth, Michelle Rodriguez, and a bunch of other pretty people you've never heard of. Bosworth is Anne Marie, the super-talented surfer with a confidence problem. Before the movie is half over, she's in love with a pro quarterback and struggling to gumption up for the big all-girls surf championship. It's your standard 1980's Tom Cruise picture.<br/><br/>If a movie with such modest ambitions is supposed to make you want to go out and take up surfing, I say, hand me my 'Point Break' DVD instead. Sure, 'Blue Crush' is professionally made and the camerawork is fine, but how hard is it to pretty up shots of the Hawaiian ocean when it's in the form of gorgeous, humungoid waves? That's a natural beauty that speaks for itself and doesn't need Hollywood to flaunt it. As for the screenplay by Lizzy Weiss & Stockwell, well, they're proficient with the surfing lingo. They're also absentminded enough to bury their various hanging plot threads in an undertow. The flick is not trying to be a deep meditation on the entire wave-lovin' experience, but that's no excuse for staggering along with such a sub-par story.<br/><br/>As unremarkable as they may be, the female leads are about the best thing in the film. They all look smart in bathing suits---the words ""woo hoo"" come to mind---and they're fairly natural. Plus, these likable babes don't grate with too many, ""you go, girl"" comments. Rodriguez even smiled once or twice, which confirms that she DOES have more facial expressions than just snarling and pouting. But despite the physical beauty of the waves and the girls, the film they're in is generic goop. Parents will be happy that all the sex is kiss-kiss-fadeout, there's nary a drug, and only a handful of cuss words. All the same, I'm certainly not happy with the content of 'Blue Crush'. It's just not tubular, dude."
"gpolice_97","10","23","37","20 August 2002"," North Shore 2
","I should start off saying, This film is amazing on So many levels!!! the story is believable and well plotted, and the way this film was shot is Amazing!!!<br/><br/>I originally went to see this film for two reasons. 1.I love Michelle Rodriguez. 2.Im a sucker for surf movies.<br/><br/>I originally didn't figure on expecting too much from this film, other than a fluffy story with people wiping out alot on weeny waves, but In turn the characters are brought out quite well, and the waves are HUGE! I do however think this is a somewhat sequel to ""North Shore"", ""ie..Girl makes it big on small circuit, has problems and eventually breaks through and comes out on top, and it takes place in Hawaii, on the North shore.. :)""..It's Kind of a ""fluff"" story, but it Draws you INTO the character's lives...and when your finished watching this film, you'll feel like youve Really been hitting the waves!!<br/><br/>However , If you Don't like feel good movies, or surf movies in general bore you...then this film Isn't for you...otherwise this movie is tops when it comed to surfer flicks!!!"
"LBytes","8","18","28","12 July 2004"," Hi marks for the audio presentation
","I won't dispute the weakness in the story and some so-so acting. In this particular case I rate this movie highly for its video and especially audio quality. For any home theater fanatic looking for top notch sound this is one of the best. When they're out in the water laying pipe, etc... its about as good a sound track as I've heard. You can almost feel the water getting in your ears. The video isn't far behind but that was easier for the filmmakers since the Hawaiian coast is so beautiful. I found the story to be passable, but there are a couple of segments that are dumb and I skip over on repeat viewings. Some of the extra features on the DVD are also good. If you have a good HT audio setup this needs to be in your collection!"
