"username","rating","helpful","total","date","title","review"
"bob the moo","Null","105","119","19 September 2004"," A gripping story told with style and passion as well as a 'must see' piece of cinema history
","With workers striking in Russia, the crew of the battleship Potemkin feel a certain kinship for the plight of their brothers. When they are served rotting, maggot infested meat some of the crew object, only to find themselves singled out and placed in front of a firing squad. With the marines seconds away from firing the deadly shots, ordinary seaman Grigory Vakulinchuk steps into the breach and intervenes to save the men by appealing to the firing squad to ignore their orders. When the officers take their revenge and kill Vakulinchuk, all are bonded together in the struggle; a bond that reaches to the city of Odessa where the rebellion grows, leading to a bloody and historic series of events.<br/><br/>It is hard to imagine that anybody who has seen quite a few films in the past few decades would be unaware of this film, but it is perhaps understandable that fewer have had the opportunity to actually sit down and watch. I had never seen this film before but had seen countless references to it in other films and therefore considering it an important film to at least see once. The story is based on real events and this only serves to make it more interesting but even without this context it is still an engaging story. The story doesn't have much in the way of characters but it still brings out the brutality and injustice of events and it is in this that it hooked me  surprisingly violent (implied more than modern gore) it demonising the actions and shows innocents falling at all sides in key scenes. The version I saw apparently had the original score (I'm not being snobby  modern rescores could be better for all I know) and I felt it worked very well to match and improve the film's mood; dramatic, gentle or exciting, it all works very well.<br/><br/>The feel of the film was a surprise to me because it stood up very well viewed with my modern eyes. At one or two points the model work was very clearly model work but mostly the film is technically impressive. The masses of extras, use of ships and cities and just the way it captures such well organised chaos are all very impressive and would be even done today. What is more impressive with time though is how the film has a very strong and very clean style to it  it is not as gritty and flat as many silent films of the period that I have seen; instead it is very crisp and feels very, very professional. Of course watching it in 2004 gives me the benefit of hindsight where I can look back over many films that have referenced the images or directors who have mentioned the film in interviews; but even without this 20:20 vision it is still possible to see how well done the film is and to note how memorable much of it is  the steps and the firing squad scenes are two very impressive moments that are very memorable. The only real thing that might bug modern audiences is the acting; it isn't bad but silent acting is very different from acting with sound. Here the actors all over act and rely on their bodies to do much of their delivery  word cards just don't do the emotional job so they have to make extra effort to deliver this.<br/><br/>Overall this is a classic film that has influenced many modern directors. The story is engaging and well worth hearing; the directing is crisp and professional, producing many scenes that linger in the memory; the music works to deliver the emotional edge that modern audiences would normally rely on acting and dialogue to deliver and the whole film is over all too quickly! An essential piece of cinema for those that claim to love the media but also a cracking good film in its own right."
"Quinoa1984","10","92","106","15 September 2005"," Like Citizen Kane it's almost been TOO analyzed and cherished as a landmark, but still not without good reason
","If you're a film student, or were one, or are thinking of becoming one, the name Battleship Potemkin has or will have a resonance. Sergei Eistenstein, like other silent-film pioneers like Griffith (although Eisenstein's innovations are not as commonplace as Griffith's) and Murnau, has had such an impact on the history of cinema it's of course taken for granted. The reason I bring up the film student part is because at some point, whether you'd like it or not, your film professor 9 times out of 10 will show the ""Odessa Stairs"" sequence of this film. It's hard to say if it's even the 'best' part of the film's several sequences dealing with the (at the time current) times of the Russian revolution. But it does leave the most impact, and it can be seen in many films showcasing suspense, or just plain montage (The Untouchables' climax comes to mind).<br/><br/>Montage, which was not just Eistenstein's knack but also his life's blood early in his career, is often misused in the present cinema, or if not misused then in an improper context for the story. Sometimes montage is used now as just another device to get from point A to point B. Montage was something else for Eisenstein; he was trying to communicate in the most direct way that he could the urgency, the passion(s), and the ultimate tragedies that were in the Russian people at the time and place. Even if one doesn't see all of Eisenstein's narrative or traditional 'story' ideas to have much grounding (Kubrick has said this), one can't deny the power of seeing the ships arriving at the harbor, the people on the stairs, and the soldiers coming at them every which way with guns. Some may find it hard to believe this was done in the 20's; it has that power like the Passion of Joan of Arc to over-pass its time and remain in importance if only in terms of technique and emotion.<br/><br/>Of course, one could go on for books (which have been written hundreds of times over, not the least of which by Eisenstein himself). On the film in and of itself, Battleship Potemkin is really more like a dramatized newsreel than a specific story in a movie. The first segment is also one of the great sequences in film, as a mutiny is plotted against the Captain and other head-ups of a certain Ship. This is detailed almost in a manipulative way, but somehow extremely effective; montage is used here as well, but in spurts of energy that capture the eye. Other times Eisenstein is more content to just let the images speak for themselves, as the soldiers grow weary without food and water. He isn't one of those directors who will try to get all sides to the story; he is, of course, very much early 20th century Russian, but he is nothing else but honest with how he sees his themes and style, and that is what wins over in the end.<br/><br/>Some may want to check it outside of film-school, as the 'Stairs' sequence is like one of those landmarks of severe tragedy on film, displaying the ugly side of revolution. Eisenstein may not be one of the more 'accessible' silent-film directors, but if montage, detail in the frame, non-actors, and Bolshevik themes are your cup of tea, it's truly one of the must sees of a lifetime."
"Jim Tritten","10","61","72","30 September 2000"," One of the greatest movies ever made.
","Originally supposed to be just a part of a huge epic The Year 1905 depicting the Revolution of 1905, Potemkin is the story of the mutiny of the crew of the Potemkin in Odessa harbor. The film opens with the crew protesting maggoty meat and the captain ordering the execution of the dissidents. An uprising takes place during which the revolutionary leader is killed. This crewman is taken to the shore to lie in state. When the townspeople gather on a huge flight of steps overlooking the harbor, czarist troops appear and march down the steps breaking up the crowd. A naval squadron is sent to retake the Potemkin but at the moment when the ships come into range, their crews allow the mutineers to pass through. Eisenstein's non-historically accurate ending is open-ended thus indicating that this was the seed of the later Bolshevik revolution that would bloom in Russia. The film is broken into five parts: Men and Maggots, Drama on the Quarterdeck, An Appeal from the Dead, The Odessa Steps, and Meeting the Squadron.<br/><br/>Eisenstein was a revolutionary artist, but at the genius level. Not wanting to make a historical drama, Eisenstein used visual texture to give the film a newsreel-look so that the viewer feels he is eavesdropping on a thrilling and politically revolutionary story. This technique is used by Pontecorvo's The Battle of Algiers.<br/><br/>Unlike Pontecorvo, Eisenstein relied on typage, or the casting of non-professionals who had striking physical appearances. The extraordinary faces of the cast are what one remembers from Potemkin. This technique is later used by Frank Capra in Mr. Deeds Goes to Town and Meet John Doe. But in Potemkin, no one individual is cast as a hero or heroine. The story is told through a series of scenes that are combined in a special effect known as montage--the editing and selection of short segments to produce a desired effect on the viewer. D.W. Griffith also used the montage, but no one mastered it so well as Eisenstein.<br/><br/>The artistic filming of the crew sleeping in their hammocks is complemented by the graceful swinging of tables suspended from chains in the galley. In contrast the confrontation between the crew and their officers is charged with electricity and the clenched fists of the masses demonstrate their rage with injustice.<br/><br/>Eisenstein introduced the technique of showing an action and repeating it again but from a slightly different angle to demonstrate intensity. The breaking of a plate bearing the words ""Give Us This Day Our Daily Bread"" signifies the beginning of the end. This technique is used in Last Year at Marienbad. Also, when the ship's surgeon is tossed over the side, his pince-nez dangles from the rigging. It was these glasses that the officer used to inspect and pass the maggot-infested meat. This sequence ties the punishment to the corruption of the czarist-era.<br/><br/>The most noted sequence in the film, and perhaps in all of film history, is The Odessa Steps. The broad expanse of the steps are filled with hundreds of extras. Rapid and dramatic violence is always suggested and not explicit yet the visual images of the deaths of a few will last in the minds of the viewer forever.<br/><br/>The angular shots of marching boots and legs descending the steps are cleverly accentuated with long menacing shadows from a sun at the top of the steps. The pace of the sequence is deliberately varied between the marching soldiers and a few civilians who summon up courage to beg them to stop. A close up of a woman's face frozen in horror after being struck by a soldier's sword is the direct antecedent of the bank teller in Bonnie in Clyde and gives a lasting impression of the horror of the czarist regime.<br/><br/>The death of a young mother leads to a baby carriage careening down the steps in a sequence that has been copied by Hitchcock in Foreign Correspondent, by Terry Gilliam in Brazil, and Brian DePalma in The Untouchables. This sequence is shown repeatedly from various angles thus drawing out what probably was only a five second event.<br/><br/>Potemkin is a film that immortalizes the revolutionary spirit, celebrates it for those already committed, and propagandizes it for the unconverted. It seethes of fire and roars with the senseless injustices of the decadent czarist regime. Its greatest impact has been on film students who have borrowed and only slightly improved on techniques invented in Russia several generations ago."
"korch-3","8","18","21","10 December 1999"," This is a cinematic masterpiece, way ahead of its time.
","There are only a handful of movies that were made on such a grand scale and made such a difference in the art of movie making.<br/><br/>""Bronenosets Potyomkin"" is one of these movies, and it should be on anyone's list looking to learn more about the history of cinema.  <br/><br/>
Grigori Aleksandrov & Sergei M. Eisenstein directed this groundbreaking film that documents the horrors taking place on a Russian battleship. When the sailors finally retaliate against their superiors, the locals embrace the them, and support them. Things get ugly when a group of soldiers are sent to the small town to take care of business.  What follows is one of the most imitated scenes in the history of cinema. Anyone who has seen ""The Untouchables"", and ""Bronenosets Potyomkin"" knows exactly what I mean.<br/><br/>Overall I think this movie raised the bar for film making just as ""Intolerance"" did a few years earlier. If you do not mind silent films, do yourself a favor, and see ""Bronenosets Potyomkin"".  <br/><br/>If you don't like silent films..... watch ""Bronenosets Potyomkin"" anyway."
"Orlok","10","86","118","20 June 1999"," Still one of the best films ever made.
","Quite a lot has been said about this film and its landmark importance in forming the language of film.  If you are interested in film history, to truly understand the innovations Eisenstein brings to the medium you might try viewing Potemkin along side most any film made before it (those of D.W. Griffith offer a good contrast).  It should be allowed that Eisenstein was not the only montage theorist and the principles of montage editing would likely have been discovered by another given time.  However, even today, few directors have approached the skill with which Eisenstein created meaning through the combination of images at such an early point in the evolution of the medium.<br/><br/>If you are not interested in that sort of thing, Potemkin is still one of the most beautiful and moving films ever made.  You should see it, buy it, and tatoo it to your chest."
"ackstasis","9","21","26","5 April 2007"," ""The time has come for us to speak out.""
","On June 14 1905, during the Russian Revolution of that year, sailors aboard the Russian battleship Potemkin rebelled against their oppressive officers. Frustrated with the second-rate treatment they receive, and most particularly the maggot-infested meat that they are forced to eat, the ship's crew, led by the inspirational Bolshevik sailor Grigory Vakulinchuk (Aleksandr Antonov), decide that the time is ripe for a revolution. And so begins Sergei M. Eisenstein's rousing classic of Russian propaganda, 'Bronenosets Potyomkin / The Battleship Potemkin.'<br/><br/>The film itself is brimming with shining examples of stunning visual imagery: the spectacles of an overthrown ship captain dangle delicately from the side rope over which he had been tossed; the body of a deceased mutineer lies peaceful upon the shore, the sign on his chest reading ""KILLED FOR A BOWL OF SOUP;"" close-up shots of the clenching fists of the hundreds of spectators who are finally fed up with the Tsarist regime; a wayward baby carriage careers down the Odessa Steps as desperate onlookers watch on with bated breath (this scene was memorably ""borrowed"" by Brian De Palma for a particularly suspenseful scene in his 'The Untouchables'); the barrels of numerous canons are ominously leveled towards the vastly-outnumbered battleship Potemkin.<br/><br/>However, the film itself is best analysed  not as a fragmented selection of memorable scenes  but as a single film, and, indeed, every scene is hugely memorable. Though divided into five fairly-distinct chapters, the entire film flows forwards wonderfully; at no point do we find ourselves losing interest, and we are absolutely never in doubt of whose side we should be sympathetic towards.<br/><br/>The film is often referred to as ""propaganda,"" and that is exactly what it is, but this need not carry a negative connotation. 'The Battleship Potemkin' was produced by Eisenstein with a specific purpose in mind, and it accomplishes this perfectly in every way. Planned by the Soviet Central Committee to coincide with the 20th century celebrations of the unsuccessful 1905 Revolution, 'Potemkin' was predicted to be a popular film in its home country, symbolising the revitalization of Russian arts after the Revolution. It is somewhat unfortunate, then, that Eisenstein's film failed to perform well at the Russian box-office, reportedly beaten by Allan Dwan's 1922 'Robin Hood' film in its opening week and running for just four short weeks. Luckily, despite being banned on various occasions in various countries, 'The Battleship Potemkin' fared more admirably overseas.<br/><br/>The film also proved a successful vehicle for Eisenstein to test his theories of ""montage."" Through quick-cut editing, and distant shots of the multitudes of extras, the audience is not allowed to sympathise with any individual characters, but with the revolutionary population in general. Eisenstein does briefly break this mould, however, in a scene where Vakulinchuk flees the ship officer who is trying to kill him, and, of course, during the renowned Odessa Steps sequence, as our hearts beat in horror for the life of the unfortunate child in the tumbling baby carriage. The accompanying soundtrack to the version I watched, largely featuring the orchestral works of Dmitri Shostakovich, served wonderfully to heighten the emotional impact of such scenes.<br/><br/>One of the greatest films of the silent era, 'The Battleship Potemkin' is a triumph of phenomenal film-making, and is a significant slice of cinematic history. The highly-exaggerated events of the film (among other things, there was never actually any violent massacre on the Odessa Steps) have so completely engrained themselves in the memory, that we're often uncertain of the true history behind the depicted events. This is a grand achievement."
"Snow Leopard","Null","34","45","19 December 2001"," Vivid & Memorable
","This classic is filled with vivid images that stay in your mind after you have watched it, and there is a lot to appreciate in the way that the key scenes were set up and photographed. The visuals are so impressive that the movie's imperfections are usually not so noticeable, and they don't keep it from being a memorable film.<br/><br/>The movie certainly deserves the praise that it gets both for the influence that it has had, and for some ideas that for the time were most creative. The famed 'Odessa Steps' sequence alone demonstrates both fine technical skill and a keen awareness of how to drive home an image to an audience. It deserves to be one of cinema's best remembered sequences. Some of the other scenes also demonstrate, to a lesser degree, the same kind of skill.<br/><br/>It says a lot for how effective all of the visuals are that so many viewers think so highly of ""Battleship Potemkin"" despite a story that is sometimes heavy-handed, and despite characters and acting that are both rather thin. These features might simply stem from the collectivist philosophy that lies behind the story, and they are obscured most of the time by Eisenstein's unsurpassed ability to present pictures that viewers will not forget.<br/><br/>Despite the flaws, this is a movie that most fans of silent films, and anyone interested in the history of movies, will want to see. There's nothing else in its era that's quite like it."
"Captain_Couth","10","41","62","5 October 2003"," A true Masterpiece from Eisentstein
","Battleship Potemkin is a celluloid masterpiece. The direction of<br/><br/>Eisenstein is truly a sight. The film chronicles a ship of disgruntled<br/><br/>sailors who are tired of being mistreated by their superior officers.<br/><br/>Eventually, the sailors finally have enough of the abuse and send the<br/><br/>officers packing. During this time period, there was a shortage of film<br/><br/>stock in the Soviet Union. The goverment wanted to get their message<br/><br/>out to the people so they started a National Film Company and one of<br/><br/>the members was Sergei Eisenstein. The films were shot on miniscule<br/><br/>budgets and the shortage of film stock forced Eisentein to be careful<br/><br/>and selective with the footage that he shot. In the end, Eisenstein had<br/><br/>to reuse footage in order to make a feature length picture.<br/><br/>The most famous of the action set pieces in this film is the much<br/><br/>talked about massacre on the steps. This scene was spoofed in Bananas <br/><br/>and most recently in Brian De Palma's The Untouchables. If you want to<br/><br/>learn film-making, I strongly advise you to watch Battleship Potemkin.<br/><br/>It's one of the essentials.<br/><br/>A+"
"EThompsonUMD","10","12","16","5 July 2007"," A Seminal Masterpiece of Silent Film
","The silent film masterpiece Battleship Potemkin (1925) was commissioned by the Soviet government to celebrate the 20th anniversary of the uprising of 1905 and to establish the event as an heroic foreshadowing of the October Revolution of 1917. Ironically the film's director, Sergei Eisenstein, was one of the earliest and most influential advocates of a formalistic approach to film art. Subsequently, Eisenstein's formalism and suspect politics would cause innumerable conflicts with government agencies insisting on ""socialist realism."" Influenced by the Russian film theoretician, Lev Kuleshov, and through him by D. W. Griffith's Intolerance (smuggled into Russia in 1919), Eisenstein constructed his films from a ""collision"" of rapidly edited images, a montage of shots varied in length, motion, content, lighting, and camera angle. Without question the most memorable illustration of Eisenstein's stylistic approach - and probably the single most cited and studied sequence in world cinema history - is the ""Odessa Steps"" sequence in Potemkin.<br/><br/>In structure Potemkin is a ""five reeler"" divided into five narrative parts, an organization clearly derived from the five-act arrangement of Western drama. In ""Men and Maggots,"" Eisenstein dramatizes the pre-revolutionary oppression and discontent of the battleship's working class sailors as the situation inevitably builds to mutiny. Even before the sailors and their upper class officers/masters are visually introduced, Eisenstein establishes revolutionary conditions symbolically by the collision editing of waves breaking violently and ominously at sea. Onboard ship we witness crowded, unsanitary conditions. Eisenstein emphasizes the sailors' dehumanization with shots of arbitrary lashings, harsh labor, and - most memorably - the maggot infested meat intended for the evening's meal. The ship's nearsighted physician is brought forward by the other officers to declare the meat perfectly suitable to be served with the dark soup, boiling like the sailors' rage. In accordance with Marxist maxims, the church also fails the men, and we see one of them smashing a plate inscribed with words from The Lord's Prayer from two different camera angles (in perhaps the first deliberate ""jump cut"" in cinema history).<br/><br/>Identified by inter-titles as ""Drama on the Quarterdeck"" and ""An Appeal from the Dead,"" Potemkin's second and third parts depict the actual mutiny and the onshore funeral of its leader and first hero of the revolution, Vakulinchuk. United by Vakulinchuk's appeals to brotherhood, the initial mutineers are joined by the entire crew in an attack on the officers. A chaotic scene ensues whose violent passion is served well by Eisenstein's editing techniques. The officers' quarters are trampled and symbols of their privilege are destroyed. The ship's doctor is thrown overboard, accompanied by dramatic crosscuts to the maggot-ridden meat and his eyeglasses metonymically dangling in the rigging. Tragically, Vakolinchuk's death is the price paid for the revolt (no omelet without breaking eggs) and he is laid out with dignity on an Odessa pier. Hundreds of ordinary Odessa citizens gather with the sailors to honor him and to pledge ""Death to the oppressors."" Shots of fists clenching and unclenching signal the birth of revolutionary consciousness.<br/><br/>The complex and unforgettable Odessa Steps sequence constitutes the film's fourth act. It begins with uplifting music and a series of close-ups and medium shots on the elated faces of diverse people on the shore and selected objects (parasol, eyeglasses, baby carriage). Suddenly (as exclaims a title card in huge letters) the music stops and lines of soldiers with drawn rifles and fixed bayonets appear at the top of the steps. Here Eisenstein releases the full force of collision editing as nearly a hundred shots are pieced together to contrast the panicked mayhem and victimization of the citizenry with the relentless assault of the soldiers driving the citizens down to the trampling horses and flying sabers of the waiting Cossacks below. The mise-en-scene is framed by a statue of Caesar at the top of the stairs and a church at the bottom, symbolic metonyms for Russia's oppressive institutions: tsarist monarchy and the Orthodox Christian church.<br/><br/>Punctuating the sequence are two scenes involving mothers and children. In the first, a mother and young boy who had been introduced among the joyous faces in the crowd are among the slaughter's first victims. The boy is shot, but the mother continues running until close-ups of her face convey her horrified gaze at the son's fallen body being trampled by the crowd. With a much slowed editing pace, the camera follows the mother as she carries the lifeless body of her child up the stairs to confront the soldiers (shown only in a diagonal shadow line). They summarily shoot her dead. After this lull, the carnage continues for another several dozen cuts until a second mother is shot through the stomach (the womb of Mother Russia?) as she tries to shield her baby in its carriage. In a scene famously imitated in The Untouchables, the carriage incongruously slips down the staircase. Horrified faces of huddled citizens watch the slow progress to its doom. When the carriage reaches the bottom there is a cut to a Cossack wielding a sword and a classic Kuleshov effect suggests what we do not actually see: the slaughtering of this pure and symbolic innocent. The final series of shots in the Odessa sequence is of three stone lions, one in repose, one sitting up, and one roaring. The editing animates them into a visual metaphor of the people's awakened rage.<br/><br/>Somewhat anticlimactically, the fifth act returns us to the battleship as the mutinous sailors flee on the high seas and await an encounter with other ships from the fleet. They and the viewer expect retribution, but when the meeting occurs no shots are fired and instead all the sailors wave and throw their hats in the air in a symbol of comradeship. Eisenstein was rewriting history at this point since the revolution was not successfully launched for another twelve years. But that quibble aside, Battleship Potemkin stands as one of the seminal works of the silent film era, and it retains extraordinary cinematic power."
"Richardcheese_6","Null","22","35","30 June 2004"," Propaganda? Yes Stunning? Definitely
","To think that this was made almost 80 years ago, but still inspires movies of today (The odessa steps scene = The Untouchables for example). Yes - it is a propaganda movie - it considers the lynch mob attacks on the ruling class / ship's officers to be justifiable, but the shooting of the leader of the ship's revolution is just not on - but even so it is a stunning piece of cinema. It was even banned in Britain until 1954 - so strong was its political message. The characters are one dimensional, but it must be remembered that the aim was to make political statements and symbolise events, so the characters become mere tools of this symbolism. Witness the twirled wax moustache of the evil tsarists - only stopping short of tying a girl to a railway track to complete the image.<br/><br/>The most stunning piece for me however was the quick three frames of the heraldic lions, as the battleship fires upon the Opera House we see first a sleeping lion, then a waking one, and then a third fully alert statue. Whether this symbolised a waking beast representing the revolution, or the tsarists being awoken by the assault upon it I don't know.<br/><br/>Even so, propaganda has never been so impressively done."
