"username","rating","helpful","total","date","title","review"
"falynsoul","8","193","245","5 February 2013"," A ton of stupid fun
","I seriously enjoyed this film-- it had more gore than Mel Gibson could shake a fist at, some very cute actors, and didn't waste time with excessive back-story and details, and gave me many good laughs.<br/><br/>Its not an intellectually stimulating movie... duh. Its made to a hilariously entertaining popcorn flick with over-the-top action and unrealistic weapons that wouldn't have existed given the 'time period' this movie seems to be set in. So you folks out there giving it bad rap for not meeting your standards, calm down. Its clearly not trying to. :).<br/><br/>This movie's violence reminded me of the Expendables-- but this film never takes itself too seriously like the other film does... I found this much more fun to watch."
"KeyzFilmz","7","298","394","25 January 2013"," Everyone Calm Down!!
","In my opinion this is the type of movie to see if: 1)You love and support Jeremy Renner 2)You're in a mood to see cool but not overly flashy effects 3)Love for dark fairy tales 4)Awesome make up and costumes (the witches were very VERY well put together) 5)Just an all around chill movie with gore violence and cool effects<br/><br/>Don't see it if: 1)you expect high quality acting 2)Over the top graphics and effects 3)Complex plot line 4)Extremely witty script<br/><br/>Because Jeremy Renner was in big time movies, people are over analyzing this one. It's suppose to be fun with a hint of dark, and entertaining. I was very entertained. I also loved how it was only 88 minutes versus the 2-3 hour movies that have been coming out. I appreciated the toughness of Gemma in the film and Famke as head witch was genius. Overall it served it's purpose."
"Ed-Shullivan","10","9","9","1 April 2019"," Kick-a$$ fairy tale which is sharp, edgy, filled with heroics and dirty deeds
","I didn't expect much from this so-called fairy tale story which was first published in 1812. If only the brothers Grimm were alive today to watch this updated story line starring the athletic and attractive Gemma Arterton as Greta, and her tough as nails diabetic brother Hansel played by versatile actor Jeremy Renner, I think they (the brothers Grimm) would be so impressed as to how the writer/director Tommy Wirkola brought their story to life (and death to the many witches).<br/><br/>The supporting cast of stars such as Famke Janssen (witch Muriel), Pihla Viitala (good witch Mina), Peter Stormare (Sheriff Berringer), giant and lovable troll Edward (Derek Mears), and novice witch hunter in training Ben (Thomas Mann) were all extremely well played.<br/><br/>I loved the darkish firey cinematography, the suspenseful battles between the witch hunters and the witches, and the twists and turns in the storylines and the characters. This was a more than impressive introduction which I hope we will soon be followed up by a sequel also starring Jeremy Renner, Gemma Arterton, Derak Mears, and their witch hunter in training Thomas Mann.<br/><br/>A pleasantly under appreciated adventure/fantasy/action film worthy of a perfect 10 out of 10 rating!!!!!"
"sildarmillion","7","146","215","27 January 2013"," The movie knows it's stupid and has fun with it
","This is not a quality film and I don't think they even meant it to be good or memorable. If you watched the trailers and *didn't* expect it to be terrible, I'd be very, very surprised. I would never have paid to see this. I only saw it because I got passes to a free advance screening. And it was just as ridiculous as I expected - and I was pretty entertained. We were laughing pretty hard the whole time.<br/><br/>The movie wasn't trying to have a good plot or a surprise twist. Clocking in at a little over an hour, it could have been season finale of a B-grade TV series of the same premise. I think movie was just trying to be funny, and I think their jokes worked. Like how Hansel has a ""medical condition"" (not spoiling it here). It doesn't work in a physiological sense - but who cares? It was really funny that they even made that connection! <br/><br/>There was an incredible amount of gore in this movie; but I suppose that itself was a joke, given the premise of the movie. Their other jokes relied on anachronisms (weapons, fanboys, crime investigations). But they were careful enough that the anachronisms were funny in the context of the world-building instead of being glaring anomalies.<br/><br/>There might be some people complaining about what an inadequate film this was with respect to plot, but that would be missing the point. Don't watch this expecting to take away anything - it's really only just for the lawls."
"g-bodyl","8","19","24","2 June 2014"," Surpassed My Low Expectations!
","Before viewing this movie, I knew it was not going to be a masterpiece. I already had incredibly low expectations for it and I thought I was going to hate it. After viewing it, I can say it's a pretty bad....ass film. It's not a great film, but it's ridiculously entertaining and even really funny. There's lots of gore here, so people who love endless CGI blood will fall in love with this film.<br/><br/>Tommy Wirkola's film adds some more depth to the classic tale from the Grimm Brothers, Hansel and Gretel. This story explores their adult lives, where of course they would become witch hunters. They usually get the job done, but then there is this witch who believes she is the most powerful of all.<br/><br/>The acting is good and it seems like everyone had a blast. Jeremy Renner as Hansel was good and the funniest of the siblings. Gemma Arterton is certainly very sexy as Gretel. Peter Stormare makes for a hard-nosed chief and Famke Janssen relishes her role as the evil witch.<br/><br/>Overall, I must admit that I had a blast with Hansel and Gretel: Witch Hunters. The story is not anywhere to be seen, but I wasn't in the mood for any in-depth story. I just wanted to see witches die, and I think I can say my wish was fulfilled. This is an action-packed horror film that will take you for a thrilling ride. I rate this film 8/10."
"wlk68","9","67","99","26 January 2013"," Bloody, dark, tongue in cheek fun!
","I wasn't expecting anything deep or insightful or thought provoking when I went to see this. I was expecting a fantasy/horror movie with dark humor where I could turn off my brain and just enjoy the ride and that was pretty much what I got. I really enjoyed it. It was fun and funny and it was fairly obvious that their tongues were firmly in their cheeks when they made this. I enjoyed the 'Middle Ages meets Steampunk' aspect and thought it was a nice touch that Hansel actually developed the sugar sickness - a.k.a. diabetes - from being forced to eat all that candy as a kid.<br/><br/>I enjoyed the brother/sister vibe between the two. You don't see a great many brother/sister action duos. At least, none come immediately to mind. It's always buddies/cops or soldiers and if there is a male/female pairing it's usually romantic. To have the protagonists be siblings was a refreshing twist. They both knew the other could take care of themselves but were still protective and concerned for each other.<br/><br/>And as for taking care of themselves, hunting witches was never shown as easy. They each got their asses handed to them on numerous occasions and in the scene where we see Hansel shirtless, his body is covered in scars, both old and new.<br/><br/>The only complaint I have is that it wasn't long enough. It's run time is just short of 90 minutes so they had ample room to expand a few scenes - or even add new ones - to flesh out the character development a little."
"claudio_carvalho","7","60","91","11 May 2013"," A Great Entertainment
","The siblings Hansel (Jeremy Renner) and Gretel (Gemma Arterton) are left alone in the woods by their father and captured by a dark witch in a candy house. However they kill the witch and escape from the spot. Years later, the orphans have become famous witch hunters. <br/><br/>When eleven children go missing in a small village, the Major summons Hansel and Gretel to rescue them, and they save the red haired Mina (Pihla Viitala) from the local sheriff that wants to burn her accusing Mina of witchcraft. Soon they discover that the Blood Moon will approach in three days and the powerful dark witch Muriel (Famke Janssen) is the responsible for the abduction of children. She intends to use the children together with a secret ingredient in a Sabbath to make the coven of witches protected against the fire. Meanwhile Hansel and Gretel disclose secrets about their parents.<br/><br/>""Hansel & Gretel: Witch Hunters"" is a great entertainment for ordinary viewers like me that like the genre of fantasy but based on the Metacritic Rating, it is not recommended to intellectuals. The story is very funny and the special effects and make-up are top notch. Gemma Arterton is one of the sexiest actresses and it is good to see her again. If the viewer likes this genre, he or she will certainly enjoy ""Hansel & Gretel: Witch Hunters"". I do not understand why people that like art movies spend their time watching this type of movie and writing bad reviews. My vote is seven.<br/><br/>Title (Brazil): ""João e Maria: Caçadores de Bruxas"" (""John and Mary: Witch Hunters"")"
"Vartiainen","Null","21","29","2 May 2013"," Mindless fun, for better and for worse
","Lately we have seen a lot of these fairy tale remakes, where they take a basic fairy tale plot, add in a lot of CGI, slightly darker atmosphere and some sex and call it a day. I still prefer the Disney version, thank you very much. At least in those films the story flows smoothly and the characters are not cardboard cutouts. That being said, this particular fairy tale movie was a pleasant surprise. For one, it didn't try to retell the same exact story we have grown up with. Rather it took the story of Hansel and Gretel and asked the question: ""What if they grew up?"" I'm totally on board with that question. It's something we've never seen before and frankly it's a fascinating idea. So yeah, colour me interested.<br/><br/>The film itself ends up being pretty much what anyone would expect. I hesitate to call it a good film, because it has numerous plot holes, nonsensical twists and its characters are somewhat bland and clichéd. On the other hand, it has a good visual style, its action is very pleasing, if a bit gore-filled (not a bad thing in this case), the two main actors are actually pretty good in their roles, and as a whole it's just plain solid fun. Yeah, it's stupid most of the time, but it's fun kind of stupid. The kind where you're just able to sit back, enjoy the scenery and laugh at the jokes.<br/><br/>It also needs to be remembered that this was Tommy Wirkola's first big budget film. And for a debut film, this shows a lot of promise. The style is definitely there, as is the atmosphere. The story-telling and the character development need some work, but even big name directors struggle with those every now and then. I'm looking forward to what this guy will bring us next.<br/><br/>And that's this film. Yeah, it's one of those so bad it's good films, but I'd still recommend this. The idea alone is worth checking out."
"moviexclusive","6","97","159","24 January 2013"," Leave the kids at home for this one – this revisionist take on the classic fairy tale is an entertaining blend of horror and humour that is as gory as it is vulgar
","What you may or may not remember about the Brothers Grimm' story is over and done with in the first ten minutes of writer-director Tommy Wirkola's revisionist treatment of the classic tale, which basically imagines what happens after the happily ever after. And so Wirkola fast- forwards the story many years later, where he would like us to believe that Hansel (Jeremy Renner) and Gretel (Gemma Arterton) have found their calling as witch hunters, travelling around from village to village killing the evil ones who kidnap children and rescuing their abductees in the process.<br/><br/>One particular such mission brings them to the town of Augsburg, where a beautiful blonde-haired woman named Mina (Pihla Viitala) is due to be drowned in front of an angry crowd by the shifty Sheriff Berringer (Peter Stormare). The Mayor (Rainer Bock) is not so fast to pronounce judgment on her for the spate of disappearances, and has hired Hansel and Gretel to get to the bottom of it. Seeing no visible signs of sorcery on her, Hansel and Gretel free her, inadvertently setting themselves on a collision course with the Sheriff.<br/><br/>But the bitter Sheriff and his band of hunters are the least of their problems – indeed, their most pressing concern is the Grandmother Witch Muriel (Famke Janssen) and her hench-women, who have been keeping the children they have kidnapped locked up in wait for a much more sinister plot to make them even more powerful. Of course, as narrative dictates, Muriel's plan would have something to do with Hansel and Gretel's own past, as well as their extraordinary ability to be immune from the spells of witches.<br/><br/>Savvy viewers will be able to spot the connection once the clues are laid, so don't expect a revelatory surprise at the end. That doesn't mean however that this reimagination is predictable; instead, Wirkola keeps you riveted with a surprisingly effective blend of horror and hilarity often within the very same scene. Case in point? Just before she forces someone to turn a shotgun on himself and splatter his brains onto the wall, Muriel comments how the room they are in looks somehow drab and could do with some colour.<br/><br/>That same irreverence pervades the entire movie, which shouldn't come as a surprise if you paid attention to the opening credits and spotted Will Ferrell and Adam McKay as producers of the movie. Their brand of rude cheeky humour is very much alive in Wirkola's first English-language feature, who had demonstrated through his debut movie lampooning Quentin Tarantino – Kill Buljo – that he is perfectly in tune with their sensibilities. But Wirkola also brings his eye for gore – seen in his sophomore film 'Dead Snow' – to this movie, so be prepared for exploding flesh, crushed skulls and some particularly nasty decapitations that is good reason why this grown-up version of Hansel and Gretel does not carry a kid-friendly rating.<br/><br/>Amidst the gore and adult humour, Renner and Arterton unfortunately are left with paper-thin characters. While Renner pretty much looks dour throughout the movie, Arterton seems determined to have fun with her ass-kicking female heroine of a role, and her portrayal of Gretel resembles a Lara Croft for the medieval ages. The scene-stealer however is Janssen, the former Bond villain once again relishing the opportunity to play against type as the villain and putting in a deliciously over- the-top performance as Muriel. Other supporting actors don't make much of an impression – including Thomas Mann, a firm Hansel and Gretel devotee who gets some laughs from his fanboy behaviour and eventually sees his wish come true to be a witch hunter like his heroes.<br/><br/>And we suspect, how much you will end up enjoying this new twist to the classic fairy tale will also depend on your expectations. Compared to the recent spate of fairytale-inspired Hollywood movies like 'Red Riding Hood' or 'Snow White and the Huntsman', it veers most far off from its source material to tell an entirely different story. The result of that novelty is something bloody all right, that can also prove to be bloody good fun if you're looking for an adult-oriented blend of action, adventure, fantasy, horror and comedy. It might not sound intuitive, but this fairy tale is best enjoyed without the kids.<br/><br/><ul><li>www.moviexclusive.com</li></ul>"
"3xHCCH","8","112","191","24 January 2013"," Renner and Arterton: Killer Combination!
","I couldn't believe my eyes when I first saw the poster for ""Hansel and Gretel Witch Hunters"" because it actually puts together my two favorite current movie stars, Jeremy Renner and Gemma Arterton! I liked Gothic interpretations of fairy tales like ""Snow White and the Huntsman"". And I also liked the ""supernaturalization"" of historical figures like ""Abraham Lincoln Vampire Hunter"" a lot. This film seems to be a cross of those two types, and so is one film I made sure I would watch this once it opened.<br/><br/>Hansel and Gretel starts as we all know them from the fairy tale, children left by their parents in the woods. They were lured by a house made of candy, and was captured by the wicked witch who lived inside. We all know how the tale ends, when Hansel and Gretel push the witch into the oven. But that was just the beginning of the movie, for that was when this brother-sister team launch their career as mercenary witch hunters. When a mysterious series of missing children terrorizes a small town, its mayor hires Hansel and Gretel to look for the witches responsible and kill them.<br/><br/>That was one shallow story line I know, but I really enjoyed myself while watching this movie. Yes, the gore factor was really high, but everything appeared to be done with tongue strictly in cheek. The actors Renner and Arteron are unquestionable bad-ass! They fit the titular roles very well. You will meet a new, more interesting ""Edward"" here. The CG and production design were quite good and imaginative. It was fun to spot traditional witch lore in the scenes, even as they took liberties to invent their own lore.<br/><br/>As I mentioned, the film does not shy from bloody violence, as the envelope is pushed to graphically show various mechanisms of death, from crushing to exploding - close-up! There was a brief scene of a nude village beauty Mina (Pihla Viitala) as she seduces Hansel. There were even unexpected modern-day swear words during the witch battles. With all of these scenes, I do not really know how it got a PG-13 rating in this country! Anyway, despite and maybe because of all these surprises, I found the whole film a lot of grown-up fun, a very entertaining one and half hours.<br/><br/>After the movie, I found out that the director was Tommy Wirkola, the same guy who directed the Norwegian Nazi zombies in the snow movie ""Dead Snow."" So that is why his strange Tarantino-esque sense of humor is all over this film. I am a fan! I will be awaiting his next project. However, for all the fun I had watching this film though, I think they should be happy with what they have now. I think a H&G sequel would already be pushing their luck."
